é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.868222,0.499495,0.504649,0.921847,0.942051,0.537832,0.712349, 
2,0.000000,0.602992,0.599884,0.946108,0.160575,0.777551,0.514518, 
3,0.672883,0.218565,0.842276,0.718325,0.610283,0.978602,0.673489, 
4,0.531068,0.462466,0.888461,0.867642,0.867115,0.905568,0.753720, 
5,0.576695,0.783957,0.770823,0.962724,0.888445,0.827491,0.801689, 
6,0.643131,0.875469,0.755940,0.824334,0.907680,0.925221,0.821963, 
7,0.627556,0.848324,0.684932,0.892428,0.514319,0.721943,0.714917, 
8,0.522167,0.341127,0.788644,0.934344,0.890423,0.746397,0.703850, 
9,0.388972,0.792171,0.552263,0.953787,0.737034,0.917548,0.723629, 
10,0.466056,0.907120,0.792171,0.704000,0.824997,0.753170,0.741252, 
11,0.244857,0.297794,0.309470,0.704643,0.703326,0.666704,0.487799, 
12,0.519548,0.769276,0.831633,0.860795,0.778054,0.770693,0.755000, 
13,0.408894,0.598802,0.687676,0.106385,0.772623,0.579543,0.525654, 
14,0.564348,0.768076,0.526968,0.928622,0.962774,0.704565,0.742559, 
15,0.306509,0.645897,0.736324,0.133336,0.559609,0.819305,0.533496, 
16,0.510914,0.733138,0.000000,0.836891,0.372650,0.358246,0.468640, 
17,0.020990,0.375714,0.858025,0.506912,0.638923,0.735974,0.522757, 
18,0.684197,0.523977,0.733595,0.909450,0.761117,0.845089,0.742904, 
19,0.058442,0.687169,0.890159,0.760871,0.744707,0.704026,0.640896, 
20,0.624008,0.000000,0.889222,0.742168,0.631262,0.932085,0.636458, 
21,0.829021,0.786155,0.743473,0.418741,0.609882,0.877606,0.710813, 
22,0.963148,0.380234,0.793418,0.920690,0.546678,0.741750,0.724320, 
23,0.791268,0.943047,0.946228,0.856774,0.778712,0.882817,0.866474, 
24,0.630705,0.000000,0.682313,0.657852,0.873135,0.825289,0.611549, 
25,0.925175,0.490348,0.233602,0.823254,0.649252,0.710396,0.638671, 
26,0.441727,0.592417,0.531899,0.962147,0.786363,0.657813,0.662061, 
27,0.157113,0.232556,0.552632,0.777548,0.837113,0.835118,0.565346, 
28,0.017322,0.701403,0.473667,0.328989,0.810312,0.776307,0.518000, 
29,0.000000,0.293915,0.458716,0.666190,0.816118,0.766500,0.500240, 
30,0.671149,0.475849,0.864055,0.906302,0.779628,0.971712,0.778116, 
31,0.777696,0.430521,0.830109,0.463958,0.552764,0.881438,0.656081, 
32,0.046899,0.664957,0.349287,0.943937,0.421992,0.855574,0.547108, 
