ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.209562, 0.219213,0.203059, 0.248138,0.138432, 0.303299,0.129402, 0.209714,0.060688, 0.138432,0.062034, 0.078026,0.393646
2,0.173645, 0.235302,0.120595, 0.255098,0.127549, 0.198795,0.117651, 0.206008,0.173031, 0.183650,0.082019, 0.126658,0.411021
3,0.123353, 0.325177,0.198730, 0.245753,0.161406, 0.218712,0.122876, 0.250314,0.067528, 0.109162,0.045962, 0.131026,0.560288
4,0.192971, 0.200678,0.195540, 0.369286,0.109749, 0.195540,0.126794, 0.223652,0.062528, 0.130514,0.055913, 0.136836,0.513012
5,0.139527, 0.207659,0.135509, 0.302569,0.134714, 0.333348,0.093753, 0.152381,0.111116, 0.206376,0.043520, 0.139527,0.683720
6,0.144622, 0.302294,0.156662, 0.273174,0.150293, 0.159847,0.118823, 0.156662,0.095457, 0.207817,0.069272, 0.165078,0.529744
7,0.173267, 0.323946,0.178298, 0.178789,0.161604, 0.197153,0.099462, 0.211431,0.147525, 0.198925,0.039431, 0.090168,0.400826
8,0.187219, 0.276405,0.234214, 0.247587,0.133866, 0.260979,0.091499, 0.187219,0.079659, 0.137365,0.064527, 0.099460,0.418031
9,0.202654, 0.255941,0.174515, 0.223363,0.157860, 0.222230,0.109680, 0.210840,0.074077, 0.133419,0.053952, 0.181469,0.454524
10,0.200272, 0.288619,0.172473, 0.247550,0.144310, 0.224139,0.135721, 0.187334,0.082517, 0.173555,0.037660, 0.105851,0.454095
11,0.253364, 0.259221,0.218876, 0.271632,0.111390, 0.164541,0.124395, 0.218876,0.079322, 0.127475,0.059519, 0.111390,0.306269
12,0.166673, 0.272199,0.157053, 0.235568,0.136100, 0.253567,0.117784, 0.235109,0.107270, 0.190946,0.043404, 0.084328,0.543433
13,0.185892, 0.223687,0.206425, 0.211479,0.105294, 0.206796,0.206425, 0.211479,0.105294, 0.206796,0.044737, 0.085694,0.291867
14,0.186409, 0.226652,0.195503, 0.198294,0.164679, 0.230490,0.115245, 0.288141,0.073919, 0.185244,0.036920, 0.098503,0.454649
15,0.180862, 0.303992,0.164011, 0.234498,0.117249, 0.218401,0.155629, 0.188933,0.053388, 0.090422,0.101331, 0.191284,0.455059
16,0.199359, 0.211903,0.199359, 0.211903,0.211903, 0.285747,0.140454, 0.203928,0.079356, 0.099680,0.070634, 0.085776,0.197870
17,0.254974, 0.263323,0.195255, 0.269422,0.118012, 0.195255,0.131072, 0.175155,0.086331, 0.122674,0.060134, 0.128392,0.308442
18,0.167353, 0.373191,0.155083, 0.274882,0.132614, 0.231009,0.072081, 0.175129,0.070554, 0.107047,0.069664, 0.171394,0.665304
19,0.232017, 0.301596,0.130889, 0.257848,0.150798, 0.239315,0.114600, 0.133278,0.095154, 0.138392,0.081790, 0.124322,0.389502
20,0.156037, 0.250037,0.250037, 0.303043,0.104167, 0.234599,0.088462, 0.206748,0.063320, 0.180663,0.056171, 0.106716,0.563611
