ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.189729, 0.239046,0.171076, 0.280121,0.124427, 0.317305,0.123814, 0.215302,0.005016, 0.194105,0.059202, 0.080858,0.653474
2,0.118309, 0.290637,0.083129, 0.292564,0.098676, 0.227667,0.107339, 0.216320,0.162412, 0.194269,0.030337, 0.178340,0.799597
3,0.074815, 0.373715,0.120181, 0.324302,0.135771, 0.244347,0.111121, 0.262070,0.048162, 0.128528,0.000001, 0.176987,1.019898
4,0.189117, 0.204531,0.189117, 0.375709,0.100758, 0.204531,0.105111, 0.245335,0.039421, 0.153621,0.049206, 0.143543,0.654539
5,0.112320, 0.234866,0.029176, 0.408902,0.039948, 0.428114,0.045147, 0.200987,0.087870, 0.229622,0.009455, 0.173593,1.352167
6,0.063717, 0.383199,0.145515, 0.284321,0.145515, 0.164625,0.110860, 0.164625,0.065433, 0.237840,0.058513, 0.175836,0.820891
7,0.145408, 0.351805,0.177806, 0.179281,0.157122, 0.201635,0.089272, 0.221622,0.080275, 0.266175,0.036571, 0.093028,0.627090
8,0.174956, 0.288669,0.200781, 0.281020,0.115730, 0.279115,0.055994, 0.222724,0.063080, 0.153944,0.060225, 0.103762,0.658467
9,0.184120, 0.274475,0.125079, 0.272800,0.078122, 0.301968,0.098835, 0.221685,0.063348, 0.144148,0.036481, 0.198939,0.828029
10,0.140701, 0.348191,0.088369, 0.331654,0.130641, 0.237807,0.113043, 0.210011,0.070004, 0.186067,0.029707, 0.113805,0.855070
11,0.246858, 0.265727,0.210407, 0.280101,0.106836, 0.169095,0.100920, 0.242351,0.073892, 0.132905,0.042762, 0.128146,0.436650
12,0.053973, 0.384900,0.084456, 0.308164,0.109718, 0.279948,0.108340, 0.244552,0.078780, 0.219436,0.039762, 0.087970,1.049941
13,0.101214, 0.308365,0.203304, 0.214601,0.103138, 0.208952,0.203304, 0.214601,0.103138, 0.208952,0.040958, 0.089474,0.489889
14,0.125589, 0.287471,0.188527, 0.205270,0.063720, 0.331450,0.099135, 0.304251,0.062264, 0.196899,0.032789, 0.102635,0.855951
15,0.123854, 0.361000,0.071773, 0.326736,0.101007, 0.234643,0.120796, 0.223766,0.045562, 0.098248,0.087029, 0.205586,0.899957
16,0.191655, 0.219607,0.191655, 0.219607,0.205631, 0.292018,0.138751, 0.205631,0.076220, 0.102815,0.068544, 0.087866,0.255090
17,0.240973, 0.277325,0.183693, 0.280984,0.104200, 0.209067,0.127805, 0.178422,0.083782, 0.125222,0.058952, 0.129574,0.401189
18,0.097918, 0.442625,0.066342, 0.363623,0.097222, 0.266401,0.000001, 0.247209,0.053996, 0.123605,0.048977, 0.192081,1.271087
19,0.143915, 0.389699,0.124572, 0.264165,0.137228, 0.252885,0.097632, 0.150246,0.091485, 0.142061,0.076534, 0.129579,0.657271
20,0.129534, 0.276540,0.203037, 0.350043,0.075211, 0.263555,0.068889, 0.226321,0.000001, 0.243982,0.000963, 0.161924,1.044731
21,0.182962, 0.350743,0.154197, 0.228812,0.116073, 0.250803,0.110624, 0.240275,0.063835, 0.103367,0.038916, 0.159394,0.666789
22,0.188858, 0.253605,0.188858, 0.253605,0.091241, 0.221232,0.107021, 0.310940,0.077621, 0.110616,0.072790, 0.123614,0.547222
23,0.219717, 0.270188,0.133249, 0.259048,0.107944, 0.274075,0.122476, 0.211535,0.037126, 0.141329,0.075967, 0.147345,0.607042
24,0.156159, 0.308500,0.251840, 0.268701,0.130135, 0.195103,0.130135, 0.136199,0.036288, 0.195103,0.053911, 0.137924,0.483062
25,0.148077, 0.231507,0.137287, 0.325727,0.092718, 0.366203,0.055897, 0.229461,0.000001, 0.244986,0.045892, 0.122245,1.040257
26,0.187399, 0.199696,0.080804, 0.325998,0.116620, 0.282772,0.058189, 0.199696,0.103553, 0.277805,0.049924, 0.117543,0.807021
27,0.152193, 0.309028,0.118768, 0.345916,0.022616, 0.365963,0.000001, 0.231405,0.077760, 0.176749,0.046813, 0.152788,1.163696
28,0.191082, 0.232299,0.170474, 0.211690,0.122883, 0.238563,0.170474, 0.211690,0.023083, 0.170363,0.066317, 0.191082,0.511376
29,0.300246, 0.341887,0.139713, 0.160533,0.078595, 0.235570,0.071032, 0.214044,0.083646, 0.176681,0.044420, 0.153632,0.564695
30,0.123142, 0.452852,0.037532, 0.305790,0.075169, 0.230621,0.064161, 0.152895,0.085830, 0.230621,0.057562, 0.183825,1.113209
31,0.203602, 0.251380,0.089506, 0.358626,0.146440, 0.274408,0.027027, 0.227491,0.038775, 0.227491,0.000001, 0.155251,0.989295
32,0.180476, 0.238889,0.203802, 0.250474,0.203802, 0.207722,0.104665, 0.207722,0.068587, 0.069894,0.056900, 0.207067,0.363536
33,0.148382, 0.325822,0.123683, 0.235174,0.210423, 0.259925,0.113473, 0.148433,0.000001, 0.204399,0.053961, 0.176326,0.700156
34,0.191235, 0.322785,0.124766, 0.207760,0.191235, 0.224285,0.038121, 0.308785,0.069253, 0.177675,0.004952, 0.139147,0.760874
35,0.195125, 0.369128,0.124089, 0.282127,0.115760, 0.253368,0.109260, 0.193406,0.060682, 0.144628,0.056425, 0.096001,0.677317
36,0.139101, 0.298561,0.125192, 0.237732,0.175024, 0.205955,0.159558, 0.190489,0.082391, 0.192153,0.012382, 0.181462,0.612705
