ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.214387, 0.214387,0.225598, 0.225598,0.220866, 0.220866,0.169558, 0.169558,0.099560, 0.099560,0.070030, 0.070030,0.000000
2,0.204473, 0.204473,0.187846, 0.187846,0.163172, 0.163172,0.161830, 0.161830,0.178340, 0.178340,0.104339, 0.104339,0.000000
3,0.224265, 0.224265,0.222241, 0.222241,0.190059, 0.190059,0.186595, 0.186595,0.088345, 0.088345,0.088494, 0.088494,0.000000
4,0.196824, 0.196824,0.282413, 0.282413,0.152644, 0.152644,0.175223, 0.175223,0.096521, 0.096521,0.096375, 0.096375,0.000000
5,0.173593, 0.173593,0.219039, 0.219039,0.234031, 0.234031,0.123067, 0.123067,0.158746, 0.158746,0.091524, 0.091524,0.000000
6,0.223458, 0.223458,0.214918, 0.214918,0.155070, 0.155070,0.137742, 0.137742,0.151637, 0.151637,0.117175, 0.117175,0.000000
7,0.248606, 0.248606,0.178544, 0.178544,0.179379, 0.179379,0.155447, 0.155447,0.173225, 0.173225,0.064799, 0.064799,0.000000
8,0.231812, 0.231812,0.240901, 0.240901,0.197422, 0.197422,0.139359, 0.139359,0.108512, 0.108512,0.081994, 0.081994,0.000000
9,0.229298, 0.229298,0.198939, 0.198939,0.190045, 0.190045,0.160260, 0.160260,0.103748, 0.103748,0.117710, 0.117710,0.000000
10,0.244446, 0.244446,0.210011, 0.210011,0.184224, 0.184224,0.161527, 0.161527,0.128036, 0.128036,0.071756, 0.071756,0.000000
11,0.256293, 0.256293,0.245254, 0.245254,0.137965, 0.137965,0.171635, 0.171635,0.103399, 0.103399,0.085454, 0.085454,0.000000
12,0.219436, 0.219436,0.196310, 0.196310,0.194833, 0.194833,0.176446, 0.176446,0.149108, 0.149108,0.063866, 0.063866,0.000000
13,0.204790, 0.204790,0.208952, 0.208952,0.156045, 0.156045,0.208952, 0.208952,0.156045, 0.156045,0.065216, 0.065216,0.000000
14,0.206530, 0.206530,0.196899, 0.196899,0.197585, 0.197585,0.201693, 0.201693,0.129581, 0.129581,0.067712, 0.067712,0.000000
15,0.242427, 0.242427,0.199255, 0.199255,0.167825, 0.167825,0.172281, 0.172281,0.071905, 0.071905,0.146307, 0.146307,0.000000
16,0.205631, 0.205631,0.205631, 0.205631,0.248825, 0.248825,0.172191, 0.172191,0.089518, 0.089518,0.078205, 0.078205,0.000000
17,0.259149, 0.259149,0.232338, 0.232338,0.156634, 0.156634,0.153114, 0.153114,0.104502, 0.104502,0.094263, 0.094263,0.000000
18,0.270272, 0.270272,0.214982, 0.214982,0.181811, 0.181811,0.123605, 0.123605,0.088800, 0.088800,0.120529, 0.120529,0.000000
19,0.266807, 0.266807,0.194369, 0.194369,0.195056, 0.195056,0.123939, 0.123939,0.116773, 0.116773,0.103056, 0.103056,0.000000
20,0.203037, 0.203037,0.276540, 0.276540,0.169383, 0.169383,0.147605, 0.147605,0.121992, 0.121992,0.081444, 0.081444,0.000000
21,0.266852, 0.266852,0.191504, 0.191504,0.183438, 0.183438,0.175449, 0.175449,0.083601, 0.083601,0.099155, 0.099155,0.000000
22,0.221232, 0.221232,0.221232, 0.221232,0.156236, 0.156236,0.208981, 0.208981,0.094118, 0.094118,0.098202, 0.098202,0.000000
23,0.244953, 0.244953,0.196149, 0.196149,0.191009, 0.191009,0.167006, 0.167006,0.089228, 0.089228,0.111656, 0.111656,0.000000
24,0.232329, 0.232329,0.260271, 0.260271,0.162619, 0.162619,0.133167, 0.133167,0.115696, 0.115696,0.095918, 0.095918,0.000000
25,0.189792, 0.189792,0.231507, 0.231507,0.229461, 0.229461,0.142679, 0.142679,0.122494, 0.122494,0.084068, 0.084068,0.000000
26,0.193548, 0.193548,0.203401, 0.203401,0.199696, 0.199696,0.128942, 0.128942,0.190679, 0.190679,0.083733, 0.083733,0.000000
27,0.230611, 0.230611,0.232342, 0.232342,0.194290, 0.194290,0.115703, 0.115703,0.127254, 0.127254,0.099800, 0.099800,0.000000
28,0.211690, 0.211690,0.191082, 0.191082,0.180723, 0.180723,0.191082, 0.191082,0.096723, 0.096723,0.128700, 0.128700,0.000000
29,0.321067, 0.321067,0.150123, 0.150123,0.157083, 0.157083,0.142538, 0.142538,0.130163, 0.130163,0.099026, 0.099026,0.000000
30,0.287997, 0.287997,0.171661, 0.171661,0.152895, 0.152895,0.108528, 0.108528,0.158226, 0.158226,0.120694, 0.120694,0.000000
31,0.227491, 0.227491,0.224066, 0.224066,0.210424, 0.210424,0.127259, 0.127259,0.133133, 0.133133,0.077626, 0.077626,0.000000
32,0.209682, 0.209682,0.227138, 0.227138,0.205762, 0.205762,0.156193, 0.156193,0.069241, 0.069241,0.131984, 0.131984,0.000000
33,0.237102, 0.237102,0.179428, 0.179428,0.235174, 0.235174,0.130953, 0.130953,0.102200, 0.102200,0.115143, 0.115143,0.000000
34,0.257010, 0.257010,0.166263, 0.166263,0.207760, 0.207760,0.173453, 0.173453,0.123464, 0.123464,0.072049, 0.072049,0.000000
35,0.282127, 0.282127,0.203108, 0.203108,0.184564, 0.184564,0.151333, 0.151333,0.102655, 0.102655,0.076213, 0.076213,0.000000
36,0.218831, 0.218831,0.181462, 0.181462,0.190489, 0.190489,0.175024, 0.175024,0.137272, 0.137272,0.096922, 0.096922,0.000000
37,0.270302, 0.270302,0.227182, 0.227182,0.200775, 0.200775,0.115143, 0.115143,0.117941, 0.117941,0.068657, 0.068657,0.000000
38,0.192216, 0.192216,0.278804, 0.278804,0.184251, 0.184251,0.136964, 0.136964,0.133491, 0.133491,0.074275, 0.074275,0.000000
39,0.279691, 0.279691,0.177707, 0.177707,0.165065, 0.165065,0.147905, 0.147905,0.137295, 0.137295,0.092338, 0.092338,0.000000
40,0.244426, 0.244426,0.179407, 0.179407,0.158972, 0.158972,0.125160, 0.125160,0.141598, 0.141598,0.150438, 0.150438,0.000000
41,0.237813, 0.237813,0.176369, 0.176369,0.250328, 0.250328,0.149998, 0.149998,0.106957, 0.106957,0.078535, 0.078535,0.000000
42,0.231746, 0.231746,0.196943, 0.196943,0.171248, 0.171248,0.138609, 0.138609,0.180356, 0.180356,0.081098, 0.081098,0.000000
43,0.289782, 0.289782,0.226975, 0.226975,0.161767, 0.161767,0.116393, 0.116393,0.084031, 0.084031,0.121052, 0.121052,0.000000
44,0.184270, 0.184270,0.269713, 0.269713,0.194771, 0.194771,0.149274, 0.149274,0.113195, 0.113195,0.088778, 0.088778,0.000000
45,0.238703, 0.238703,0.199968, 0.199968,0.139917, 0.139917,0.146391, 0.146391,0.160985, 0.160985,0.114035, 0.114035,0.000000
46,0.249374, 0.249374,0.244530, 0.244530,0.190107, 0.190107,0.171028, 0.171028,0.091921, 0.091921,0.053039, 0.053039,0.000000
47,0.216601, 0.216601,0.211077, 0.211077,0.203139, 0.203139,0.144875, 0.144875,0.129607, 0.129607,0.094700, 0.094700,0.000000
48,0.225124, 0.225124,0.226125, 0.226125,0.140767, 0.140767,0.197602, 0.197602,0.136769, 0.136769,0.073613, 0.073613,0.000000
49,0.234918, 0.234918,0.179032, 0.179032,0.160232, 0.160232,0.118465, 0.118465,0.180532, 0.180532,0.126820, 0.126820,0.000000
50,0.211998, 0.211998,0.242267, 0.242267,0.176622, 0.176622,0.140456, 0.140456,0.124203, 0.124203,0.104454, 0.104454,0.000000
51,0.208964, 0.208964,0.231927, 0.231927,0.224744, 0.224744,0.162001, 0.162001,0.108529, 0.108529,0.063834, 0.063834,0.000000
52,0.215234, 0.215234,0.184993, 0.184993,0.204500, 0.204500,0.128822, 0.128822,0.122210, 0.122210,0.144241, 0.144241,0.000000
53,0.184359, 0.184359,0.224717, 0.224717,0.210679, 0.210679,0.142398, 0.142398,0.108080, 0.108080,0.129766, 0.129766,0.000000
54,0.252302, 0.252302,0.264426, 0.264426,0.135439, 0.135439,0.134179, 0.134179,0.124101, 0.124101,0.089553, 0.089553,0.000000
55,0.237936, 0.237936,0.243788, 0.243788,0.240756, 0.240756,0.111115, 0.111115,0.092634, 0.092634,0.073771, 0.073771,0.000000
56,0.217148, 0.217148,0.228731, 0.228731,0.213290, 0.213290,0.164556, 0.164556,0.100725, 0.100725,0.075549, 0.075549,0.000000
57,0.265692, 0.265692,0.236274, 0.236274,0.137923, 0.137923,0.187720, 0.187720,0.102086, 0.102086,0.070306, 0.070306,0.000000
58,0.244347, 0.244347,0.195227, 0.195227,0.141384, 0.141384,0.178143, 0.178143,0.106075, 0.106075,0.134825, 0.134825,0.000000
59,0.243148, 0.243148,0.220488, 0.220488,0.172673, 0.172673,0.141085, 0.141085,0.147503, 0.147503,0.075103, 0.075103,0.000000
60,0.251655, 0.251655,0.222112, 0.222112,0.192860, 0.192860,0.147616, 0.147616,0.094370, 0.094370,0.091387, 0.091387,0.000000
61,0.269428, 0.269428,0.159661, 0.159661,0.162119, 0.162119,0.183625, 0.183625,0.150137, 0.150137,0.075030, 0.075030,0.000000
62,0.223436, 0.223436,0.201020, 0.201020,0.135599, 0.135599,0.204699, 0.204699,0.118916, 0.118916,0.116330, 0.116330,0.000000
63,0.154074, 0.154074,0.227540, 0.227540,0.201407, 0.201407,0.152322, 0.152322,0.162257, 0.162257,0.102400, 0.102400,0.000000
64,0.236658, 0.236658,0.224063, 0.224063,0.179513, 0.179513,0.193412, 0.193412,0.072272, 0.072272,0.094082, 0.094082,0.000000
65,0.250743, 0.250743,0.252652, 0.252652,0.189577, 0.189577,0.118442, 0.118442,0.088223, 0.088223,0.100363, 0.100363,0.000000
66,0.232985, 0.232985,0.173440, 0.173440,0.211091, 0.211091,0.187741, 0.187741,0.114115, 0.114115,0.080627, 0.080627,0.000000
67,0.175131, 0.175131,0.215687, 0.215687,0.174440, 0.174440,0.161233, 0.161233,0.156678, 0.156678,0.116831, 0.116831,0.000000
68,0.238324, 0.238324,0.267303, 0.267303,0.136216, 0.136216,0.152467, 0.152467,0.102350, 0.102350,0.103340, 0.103340,0.000000
69,0.240729, 0.240729,0.262517, 0.262517,0.186020, 0.186020,0.103964, 0.103964,0.138095, 0.138095,0.068675, 0.068675,0.000000
70,0.246425, 0.246425,0.194480, 0.194480,0.198834, 0.198834,0.146228, 0.146228,0.129163, 0.129163,0.084869, 0.084869,0.000000
71,0.194394, 0.194394,0.229541, 0.229541,0.163862, 0.163862,0.165601, 0.165601,0.143888, 0.143888,0.102715, 0.102715,0.000000
72,0.274592, 0.274592,0.242552, 0.242552,0.113961, 0.113961,0.135066, 0.135066,0.124173, 0.124173,0.109655, 0.109655,0.000000
73,0.236054, 0.236054,0.215330, 0.215330,0.188336, 0.188336,0.111255, 0.111255,0.131699, 0.131699,0.117326, 0.117326,0.000000
74,0.232568, 0.232568,0.252385, 0.252385,0.168622, 0.168622,0.112742, 0.112742,0.077372, 0.077372,0.156311, 0.156311,0.000000
75,0.238407, 0.238407,0.205871, 0.205871,0.228224, 0.228224,0.129387, 0.129387,0.136110, 0.136110,0.062001, 0.062001,0.000000
76,0.244864, 0.244864,0.208593, 0.208593,0.158915, 0.158915,0.151633, 0.151633,0.159407, 0.159407,0.076588, 0.076588,0.000000
77,0.220466, 0.220466,0.264128, 0.264128,0.160301, 0.160301,0.110233, 0.110233,0.108332, 0.108332,0.136540, 0.136540,0.000000
