é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.570651,0.429067,0.634496,0.772413,0.712010,0.202359,0.553499, 
2,0.482456,0.628542,0.784297,0.865275,0.140658,0.452124,0.558892, 
3,0.330509,0.329649,0.779716,0.685479,0.368264,0.733640,0.537876, 
4,0.000000,0.219353,0.722037,0.763806,0.628916,0.676460,0.501762, 
5,0.067890,0.559248,0.572415,0.702724,0.733589,0.849029,0.580816, 
6,0.426774,0.690859,0.066152,0.512416,0.865723,0.829312,0.565206, 
7,0.418104,0.003133,0.655245,0.951524,0.492348,0.496689,0.502841, 
8,0.588376,0.000000,0.739710,0.867454,0.556962,0.363470,0.519329, 
9,0.917851,0.969148,0.836656,0.898947,0.664365,0.960158,0.874521, 
10,0.571246,0.859913,0.896923,0.667905,0.891517,0.613485,0.750165, 
11,0.000000,0.209722,0.256458,0.774768,0.609411,0.642541,0.415483, 
12,0.549159,0.881173,0.803150,0.770680,0.820330,0.434229,0.709787, 
13,0.351124,0.259481,0.728569,0.000000,0.766138,0.455471,0.426797, 
14,0.325057,0.000000,0.817066,0.622917,0.897237,0.599411,0.543615, 
15,0.533270,0.965582,0.858592,0.465212,0.273948,0.691480,0.631347, 
16,0.090084,0.345497,0.101585,0.738700,0.283146,0.201755,0.293461, 
17,0.000000,0.507023,0.684926,0.622149,0.387363,0.698952,0.483402, 
18,0.343834,0.661589,0.873032,0.729282,0.462619,0.882341,0.658783, 
19,0.332571,0.663431,0.789765,0.225553,0.509762,0.473659,0.499124, 
20,0.508388,0.000000,0.817776,0.870767,0.832295,0.666014,0.615873, 
21,0.494162,0.525806,0.848502,0.751410,0.364880,0.612044,0.599468, 
22,0.576591,0.402347,0.768631,0.642185,0.237926,0.575116,0.533799, 
23,0.008848,0.648187,0.673595,0.805333,0.470807,0.542449,0.524870, 
24,0.458943,0.000000,0.739425,0.316312,0.809712,0.733118,0.509585, 
25,0.186027,0.398391,0.390917,0.856018,0.778041,0.606983,0.536063, 
26,0.000000,0.977194,0.644734,0.777842,0.555028,0.578889,0.588948, 
27,0.436834,0.552377,0.747691,0.615850,0.593254,0.798145,0.624025, 
28,0.556587,0.563837,0.888534,0.314428,0.614223,0.861267,0.633146, 
29,0.000000,0.000000,0.668830,0.868649,0.748903,0.483292,0.461612, 
30,0.332484,0.647979,0.676380,0.531090,0.743949,0.899057,0.638490, 
31,0.286773,0.406596,0.596072,0.716946,0.643055,0.587945,0.539565, 
32,0.384117,0.446653,0.098780,0.947142,0.022828,0.857696,0.459536, 
33,0.430234,0.769277,0.000000,0.271695,0.722798,0.738380,0.488731, 
34,0.569247,0.606034,0.136647,0.739748,0.781502,0.450033,0.547202, 
35,0.212965,0.913287,0.849740,0.632405,0.694140,0.324407,0.604491, 
36,0.748422,0.716341,0.345744,0.202429,0.927376,0.808045,0.624726, 
37,0.000000,0.543873,0.819484,0.274456,0.685066,0.582027,0.484151, 
38,0.469599,0.000000,0.875706,0.638084,0.307047,0.653536,0.490662, 
39,0.085955,0.677470,0.405636,0.886985,0.934760,0.719792,0.618433, 
40,0.602369,0.686562,0.631388,0.707634,0.907994,0.740736,0.712781, 
41,0.345066,0.573910,0.000000,0.754874,0.430979,0.506705,0.435256, 
42,0.756042,0.892628,0.699548,0.809163,0.626366,0.672477,0.742704, 
43,0.000000,0.600837,0.751688,0.486137,0.574702,0.949159,0.560420, 
44,0.335939,0.000000,0.836257,0.303429,0.819913,0.550780,0.474386, 
45,0.465695,0.753907,0.511834,0.850398,0.816073,0.794364,0.698712, 
46,0.445424,0.074529,0.829513,0.742446,0.439423,0.445141,0.496079, 
47,0.375659,0.790983,0.757863,0.713005,0.913913,0.636948,0.698062, 
48,0.491891,0.000000,0.456294,0.565229,0.595407,0.590533,0.449892, 
49,0.358936,0.613754,0.505909,0.541845,0.360903,0.695693,0.512840, 
50,0.531266,0.610194,0.858682,0.645583,0.713282,0.808472,0.694580, 
51,0.474525,0.377314,0.000000,0.879896,0.595082,0.585694,0.485419, 
52,0.788970,0.685887,0.541564,0.633862,0.651808,0.763516,0.677601, 
53,0.430594,0.523942,0.649396,0.924608,0.616453,0.843242,0.664706, 
54,0.536689,0.479645,0.384286,0.324451,0.875539,0.730149,0.555126, 
