é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.399238,0.273129,0.464661,0.629213,0.552807,0.112569,0.405269, 
2,0.317919,0.458302,0.645138,0.762542,0.075649,0.292093,0.425274, 
3,0.197970,0.197353,0.638963,0.521467,0.225688,0.579330,0.393462, 
4,0.000000,0.123187,0.564990,0.617869,0.458700,0.511099,0.379307, 
5,0.035138,0.388164,0.400968,0.541692,0.579267,0.737664,0.447149, 
6,0.271273,0.527720,0.034208,0.344462,0.763237,0.708398,0.441550, 
7,0.264306,0.001569,0.487260,0.907531,0.326566,0.330397,0.386272, 
8,0.416808,0.000000,0.586936,0.765933,0.385965,0.222098,0.396290, 
9,0.848175,0.940143,0.719182,0.816443,0.497415,0.923370,0.790788, 
10,0.399821,0.754252,0.813110,0.501395,0.804267,0.442465,0.619218, 
11,0.000000,0.117145,0.147090,0.632344,0.438239,0.473341,0.301360, 
12,0.378511,0.787586,0.671053,0.626916,0.695389,0.277326,0.572797, 
13,0.212948,0.149083,0.573031,0.000000,0.620927,0.294893,0.308480, 
14,0.194071,0.000000,0.690711,0.452345,0.813626,0.427971,0.429788, 
15,0.363578,0.933455,0.752222,0.303112,0.158714,0.528445,0.506587, 
16,0.047167,0.208823,0.053510,0.585665,0.164922,0.112195,0.195380, 
17,0.000000,0.339605,0.520827,0.451535,0.240204,0.537223,0.348232, 
18,0.207608,0.494309,0.774674,0.573914,0.300914,0.789455,0.523479, 
19,0.199452,0.496369,0.652572,0.127112,0.342068,0.310323,0.354649, 
20,0.340831,0.000000,0.691727,0.771113,0.712761,0.499266,0.502616, 
21,0.328164,0.356674,0.736869,0.601807,0.223152,0.440968,0.447939, 
22,0.405078,0.251836,0.624208,0.472955,0.135026,0.403623,0.382121, 
23,0.004443,0.479494,0.507835,0.674107,0.307880,0.372165,0.390987, 
24,0.297810,0.000000,0.586577,0.187869,0.680266,0.578678,0.388533, 
25,0.102553,0.248744,0.242944,0.748280,0.636716,0.435732,0.402495, 
26,0.000000,0.955405,0.475725,0.636450,0.384110,0.407350,0.476506, 
27,0.279454,0.381575,0.597050,0.444930,0.421720,0.664095,0.464804, 
28,0.385605,0.392600,0.799426,0.186541,0.443233,0.756337,0.493957, 
29,0.000000,0.000000,0.502438,0.767798,0.598597,0.318645,0.364580, 
30,0.199389,0.479267,0.511008,0.361554,0.592292,0.816625,0.493356, 
31,0.167388,0.255174,0.424575,0.558780,0.473899,0.416375,0.382699, 
32,0.237713,0.287542,0.051956,0.899592,0.011546,0.750848,0.373200, 
33,0.274075,0.625061,0.000000,0.157203,0.565923,0.585264,0.367921, 
34,0.397865,0.434755,0.073334,0.586985,0.641364,0.290350,0.404109, 
35,0.119172,0.840412,0.738738,0.462421,0.531558,0.193607,0.480985, 
36,0.597983,0.558046,0.209003,0.112613,0.864586,0.677915,0.503357, 
37,0.000000,0.373507,0.694174,0.159055,0.520988,0.410464,0.359698, 
38,0.306847,0.000000,0.778894,0.468520,0.181368,0.485372,0.370167, 
39,0.044908,0.512253,0.254419,0.796922,0.877511,0.562246,0.508043, 
40,0.430993,0.522721,0.461335,0.547549,0.831492,0.588229,0.563720, 
41,0.208507,0.402436,0.000000,0.606263,0.274680,0.339320,0.305201, 
42,0.607771,0.806077,0.537927,0.679492,0.455991,0.506565,0.598971, 
43,0.000000,0.429427,0.602164,0.321123,0.403215,0.903237,0.443194, 
44,0.201879,0.000000,0.718593,0.178848,0.694791,0.380053,0.362361, 
45,0.303521,0.605016,0.343936,0.739733,0.689294,0.658875,0.556729, 
46,0.286524,0.038707,0.708690,0.590388,0.281577,0.286290,0.365363, 
47,0.231269,0.654237,0.610128,0.554007,0.841474,0.467295,0.559735, 
48,0.326164,0.000000,0.295583,0.393950,0.423900,0.418976,0.309762, 
