ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.191443, 0.247127,0.175894, 0.284217,0.119351, 0.310694,0.121103, 0.220224,0.000001, 0.187838,0.060206, 0.081902,0.664003
2,0.124660, 0.286085,0.080136, 0.285797,0.091483, 0.234526,0.107081, 0.218928,0.169349, 0.196583,0.022406, 0.182966,0.809768
3,0.077415, 0.356723,0.139801, 0.324689,0.136555, 0.257886,0.116122, 0.252543,0.068774, 0.108462,0.000001, 0.161029,0.922663
4,0.207574, 0.207574,0.207574, 0.352048,0.100398, 0.207574,0.110988, 0.234699,0.052126, 0.138113,0.051893, 0.129439,0.538893
5,0.112613, 0.244645,0.020938, 0.408106,0.036324, 0.422716,0.049670, 0.202949,0.084996, 0.233285,0.005130, 0.178629,1.380661
6,0.066249, 0.370623,0.159307, 0.277565,0.159307, 0.164780,0.123949, 0.164780,0.091609, 0.197120,0.055063, 0.169647,0.689031
7,0.140969, 0.349202,0.185135, 0.185700,0.152376, 0.207359,0.092568, 0.216221,0.099862, 0.246741,0.031159, 0.092709,0.595863
8,0.174966, 0.290549,0.215321, 0.282740,0.105381, 0.282245,0.057609, 0.216485,0.074723, 0.138596,0.062258, 0.099127,0.619485
9,0.183803, 0.269247,0.130518, 0.273104,0.069912, 0.314814,0.093830, 0.226525,0.064121, 0.147602,0.024714, 0.201811,0.866204
10,0.135546, 0.356422,0.090199, 0.327576,0.135261, 0.225795,0.122701, 0.208888,0.069629, 0.188437,0.028823, 0.110724,0.835682
11,0.239988, 0.279249,0.203540, 0.291389,0.103342, 0.169028,0.095700, 0.247464,0.071280, 0.130773,0.038437, 0.129809,0.495426
12,0.057518, 0.382633,0.088985, 0.303145,0.110038, 0.282092,0.108056, 0.241292,0.076588, 0.220075,0.041571, 0.088009,1.034490
13,0.092597, 0.314488,0.202971, 0.216674,0.101485, 0.209822,0.202971, 0.216674,0.101485, 0.209822,0.040708, 0.090303,0.515566
14,0.140364, 0.277241,0.208802, 0.208802,0.069063, 0.321254,0.104401, 0.293653,0.059590, 0.181514,0.030914, 0.104401,0.773732
15,0.123383, 0.351879,0.076187, 0.319556,0.098936, 0.237126,0.128526, 0.224041,0.047853, 0.098936,0.083741, 0.209836,0.882748
16,0.192195, 0.220008,0.192195, 0.220008,0.206101, 0.288928,0.137133, 0.206101,0.076995, 0.103051,0.068700, 0.088584,0.253361
17,0.244447, 0.281273,0.178112, 0.290251,0.092562, 0.216980,0.125691, 0.183850,0.084510, 0.120067,0.050827, 0.131430,0.447703
18,0.081013, 0.433049,0.078241, 0.363017,0.099141, 0.275571,0.000001, 0.247647,0.059891, 0.123823,0.040077, 0.198529,1.283271
19,0.145226, 0.389219,0.124881, 0.253029,0.141253, 0.255218,0.100931, 0.148830,0.094168, 0.139272,0.080654, 0.127317,0.625773
20,0.120936, 0.291965,0.206450, 0.377479,0.089048, 0.238672,0.071627, 0.220338,0.000001, 0.222810,0.000001, 0.160673,1.023875
21,0.172216, 0.353437,0.162874, 0.227075,0.116204, 0.255489,0.112305, 0.235100,0.064991, 0.105334,0.042544, 0.152430,0.657732
22,0.198467, 0.247076,0.198467, 0.247076,0.092275, 0.222772,0.096853, 0.300081,0.087081, 0.111386,0.068349, 0.130118,0.517017
23,0.239013, 0.267412,0.127764, 0.266372,0.102791, 0.272893,0.126606, 0.208091,0.043363, 0.128792,0.075978, 0.140924,0.568968
24,0.149390, 0.303298,0.234839, 0.314690,0.137382, 0.192593,0.116401, 0.158363,0.030378, 0.187703,0.037580, 0.137382,0.588060
25,0.156955, 0.235893,0.147522, 0.324264,0.105699, 0.351967,0.048953, 0.228833,0.016741, 0.214566,0.045767, 0.122839,0.956725
26,0.200021, 0.200021,0.076068, 0.323973,0.133867, 0.266174,0.051990, 0.200021,0.100010, 0.281303,0.050005, 0.116549,0.776078
27,0.180492, 0.314625,0.112557, 0.359380,0.035692, 0.327674,0.000001, 0.220548,0.083796, 0.175921,0.038524, 0.150789,1.097874
