No.,tL,tR
true,0.884956,1.149425
0,0.876686,1.163682
1,0.833873,1.248789
2,0.846007,1.222530
3,0.888910,1.142822
4,0.767364,1.435052
5,0.961408,1.041821
6,0.917685,1.098537
7,0.882708,1.153240
8,0.841608,1.231831
9,0.847124,1.220203
10,0.912452,1.106132
11,0.838834,1.237821
12,0.965352,1.037228
13,0.881310,1.155635
14,0.834721,1.246891
15,0.957989,1.045865
16,0.909560,1.110412
17,0.775434,1.407658
18,0.935548,1.073992
19,0.775718,1.406723
20,0.871350,1.173220
21,0.947615,1.058515
22,0.897358,1.129156
23,0.879737,1.158353
24,0.811626,1.302244
25,0.877088,1.162972
26,0.795573,1.345815
27,0.886557,1.146736
28,0.903227,1.119996
29,0.824590,1.270201
30,0.804332,1.321472
31,0.964370,1.038363
32,0.870080,1.175530
33,0.920224,1.094921
34,0.848346,1.217678
35,0.902820,1.120628
36,0.889605,1.141675
37,0.866493,1.182141
38,0.789075,1.364823
39,0.857910,1.198499
40,0.972402,1.029210
41,0.828757,1.260440
42,0.863906,1.186989
43,0.838249,1.239101
44,0.740058,1.541414
45,0.843057,1.228741
46,0.888667,1.143226
47,0.865894,1.183257
48,0.933722,1.076407
49,0.800202,1.332770
50,0.932355,1.078226
51,0.836802,1.242278
52,0.820584,1.279828
53,0.778468,1.397771
54,0.933366,1.076878
55,0.925868,1.087036
56,0.882418,1.153734
57,0.872930,1.170368
58,0.816284,1.290432
59,0.946408,1.060027
60,0.908250,1.112372
61,0.880637,1.156794
62,0.872222,1.171639
63,0.821255,1.278197
64,0.947981,1.058059
65,0.880333,1.157318
66,0.834491,1.247404
67,0.951936,1.053176
68,0.878195,1.161034
69,0.800525,1.331875
70,0.885609,1.148324
71,0.809898,1.306716
72,0.734131,1.567779
73,0.839313,1.236783
74,0.947970,1.058073
75,0.820455,1.280139
76,0.911561,1.107445
77,0.951174,1.054111
78,0.880325,1.157332
79,0.919730,1.095621
80,0.859379,1.195643
81,0.859552,1.195312
82,0.887804,1.144659
83,0.899776,1.125352
84,0.842066,1.230853
85,0.943511,1.063684
86,0.847530,1.219366
87,0.909572,1.110391
88,0.913176,1.105066
89,0.826678,1.265278
90,0.836775,1.242335
91,0.816805,1.289130
92,0.947503,1.058656
93,0.874137,1.168202
94,0.867526,1.180224
95,0.776221,1.405075
96,0.931243,1.079720
97,0.899773,1.125356
98,0.864933,1.185060
99,0.835616,1.244896
100,0.891685,1.138268
101,0.915596,1.101546
102,0.922761,1.091352
103,0.848707,1.216933
104,0.769376,1.428068
105,0.849269,1.215779
106,0.894499,1.133716
107,0.827941,1.262331
108,0.884464,1.150257
109,0.835750,1.244600
110,0.847959,1.218476
111,0.946735,1.059616
112,0.874354,1.167819
113,0.868987,1.177530
114,0.816069,1.290966
115,0.922142,1.092218
116,0.857908,1.198503
117,0.791637,1.357230
118,0.880683,1.156715
119,0.823924,1.271786
120,0.860534,1.193417
121,0.866514,1.182104
122,0.990129,1.010069
123,0.884755,1.149764
124,0.876256,1.164439
125,0.905190,1.116995
126,0.892590,1.136798
127,0.880887,1.156365
128,0.839112,1.237220
129,0.874905,1.166834
130,0.863792,1.187206
131,0.951941,1.053169
132,0.885975,1.147710
133,0.787885,1.368405
134,0.889045,1.142599
135,0.895843,1.131563
136,0.808992,1.309082
137,0.954038,1.050614
138,0.915167,1.102169
139,0.925638,1.087354
140,0.894610,1.133536
141,0.845019,1.224600
142,0.904762,1.117648
143,0.823680,1.272368
144,0.865431,1.184124
145,0.819667,1.282064
146,0.936020,1.073367
147,0.910733,1.108667
148,0.906237,1.115407
149,0.763101,1.450204
150,0.959212,1.044412
151,0.842308,1.230335
152,0.900721,1.123877
153,0.842668,1.229571
154,0.947197,1.059037
155,0.906750,1.114630
156,0.959879,1.043623
157,0.896199,1.130997
158,0.903006,1.120339
159,0.898093,1.127995
160,0.863687,1.187404
161,0.890786,1.139735
162,0.801361,1.329572
163,0.820134,1.280923
164,0.916893,1.099673
165,0.928284,1.083724
166,0.877977,1.161415
167,0.864706,1.185483
168,0.855261,1.203710
169,0.870205,1.175302
170,0.832316,1.252296
171,0.915055,1.102329
172,0.903396,1.119737
173,0.854603,1.205012
174,0.811877,1.301595
175,0.917810,1.098357
176,0.911417,1.107658
177,0.856435,1.201389
178,0.913540,1.104537
179,0.899714,1.125447
180,0.874937,1.166781
181,0.940065,1.068096
182,0.879966,1.157953
183,0.867052,1.181105
184,0.721602,1.628150
185,0.913317,1.104862
186,0.838002,1.239637
187,0.907784,1.113069
188,0.809070,1.308880
189,0.800746,1.331264
190,0.815565,1.292230
191,0.909978,1.109790
192,0.772644,1.416948
193,0.913072,1.105223
194,0.906714,1.114683
195,0.814880,1.293952
196,0.848053,1.218278
197,0.865913,1.183221
198,0.805285,1.318906
199,0.896865,1.129936
200,0.923358,1.090516
201,0.857272,1.199746
202,0.829255,1.259290
203,0.858295,1.197750
204,0.872655,1.170860
205,0.821038,1.278725
206,0.918277,1.097691
207,0.846783,1.220912
208,0.760239,1.460656
209,0.846541,1.221411
210,0.870984,1.173881
211,0.915640,1.101480
212,0.816363,1.290233
213,0.841683,1.231674
214,0.874500,1.167556
215,0.827387,1.263622
216,0.861166,1.192201
217,0.838189,1.239231
218,0.808658,1.309958
219,0.861451,1.191659
220,0.877909,1.161535
221,0.910324,1.109273
222,0.847928,1.218540
223,0.825654,1.267689
224,0.781252,1.388879
225,0.815070,1.293472
226,0.824517,1.270375
227,0.851287,1.211666
228,0.867372,1.180508
229,0.910567,1.108913
230,0.896171,1.131041
231,0.889393,1.142027
232,0.904399,1.118202
233,0.812744,1.299376
234,0.872842,1.170526
235,0.921125,1.093647
236,0.776011,1.405762
237,0.831586,1.253950
238,0.961722,1.041451
239,0.835977,1.244100
240,0.854226,1.205765
241,0.914552,1.103060
242,0.951909,1.053209
243,0.880334,1.157316
244,0.803192,1.324559
245,0.877382,1.162457
246,0.846683,1.221121
247,0.892694,1.136630
248,0.830296,1.256897
249,0.855460,1.203313
250,0.916493,1.100249
251,0.877414,1.162401
252,0.965297,1.037291
253,0.821642,1.277262
254,0.798473,1.337598
255,0.922479,1.091744
256,0.800251,1.332639
257,0.799193,1.335577
258,0.802678,1.325959
259,0.913164,1.105087
260,0.925925,1.086959
261,0.783412,1.382109
262,0.898512,1.127335
263,0.822301,1.275671
264,0.867534,1.180210
265,0.917474,1.098840
266,0.845329,1.223950
267,0.827040,1.264432
268,0.889909,1.141176
269,0.930848,1.080252
270,0.777234,1.401764
271,0.896841,1.129973
272,0.878852,1.159887
273,0.803530,1.323641
274,0.824550,1.270298
275,0.848007,1.218377
276,0.896582,1.130387
277,0.839316,1.236779
278,0.901960,1.121953
279,0.884715,1.149832
280,0.899073,1.126453
281,0.914105,1.103713
282,0.916107,1.100808
283,0.879217,1.159251
284,0.849501,1.215303
285,0.777682,1.400309
286,0.884118,1.150841
287,0.812486,1.300037
288,0.867455,1.180356
289,0.860945,1.192627
290,0.868807,1.177860
291,0.835679,1.244761
292,0.893533,1.135270
293,0.954392,1.050183
294,0.931925,1.078802
295,0.871685,1.172613
296,0.880524,1.156988
297,0.771606,1.420455
298,0.966717,1.035657
299,0.842905,1.229064
300,0.787726,1.368882
301,0.866018,1.183025
302,0.830864,1.255595
303,0.737972,1.550544
304,0.979811,1.021037
305,0.897839,1.128396
306,0.883732,1.151495
307,0.871726,1.172541
308,0.875671,1.165474
309,0.774382,1.411140
310,0.876237,1.164475
311,0.916353,1.100454
312,0.924172,1.089386
313,0.875510,1.165759
314,0.932087,1.078586
315,0.844333,1.226040
316,0.846136,1.222259
317,0.886146,1.147423
318,0.864928,1.185066
319,0.846782,1.220912
320,0.908911,1.111382
321,0.819843,1.281634
322,0.920742,1.094188
323,0.846463,1.221578
324,0.901382,1.122849
325,0.925317,1.087798
326,0.876786,1.163508
327,0.889626,1.141640
328,0.803370,1.324075
329,0.828875,1.260165
330,0.916870,1.099707
331,0.857654,1.198999
332,0.888098,1.144166
333,0.845690,1.223192
334,0.911732,1.107190
335,0.815856,1.291501
336,0.839438,1.236513
337,0.863403,1.187945
338,0.841870,1.231271
339,0.883019,1.152707
340,0.857717,1.198880
341,0.819014,1.283664
342,0.874264,1.167977
343,0.907869,1.112944
344,0.947248,1.058977
345,0.818837,1.284103
346,0.802754,1.325752
347,0.858854,1.196662
348,0.778965,1.396166
349,0.820072,1.281072
350,0.907453,1.113568
351,0.882012,1.154428
352,0.905988,1.115783
353,0.914760,1.102760
354,0.749495,1.502027
355,0.834108,1.248259
356,0.961219,1.042040
357,0.798022,1.338866
358,0.851874,1.210478
359,0.825424,1.268228
360,0.805965,1.317086
361,0.883151,1.152484
362,0.851713,1.210806
363,0.862225,1.190177
364,0.837577,1.240570
365,0.844339,1.226028
366,0.972500,1.029102
367,0.890757,1.139783
368,0.845059,1.224513
369,0.754785,1.481216
370,0.853670,1.206874
371,0.870267,1.175189
372,0.898959,1.126632
373,0.843776,1.227215
374,0.864998,1.184935
375,0.886665,1.146556
376,0.916860,1.099722
377,0.893935,1.134624
378,0.966938,1.035400
379,0.836029,1.243984
380,0.831460,1.254239
381,0.921923,1.092524
382,0.850726,1.212806
383,0.942702,1.064713
384,0.866572,1.181994
385,0.874247,1.168007
386,0.887895,1.144501
387,0.918971,1.096700
388,0.862290,1.190053
389,0.870152,1.175399
390,0.923908,1.089752
391,0.872804,1.170596
392,0.796382,1.343506
393,0.856840,1.200594
394,0.892927,1.136251
395,0.881484,1.155336
396,0.868582,1.178273
397,0.876450,1.164100
398,0.809569,1.307571
399,0.946025,1.060509
400,0.897892,1.128310
401,0.825389,1.268310
402,0.872856,1.170498
403,0.913147,1.105113
404,0.902958,1.120412
405,0.852601,1.209014
406,0.912684,1.105789
407,0.881987,1.154469
408,0.885248,1.148934
409,0.908248,1.112374
410,0.954260,1.050346
411,0.855190,1.203847
412,0.785244,1.376440
413,0.833493,1.249641
414,0.832130,1.252717
415,0.859972,1.194498
416,0.925359,1.087740
417,0.916905,1.099655
418,0.903149,1.120119
419,0.829425,1.258897
420,0.789492,1.363579
421,0.847564,1.219294
422,0.918197,1.097806
423,0.920184,1.094976
424,0.924854,1.088438
425,0.866870,1.181440
426,0.782571,1.384733
427,0.841605,1.231841
428,0.845974,1.222600
429,0.859683,1.195059
430,0.797638,1.339944
431,0.860623,1.193243
432,0.865455,1.184081
433,0.876722,1.163617
434,0.822476,1.275253
435,0.802036,1.327716
436,0.898432,1.127459
437,0.904973,1.117325
438,0.822316,1.275635
439,0.826134,1.266559
440,0.823045,1.273884
441,0.869195,1.177152
442,0.911486,1.107553
443,0.916680,1.099979
444,0.832872,1.251040
445,0.867586,1.180111
446,0.895975,1.131355
447,0.839710,1.235923
448,0.802398,1.326728
449,0.927445,1.084872
450,0.953848,1.050844
451,0.854224,1.205769
452,0.884318,1.150503
453,0.860458,1.193564
454,0.765720,1.440841
455,0.855960,1.202329
