é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.350949,0.483962,0.556287,0.861269,0.813562,0.878281,0.657385, 
2,0.473494,0.498879,0.626992,0.811222,0.389512,0.806317,0.601070, 
3,0.378454,0.428129,0.545654,0.641705,0.705636,0.921400,0.603496, 
4,0.318801,0.506146,0.614067,0.681247,0.767482,0.902896,0.631773, 
5,0.283664,0.488178,0.575499,0.613705,0.720602,0.773789,0.575906, 
6,0.396247,0.441284,0.539903,0.714738,0.846063,0.901974,0.640035, 
7,0.406016,0.568236,0.572956,0.704830,0.684405,0.914899,0.641890, 
8,0.336206,0.454635,0.661270,0.786639,0.903554,0.830633,0.662156, 
9,0.381788,0.508187,0.613395,0.821206,0.799949,0.868656,0.665530, 
10,0.405547,0.619911,0.642856,0.719162,0.787481,0.930490,0.684241, 
11,0.396357,0.648450,0.673482,0.898837,0.923460,0.900233,0.740137, 
12,0.404764,0.551354,0.616057,0.715010,0.800757,0.824294,0.652040, 
13,0.415832,0.658620,0.477992,0.490775,0.972210,0.951722,0.661192, 
14,0.351768,0.485000,0.780685,0.833279,0.766081,0.923261,0.690012, 
15,0.454875,0.637199,0.641067,0.438498,0.834248,0.932143,0.656338, 
16,0.528798,0.700581,0.517838,0.913810,0.817907,0.910168,0.731517, 
17,0.360816,0.707145,0.665731,0.750255,0.898947,0.942369,0.720877, 
18,0.308509,0.386429,0.578576,0.654556,0.646768,0.849588,0.570738, 
19,0.472721,0.457935,0.668029,0.715693,0.801471,0.746530,0.643730, 
20,0.334743,0.425537,0.580371,0.689584,0.823207,0.777462,0.605151, 
21,0.492389,0.466280,0.672971,0.776415,0.739925,0.960199,0.684697, 
22,0.361745,0.497615,0.554818,0.822163,0.766217,0.931803,0.655727, 
23,0.286335,0.441958,0.606848,0.693077,0.778551,0.917853,0.620770, 
24,0.206064,0.453282,0.634976,0.645465,0.858476,0.953835,0.625350, 
25,0.363827,0.557510,0.627650,0.557878,0.846862,0.948292,0.650336, 
26,0.377877,0.687787,0.665941,0.807278,0.989856,0.979784,0.751420, 
27,0.300058,0.484763,0.588276,0.672681,0.756264,0.879081,0.613520, 
28,0.402490,0.548539,0.534934,0.494024,0.703327,0.857864,0.590196, 
29,0.290698,0.533007,0.841699,0.572124,0.888327,0.934529,0.676731, 
30,0.325100,0.504007,0.507805,0.563195,0.734673,0.816267,0.575174, 
31,0.301252,0.568015,0.612516,0.703075,0.772059,0.839804,0.632787, 
32,0.204001,0.576812,0.569498,0.836537,0.819914,0.897672,0.650739, 
33,0.313321,0.475926,0.474146,0.640992,0.794171,0.874871,0.595571, 
34,0.359413,0.517588,0.528721,0.825226,0.884793,0.885716,0.666910, 
35,0.462185,0.614179,0.689346,0.775771,0.825273,0.829922,0.699446, 
36,0.406012,0.466252,0.674995,0.467991,0.773486,0.864383,0.608853, 
37,0.409300,0.563394,0.611617,0.693619,0.869591,0.907722,0.675874, 
38,0.280643,0.495370,0.697068,0.801498,0.696526,0.773170,0.624046, 
39,0.328853,0.492087,0.536092,0.694044,0.796461,0.852431,0.616661, 
40,0.355401,0.478961,0.525691,0.633016,0.815744,0.918559,0.621229, 
41,0.334564,0.319354,0.474521,0.890216,0.891496,0.875301,0.630909, 
42,0.391644,0.519845,0.637862,0.782816,0.903094,0.804119,0.673230, 
43,0.357651,0.596244,0.629742,0.660098,0.816394,0.956742,0.669479, 
44,0.354398,0.592306,0.608363,0.617371,0.777840,0.923580,0.645643, 
45,0.308900,0.459002,0.557767,0.634827,0.815189,0.810281,0.597661, 
46,0.399214,0.585301,0.732002,0.702850,0.816251,0.834965,0.678431, 
47,0.365108,0.501855,0.665175,0.860987,0.878345,0.959497,0.705161, 
48,0.162513,0.424671,0.634346,0.776232,0.758221,0.871969,0.604659, 
49,0.426071,0.472557,0.548756,0.774046,0.731797,0.796562,0.624965, 
50,0.385218,0.460412,0.568971,0.706919,0.777251,0.946666,0.640906, 
51,0.344582,0.610340,0.468784,0.938864,0.913654,0.868496,0.690787, 
52,0.296195,0.413662,0.392013,0.727983,0.756568,0.931829,0.586375, 
53,0.303369,0.365876,0.472665,0.629939,0.696318,0.854295,0.553744, 
54,0.321860,0.457773,0.584072,0.654993,0.872617,0.804373,0.615948, 
55,0.550498,0.390425,0.742723,0.605247,0.692722,0.750368,0.621997, 
56,0.373220,0.512053,0.811372,0.800536,0.769330,0.786115,0.675438, 
57,0.404348,0.587502,0.583287,0.760489,0.773810,0.904551,0.668998, 
58,0.424559,0.507912,0.723952,0.682276,0.805054,0.917423,0.676863, 
59,0.364486,0.501071,0.667935,0.832685,0.896887,0.893942,0.692834, 
60,0.356203,0.617005,0.666445,0.702763,0.869899,0.941307,0.692270, 
61,0.449412,0.295652,0.562854,0.751139,0.556597,0.931814,0.591244, 
62,0.303471,0.482555,0.495519,0.677547,0.754786,0.840764,0.592440, 
63,0.309774,0.578814,0.552634,0.692311,0.818379,0.934623,0.647756, 
64,0.316849,0.484012,0.662284,0.717685,0.762564,0.876933,0.636721, 
65,0.468936,0.572397,0.708208,0.775774,0.912638,0.933127,0.728513, 
66,0.378238,0.521646,0.476104,0.792652,0.763250,0.849577,0.630244, 
67,0.404868,0.452701,0.525267,0.698244,0.874970,0.916576,0.645438, 
68,0.413261,0.501349,0.588134,0.682243,0.753132,0.914126,0.642041, 
69,0.398968,0.565465,0.748180,0.779951,0.883973,0.844209,0.703458, 
70,0.348132,0.412359,0.543355,0.677700,0.705285,0.820111,0.584490, 
