No.,tL,tR
true,0.884956,1.149425
0,0.784448,1.378894
1,0.782569,1.384740
2,0.726540,1.603556
3,0.739889,1.542146
4,0.713622,1.670294
5,0.748672,1.505342
6,0.753310,1.486936
7,0.753887,1.484688
8,0.765799,1.440561
9,0.767283,1.435338
10,0.788704,1.365937
11,0.753365,1.486719
12,0.809848,1.306848
13,0.785941,1.374306
14,0.798276,1.338151
15,0.842589,1.229740
16,0.804764,1.320306
17,0.711634,1.681285
18,0.773890,1.412775
19,0.734858,1.564475
20,0.780635,1.390834
21,0.773088,1.415458
22,0.744842,1.521068
23,0.769953,1.426090
24,0.793181,1.352721
25,0.803547,1.323592
26,0.748711,1.505185
27,0.807796,1.312233
28,0.813433,1.297618
29,0.721023,1.631101
30,0.762594,1.452036
31,0.802761,1.325732
32,0.734137,1.567752
33,0.771011,1.422473
34,0.793701,1.351205
35,0.802430,1.326636
36,0.793345,1.352239
37,0.798507,1.337499
38,0.733502,1.570650
39,0.742777,1.529754
40,0.799819,1.333835
41,0.791087,1.358847
42,0.768969,1.429476
43,0.779875,1.393256
44,0.718307,1.645181
45,0.775868,1.406234
46,0.771910,1.419426
47,0.764442,1.445385
48,0.744808,1.521206
49,0.743055,1.528575
50,0.809756,1.307087
51,0.744827,1.521132
52,0.705120,1.718804
53,0.725689,1.607720
54,0.841373,1.232338
55,0.787165,1.370576
56,0.774285,1.411459
57,0.774447,1.410921
58,0.770412,1.424514
59,0.780121,1.392471
60,0.775586,1.407158
61,0.725799,1.607177
62,0.751787,1.492903
63,0.748589,1.505679
64,0.796078,1.344372
65,0.777975,1.399359
66,0.756351,1.475229
67,0.749575,1.501702
68,0.797427,1.340540
69,0.721609,1.628108
70,0.749632,1.501470
71,0.746008,1.516227
72,0.711197,1.683740
73,0.749168,1.503339
74,0.843794,1.227178
75,0.752379,1.490573
76,0.783501,1.381834
77,0.788419,1.366794
78,0.808374,1.310702
79,0.760705,1.458934
80,0.783582,1.381578
81,0.728576,1.593725
82,0.818874,1.284005
83,0.736119,1.558791
84,0.738068,1.550121
85,0.805528,1.318254
86,0.762761,1.451431
87,0.751896,1.492473
88,0.786830,1.371597
89,0.730643,1.583930
90,0.748393,1.506471
91,0.766742,1.437228
92,0.779722,1.393748
93,0.749601,1.501598
94,0.784504,1.378719
95,0.728640,1.593422
96,0.762748,1.451480
97,0.739656,1.543160
98,0.731256,1.581050
99,0.809268,1.308359
100,0.780454,1.391415
101,0.744080,1.524253
102,0.790376,1.360952
103,0.784668,1.378217
104,0.742983,1.528874
105,0.747955,1.508248
