No.,tL,tR
true,0.884956,1.149425
0,0.999998,1.000000
1,0.954546,1.050001
2,1.000000,1.000000
3,0.931035,1.080001
4,0.906248,1.115383
5,0.950001,1.055556
6,0.999998,1.000000
7,0.991378,1.008770
8,0.999999,1.000000
9,0.990475,1.009707
10,1.000000,1.000000
11,0.925001,1.088236
12,0.986208,1.014185
13,0.991378,1.008770
14,0.991378,1.008770
15,1.000000,1.000001
16,1.000000,1.000000
17,0.960994,1.042308
18,0.977272,1.023810
19,0.980392,1.020408
20,1.000000,1.000001
21,0.972223,1.029412
22,0.970238,1.031646
23,0.988096,1.012195
24,1.000000,1.000001
25,0.975001,1.026317
26,0.999999,1.000000
27,1.000000,1.000000
28,0.961538,1.041667
29,0.944442,1.062499
30,1.000000,1.000000
31,0.999998,1.000000
32,1.000000,1.000002
33,0.982760,1.017858
34,1.000000,1.000000
35,1.000000,1.000000
36,1.000000,1.000001
37,0.999999,1.000000
38,0.961538,1.041667
39,1.000000,1.000000
40,0.993751,1.006331
41,0.999998,1.000000
42,1.000000,1.000001
43,1.000000,1.000000
44,0.956142,1.048079
45,0.989131,1.011112
46,0.975001,1.026317
47,0.968750,1.033333
48,0.999998,1.000000
49,0.980771,1.020002
50,1.000000,1.000001
51,0.970589,1.031251
52,0.906248,1.115383
53,0.990195,1.009999
54,0.986111,1.014285
55,1.000000,1.000000
56,0.954546,1.050001
57,0.999998,1.000000
58,0.975001,1.026317
59,0.993751,1.006331
60,0.999998,1.000000
61,0.926923,1.085584
62,0.993057,1.007043
63,0.938890,1.069622
64,1.000000,1.000001
65,1.000000,1.000000
66,0.960318,1.043103
67,0.992856,1.007246
68,1.000000,1.000000
69,0.966667,1.035713
70,0.925001,1.088236
71,0.990195,1.009999
72,0.980769,1.020001
73,0.987499,1.012821
74,1.000000,1.000000
75,0.958334,1.045454
76,1.000000,1.000000
77,0.955127,1.049295
78,1.000000,1.000001
79,0.999998,1.000000
80,0.984376,1.016130
81,0.999999,1.000000
82,1.000000,1.000000
83,0.970832,1.030971
84,1.000000,1.000000
85,1.000000,1.000000
86,0.982760,1.017858
87,0.981251,1.019481
88,1.000000,1.000000
89,0.928572,1.083334
90,0.921874,1.092592
91,0.976191,1.025000
92,1.000000,1.000001
93,0.980771,1.020002
94,1.000000,1.000000
95,0.997368,1.002645
96,0.994738,1.005320
97,0.936170,1.073171
98,0.978261,1.022728
99,1.000000,1.000001
100,0.954546,1.050001
101,0.960527,1.042859
102,1.000000,1.000000
103,1.000000,1.000000
104,0.963236,1.039683
105,0.980769,1.020001
106,0.964287,1.038463
107,0.994119,1.005954
108,0.991230,1.008930
109,0.962963,1.040000
110,1.000000,1.000000
111,1.000000,1.000000
112,0.933332,1.076921
113,0.999998,1.000000
114,1.000000,1.000000
115,0.975001,1.026317
116,0.928572,1.083333
117,0.964742,1.037929
118,0.947918,1.058141
119,0.953126,1.051725
120,0.976191,1.025000
121,0.993672,1.006411
122,0.999998,1.000000
123,0.969998,1.031913
124,0.982455,1.018181
125,1.000000,1.000000
126,1.000000,1.000000
127,0.939657,1.068628
128,0.939657,1.068628
129,1.000000,1.000001
130,0.983333,1.017240
131,0.993751,1.006331
132,1.000000,1.000000
133,0.983872,1.016667
134,1.000000,1.000000
135,0.961538,1.041667
136,0.983872,1.016667
137,0.966666,1.035712
138,0.986208,1.014185
139,1.000000,1.000000
140,1.000000,1.000000
141,0.991378,1.008770
142,1.000000,1.000000
143,0.953703,1.051020
144,0.932293,1.078315
145,0.989582,1.010637
146,1.000000,1.000002
147,0.981248,1.019480
148,1.000000,1.000000
149,0.967742,1.034482
150,1.000000,1.000001
151,0.982455,1.018181
152,0.999999,1.000000
153,0.984848,1.015624
154,1.000000,1.000001
155,1.000000,1.000001
156,0.999999,1.000000
157,0.999998,1.000000
158,1.000000,1.000001
159,0.976191,1.025000
160,1.000000,1.000001
161,0.942858,1.064517
162,0.954761,1.049738
163,1.000000,1.000001
164,0.999999,1.000000
165,1.000000,1.000000
166,1.000000,1.000000
167,0.984376,1.016130
168,0.958332,1.045453
169,1.000000,1.000001
170,0.976191,1.025000
171,1.000000,1.000000
172,0.990741,1.009433
173,0.935184,1.074467
174,0.916666,1.099999
175,1.000000,1.000000
176,1.000000,1.000000
177,0.982455,1.018181
178,1.000000,1.000000
179,0.999998,1.000000
180,1.000000,1.000001
181,1.000000,1.000001
182,0.920454,1.094594
183,0.991378,1.008770
184,0.928572,1.083334
185,1.000000,1.000000
186,0.988096,1.012195
187,0.942104,1.065474
188,0.944445,1.062501
189,0.999999,1.000000
190,0.929349,1.082278
191,0.983333,1.017240
192,0.988096,1.012195
193,1.000000,1.000000
194,1.000000,1.000000
195,0.916668,1.100001
196,0.904256,1.118422
197,0.975001,1.026317
198,0.966666,1.035713
199,0.986208,1.014185
200,1.000000,1.000001
201,1.000000,1.000000
202,1.000000,1.000000
203,1.000000,1.000000
204,1.000000,1.000001
205,0.972225,1.029412
206,1.000000,1.000001
207,0.966666,1.035713
208,0.916668,1.100001
209,1.000000,1.000000
