No.,tL,tR
true,0.884956,1.149425
0,0.823564,1.272645
1,0.815009,1.293628
2,0.813607,1.297176
3,0.844421,1.225857
4,0.850317,1.213640
5,0.849387,1.215539
6,0.815944,1.291280
7,0.835225,1.245769
8,0.888546,1.143424
9,0.812960,1.298825
10,0.831115,1.255024
11,0.853888,1.206438
12,0.855335,1.203561
13,0.932373,1.078205
14,0.884690,1.149874
15,0.809197,1.308545
16,0.871892,1.172238
17,0.828663,1.260657
18,0.874094,1.168281
19,0.887272,1.145540
20,0.814598,1.294664
21,0.852549,1.209121
22,0.854056,1.206104
23,0.834628,1.247097
24,0.853102,1.208011
25,0.874251,1.168001
26,0.895709,1.131777
27,0.861050,1.192425
28,0.852924,1.208369
29,0.907864,1.112949
30,0.797240,1.341071
31,0.875619,1.165567
32,0.855362,1.203508
33,0.854484,1.205250
34,0.864815,1.185279
35,0.833872,1.248790
36,0.796775,1.342389
37,0.828260,1.261591
38,0.882979,1.152777
39,0.841101,1.232922
40,0.874316,1.167884
41,0.834353,1.247713
42,0.773708,1.413381
43,0.843702,1.227375
44,0.890950,1.139468
45,0.885358,1.148748
46,0.885940,1.147770
47,0.872490,1.171159
48,0.886613,1.146641
49,0.832532,1.251806
50,0.793243,1.352535
51,0.801429,1.329383
52,0.900247,1.124615
53,0.863886,1.187028
54,0.848041,1.218306
55,0.865644,1.183726
56,0.831898,1.253243
57,0.908312,1.112277
58,0.890548,1.140126
59,0.891824,1.138041
60,0.862876,1.188940
61,0.822355,1.275542
62,0.849486,1.215337
63,0.878970,1.159682
64,0.827956,1.262297
65,0.919677,1.095696
66,0.841029,1.233076
67,0.786569,1.372390
68,0.838064,1.239506
69,0.823043,1.273892
70,0.741419,1.535546
71,0.883540,1.151823
72,0.928465,1.083479
73,0.826110,1.266613
74,0.857549,1.199206
75,0.880697,1.156690
76,0.830598,1.256206
77,0.883493,1.151903
78,0.846661,1.221166
79,0.826307,1.266149
80,0.899630,1.125579
81,0.790279,1.361241
82,0.810735,1.304544
83,0.925610,1.087392
84,0.825323,1.268466
85,0.851080,1.212088
86,0.891977,1.137792
87,0.849147,1.216030
88,0.836492,1.242960
89,0.826615,1.265427
90,0.862093,1.190430
91,0.832387,1.252135
92,0.857925,1.198469
93,0.803202,1.324532
94,0.805898,1.317267
95,0.861083,1.192362
96,0.865463,1.184064
97,0.856576,1.201112
98,0.870779,1.174256
99,0.876667,1.163717
100,0.885034,1.149293
101,0.835554,1.245036
102,0.817605,1.287142
103,0.839514,1.236347
104,0.799955,1.333459
105,0.892152,1.137508
106,0.838460,1.238641
107,0.819164,1.283297
108,0.860972,1.192574
109,0.904201,1.118505
110,0.826040,1.266778
111,0.873841,1.168733
112,0.817331,1.287821
113,0.865332,1.184308
114,0.864730,1.185438
115,0.782931,1.383607
116,0.859319,1.195761
117,0.849017,1.216297
118,0.820410,1.280250
119,0.820967,1.278897
120,0.942021,1.065584
121,0.838458,1.238644
122,0.814428,1.295094
123,0.884139,1.150806
124,0.814432,1.295085
125,0.852091,1.210044
126,0.835551,1.245043
127,0.844768,1.225125
128,0.863378,1.187989
129,0.915028,1.102368
130,0.865984,1.183090
131,0.824984,1.269269
132,0.859124,1.196137
133,0.879155,1.159361
134,0.807663,1.312576
135,0.925255,1.087882
136,0.851083,1.212083
137,0.861163,1.192209
138,0.873582,1.169197
139,0.865238,1.184484
140,0.899370,1.125986
141,0.851019,1.212211
142,0.789177,1.364523
143,0.819293,1.282980
144,0.901648,1.122435
145,0.898967,1.126618
146,0.887092,1.145842
147,0.770758,1.423334
148,0.891895,1.137926
149,0.842607,1.229700
150,0.845490,1.223610
151,0.817899,1.286413
152,0.846402,1.221706
153,0.891907,1.137906
154,0.917838,1.098318
155,0.894217,1.134169
156,0.840141,1.234990
157,0.828229,1.261663
158,0.908652,1.111767
159,0.851527,1.211184
160,0.830860,1.255606
161,0.799913,1.333576
162,0.863156,1.188410
163,0.875375,1.166001
164,0.852395,1.209431
165,0.839674,1.236000
166,0.833951,1.248614
167,0.876790,1.163500
168,0.838738,1.238033
169,0.910958,1.108334
170,0.891546,1.138495
171,0.832115,1.252750
172,0.788634,1.366147
173,0.846148,1.222234
174,0.844100,1.226532
175,0.813143,1.298358
176,0.920118,1.095071
177,0.891269,1.138946
178,0.883016,1.152714
179,0.862345,1.189950
180,0.838580,1.238377
181,0.836651,1.242609
182,0.768694,1.430425
183,0.857675,1.198959
184,0.836011,1.244024
185,0.820335,1.280433
186,0.810786,1.304412
187,0.840161,1.234946
188,0.845522,1.223542
189,0.900711,1.123891
190,0.838422,1.238722
191,0.878322,1.160814
192,0.873336,1.169638
193,0.819043,1.283592
194,0.856671,1.200926
195,0.863538,1.187686
196,0.843491,1.227821
197,0.839271,1.236874
198,0.843682,1.227417
199,0.809211,1.308509
200,0.815917,1.291347
201,0.855793,1.202655
202,0.818026,1.286100
203,0.783789,1.380935
204,0.879880,1.158102
205,0.824688,1.269969
206,0.784152,1.379810
207,0.866555,1.182025
208,0.855732,1.202776
209,0.866606,1.181930
210,0.808243,1.311048
211,0.864670,1.185552
212,0.838949,1.237573
213,0.862436,1.189776
214,0.838172,1.239268
215,0.797922,1.339146
216,0.839852,1.235614
217,0.806471,1.315737
218,0.847086,1.220283
219,0.835321,1.245553
220,0.845492,1.223607
221,0.857228,1.199834
222,0.830858,1.255611
223,0.814498,1.294918
224,0.842604,1.229705
225,0.832271,1.252398
226,0.842749,1.229397
227,0.932668,1.077810
228,0.885418,1.148647
229,0.861998,1.190611
230,0.889118,1.142479
231,0.836209,1.243585
232,0.866166,1.182750
233,0.835833,1.244417
234,0.841627,1.231791
235,0.811957,1.301392
236,0.903818,1.119090
237,0.776833,1.403073
238,0.867689,1.179923
239,0.828931,1.260037
240,0.887745,1.144753
241,0.832925,1.250921
242,0.826108,1.266617
243,0.822356,1.275539
244,0.823874,1.271905
245,0.888150,1.144081
246,0.834705,1.246927
247,0.828158,1.261829
248,0.864618,1.185650
249,0.882587,1.153446
250,0.904878,1.117470
251,0.818342,1.285319
252,0.842743,1.229409
253,0.896502,1.130514
254,0.827239,1.263967
255,0.818454,1.285042
256,0.801560,1.329022
257,0.882363,1.153830
