No.,tL,tR
true,0.884956,1.149425
0,0.850881,1.212493
1,0.841077,1.232972
2,0.823858,1.271944
3,0.831739,1.253605
4,0.881041,1.156098
5,0.880566,1.156916
6,0.850937,1.212379
7,0.874945,1.166765
8,0.901027,1.123399
9,0.850070,1.214143
10,0.884896,1.149525
11,0.881861,1.154688
12,0.873423,1.169482
13,0.931730,1.079066
14,0.883978,1.151080
15,0.847992,1.218407
16,0.880304,1.157368
17,0.838504,1.238544
18,0.890957,1.139456
19,0.894394,1.133884
20,0.853087,1.208041
21,0.864316,1.186218
22,0.897597,1.128778
23,0.879633,1.158530
24,0.843043,1.228772
25,0.896538,1.130457
26,0.902806,1.120647
27,0.841425,1.232225
28,0.877368,1.162483
29,0.905024,1.117248
30,0.848864,1.216612
31,0.852363,1.209495
32,0.884079,1.150908
33,0.887374,1.145371
34,0.884254,1.150611
35,0.875558,1.165676
36,0.846594,1.221304
37,0.845551,1.223482
38,0.911566,1.107436
39,0.883854,1.151289
40,0.862908,1.188880
41,0.868138,1.179092
42,0.832953,1.250856
43,0.865741,1.183544
44,0.873773,1.168855
45,0.865228,1.184503
46,0.886399,1.146999
47,0.844089,1.226555
48,0.901776,1.122237
49,0.850531,1.213204
50,0.841042,1.233047
51,0.844372,1.225959
52,0.918650,1.097158
53,0.885821,1.147968
54,0.876114,1.164691
55,0.876639,1.163766
56,0.874474,1.167604
57,0.879637,1.158524
58,0.890255,1.140606
59,0.834801,1.246711
60,0.853364,1.207485
61,0.863364,1.188016
62,0.894423,1.133838
63,0.872990,1.170260
64,0.852202,1.209819
65,0.893543,1.135254
66,0.880441,1.157133
67,0.847227,1.219989
68,0.855689,1.202862
69,0.849668,1.214964
70,0.827777,1.262714
71,0.880751,1.156598
72,0.942723,1.064687
73,0.877610,1.162060
74,0.884000,1.151041
75,0.886039,1.147603
76,0.893253,1.135723
77,0.871185,1.173519
78,0.893222,1.135772
79,0.857845,1.198626
80,0.911162,1.108033
81,0.844891,1.224867
82,0.851576,1.211085
83,0.903278,1.119920
84,0.852263,1.209696
85,0.860517,1.193448
86,0.885982,1.147699
87,0.829486,1.258758
88,0.851821,1.210589
89,0.842649,1.229609
90,0.880039,1.157828
91,0.850418,1.213434
92,0.888616,1.143309
93,0.836005,1.244037
94,0.847436,1.219558
95,0.840896,1.233361
96,0.834149,1.248168
97,0.876456,1.164088
98,0.881889,1.154641
99,0.859456,1.195495
100,0.895642,1.131885
101,0.858014,1.198298
102,0.859637,1.195145
103,0.862941,1.188817
104,0.836348,1.243278
105,0.872472,1.171192
106,0.844575,1.225531
107,0.857376,1.199543
108,0.879221,1.159245
109,0.922870,1.091198
110,0.842299,1.230357
111,0.890943,1.139479
112,0.875533,1.165720
113,0.870632,1.174523
114,0.872991,1.170257
115,0.821485,1.277642
116,0.844278,1.226157
117,0.868013,1.179324
118,0.847207,1.220032
119,0.859530,1.195352
120,0.927284,1.085092
121,0.872070,1.171917
122,0.866859,1.181461
123,0.917219,1.099206
124,0.871259,1.173383
125,0.846018,1.222506
126,0.828298,1.261504
127,0.883540,1.151823
128,0.876011,1.164873
129,0.890091,1.140877
130,0.898704,1.127032
131,0.853175,1.207863
132,0.851931,1.210367
133,0.871696,1.172592
134,0.840217,1.234824
135,0.918887,1.096820
136,0.876028,1.164845
137,0.905380,1.116705
138,0.884818,1.149657
139,0.873144,1.169983
140,0.903977,1.118847
141,0.883639,1.151655
142,0.861468,1.191624
143,0.857673,1.198963
144,0.868159,1.179055
145,0.884171,1.150752
146,0.897078,1.129598
147,0.845680,1.223213
148,0.882499,1.153596
149,0.839531,1.236310
150,0.894853,1.133147
151,0.836068,1.243897
152,0.868832,1.177814
153,0.912652,1.105838
154,0.884602,1.150023
155,0.894172,1.134242
156,0.869034,1.177444
157,0.855218,1.203794
158,0.967624,1.034618
159,0.838359,1.238861
160,0.857160,1.199967
161,0.833380,1.249896
162,0.877591,1.162092
163,0.876391,1.164203
164,0.909928,1.109863
165,0.863946,1.186916
166,0.864534,1.185806
167,0.875776,1.165290
168,0.865533,1.183933
169,0.892095,1.137600
170,0.893961,1.134581
171,0.843478,1.227849
172,0.822361,1.275529
173,0.866122,1.182832
174,0.894810,1.133216
175,0.859088,1.196208
176,0.917969,1.098131
177,0.871373,1.173178
178,0.885274,1.148889
179,0.905535,1.116470
180,0.839069,1.237313
181,0.881178,1.155862
182,0.810495,1.305167
183,0.893010,1.136117
184,0.857268,1.199755
185,0.838800,1.237899
186,0.856820,1.200633
187,0.848989,1.216354
188,0.867065,1.181078
189,0.895419,1.132240
190,0.882130,1.154228
191,0.893951,1.134597
192,0.880026,1.157849
193,0.816270,1.290463
194,0.851226,1.211792
195,0.893582,1.135192
196,0.878527,1.160455
197,0.868544,1.178345
198,0.884343,1.150461
199,0.847756,1.218895
200,0.859762,1.194905
201,0.883286,1.152255
202,0.860715,1.193068
203,0.854565,1.205089
204,0.889875,1.141231
205,0.869859,1.175934
206,0.826290,1.266189
207,0.886637,1.146601
208,0.870752,1.174305
209,0.875469,1.165835
210,0.845762,1.223040
211,0.891911,1.137899
212,0.883242,1.152330
213,0.850483,1.213302
214,0.859033,1.196314
215,0.870570,1.174636
216,0.868397,1.178615
217,0.851247,1.211751
218,0.887532,1.145108
219,0.865395,1.184191
220,0.863976,1.186858
221,0.852842,1.208533
222,0.855534,1.203167
223,0.844707,1.225254
224,0.861548,1.191470
225,0.843826,1.227112
226,0.848239,1.217898
227,0.908112,1.112577
228,0.892350,1.137187
229,0.887596,1.145002
230,0.873531,1.169288
231,0.852455,1.209310
232,0.899285,1.126120
233,0.884517,1.150166
234,0.878968,1.159687
235,0.860844,1.192820
236,0.920451,1.094600
237,0.823189,1.273541
238,0.884395,1.150373
239,0.853172,1.207870
240,0.908749,1.111622
241,0.904706,1.117732
242,0.857065,1.200152
243,0.853468,1.207278
244,0.875468,1.165836
245,0.885878,1.147874
246,0.900500,1.124219
247,0.862202,1.190222
248,0.861867,1.190862
249,0.891179,1.139094
250,0.890003,1.141021
251,0.859406,1.195593
252,0.848779,1.216787
253,0.908743,1.111631
254,0.859896,1.194645
255,0.859564,1.195287
256,0.832274,1.252391
257,0.877996,1.161382
258,0.867521,1.180234
259,0.833098,1.250529
260,0.891170,1.139108
261,0.816031,1.291061
262,0.864474,1.185921
263,0.931229,1.079738
264,0.891118,1.139193
265,0.859627,1.195165
266,0.909490,1.110516
267,0.891231,1.139008
268,0.866276,1.182545
269,0.861663,1.191251
270,0.882090,1.154296
271,0.836152,1.243711
272,0.858094,1.198141
273,0.871247,1.173406
274,0.877524,1.162210
275,0.859182,1.196027
276,0.909598,1.110354
277,0.851482,1.211274
278,0.870036,1.175610
279,0.907894,1.112905
280,0.880122,1.157684
281,0.899361,1.126000
282,0.840804,1.233559
283,0.846824,1.220826
284,0.883407,1.152049
285,0.820273,1.280584
286,0.877282,1.162634
287,0.837530,1.240675
288,0.890357,1.140439
289,0.882236,1.154046
290,0.881962,1.154515
291,0.895776,1.131671
292,0.869897,1.175864
293,0.861463,1.191633
294,0.878097,1.161206
295,0.836112,1.243800
296,0.877769,1.161780
297,0.876111,1.164697
298,0.870167,1.175371
299,0.844119,1.226492
300,0.824897,1.269476
301,0.829086,1.259681
302,0.881312,1.155631
303,0.854010,1.206194
304,0.866770,1.181625
305,0.851868,1.210493
306,0.882500,1.153594
307,0.851201,1.211844
308,0.857248,1.199794
309,0.867360,1.180531
310,0.886857,1.146233
311,0.872395,1.171330
312,0.929094,1.082622
313,0.873792,1.168822
314,0.869283,1.176988
315,0.872127,1.171813
316,0.862307,1.190023
317,0.876711,1.163639
318,0.837668,1.240372
319,0.842357,1.230232
320,0.879372,1.158984
321,0.840247,1.234760
322,0.892056,1.137665
323,0.901475,1.122704
324,0.874152,1.168178
325,0.851967,1.210294
326,0.884666,1.149915
327,0.885470,1.148560
328,0.901245,1.123061
329,0.860399,1.193675
330,0.881849,1.154710
331,0.835209,1.245804
332,0.870979,1.173893
333,0.854841,1.204540
334,0.862372,1.189899
335,0.866404,1.182307
336,0.849643,1.215015
337,0.874814,1.166998
338,0.877821,1.161690
339,0.857414,1.199469
340,0.860322,1.193824
341,0.885146,1.149105
342,0.880266,1.157435
343,0.856815,1.200644
344,0.823152,1.273631
345,0.860982,1.192555
346,0.831974,1.253071
347,0.878711,1.160134
348,0.868675,1.178104
349,0.879667,1.158472
350,0.868264,1.178860
