é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.767131,0.332884,0.337479,0.855025,0.890450,0.367832,0.591800, 
2,0.000000,0.431631,0.428453,0.897727,0.087296,0.636060,0.413528, 
3,0.507026,0.122690,0.727527,0.560457,0.439142,0.958100,0.552491, 
4,0.361533,0.300784,0.799307,0.766226,0.765405,0.827432,0.636781, 
5,0.405181,0.644679,0.627105,0.928127,0.799281,0.705744,0.685019, 
6,0.473981,0.778520,0.607639,0.701163,0.830966,0.860848,0.708853, 
7,0.457254,0.736599,0.520833,0.805752,0.346184,0.564876,0.571916, 
8,0.353333,0.205638,0.651042,0.876779,0.802488,0.595401,0.580780, 
9,0.241444,0.655864,0.381467,0.911656,0.583574,0.847658,0.603610, 
10,0.303829,0.830026,0.655864,0.543210,0.702124,0.604068,0.606520, 
11,0.139509,0.174946,0.183061,0.543976,0.542407,0.500042,0.347323, 
12,0.350939,0.625060,0.711791,0.755610,0.636733,0.626933,0.617844, 
13,0.256988,0.427350,0.524014,0.056181,0.629491,0.407998,0.383670, 
14,0.393096,0.623477,0.357744,0.866755,0.928220,0.543883,0.618863, 
15,0.180992,0.476992,0.582684,0.071430,0.388512,0.693917,0.399088, 
16,0.343106,0.578704,0.000000,0.719530,0.228992,0.218209,0.348090, 
17,0.010607,0.231310,0.751352,0.339506,0.469425,0.582246,0.397408, 
18,0.519985,0.354992,0.579274,0.833938,0.614358,0.731735,0.605714, 
19,0.030100,0.523425,0.802060,0.614037,0.593254,0.543241,0.517686, 
20,0.453497,0.000000,0.800540,0.590037,0.461200,0.872809,0.529681, 
21,0.707973,0.647657,0.591688,0.264815,0.438727,0.781905,0.572127, 
22,0.928916,0.234746,0.657575,0.853036,0.376157,0.589510,0.606657, 
23,0.654626,0.892231,0.897943,0.749435,0.637615,0.790216,0.770344, 
24,0.460605,0.000000,0.517811,0.490149,0.774836,0.702547,0.490991, 
25,0.860769,0.324809,0.132248,0.699602,0.480661,0.550864,0.508159, 
26,0.283472,0.420875,0.362304,0.927055,0.647940,0.490105,0.521959, 
27,0.085253,0.131577,0.381819,0.636056,0.719857,0.716912,0.445246, 
28,0.008736,0.540123,0.310330,0.196880,0.681113,0.634397,0.395263, 
29,0.000000,0.172275,0.297619,0.499464,0.689357,0.621402,0.380020, 
30,0.505060,0.312206,0.760649,0.828659,0.638845,0.944981,0.665067, 
31,0.636254,0.274308,0.709560,0.302048,0.381944,0.788011,0.515354, 
32,0.024013,0.498079,0.211597,0.893827,0.267421,0.747601,0.440423, 
33,0.580144,0.522145,0.089942,0.614563,0.820455,0.723156,0.558401, 
34,0.447815,0.617284,0.246486,0.821928,0.930871,0.677674,0.623676, 
35,0.000000,0.626900,0.619515,0.517227,0.627280,0.430285,0.470201, 
36,0.022222,0.300412,0.405093,0.179283,0.868828,0.701058,0.412816, 
37,0.243719,0.120712,0.930622,0.436945,0.665236,0.575449,0.495447, 
38,0.327642,0.000000,0.473283,0.497983,0.428241,0.661683,0.398139, 
39,0.040156,0.622623,0.808254,0.855484,0.794877,0.443511,0.594151, 
40,0.684067,0.718591,0.468886,0.776515,0.893569,0.560416,0.683674, 
41,0.441074,0.618199,0.000000,0.377778,0.534527,0.661624,0.438867, 
42,0.052737,0.601852,0.451389,0.797468,0.262286,0.823116,0.498141, 
43,0.127343,0.300618,0.287344,0.419753,0.495767,0.743388,0.395702, 
44,0.339659,0.000000,0.486111,0.444444,0.614077,0.429980,0.385712, 
45,0.655062,0.554015,0.670713,0.493827,0.809101,0.874941,0.676277, 
46,0.010736,0.069156,0.902102,0.513854,0.302988,0.604545,0.400564, 
47,0.443691,0.530921,0.424383,0.842099,0.753270,0.498122,0.582081, 
48,0.269888,0.025359,0.250660,0.589777,0.496032,0.573587,0.367550, 
49,0.517945,0.560056,0.483535,0.750903,0.423882,0.635927,0.562041, 
50,0.285780,0.720165,0.773148,0.872378,0.652179,0.849509,0.692193, 
51,0.150054,0.295386,0.047166,0.790499,0.403366,0.533559,0.370005, 
52,0.589806,0.161812,0.502479,0.302612,0.416667,0.679999,0.442229, 
53,0.093943,0.431055,0.498045,0.852310,0.784407,0.597944,0.542951, 
54,0.886154,0.272220,0.695118,0.444444,0.824309,0.761927,0.647362, 
55,0.388754,0.000000,0.007616,0.241879,0.374281,0.542491,0.259170, 
56,0.487822,0.056490,0.335303,0.316092,0.799489,0.352236,0.391239, 
57,0.000000,0.493968,0.410603,0.550258,0.495582,0.589109,0.423253, 
58,0.739459,0.785285,0.416049,0.284411,0.598778,0.589515,0.568916, 
