No.,tL,tR
true,0.884956,1.149425
0,0.927984,1.084135
1,0.915077,1.102298
2,0.896590,1.130374
3,0.892101,1.137590
4,0.862291,1.190050
5,0.901518,1.122636
6,0.898626,1.127153
7,0.907291,1.113811
8,0.930187,1.081142
9,0.904595,1.117902
10,0.926302,1.086437
11,0.887153,1.145738
12,0.934731,1.075067
13,0.927576,1.084692
14,0.929754,1.081729
15,0.962371,1.040692
16,0.923345,1.090536
17,0.885869,1.147888
18,0.910462,1.109072
19,0.883452,1.151973
20,0.925584,1.087429
21,0.906279,1.115342
22,0.884738,1.149790
23,0.896506,1.130508
24,0.951831,1.053307
25,0.928302,1.083701
26,0.911384,1.107707
27,0.944882,1.061945
28,0.925162,1.088010
29,0.866555,1.182028
30,0.928490,1.083445
31,0.944484,1.062452
32,0.899526,1.125741
33,0.905640,1.116308
34,0.919075,1.096553
35,0.946538,1.059861
36,0.916212,1.100657
37,0.930181,1.081150
38,0.892567,1.136835
39,0.886620,1.146630
40,0.921055,1.093748
41,0.944882,1.061947
42,0.948767,1.057081
43,0.920083,1.095121
44,0.867457,1.180353
45,0.932318,1.078278
46,0.929511,1.082057
47,0.902226,1.121541
48,0.905749,1.116147
49,0.897788,1.128476
50,0.932777,1.077664
51,0.893644,1.135092
52,0.872337,1.171436
53,0.904812,1.117572
54,0.954148,1.050479
55,0.971712,1.029983
56,0.903658,1.119336
57,0.911839,1.107037
58,0.918757,1.097002
59,0.916794,1.099820
60,0.919709,1.095651
61,0.880526,1.156986
62,0.902527,1.121074
63,0.883447,1.151981
64,0.978081,1.022925
65,0.922721,1.091405
66,0.901760,1.122263
67,0.901612,1.122494
68,0.953300,1.051514
69,0.897573,1.128816
70,0.872860,1.170491
71,0.906521,1.114976
72,0.894433,1.133822
73,0.902140,1.121674
74,0.972422,1.029186
75,0.918354,1.097580
76,0.941704,1.065990
77,0.916928,1.099625
78,0.963036,1.039916
79,0.900246,1.124617
80,0.920130,1.095055
81,0.905933,1.115863
82,0.953196,1.051638
83,0.880904,1.156333
84,0.931705,1.079097
85,0.946723,1.059630
86,0.910870,1.108463
87,0.881817,1.154762
88,0.972740,1.028832
89,0.862936,1.188825
90,0.870648,1.174493
91,0.909298,1.110800
92,0.911099,1.108127
93,0.897071,1.129612
