é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.371116,0.512777,0.653416,0.783065,0.692129,0.205033,0.536256, 
2,0.497783,0.616959,0.777472,0.874393,0.162595,0.483525,0.568788, 
3,0.330819,0.584359,0.834720,0.678195,0.484581,0.755909,0.611431, 
4,0.000000,0.294851,0.669998,0.743747,0.643816,0.732591,0.514167, 
5,0.000000,0.528495,0.574230,0.660424,0.732918,0.813593,0.551610, 
6,0.404710,0.679842,0.213381,0.549041,0.813766,0.812580,0.578887, 
7,0.419553,0.016254,0.615304,0.943535,0.495623,0.526044,0.502719, 
8,0.619260,0.000000,0.772527,0.891262,0.649454,0.399387,0.555315, 
9,0.857568,0.897550,0.860843,0.897991,0.661778,0.942357,0.853015, 
10,0.623312,0.851767,0.947141,0.680852,0.862763,0.632604,0.766407, 
11,0.000000,0.197314,0.368616,0.777508,0.572730,0.540689,0.409476, 
12,0.549730,0.866332,0.810260,0.756620,0.812368,0.452396,0.707951, 
13,0.351884,0.155392,0.736038,0.000000,0.764833,0.452668,0.410136, 
14,0.415031,0.088880,0.758802,0.621151,0.962499,0.580439,0.571134, 
15,0.490408,0.919637,0.865580,0.499672,0.260094,0.684220,0.619935, 
16,0.072418,0.345814,0.105268,0.728509,0.289674,0.195197,0.289480, 
17,0.000000,0.517939,0.702797,0.611918,0.464908,0.655512,0.492179, 
18,0.325417,0.667412,0.896889,0.740013,0.466387,0.841685,0.656301, 
19,0.328214,0.641854,0.821308,0.314765,0.529757,0.466021,0.516986, 
20,0.597013,0.000000,0.760340,0.916230,0.932516,0.530527,0.622771, 
21,0.474294,0.586101,0.748165,0.750899,0.377082,0.512698,0.574873, 
22,0.700923,0.479506,0.747741,0.589181,0.312280,0.487542,0.552862, 
23,0.394635,0.716348,0.714286,0.817143,0.545873,0.610211,0.633083, 
24,0.478934,0.000000,0.756824,0.092174,0.875409,0.688500,0.481974, 
25,0.115502,0.471068,0.415106,0.896868,0.899981,0.589613,0.564690, 
26,0.000000,0.945141,0.683987,0.801048,0.543690,0.574743,0.591435, 
27,0.795251,0.614931,0.625822,0.677174,0.625160,0.776953,0.685882, 
28,0.395810,0.511322,0.962022,0.318753,0.670007,0.846822,0.617456, 
29,0.000000,0.000000,0.707629,0.924653,0.728534,0.544753,0.484261, 
30,0.292493,0.468437,0.592023,0.463295,0.766225,0.863960,0.574405, 
31,0.332047,0.427900,0.634680,0.781238,0.665064,0.705021,0.590992, 
32,0.492263,0.466123,0.058135,0.938136,0.000000,0.827827,0.463747, 
33,0.437989,0.719594,0.000000,0.292055,0.775036,0.870478,0.515859, 
