é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.227835,0.344789,0.485240,0.643473,0.529203,0.114226,0.390794, 
2,0.331365,0.446088,0.635955,0.776818,0.088491,0.318848,0.432928, 
3,0.198193,0.412787,0.716326,0.513083,0.319767,0.607600,0.461293, 
4,0.000000,0.172918,0.503757,0.592036,0.474726,0.578023,0.386910, 
5,0.000000,0.359153,0.402751,0.493009,0.578430,0.685762,0.419851, 
6,0.253691,0.514970,0.119433,0.378398,0.686008,0.684324,0.439471, 
7,0.265465,0.008193,0.444361,0.893106,0.329454,0.356893,0.382912, 
8,0.448499,0.000000,0.629363,0.803853,0.480883,0.249521,0.435353, 
9,0.750651,0.814141,0.755685,0.814868,0.494521,0.890997,0.753477, 
10,0.452762,0.741807,0.899590,0.516131,0.758649,0.462635,0.638595, 
11,0.000000,0.109455,0.225953,0.636002,0.401276,0.370510,0.290533, 
12,0.379054,0.764185,0.681040,0.608518,0.684023,0.292320,0.568190, 
13,0.213507,0.084241,0.582326,0.000000,0.619215,0.292547,0.298639, 
14,0.261854,0.046507,0.611346,0.450486,0.927709,0.408887,0.451132, 
15,0.324861,0.851229,0.763015,0.333042,0.149487,0.520011,0.490274, 
16,0.037570,0.209054,0.055558,0.572956,0.169368,0.108154,0.192110, 
17,0.000000,0.349472,0.541779,0.440837,0.302854,0.487555,0.353750, 
18,0.194327,0.500839,0.813055,0.587318,0.304110,0.726647,0.521049, 
19,0.196326,0.472595,0.696796,0.186778,0.360319,0.303799,0.369435, 
20,0.425530,0.000000,0.613345,0.845409,0.873564,0.361032,0.519813, 
21,0.310869,0.414529,0.597654,0.601151,0.232348,0.344717,0.416878, 
22,0.539554,0.315362,0.597114,0.417616,0.185031,0.322351,0.396171, 
23,0.245822,0.558055,0.555556,0.690822,0.375395,0.439067,0.477453, 
24,0.314867,0.000000,0.608783,0.048313,0.778424,0.524972,0.379227, 
25,0.061290,0.308103,0.261914,0.813019,0.818150,0.418051,0.446755, 
26,0.000000,0.895989,0.519742,0.668123,0.373334,0.403256,0.476741, 
27,0.660097,0.443972,0.455416,0.511914,0.454714,0.635261,0.526896, 
28,0.246735,0.343474,0.926824,0.189593,0.503767,0.734337,0.490788, 
29,0.000000,0.000000,0.547543,0.859866,0.572988,0.374337,0.392455, 
