No.,tL,tR
true,0.884956,1.149425
0,0.969035,1.033011
1,0.933700,1.076434
2,0.927368,1.084976
3,0.923566,1.090226
4,0.874718,1.167170
5,0.903179,1.120070
6,0.952623,1.052337
7,0.924298,1.089210
8,0.909302,1.110796
9,0.880274,1.157419
10,0.944596,1.062308
11,0.866363,1.182381
12,0.957461,1.046497
13,0.948381,1.057562
14,0.905469,1.116570
15,0.975521,1.025737
16,0.928524,1.083399
17,0.887458,1.145230
18,0.936512,1.072723
19,0.868528,1.178375
20,0.940922,1.066992
21,0.984364,1.016141
22,0.917271,1.099132
23,0.939895,1.068317
24,0.895702,1.131788
25,0.936796,1.072349
26,0.892114,1.137570
27,0.940880,1.067047
28,0.941546,1.066192
29,0.930889,1.080194
30,0.942830,1.064551
31,0.966437,1.035976
32,0.898280,1.127701
33,0.926104,1.086712
34,0.920297,1.094817
35,0.917155,1.099297
36,0.934680,1.075135
37,0.928466,1.083475
38,0.864438,1.185988
39,0.901569,1.122560
40,0.981091,1.019653
41,0.913937,1.103956
42,0.907723,1.113163
43,0.884829,1.149637
44,0.862363,1.189917
45,0.902771,1.120701
46,0.914923,1.102519
47,0.924684,1.088674
48,0.973177,1.028343
49,0.908085,1.112617
50,0.942160,1.065407
51,0.940103,1.068050
52,0.859597,1.195224
53,0.885553,1.148417
54,0.969123,1.032907
55,0.919195,1.096384
56,0.918930,1.096756
57,0.914269,1.103471
58,0.903174,1.120079
59,0.954971,1.049483
60,0.937942,1.070850
61,0.914287,1.103446
62,0.934807,1.074968
63,0.897743,1.128545
64,0.949003,1.056791
65,0.920221,1.094924
66,0.909710,1.110188
67,0.989332,1.010901
68,0.923695,1.090047
69,0.888613,1.143312
70,0.886622,1.146627
71,0.913657,1.104365
72,0.857793,1.198729
73,0.936309,1.072991
74,0.979051,1.021865
75,0.892624,1.136741
76,0.952582,1.052386
77,0.952148,1.052915
78,0.913194,1.105044
79,0.942492,1.064983
80,0.920541,1.094471
81,0.886089,1.147519
82,0.937204,1.071815
83,0.890857,1.139622
84,0.904619,1.117868
85,0.967226,1.035072
86,0.895113,1.132732
87,0.914756,1.102767
88,0.933879,1.076197
89,0.900464,1.124276
90,0.921066,1.093731
91,0.898610,1.127178
92,0.947874,1.058194
93,0.913763,1.104210
94,0.922856,1.091218
95,0.867801,1.179713
96,0.923228,1.090698
97,0.903440,1.119669
98,0.913982,1.103893
99,0.913705,1.104295
100,0.932584,1.077921
101,0.953759,1.050954
102,0.934532,1.075331
103,0.909336,1.110745
104,0.894395,1.133882
105,0.894522,1.133678
106,0.894300,1.134035
107,0.924947,1.088310
108,0.927958,1.084169
109,0.897156,1.129474
110,0.918054,1.098007
111,0.966302,1.036134
112,0.914593,1.103000
113,0.925659,1.087324
114,0.886934,1.146104
115,0.931010,1.080031
116,0.936757,1.072400
117,0.865757,1.183517
118,0.887719,1.144796
119,0.895014,1.132888
120,0.903206,1.120032
121,0.902512,1.121099
122,0.985124,1.015332
123,0.895898,1.131474
124,0.900241,1.124627
125,0.952450,1.052547
