é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.650401,0.697143,0.586342,0.795727,0.776475,0.267926,0.629002, 
2,0.376774,0.445376,0.765582,0.886789,0.363342,0.960687,0.633092, 
3,0.236058,0.454337,0.848466,0.708345,0.584215,0.864308,0.615955, 
4,0.000000,0.331582,0.702289,0.790006,0.714101,0.805139,0.557186, 
5,0.305954,0.272897,0.341759,0.781740,0.780356,0.878501,0.560201, 
6,0.222542,0.603604,0.385620,0.699307,0.820774,0.911873,0.607287, 
7,0.324680,0.047981,0.714990,0.860771,0.717391,0.539842,0.534276, 
8,0.520451,0.416699,0.657393,0.749824,0.796191,0.474421,0.602497, 
9,0.613709,0.577699,0.526584,0.897461,0.738524,0.925748,0.713288, 
10,0.323246,0.395668,0.854855,0.882954,0.983325,0.658683,0.683122, 
11,0.106749,0.302143,0.409043,0.820775,0.659313,0.757675,0.509283, 
12,0.215676,0.422971,0.639411,0.776080,0.853385,0.509755,0.569546, 
13,0.323689,0.316900,0.742162,0.000000,0.769323,0.514712,0.444464, 
14,0.396271,0.436328,0.460127,0.655489,0.942528,0.596960,0.581284, 
15,0.288656,0.380996,0.748939,0.780447,0.327157,0.719153,0.540891, 
16,0.282754,0.635616,0.172718,0.734050,0.362845,0.242560,0.405091, 
17,0.236456,0.588809,0.747207,0.672131,0.513379,0.670608,0.571432, 
18,0.207950,0.335870,0.642109,0.576023,0.565424,0.925617,0.542165, 
19,0.279932,0.601224,0.817756,0.658474,0.593004,0.549565,0.583326, 
20,0.427793,0.260504,0.596249,0.776902,0.659375,0.810232,0.588509, 
21,0.385020,0.873780,0.745120,0.778366,0.418314,0.916729,0.686221, 
22,0.763749,0.659605,0.761938,0.611866,0.431319,0.532681,0.626860, 
23,0.669452,0.645859,0.650059,0.820103,0.636291,0.675361,0.682854, 
24,0.415928,0.000000,0.760215,0.114337,0.860786,0.750074,0.483557, 
25,0.348488,0.483014,0.452635,0.731091,0.657561,0.705815,0.563101, 
26,0.000000,0.393193,0.650004,0.825615,0.587569,0.651375,0.517959, 
27,0.406433,0.417904,0.377940,0.603493,0.904054,0.861670,0.595249, 
28,0.549120,0.814426,0.817660,0.418170,0.750996,0.858745,0.701520, 
29,0.000000,0.000000,0.675176,0.823005,0.873425,0.876457,0.541344, 
30,0.216386,0.365566,0.679543,0.560522,0.786807,0.919675,0.588083, 
31,0.911392,0.364610,0.707412,0.665637,0.777414,0.780701,0.701194, 
32,0.587097,0.491190,0.093427,0.938999,0.000000,0.848476,0.493198, 
33,0.367918,0.699745,0.147907,0.518085,0.739832,0.932783,0.567712, 
34,0.466335,0.528135,0.508888,0.539572,0.942773,0.723184,0.618148, 
35,0.373827,0.550363,0.735266,0.913909,0.731842,0.440765,0.624329, 
36,0.401082,0.695493,0.557664,0.472480,0.936699,0.905915,0.661556, 
37,0.406793,0.683472,0.757402,0.502097,0.813984,0.635369,0.633186, 
38,0.375277,0.141186,0.881443,0.829262,0.701404,0.730760,0.609889, 
39,0.327912,0.454601,0.816223,0.505296,0.845470,0.862403,0.635317, 
40,0.452687,0.740540,0.696807,0.712850,0.907623,0.747466,0.709662, 
41,0.785017,0.577154,0.000000,0.889082,0.509275,0.684093,0.574103, 
42,0.496907,0.787820,0.796036,0.894855,0.628008,0.808722,0.735391, 
43,0.388110,0.646498,0.786430,0.571875,0.619651,0.822992,0.639259, 
44,0.379352,0.279655,0.556418,0.546837,0.861950,0.858390,0.580434, 
45,0.382638,0.497183,0.576426,0.509190,0.654695,0.897824,0.586326, 
46,0.270591,0.470491,0.847253,0.809703,0.598796,0.537048,0.588980, 
47,0.730131,0.826603,0.496087,0.945180,0.882712,0.733607,0.769053, 
48,0.300669,0.470680,0.594403,0.607327,0.943932,0.667545,0.597426, 
49,0.317970,0.630073,0.738025,0.636953,0.393204,0.854443,0.595112, 
50,0.443771,0.455197,0.953823,0.904322,0.841641,0.960992,0.759958, 
51,0.412075,0.564468,0.276862,0.879546,0.649037,0.610540,0.565421, 
52,0.706106,0.770635,0.395274,0.723182,0.836947,0.757148,0.698215, 
53,0.195735,0.593673,0.525849,0.755750,0.822582,0.768572,0.610360, 
54,0.400211,0.380403,0.473409,0.518809,0.651821,0.787690,0.535391, 
55,0.510102,0.000000,0.000000,0.519133,0.588974,0.681605,0.383302, 
56,0.593076,0.309066,0.685687,0.538106,0.746620,0.635478,0.584672, 
57,0.308290,0.540789,0.620852,0.640332,0.382819,0.500685,0.498961, 
58,0.301039,0.498166,0.430035,0.735857,0.699924,0.793395,0.576402, 
59,0.484278,0.599097,0.724143,0.772779,0.774300,0.724631,0.679871, 
60,0.562909,0.628631,0.516387,0.844729,0.619993,0.720391,0.648840, 
61,0.474514,0.574007,0.461011,0.619778,0.332920,0.679646,0.523646, 
62,0.660428,0.405566,0.304950,0.521282,0.903372,0.953573,0.624862, 
63,0.000000,0.352162,0.759702,0.358454,0.735526,0.850657,0.509417, 
64,0.250515,0.579081,0.464835,0.667531,0.416251,0.800864,0.529846, 
65,0.451759,0.467892,0.790779,0.338842,0.569967,0.827972,0.574535, 
66,0.656911,0.653638,0.483214,0.686491,0.748385,0.765323,0.665661, 
67,0.283846,0.789750,0.930968,0.808618,0.553820,0.925529,0.715422, 
68,0.327580,0.000000,0.431492,0.724713,0.729970,0.757289,0.495174, 
69,0.395420,0.376477,0.844695,0.306691,0.933132,0.563384,0.569966, 
70,0.233587,0.732199,0.691914,0.665791,0.957572,0.837724,0.686464, 
71,0.402800,0.330366,0.534208,0.840207,0.874326,0.685978,0.611314, 
72,0.205846,0.542468,0.000000,0.540351,0.672727,0.948524,0.484986, 
73,0.268743,0.387332,0.713620,0.620138,0.717877,0.927950,0.605943, 
74,0.291035,0.522381,0.861966,0.674267,0.357563,0.672984,0.563366, 
75,0.674757,0.724158,0.039041,0.659145,0.882771,0.362148,0.557003, 
76,0.510186,0.589216,0.665152,0.983167,0.746957,0.732234,0.704485, 
77,0.628321,0.129426,0.781286,0.446382,0.566855,0.827582,0.563309, 
78,0.369161,0.771768,0.432819,0.312549,0.791977,0.459780,0.523009, 
79,0.653389,0.610853,0.825639,0.599915,0.738135,0.853513,0.713574, 
80,0.512699,0.382601,0.841758,0.642498,0.678260,0.619307,0.612854, 
81,0.374121,0.405964,0.701267,0.641787,0.973601,0.642797,0.623256, 
82,0.291527,0.477632,0.358736,0.358419,0.665001,0.766090,0.486234, 
83,0.142475,0.573627,0.000000,0.969717,0.922738,0.709196,0.552959, 
84,0.498497,0.314882,0.706871,0.758828,0.910679,0.884276,0.679006, 
85,0.000000,0.493071,0.703943,0.772718,0.870562,0.790374,0.605111, 
86,0.970178,0.314935,0.725542,0.580705,0.392512,0.423011,0.567814, 
87,0.275491,0.529881,0.694688,0.857849,0.904112,0.584700,0.641120, 
88,0.378796,0.392704,0.791250,0.756559,0.798373,0.454915,0.595433, 
89,0.417069,0.000000,0.000000,0.751204,0.751221,0.583669,0.417194, 
90,0.212131,0.548438,0.691386,0.714287,0.519774,0.793480,0.579916, 
91,0.000000,0.310085,0.431225,0.937974,0.799693,0.697005,0.529330, 
92,0.182922,0.500536,0.540172,0.669900,0.857078,0.884918,0.605921, 
93,0.274366,0.476456,0.403627,0.798646,0.665493,0.642799,0.543564, 
94,0.416621,0.469805,0.341879,0.832906,0.814177,0.745466,0.603476, 
95,0.455368,0.688487,0.115637,0.693327,0.812822,0.639553,0.567532, 
96,0.276596,0.650000,0.489907,0.627492,0.908666,0.643250,0.599319, 
97,0.314420,0.732879,0.943542,0.792919,0.872798,0.875235,0.755299, 
98,0.584388,0.545725,0.620041,0.813909,0.731410,0.848460,0.690655, 
99,0.368014,0.327840,0.392288,0.850660,0.740687,0.942683,0.603695, 
100,0.428464,0.785838,0.726567,0.729606,0.757230,0.604653,0.672060, 
101,0.440984,0.653097,0.844709,0.785000,0.840483,0.846910,0.735197, 
102,0.250576,0.000000,0.490623,0.956598,0.652519,0.791937,0.523709, 
103,0.000000,0.000000,0.791337,0.612126,0.785705,0.885017,0.512364, 
104,0.494268,0.728335,0.904159,0.789890,0.875467,0.740394,0.755419, 
105,0.224448,0.342837,0.843993,0.695752,0.790035,0.826573,0.620606, 
106,0.252692,0.657954,0.627070,0.983086,0.930836,0.583722,0.672560, 
107,0.424548,0.896182,0.786105,0.498532,0.921753,0.925671,0.742132, 
108,0.796316,0.369098,0.455185,0.193769,0.792607,0.790854,0.566305, 
109,0.399170,0.672456,0.000000,0.536693,0.789029,0.831027,0.538063, 
110,0.670993,0.537753,0.769766,0.842954,0.780167,0.612339,0.702329, 
111,0.258593,0.508655,0.637279,0.492362,0.746036,0.604356,0.541214, 
112,0.665453,0.000000,0.714701,0.841917,0.312162,0.579464,0.518950, 
113,0.804794,0.856585,0.695122,0.888802,0.628664,0.832239,0.784368, 
114,0.179125,0.672453,0.602542,0.573403,0.676679,0.791120,0.582554, 
115,0.468577,0.563351,0.635120,0.856551,0.906392,0.813517,0.707251, 
116,0.598490,0.758698,0.511626,0.915259,0.832219,0.510840,0.687855, 
117,0.383944,0.590001,0.807512,0.720157,0.707958,0.784736,0.665718, 
118,0.344548,0.446832,0.555306,0.618198,0.808177,0.728781,0.583640, 
119,0.445883,0.690348,0.840810,0.798271,0.890829,0.809160,0.745883, 
120,0.318329,0.449062,0.775145,0.619169,0.834678,0.873301,0.644947, 
121,0.272256,0.554485,0.785635,0.726889,0.816210,0.856039,0.668586, 
122,0.000000,0.668567,0.532957,0.867889,0.643527,0.860335,0.595546, 
123,0.630308,0.000000,0.789074,0.000000,0.918365,0.352182,0.448322, 
124,0.274830,0.680639,0.893435,0.780277,0.838231,0.716264,0.697279, 
125,0.269288,0.083746,0.533549,0.815386,0.983219,0.700111,0.564217, 
126,0.438502,0.773175,0.079641,0.645496,0.602570,0.912095,0.575246, 
127,0.475743,0.000000,0.783001,0.544136,0.570586,0.823223,0.532781, 
128,0.312791,0.565051,0.000000,0.897304,0.662029,0.552862,0.498340, 
129,0.219087,0.475753,0.605730,0.853721,0.916329,0.497903,0.594754, 
130,0.684502,0.625487,0.000000,0.672577,0.867346,0.667278,0.586198, 
131,0.484407,0.718161,0.493842,0.824269,0.779837,0.622374,0.653815, 
132,0.525058,0.528840,0.529796,0.827816,0.890785,0.670444,0.662123, 
133,0.578161,0.641119,0.922957,0.689837,0.475704,0.667154,0.662489, 
134,0.436739,0.420785,0.433955,0.614419,0.967374,0.727759,0.600172, 
135,0.000000,0.430655,0.546941,0.753116,0.743923,0.491071,0.494284, 
136,0.626453,0.560995,0.740178,0.803007,0.639982,0.380077,0.625115, 
137,0.908829,0.493120,0.749853,0.815106,0.747090,0.717403,0.738567, 
138,0.000000,0.477618,0.777727,0.850508,0.612076,0.155803,0.478955, 
139,0.454787,0.363393,0.215193,0.549169,0.949278,0.681288,0.535518, 
140,0.659578,0.508198,0.807617,0.304072,0.464167,0.826882,0.595086, 
141,0.675684,0.144624,0.803937,0.807841,0.813688,0.554633,0.633401, 
142,0.298765,0.640256,0.581041,0.869771,0.907502,0.651452,0.658131, 
143,0.314918,0.599554,0.632234,0.740960,0.474903,0.810270,0.595473, 
144,0.245889,0.408266,0.712512,0.716719,0.872808,0.675541,0.605289, 
145,0.290343,0.677684,0.827927,0.529219,0.459618,0.975014,0.626634, 
146,0.641695,0.418726,0.632579,0.668550,0.728823,0.757176,0.641258, 
147,0.280303,0.860408,0.723073,0.931344,0.462741,0.756848,0.669120, 
148,0.521725,0.187897,0.626820,0.605750,0.257413,0.582962,0.463761, 
149,0.315755,0.941840,0.280809,0.766949,0.723157,0.526856,0.592561, 
150,0.281275,0.421555,0.625386,0.737515,0.760303,0.761540,0.597929, 
151,0.449021,0.582243,0.279493,0.524009,0.635776,0.259038,0.454930, 
152,0.000000,0.539611,0.000000,0.643438,0.899041,0.924337,0.501071, 
153,0.443968,0.452042,0.634293,0.721431,0.588472,0.824439,0.610774, 
154,0.228460,0.516249,0.927148,0.882134,0.835739,0.896851,0.714430, 
155,0.404053,0.708423,0.751848,0.481018,0.650950,0.649293,0.607597, 
156,0.600461,0.228984,0.387307,0.677561,0.715608,0.716725,0.554441, 
157,0.000000,0.601419,0.677740,0.724913,0.602568,0.344928,0.491928, 
158,0.338532,0.698877,0.590102,0.690429,0.722191,0.478254,0.586397, 
