é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.481921,0.535087,0.414769,0.660753,0.634622,0.154685,0.480306, 
2,0.232115,0.286484,0.620197,0.796604,0.222003,0.924348,0.513625, 
3,0.133824,0.293943,0.736814,0.548401,0.412644,0.761041,0.481111, 
4,0.000000,0.198740,0.541175,0.652901,0.555332,0.673835,0.436997, 
5,0.180605,0.158009,0.206097,0.641686,0.639823,0.783327,0.434924, 
6,0.125203,0.432259,0.238865,0.537642,0.696027,0.838022,0.478003, 
7,0.193801,0.024580,0.556408,0.755573,0.559321,0.369715,0.409900, 
8,0.351763,0.263183,0.489640,0.599775,0.661394,0.310978,0.446122, 
9,0.442699,0.406172,0.357390,0.813995,0.585445,0.861761,0.577910, 
10,0.192781,0.246625,0.746504,0.790436,0.967196,0.491072,0.572436, 
11,0.056384,0.177956,0.257105,0.696029,0.491772,0.609884,0.381522, 
12,0.120873,0.268207,0.469951,0.634094,0.744265,0.342061,0.429909, 
13,0.193096,0.188283,0.590030,0.000000,0.625122,0.346541,0.323845, 
14,0.247093,0.279041,0.298808,0.487530,0.891303,0.425476,0.438209, 
15,0.168672,0.235328,0.598643,0.639945,0.195569,0.561467,0.399937, 
16,0.164656,0.465863,0.094522,0.579841,0.221631,0.138019,0.277422, 
17,0.134080,0.417243,0.596433,0.506173,0.345333,0.504448,0.417285, 
18,0.116040,0.201829,0.472872,0.404518,0.394140,0.861533,0.408489, 
19,0.162745,0.429822,0.691698,0.490840,0.421468,0.378897,0.429245, 
20,0.272097,0.149758,0.424754,0.635192,0.491841,0.681000,0.442440, 
21,0.238405,0.775853,0.593777,0.637151,0.264474,0.846260,0.559320, 
22,0.617794,0.492098,0.615428,0.440783,0.274956,0.363030,0.467348, 
23,0.503140,0.476951,0.481546,0.695063,0.466588,0.509845,0.522189, 
24,0.262569,0.000000,0.613182,0.060635,0.755596,0.600095,0.382013, 
