ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.211300, 0.227270,0.207413, 0.252698,0.159203, 0.270842,0.129870, 0.211457,0.028636, 0.159203,0.063174, 0.078934,0.400806
2,0.177787, 0.232958,0.117507, 0.248425,0.124213, 0.201796,0.116479, 0.209530,0.178427, 0.187505,0.082240, 0.123133,0.406694
3,0.116043, 0.318095,0.214143, 0.250347,0.159047, 0.235393,0.125173, 0.243493,0.075077, 0.102159,0.039818, 0.121212,0.541396
4,0.207574, 0.207574,0.207574, 0.352048,0.100398, 0.207574,0.126129, 0.219558,0.061123, 0.129116,0.054889, 0.126443,0.484626
5,0.143516, 0.213742,0.137235, 0.291809,0.129761, 0.329279,0.096618, 0.156001,0.109760, 0.208521,0.040243, 0.143516,0.685734
6,0.144710, 0.292162,0.161588, 0.275284,0.160676, 0.163412,0.127142, 0.161588,0.097387, 0.191342,0.062767, 0.161943,0.491462
7,0.169415, 0.320755,0.185370, 0.185465,0.160378, 0.199358,0.099299, 0.209489,0.148004, 0.198599,0.036434, 0.087434,0.402199
8,0.184774, 0.280741,0.243412, 0.254649,0.125663, 0.261964,0.089320, 0.184774,0.083502, 0.129817,0.065146, 0.096239,0.416369
9,0.204224, 0.248826,0.173116, 0.230506,0.156676, 0.228049,0.109464, 0.210891,0.076016, 0.135706,0.048627, 0.177898,0.463753
10,0.195962, 0.296007,0.175445, 0.242330,0.148003, 0.213052,0.140724, 0.190864,0.080777, 0.177289,0.035699, 0.103848,0.446781
11,0.254321, 0.264916,0.217404, 0.277525,0.117257, 0.155112,0.125760, 0.217404,0.074733, 0.127321,0.050989, 0.117257,0.319071
12,0.167237, 0.272914,0.157974, 0.234156,0.136457, 0.255673,0.117078, 0.232270,0.106303, 0.190360,0.045377, 0.084203,0.539149
13,0.182767, 0.224317,0.205350, 0.214295,0.105958, 0.205350,0.205350, 0.214295,0.105958, 0.205350,0.044863, 0.086148,0.299508
