No.,tL,tR
true,0.884956,1.149425
0,0.934722,1.075080
1,0.932463,1.078085
2,0.935763,1.073707
3,0.910880,1.108450
4,0.874623,1.167337
5,0.910515,1.108989
6,0.952599,1.052366
7,0.932938,1.077449
8,0.906943,1.114338
9,0.890198,1.140700
10,0.936425,1.072837
11,0.869293,1.176966
12,0.952052,1.053033
13,0.944493,1.062440
14,0.898985,1.126592
15,0.972897,1.028656
16,0.926569,1.086072
17,0.880282,1.157407
18,0.933992,1.076048
19,0.865747,1.183533
20,0.935598,1.073922
21,0.976322,1.024855
22,0.929895,1.081537
23,0.939286,1.069105
24,0.914938,1.102499
25,0.945269,1.061457
26,0.889083,1.142535
27,0.935283,1.074341
28,0.941759,1.065920
29,0.913772,1.104195
30,0.955270,1.049124
31,0.982874,1.017734
32,0.909002,1.111246
33,0.936669,1.072518
34,0.915679,1.101426
35,0.925827,1.087091
36,0.935895,1.073533
37,0.936748,1.072414
38,0.869258,1.177036
39,0.905820,1.116038
40,0.993303,1.006788
41,0.923767,1.089948
42,0.916285,1.100550
43,0.893622,1.135125
44,0.859006,1.196368
45,0.914496,1.103143
46,0.913043,1.105264
47,0.919681,1.095690
48,0.976532,1.024624
49,0.891546,1.138492
50,0.948137,1.057863
51,0.933532,1.076659
52,0.864385,1.186090
53,0.896235,1.130942
54,0.964577,1.038124
55,0.920742,1.094189
56,0.930600,1.080585
57,0.912144,1.106585
58,0.903318,1.119857
59,0.938441,1.070203
60,0.941610,1.066111
61,0.903584,1.119450
62,0.902984,1.120372
63,0.898852,1.126799
64,0.969562,1.032410
65,0.912851,1.105544
66,0.889438,1.141950
67,0.982748,1.017868
68,0.920311,1.094795
69,0.896995,1.129732
70,0.889898,1.141190
71,0.912728,1.105724
72,0.872663,1.170845
73,0.938638,1.069944
74,0.981399,1.019320
75,0.901882,1.122075
76,0.952852,1.052058
77,0.960045,1.043425
78,0.927087,1.085360
79,0.935942,1.073469
80,0.930678,1.080480
81,0.916666,1.100001
82,0.943279,1.063981
83,0.906224,1.115424
84,0.892714,1.136596
85,0.974004,1.027421
86,0.899701,1.125467
87,0.912414,1.106189
88,0.949739,1.055876
89,0.884434,1.150306
90,0.906980,1.114279
91,0.889557,1.141753
92,0.959461,1.044116
93,0.923810,1.089887
94,0.918549,1.097301
95,0.875658,1.165497
96,0.952660,1.052289
97,0.911111,1.108104
98,0.916875,1.099699
99,0.913335,1.104833
100,0.927318,1.085045
101,0.961678,1.041504
102,0.952525,1.052455
103,0.911976,1.106833
104,0.911040,1.108211
105,0.891819,1.138051
106,0.894415,1.133849
107,0.913277,1.104920
108,0.905650,1.116294
109,0.898707,1.127025
110,0.914009,1.103853
111,0.964798,1.037865
112,0.905258,1.116893
113,0.934413,1.075492
114,0.888722,1.143133
115,0.944755,1.062106
116,0.940001,1.068182
117,0.865083,1.184777
118,0.905447,1.116605
119,0.900267,1.124582
120,0.895026,1.132870
121,0.910022,1.109723
122,0.983658,1.016895
123,0.899439,1.125876
124,0.912806,1.105610
125,0.954027,1.050628
126,0.911555,1.107454
127,0.914054,1.103786
128,0.876125,1.164670
129,0.935173,1.074483
130,0.898532,1.127305
131,0.952246,1.052797
132,0.951456,1.053765
133,0.904257,1.118417
134,0.907282,1.113826
135,0.938911,1.069592
136,0.890384,1.140393
137,0.974983,1.026334
138,0.914003,1.103861
139,0.952123,1.052946
140,0.930168,1.081169
141,0.911103,1.108120
142,0.957558,1.046380
143,0.909303,1.110794
144,0.895804,1.131625
145,0.911963,1.106853
146,0.933341,1.076913
147,0.926043,1.086795
148,0.963603,1.039256
149,0.872975,1.170286
150,0.938139,1.070595
151,0.919725,1.095627
152,0.964388,1.038343
153,0.880696,1.156690
154,0.918225,1.097764
155,0.940547,1.067476
156,0.959840,1.043668
157,0.968047,1.034134
158,0.924455,1.088989
159,0.913168,1.105081
160,0.992534,1.007579
161,0.930424,1.080823
162,0.923533,1.090274
163,0.897864,1.128356
164,0.937155,1.071880
165,0.947511,1.058644
166,0.942497,1.064975
167,0.914748,1.102775
168,0.891568,1.138459
169,0.915513,1.101666
170,0.880866,1.156400
171,0.964466,1.038252
172,0.939547,1.068769
173,0.899353,1.126012
174,0.874588,1.167399
175,0.912635,1.105861
176,0.929369,1.082251
177,0.875163,1.166375
178,0.974857,1.026474
179,0.947795,1.058292
180,0.935963,1.073443
181,0.971947,1.029723
182,0.912163,1.106555
183,0.932255,1.078361
184,0.820689,1.279571
185,0.979210,1.021692
186,0.913658,1.104363
187,0.902087,1.121757
188,0.897905,1.128289
189,0.869416,1.176743
190,0.889101,1.142506
191,0.930118,1.081234
192,0.883064,1.152634
193,0.937885,1.070926
194,0.911774,1.107130
195,0.883797,1.151387
196,0.909402,1.110647
197,0.934640,1.075188
198,0.906649,1.114780
199,0.942828,1.064557
200,0.959676,1.043860
201,0.931476,1.079408
202,0.911003,1.108269
203,0.924980,1.088266
204,0.916441,1.100325
205,0.875598,1.165606
206,0.939200,1.069216
207,0.896241,1.130927
208,0.857077,1.200130
209,0.941161,1.066686
210,0.912717,1.105743
211,0.950367,1.055104
212,0.881775,1.154834
213,0.946526,1.059880
214,0.930329,1.080951
215,0.903596,1.119431
216,0.908040,1.112682
217,0.909758,1.110117
218,0.929899,1.081534
219,0.900478,1.124252
220,0.940605,1.067401
221,0.957082,1.046948
222,0.954813,1.049676
223,0.886772,1.146372
224,0.904301,1.118349
225,0.883976,1.151080
226,0.899191,1.126269
227,0.914170,1.103618
228,0.902312,1.121408
229,0.966800,1.035561
230,0.944880,1.061949
231,0.936864,1.072260
232,0.918998,1.096662
233,0.898401,1.127509
234,0.933411,1.076823
235,0.941819,1.065844
236,0.903015,1.120324
237,0.893370,1.135538
238,0.970385,1.031479
239,0.852457,1.209305
240,0.990140,1.010059
241,0.938964,1.069523
242,0.944624,1.062273
243,0.953522,1.051241
244,0.901882,1.122073
245,0.900290,1.124547
246,0.916773,1.099846
247,0.931174,1.079812
248,0.957720,1.046186
249,0.903644,1.119360
250,0.907774,1.113086
251,0.927676,1.084554
252,0.971176,1.030586
253,0.894518,1.133683
254,0.920542,1.094470
255,0.959469,1.044105
256,0.888784,1.143033
257,0.880874,1.156382
258,0.890487,1.140227
259,0.926585,1.086049
260,0.939865,1.068357
261,0.867792,1.179732
262,0.930202,1.081121
263,0.871647,1.172682
264,0.913024,1.105291
265,0.965436,1.037130
266,0.923353,1.090527
267,0.900319,1.124503
268,0.951215,1.054060
269,0.955322,1.049059
270,0.910834,1.108520
271,0.903769,1.119168
272,0.950130,1.055397
273,0.865981,1.183093
274,0.898001,1.128138
275,0.929043,1.082693
276,0.926871,1.085656
277,0.906065,1.115664
278,0.939714,1.068553
279,0.900885,1.123619
280,0.937342,1.071634
281,0.969668,1.032292
282,0.959648,1.043895
283,0.943850,1.063254
284,0.889449,1.141933
285,0.875166,1.166374
286,0.940768,1.067190
287,0.884258,1.150606
288,0.937711,1.071154
289,0.876799,1.163483
290,0.944686,1.062195
291,0.907749,1.113123
292,0.914348,1.103358
293,0.967184,1.035121
294,0.983353,1.017221
295,0.903712,1.119252
296,0.905900,1.115913
297,0.869280,1.176994
298,0.957002,1.047045
299,0.901457,1.122733
300,0.915809,1.101238
301,0.918495,1.097378
302,0.866062,1.182943
303,0.850425,1.213423
304,0.953988,1.050675
305,0.906464,1.115061
306,0.936804,1.072341
307,0.924008,1.089613
308,0.926409,1.086289
309,0.868678,1.178098
310,0.912176,1.106539
311,0.910172,1.109501
312,0.965803,1.036710
313,0.917018,1.099497
314,0.954515,1.050037
315,0.893818,1.134808
316,0.902739,1.120750
317,0.919594,1.095814
318,0.905850,1.115989
319,0.930719,1.080425
320,0.891034,1.139331
321,0.900641,1.123998
322,0.955684,1.048624
323,0.893899,1.134682
324,0.944261,1.062731
325,0.929960,1.081449
326,0.924068,1.089529
327,0.899346,1.126023
328,0.927947,1.084185
329,0.923904,1.089757
330,0.977717,1.023323
331,0.895361,1.132335
332,0.905799,1.116069
333,0.885393,1.148689
334,0.949506,1.056164
335,0.903641,1.119361
336,0.918943,1.096741
337,0.905963,1.115822
338,0.894012,1.134498
339,0.924833,1.088463
340,0.910504,1.109008
341,0.882066,1.154337
342,0.904894,1.117447
343,0.943418,1.063803
344,0.934762,1.075028
345,0.901495,1.122671
346,0.843864,1.227030
347,0.963332,1.039571
348,0.880272,1.157423
349,0.902832,1.120606
350,0.934775,1.075008
351,0.925512,1.087531
352,0.929882,1.081553
353,0.919196,1.096377
354,0.830302,1.256883
355,0.911929,1.106899
356,0.965179,1.037427
357,0.889371,1.142061
358,0.930768,1.080358
359,0.934926,1.074811
360,0.911121,1.108093
361,0.959844,1.043663
362,0.976863,1.024260
363,0.870615,1.174554
364,0.882091,1.154296
365,0.906024,1.115726
366,0.968056,1.034124
367,0.927644,1.084598
368,0.912335,1.106305
369,0.859156,1.196076
370,0.914478,1.103167
371,0.929836,1.081619
372,0.924215,1.089323
373,0.903902,1.118962
374,0.896563,1.130417
375,0.955564,1.048770
376,0.933016,1.077348
377,0.925376,1.087714
378,0.992974,1.007125
379,0.891662,1.138304
380,0.897077,1.129601
381,0.936739,1.072425
382,0.900829,1.123707
383,0.959726,1.043802
384,0.945573,1.061077
385,0.919715,1.095642
386,0.910566,1.108915
387,0.932930,1.077461
388,0.934056,1.075963
389,0.932323,1.078272
390,0.920373,1.094709
391,0.903255,1.119955
392,0.866264,1.182568
393,0.938415,1.070236
394,0.950565,1.054860
395,0.945059,1.061723
396,0.932788,1.077650
397,0.931232,1.079736
398,0.866312,1.182478
399,0.975544,1.025715
400,0.954106,1.050533
401,0.894074,1.134400
402,0.921504,1.093115
403,0.906183,1.115488
404,0.929346,1.082283
405,0.923237,1.090685
406,0.924277,1.089238
407,0.943372,1.063857
408,0.917988,1.098103
409,0.932363,1.078219
410,0.931123,1.079880
411,0.918061,1.097997
412,0.867521,1.180233
413,0.898272,1.127711
414,0.912684,1.105790
415,0.918006,1.098078
416,0.967329,1.034952
417,0.944679,1.062201
418,0.943922,1.063164
419,0.888804,1.142997
420,0.845054,1.224524
421,0.905932,1.115867
422,0.950372,1.055097
423,0.981457,1.019257
424,0.948363,1.057584
425,0.926000,1.086857
426,0.901754,1.122270
427,0.889726,1.141476
428,0.903758,1.119184
429,0.952807,1.052113
430,0.894331,1.133984
431,0.908026,1.112705
432,0.940563,1.067455
433,0.940476,1.067565
434,0.882768,1.153135
435,0.883581,1.151751
436,0.909906,1.109895
437,0.931462,1.079426
438,0.898701,1.127036
439,0.904744,1.117674
440,0.911559,1.107448
441,0.952671,1.052277
442,0.941052,1.066827
443,0.990716,1.009462
444,0.918498,1.097374
445,0.919129,1.096474
446,0.973520,1.027962
447,0.911830,1.107045
448,0.915306,1.101967
449,0.898488,1.127372
450,0.990034,1.010169
451,0.924349,1.089136
452,0.928572,1.083331
453,0.874995,1.166675
454,0.878859,1.159876
455,0.934548,1.075312
456,0.954437,1.050130
457,0.934621,1.075213
458,0.953362,1.051436
459,0.826327,1.266100
460,0.895615,1.131927
461,0.905599,1.116374
462,0.882459,1.153663
463,0.932774,1.077670
464,0.917247,1.099166
