é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.776034,0.642887,0.589661,0.792453,0.765588,0.268353,0.639163, 
2,0.397171,0.451704,0.717352,0.877229,0.280515,0.931595,0.609261, 
3,0.250542,0.490021,0.794710,0.709561,0.481715,0.804103,0.588442, 
4,0.000000,0.219353,0.722037,0.795778,0.661331,0.712914,0.518569, 
5,0.402774,0.268355,0.343059,0.789641,0.782771,0.884399,0.578500, 
6,0.232305,0.673183,0.128068,0.579864,0.872604,0.900168,0.564365, 
7,0.322278,0.018654,0.814665,0.894242,0.675498,0.523035,0.541395, 
8,0.514194,0.230404,0.622897,0.772570,0.694754,0.416915,0.541956, 
9,0.637733,0.592341,0.492457,0.859493,0.762743,0.883011,0.704630, 
10,0.306659,0.403528,0.938227,0.830341,0.991900,0.637436,0.684682, 
11,0.252642,0.357938,0.398497,0.794394,0.662903,0.776320,0.540449, 
12,0.219109,0.437700,0.634784,0.788421,0.860855,0.498158,0.573171, 
13,0.305471,0.371850,0.741460,0.000000,0.775299,0.523168,0.452875, 
14,0.452290,0.000000,0.481651,0.661007,0.921894,0.603326,0.520028, 
15,0.297956,0.395559,0.733306,0.731134,0.338266,0.723495,0.536619, 
16,0.295163,0.633463,0.170717,0.744128,0.356786,0.248728,0.408164, 
17,0.144561,0.602862,0.753162,0.735448,0.457159,0.730752,0.570657, 
18,0.204063,0.348053,0.623952,0.575299,0.585250,0.937657,0.545712, 
19,0.281697,0.637793,0.811971,0.647731,0.546367,0.499969,0.570922, 
20,0.379095,0.203868,0.696791,0.804145,0.700099,0.802690,0.597781, 
21,0.361629,0.919073,0.729647,0.787227,0.440734,0.879492,0.686300, 
22,0.836846,0.580671,0.760108,0.659570,0.336852,0.612275,0.631054, 
23,0.321254,0.604206,0.639739,0.808815,0.572382,0.633787,0.596697, 
24,0.412565,0.000000,0.777938,0.591176,0.848844,0.812189,0.573785, 
25,0.435407,0.506881,0.490394,0.714592,0.755132,0.710108,0.602086, 
26,0.000000,0.389732,0.753628,0.806351,0.597358,0.644353,0.531904, 
27,0.459418,0.391105,0.430129,0.623933,0.868589,0.878358,0.608589, 
28,0.676491,0.857220,0.749020,0.424204,0.721493,0.873350,0.716963, 
29,0.000000,0.000000,0.753028,0.754761,0.866329,0.795392,0.528252, 
30,0.211070,0.353018,0.793425,0.615158,0.773083,0.938259,0.614002, 
31,0.688076,0.351759,0.666390,0.583938,0.721140,0.696126,0.617905, 
32,0.595820,0.501622,0.188261,0.923484,0.043347,0.866326,0.519810, 
33,0.350401,0.664806,0.005126,0.465168,0.767735,0.815879,0.511519, 
34,0.493334,0.621516,0.368217,0.555129,0.902254,0.621990,0.593740, 
35,0.383975,0.564094,0.701832,0.897220,0.736443,0.455564,0.623188, 
36,0.613842,0.668555,0.479839,0.501204,0.966691,0.898227,0.688059, 
37,0.230800,0.673504,0.801462,0.510565,0.768062,0.616027,0.600070, 
38,0.362336,0.134089,0.975160,0.848842,0.695695,0.713457,0.621596, 
39,0.315258,0.431971,0.790290,0.533254,0.845382,0.807759,0.620652, 
40,0.403484,0.725006,0.764525,0.779804,0.952421,0.769861,0.732517, 
41,0.631012,0.557268,0.000000,0.848177,0.487568,0.554488,0.513085, 
42,0.537460,0.800295,0.847241,0.911269,0.668038,0.766462,0.755127, 
43,0.430329,0.608807,0.800175,0.571846,0.608741,0.809022,0.638154, 
44,0.364572,0.244995,0.518437,0.519465,0.836110,0.783072,0.544442, 
45,0.332417,0.525600,0.570081,0.538394,0.702556,0.867621,0.589445, 
46,0.276645,0.492297,0.803067,0.764762,0.520493,0.486992,0.557376, 
47,0.837657,0.775923,0.576356,0.811056,0.872532,0.696056,0.761597, 
48,0.353633,0.185443,0.567103,0.626888,0.926661,0.692169,0.558650, 
49,0.321240,0.693622,0.771762,0.566746,0.388895,0.847220,0.598247, 
50,0.436390,0.491151,0.991519,0.868392,0.816632,0.943945,0.758005, 
51,0.525957,0.547094,0.000000,0.882006,0.675496,0.605249,0.539300, 
52,0.890216,0.906375,0.422841,0.608776,0.831813,0.780255,0.740046, 
53,0.199315,0.643749,0.553873,0.791875,0.824835,0.775867,0.631586, 
54,0.365604,0.388491,0.486488,0.629709,0.658187,0.811702,0.556697, 
55,0.536589,0.000000,0.000000,0.476360,0.565321,0.662025,0.373382, 
56,0.718121,0.045600,0.702957,0.530899,0.774005,0.575561,0.557857, 
57,0.319574,0.606547,0.623684,0.624160,0.491216,0.498861,0.527340, 
58,0.322733,0.486746,0.444008,0.689997,0.723406,0.797704,0.577432, 
59,0.470088,0.576586,0.712719,0.761516,0.778472,0.705061,0.667407, 
60,0.379980,0.458197,0.503973,0.854108,0.600771,0.744464,0.590249, 
61,0.451055,0.548964,0.435738,0.545116,0.395037,0.661407,0.506219, 
62,0.698791,0.463029,0.390105,0.615991,0.827821,0.959466,0.659201, 
63,0.000000,0.337315,0.715412,0.871978,0.775402,0.848401,0.591418, 
64,0.242911,0.630824,0.465784,0.656763,0.448219,0.758219,0.533787, 
65,0.059012,0.110694,0.751310,0.288069,0.574131,0.750760,0.422329, 
66,0.650193,0.595360,0.248938,0.724091,0.750413,0.716787,0.614297, 
67,0.324797,0.708073,0.924509,0.822737,0.612945,0.962216,0.725879, 
68,0.378312,0.000000,0.436137,0.583275,0.715985,0.752516,0.477704, 
69,0.460831,0.253891,0.838836,0.335496,0.909585,0.565267,0.560651, 
70,0.236793,0.663639,0.698923,0.600833,0.877454,0.714630,0.632045, 
71,0.400103,0.345667,0.680808,0.855022,0.888921,0.722392,0.648819, 
72,0.211350,0.541341,0.000000,0.569221,0.653835,0.913107,0.481476, 
73,0.254304,0.409336,0.725368,0.617893,0.739088,0.831467,0.596243, 
74,0.287925,0.458264,0.915970,0.687665,0.319184,0.693165,0.560362, 
75,0.659979,0.726650,0.037057,0.657463,0.849118,0.375353,0.550937, 
76,0.473703,0.562091,0.658053,0.936629,0.716905,0.706011,0.675565, 
77,0.569364,0.102051,0.735583,0.483397,0.542664,0.867180,0.550040, 
78,0.392914,0.857297,0.332296,0.116332,0.717633,0.444858,0.476888, 
79,0.767242,0.567080,0.856679,0.454986,0.716082,0.787632,0.691617, 
80,0.470831,0.387867,0.859173,0.638947,0.752052,0.657323,0.627699, 
81,0.408465,0.176733,0.696137,0.591373,0.909790,0.640828,0.570554, 
82,0.383836,0.483015,0.378047,0.169049,0.704946,0.753938,0.478805, 
83,0.056517,0.584554,0.000000,0.908019,0.923911,0.715275,0.531379, 
84,0.560336,0.000000,0.708588,0.748567,0.886740,0.673378,0.596268, 
85,0.602841,0.477481,0.833365,0.729302,0.698727,0.868029,0.701624, 
86,0.851936,0.253568,0.668011,0.589273,0.455845,0.414922,0.538926, 
87,0.305501,0.536171,0.684475,0.864389,0.898851,0.519521,0.634818, 
88,0.410663,0.439357,0.850696,0.745023,0.837859,0.428757,0.618726, 
89,0.401753,0.000000,0.000000,0.739464,0.776284,0.518298,0.405967, 
90,0.206437,0.731163,0.663840,0.778930,0.499969,0.707771,0.598018, 
91,0.000000,0.278982,0.426676,0.890528,0.818801,0.713219,0.521368, 
92,0.272075,0.453705,0.445930,0.758245,0.855223,0.819543,0.600787, 
93,0.015623,0.511768,0.294093,0.809202,0.630105,0.683679,0.490745, 
94,0.392886,0.622802,0.289079,0.885939,0.785349,0.692619,0.611446, 
95,0.444950,0.668218,0.125708,0.691690,0.828918,0.638235,0.566286, 
96,0.270204,0.638175,0.473407,0.594748,0.956419,0.641025,0.595663, 
97,0.476483,0.793093,0.517582,0.871442,0.886868,0.740313,0.714297, 
98,0.199185,0.603728,0.644602,0.761082,0.673167,0.782586,0.610725, 
99,0.490458,0.337383,0.469849,0.864637,0.770855,0.925025,0.643035, 
100,0.461839,0.790443,0.753731,0.764654,0.749446,0.599998,0.686685, 
101,0.465164,0.733475,0.852512,0.830887,0.859597,0.834484,0.762686, 
102,0.292400,0.253495,0.427201,0.960998,0.726252,0.717361,0.562951, 
103,0.000000,0.000000,0.707638,0.587385,0.848096,0.851209,0.499055, 
104,0.591336,0.723831,0.838081,0.804868,0.832477,0.700793,0.748564, 
105,0.210389,0.311193,0.860026,0.671223,0.786682,0.764930,0.600740, 
106,0.253417,0.605172,0.601023,0.991456,0.913254,0.568884,0.655534, 
107,0.493915,0.921147,0.796317,0.488603,0.989811,0.930522,0.770053, 
108,0.790558,0.389802,0.452799,0.268628,0.762520,0.823900,0.581368, 
109,0.479579,0.642353,0.000000,0.548003,0.742305,0.756160,0.528067, 
110,0.692777,0.591479,0.718784,0.774899,0.765438,0.650937,0.699052, 
111,0.091294,0.466527,0.556509,0.523397,0.772632,0.678787,0.514858, 
