é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.634032,0.473716,0.418098,0.656251,0.620205,0.154970,0.492879, 
2,0.247793,0.291742,0.559274,0.781306,0.163139,0.871949,0.485868, 
3,0.143211,0.324522,0.659352,0.549860,0.317276,0.672385,0.444434, 
4,0.000000,0.123187,0.564990,0.660823,0.494021,0.553898,0.399486, 
5,0.252171,0.154971,0.207043,0.652402,0.643076,0.792755,0.450403, 
6,0.131417,0.507367,0.068415,0.408316,0.773999,0.818459,0.451329, 
7,0.192092,0.009415,0.687287,0.808715,0.510002,0.354128,0.426940, 
8,0.346071,0.130201,0.452324,0.629421,0.532278,0.263356,0.392275, 
9,0.468141,0.420799,0.326662,0.753606,0.616479,0.790529,0.562703, 
10,0.181097,0.252762,0.883643,0.709900,0.983931,0.467821,0.579859, 
11,0.144585,0.217980,0.248827,0.658917,0.495777,0.634414,0.400083, 
12,0.123033,0.280164,0.464969,0.650738,0.755703,0.331698,0.434384, 
13,0.180269,0.228388,0.589144,0.000000,0.633052,0.354250,0.330850, 
14,0.292232,0.000000,0.317220,0.493660,0.855105,0.431973,0.398365, 
15,0.175058,0.246540,0.578914,0.576211,0.203562,0.566778,0.391177, 
16,0.173132,0.463553,0.093324,0.592519,0.217127,0.142027,0.280281, 
17,0.077912,0.431498,0.604058,0.581588,0.296310,0.575736,0.427850, 
18,0.113625,0.210692,0.453438,0.403803,0.413677,0.882630,0.412978, 
19,0.163939,0.468205,0.683461,0.478996,0.375863,0.333306,0.417295, 
20,0.233878,0.113504,0.534673,0.672444,0.538578,0.670412,0.460581, 
21,0.220725,0.850263,0.574365,0.649114,0.282655,0.784904,0.560338, 
22,0.719463,0.409117,0.613043,0.492059,0.202539,0.441207,0.479571, 
23,0.191365,0.432876,0.470306,0.679001,0.400935,0.463901,0.439731, 
24,0.259894,0.000000,0.636578,0.419623,0.737385,0.683770,0.456208, 
25,0.278288,0.339478,0.324849,0.555926,0.606597,0.550517,0.442609, 
26,0.000000,0.242029,0.604657,0.675534,0.425881,0.475310,0.403902, 
27,0.298211,0.243089,0.273990,0.453417,0.767704,0.783100,0.469918, 
28,0.511134,0.750118,0.598747,0.269200,0.564325,0.775174,0.578116, 
29,0.000000,0.000000,0.603885,0.606118,0.764181,0.660292,0.439079, 
30,0.117987,0.214342,0.657584,0.444208,0.630102,0.883699,0.491320, 
31,0.524478,0.213415,0.499689,0.412368,0.563893,0.533890,0.457956, 
32,0.424319,0.334776,0.103912,0.857845,0.022154,0.764175,0.417864, 
