ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.219285, 0.219285,0.230055, 0.230055,0.215022, 0.215022,0.170663, 0.170663,0.093920, 0.093920,0.071054, 0.071054,0.000000
2,0.205373, 0.205373,0.182966, 0.182966,0.163004, 0.163004,0.163004, 0.163004,0.182966, 0.182966,0.102686, 0.102686,0.000000
3,0.217069, 0.217069,0.232245, 0.232245,0.197220, 0.197220,0.184333, 0.184333,0.088618, 0.088618,0.080515, 0.080515,0.000000
4,0.207574, 0.207574,0.279811, 0.279811,0.153986, 0.153986,0.172843, 0.172843,0.095119, 0.095119,0.090666, 0.090666,0.000000
5,0.178629, 0.178629,0.214522, 0.214522,0.229520, 0.229520,0.126310, 0.126310,0.159140, 0.159140,0.091880, 0.091880,0.000000
6,0.218436, 0.218436,0.218436, 0.218436,0.162044, 0.162044,0.144365, 0.144365,0.144365, 0.144365,0.112355, 0.112355,0.000000
7,0.245085, 0.245085,0.185417, 0.185417,0.179868, 0.179868,0.154394, 0.154394,0.173301, 0.173301,0.061934, 0.061934,0.000000
8,0.232758, 0.232758,0.249030, 0.249030,0.193813, 0.193813,0.137047, 0.137047,0.106660, 0.106660,0.080693, 0.080693,0.000000
9,0.226525, 0.226525,0.201811, 0.201811,0.192363, 0.192363,0.160177, 0.160177,0.105861, 0.105861,0.113263, 0.113263,0.000000
10,0.245984, 0.245984,0.208888, 0.208888,0.180528, 0.180528,0.165794, 0.165794,0.129033, 0.129033,0.069773, 0.069773,0.000000
11,0.259619, 0.259619,0.247464, 0.247464,0.136185, 0.136185,0.171582, 0.171582,0.101027, 0.101027,0.084123, 0.084123,0.000000
12,0.220075, 0.220075,0.196065, 0.196065,0.196065, 0.196065,0.174674, 0.174674,0.148331, 0.148331,0.064790, 0.064790,0.000000
13,0.203542, 0.203542,0.209822, 0.209822,0.155654, 0.155654,0.209822, 0.209822,0.155654, 0.155654,0.065506, 0.065506,0.000000
14,0.208802, 0.208802,0.208802, 0.208802,0.195158, 0.195158,0.199027, 0.199027,0.120552, 0.120552,0.067658, 0.067658,0.000000
15,0.237631, 0.237631,0.197872, 0.197872,0.168031, 0.168031,0.176284, 0.176284,0.073394, 0.073394,0.146788, 0.146788,0.000000
16,0.206101, 0.206101,0.206101, 0.206101,0.247515, 0.247515,0.171617, 0.171617,0.090023, 0.090023,0.078642, 0.078642,0.000000
17,0.262860, 0.262860,0.234182, 0.234182,0.154771, 0.154771,0.154771, 0.154771,0.102288, 0.102288,0.091128, 0.091128,0.000000
18,0.257031, 0.257031,0.220629, 0.220629,0.187356, 0.187356,0.123824, 0.123824,0.091857, 0.091857,0.119303, 0.119303,0.000000
19,0.267223, 0.267223,0.188955, 0.188955,0.198236, 0.198236,0.124881, 0.124881,0.116720, 0.116720,0.103986, 0.103986,0.000000
20,0.206450, 0.206450,0.291965, 0.291965,0.163860, 0.163860,0.145982, 0.145982,0.111405, 0.111405,0.080337, 0.080337,0.000000
21,0.262827, 0.262827,0.194974, 0.194974,0.185847, 0.185847,0.173702, 0.173702,0.085163, 0.085163,0.097487, 0.097487,0.000000
22,0.222772, 0.222772,0.222772, 0.222772,0.157523, 0.157523,0.198467, 0.198467,0.099233, 0.099233,0.099233, 0.099233,0.000000
23,0.253213, 0.253213,0.197068, 0.197068,0.187842, 0.187842,0.167349, 0.167349,0.086077, 0.086077,0.108451, 0.108451,0.000000
24,0.226344, 0.226344,0.274765, 0.274765,0.164987, 0.164987,0.137382, 0.137382,0.109040, 0.109040,0.087481, 0.087481,0.000000
25,0.196424, 0.196424,0.235893, 0.235893,0.228833, 0.228833,0.138893, 0.138893,0.115654, 0.115654,0.084303, 0.084303,0.000000
26,0.200021, 0.200021,0.200021, 0.200021,0.200021, 0.200021,0.126005, 0.126005,0.190656, 0.190656,0.083277, 0.083277,0.000000
27,0.247558, 0.247558,0.235969, 0.235969,0.181683, 0.181683,0.110275, 0.110275,0.129859, 0.129859,0.094657, 0.094657,0.000000
28,0.215909, 0.215909,0.192353, 0.192353,0.179784, 0.179784,0.192353, 0.192353,0.092474, 0.092474,0.127126, 0.127126,0.000000
29,0.329540, 0.329540,0.154003, 0.154003,0.154003, 0.154003,0.137201, 0.137201,0.128236, 0.128236,0.097016, 0.097016,0.000000
30,0.270883, 0.270883,0.179027, 0.179027,0.159495, 0.159495,0.112780, 0.112780,0.159495, 0.159495,0.118319, 0.118319,0.000000
31,0.242504, 0.242504,0.216046, 0.216046,0.216046, 0.216046,0.121252, 0.121252,0.136101, 0.136101,0.068050, 0.068050,0.000000
32,0.209670, 0.209670,0.224328, 0.224328,0.209670, 0.209670,0.155541, 0.155541,0.071275, 0.071275,0.129516, 0.129516,0.000000
33,0.228838, 0.228838,0.187233, 0.187233,0.247484, 0.247484,0.138896, 0.138896,0.096305, 0.096305,0.101244, 0.101244,0.000000
34,0.259872, 0.259872,0.171749, 0.171749,0.216391, 0.216391,0.163709, 0.163709,0.121445, 0.121445,0.066834, 0.066834,0.000000
35,0.281711, 0.281711,0.205346, 0.205346,0.182942, 0.182942,0.152333, 0.152333,0.100677, 0.100677,0.076990, 0.076990,0.000000
36,0.216884, 0.216884,0.180595, 0.180595,0.193221, 0.193221,0.180595, 0.180595,0.133972, 0.133972,0.094733, 0.094733,0.000000
37,0.272837, 0.272837,0.227186, 0.227186,0.196342, 0.196342,0.119172, 0.119172,0.116856, 0.116856,0.067607, 0.067607,0.000000
38,0.193234, 0.193234,0.283629, 0.283629,0.178675, 0.178675,0.136637, 0.136637,0.136637, 0.136637,0.071188, 0.071188,0.000000
39,0.294288, 0.294288,0.185390, 0.185390,0.173275, 0.173275,0.137529, 0.137529,0.128542, 0.128542,0.080976, 0.080976,0.000000
40,0.245917, 0.245917,0.182430, 0.182430,0.162527, 0.162527,0.128998, 0.128998,0.135333, 0.135333,0.144795, 0.144795,0.000000
41,0.242490, 0.242490,0.171466, 0.171466,0.251678, 0.251678,0.152759, 0.152759,0.108017, 0.108017,0.073591, 0.073591,0.000000
42,0.231321, 0.231321,0.198560, 0.198560,0.176897, 0.176897,0.140403, 0.140403,0.176897, 0.176897,0.075922, 0.075922,0.000000
43,0.282724, 0.282724,0.231321, 0.231321,0.163569, 0.163569,0.121341, 0.121341,0.084133, 0.084133,0.116911, 0.116911,0.000000
44,0.185492, 0.185492,0.275210, 0.275210,0.194603, 0.194603,0.154456, 0.154456,0.109217, 0.109217,0.081021, 0.081021,0.000000
45,0.243993, 0.243993,0.203169, 0.203169,0.143662, 0.143662,0.143662, 0.143662,0.153706, 0.153706,0.111808, 0.111808,0.000000
46,0.244146, 0.244146,0.253397, 0.253397,0.193779, 0.193779,0.172637, 0.172637,0.087072, 0.087072,0.048969, 0.048969,0.000000
47,0.224638, 0.224638,0.214121, 0.214121,0.200129, 0.200129,0.141513, 0.141513,0.126074, 0.126074,0.093526, 0.093526,0.000000
48,0.219723, 0.219723,0.235085, 0.235085,0.138417, 0.138417,0.195751, 0.195751,0.138417, 0.138417,0.072608, 0.072608,0.000000
49,0.229582, 0.229582,0.182219, 0.182219,0.162339, 0.162339,0.114791, 0.114791,0.182219, 0.182219,0.128849, 0.128849,0.000000
50,0.215349, 0.215349,0.234486, 0.234486,0.179317, 0.179317,0.142324, 0.142324,0.126797, 0.126797,0.101727, 0.101727,0.000000
51,0.213445, 0.213445,0.228368, 0.228368,0.228368, 0.228368,0.161480, 0.161480,0.106723, 0.106723,0.061616, 0.061616,0.000000
52,0.228530, 0.228530,0.203597, 0.203597,0.181384, 0.181384,0.114265, 0.114265,0.128258, 0.128258,0.143965, 0.143965,0.000000
53,0.180688, 0.180688,0.232166, 0.232166,0.206837, 0.206837,0.143413, 0.143413,0.111614, 0.111614,0.125282, 0.125282,0.000000
54,0.253909, 0.253909,0.261743, 0.261743,0.137299, 0.137299,0.137299, 0.137299,0.122320, 0.122320,0.087429, 0.087429,0.000000
55,0.237856, 0.237856,0.249538, 0.249538,0.242070, 0.242070,0.108996, 0.108996,0.090759, 0.090759,0.070782, 0.070782,0.000000
56,0.228121, 0.228121,0.239325, 0.239325,0.213215, 0.213215,0.156478, 0.156478,0.094976, 0.094976,0.067885, 0.067885,0.000000
57,0.271943, 0.271943,0.235023, 0.235023,0.133328, 0.133328,0.188555, 0.188555,0.103766, 0.103766,0.067385, 0.067385,0.000000
58,0.243224, 0.243224,0.193047, 0.193047,0.143209, 0.143209,0.180432, 0.180432,0.106238, 0.106238,0.133851, 0.133851,0.000000
59,0.246664, 0.246664,0.219752, 0.219752,0.174418, 0.174418,0.138435, 0.138435,0.148114, 0.148114,0.072617, 0.072617,0.000000
60,0.259987, 0.259987,0.231622, 0.231622,0.178336, 0.178336,0.153079, 0.153079,0.090133, 0.090133,0.086842, 0.086842,0.000000
61,0.264238, 0.264238,0.155582, 0.155582,0.166459, 0.166459,0.186844, 0.186844,0.155582, 0.155582,0.071294, 0.071294,0.000000
62,0.242015, 0.242015,0.201522, 0.201522,0.142498, 0.142498,0.186338, 0.186338,0.118655, 0.118655,0.108971, 0.108971,0.000000
63,0.161376, 0.161376,0.217535, 0.217535,0.203321, 0.203321,0.161376, 0.161376,0.161376, 0.161376,0.095017, 0.095017,0.000000
64,0.238799, 0.238799,0.230081, 0.230081,0.170683, 0.170683,0.195383, 0.195383,0.074553, 0.074553,0.090501, 0.090501,0.000000
65,0.257513, 0.257513,0.249806, 0.249806,0.191033, 0.191033,0.120343, 0.120343,0.089275, 0.089275,0.092029, 0.092029,0.000000
66,0.235012, 0.235012,0.174340, 0.174340,0.219655, 0.219655,0.180946, 0.180946,0.115222, 0.115222,0.074825, 0.074825,0.000000
67,0.183028, 0.183028,0.219806, 0.219806,0.183028, 0.183028,0.163060, 0.163060,0.135777, 0.135777,0.115301, 0.115301,0.000000
68,0.226740, 0.226740,0.280702, 0.280702,0.137623, 0.137623,0.154476, 0.154476,0.102093, 0.102093,0.098366, 0.098366,0.000000
69,0.242619, 0.242619,0.264180, 0.264180,0.188824, 0.188824,0.105974, 0.105974,0.130923, 0.130923,0.067481, 0.067481,0.000000
70,0.253530, 0.253530,0.207435, 0.207435,0.201227, 0.201227,0.137094, 0.137094,0.130676, 0.130676,0.070038, 0.070038,0.000000
71,0.203377, 0.203377,0.228283, 0.228283,0.161421, 0.161421,0.161421, 0.161421,0.143809, 0.143809,0.101689, 0.101689,0.000000
72,0.264340, 0.264340,0.247067, 0.247067,0.123533, 0.123533,0.138662, 0.138662,0.123533, 0.123533,0.102864, 0.102864,0.000000
73,0.239321, 0.239321,0.223683, 0.223683,0.189949, 0.189949,0.111841, 0.111841,0.125538, 0.125538,0.109667, 0.109667,0.000000
74,0.222413, 0.222413,0.261912, 0.261912,0.173098, 0.173098,0.109045, 0.109045,0.079321, 0.079321,0.154212, 0.154212,0.000000
75,0.240631, 0.240631,0.204341, 0.204341,0.229366, 0.229366,0.128727, 0.128727,0.135050, 0.135050,0.061885, 0.061885,0.000000
76,0.247925, 0.247925,0.210536, 0.210536,0.156183, 0.156183,0.156183, 0.156183,0.156183, 0.156183,0.072989, 0.072989,0.000000
77,0.222378, 0.222378,0.267062, 0.267062,0.157245, 0.157245,0.111189, 0.111189,0.111189, 0.111189,0.130935, 0.130935,0.000000
78,0.275605, 0.275605,0.191094, 0.191094,0.170245, 0.170245,0.162275, 0.162275,0.141760, 0.141760,0.059021, 0.059021,0.000000
79,0.226899, 0.226899,0.226899, 0.226899,0.173516, 0.173516,0.194765, 0.194765,0.097382, 0.097382,0.080539, 0.080539,0.000000
80,0.249907, 0.249907,0.205867, 0.205867,0.176711, 0.176711,0.157432, 0.157432,0.124954, 0.124954,0.085130, 0.085130,0.000000
81,0.255090, 0.255090,0.238421, 0.238421,0.202465, 0.202465,0.119210, 0.119210,0.119210, 0.119210,0.065604, 0.065604,0.000000
82,0.254621, 0.254621,0.160401, 0.160401,0.171615, 0.171615,0.127310, 0.127310,0.180044, 0.180044,0.106009, 0.106009,0.000000
83,0.277427, 0.277427,0.220194, 0.220194,0.123580, 0.123580,0.148411, 0.148411,0.138713, 0.138713,0.091676, 0.091676,0.000000
84,0.212234, 0.212234,0.249924, 0.249924,0.189079, 0.189079,0.124962, 0.124962,0.131100, 0.131100,0.092702, 0.092702,0.000000
85,0.246108, 0.246108,0.234587, 0.234587,0.195336, 0.195336,0.123054, 0.123054,0.109629, 0.109629,0.091286, 0.091286,0.000000
86,0.235207, 0.235207,0.264011, 0.264011,0.155449, 0.155449,0.138489, 0.138489,0.115317, 0.115317,0.091527, 0.091527,0.000000
87,0.276935, 0.276935,0.192016, 0.192016,0.205440, 0.205440,0.135776, 0.135776,0.118611, 0.118611,0.071222, 0.071222,0.000000
88,0.191059, 0.191059,0.275555, 0.275555,0.191059, 0.191059,0.128774, 0.128774,0.151644, 0.151644,0.061908, 0.061908,0.000000
89,0.222518, 0.222518,0.229384, 0.229384,0.229384, 0.229384,0.151600, 0.151600,0.095502, 0.095502,0.071613, 0.071613,0.000000
90,0.202061, 0.202061,0.180016, 0.180016,0.216188, 0.216188,0.127291, 0.127291,0.180016, 0.180016,0.094429, 0.094429,0.000000
91,0.185069, 0.185069,0.185069, 0.185069,0.198007, 0.198007,0.146889, 0.146889,0.130863, 0.130863,0.154103, 0.154103,0.000000
