é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.212819,0.319228,0.385317,0.756341,0.685718,0.782978,0.523733, 
2,0.310182,0.332338,0.456656,0.682400,0.241860,0.675487,0.449820, 
3,0.233391,0.272369,0.375189,0.472434,0.545161,0.854256,0.458800, 
4,0.189627,0.338819,0.443071,0.516585,0.622694,0.822981,0.488963, 
5,0.165273,0.322907,0.404000,0.442695,0.563236,0.631041,0.421525, 
6,0.247075,0.283107,0.369772,0.556103,0.733197,0.821450,0.501784, 
7,0.254718,0.396878,0.401498,0.544199,0.520225,0.843146,0.493444, 
8,0.202072,0.294193,0.493954,0.648314,0.824075,0.710327,0.528822, 
9,0.235932,0.340650,0.442372,0.696649,0.666596,0.767809,0.525002, 
10,0.254349,0.449182,0.473683,0.561478,0.649459,0.870016,0.543028, 
11,0.247161,0.479782,0.507706,0.816262,0.857804,0.818567,0.621214, 
12,0.253733,0.380600,0.445146,0.556433,0.667719,0.701105,0.500789, 
13,0.262493,0.491002,0.314054,0.325183,0.945923,0.907890,0.541091, 
14,0.213422,0.320132,0.640265,0.714206,0.620852,0.857461,0.561056, 
15,0.294393,0.467566,0.471743,0.280818,0.715631,0.872909,0.517177, 
16,0.359433,0.539149,0.349380,0.841298,0.691915,0.835146,0.602720, 
17,0.220120,0.546964,0.498949,0.600326,0.816443,0.891019,0.595637, 
18,0.182388,0.239487,0.407040,0.486498,0.477944,0.738508,0.421977, 
19,0.309518,0.296962,0.501534,0.557260,0.668713,0.595571,0.488260, 
20,0.201016,0.270275,0.408819,0.526233,0.699535,0.635941,0.456970, 
21,0.326602,0.304019,0.507126,0.634542,0.587207,0.923445,0.547157, 
22,0.220811,0.331217,0.383908,0.698028,0.621031,0.872313,0.521218, 
23,0.167089,0.283662,0.435593,0.530312,0.637400,0.848178,0.483706, 
24,0.114867,0.293061,0.465176,0.476522,0.752043,0.911745,0.502236, 
25,0.222365,0.386491,0.457354,0.386846,0.734397,0.901668,0.514854, 
26,0.232952,0.524143,0.499184,0.676837,0.979915,0.960368,0.645567, 
27,0.176511,0.319926,0.416707,0.506797,0.608058,0.784250,0.468708, 
28,0.251948,0.377922,0.365127,0.328042,0.542409,0.751105,0.436092, 
29,0.170068,0.363333,0.726667,0.400682,0.799090,0.877105,0.556157, 
30,0.194101,0.336904,0.340307,0.391977,0.580619,0.689570,0.422247, 
31,0.177338,0.396663,0.441458,0.542109,0.628743,0.723846,0.485026, 
32,0.113587,0.405296,0.398110,0.719006,0.694792,0.814342,0.524189, 
33,0.185762,0.312272,0.310741,0.471661,0.658610,0.777573,0.452770, 
34,0.219076,0.349152,0.359361,0.702455,0.793390,0.794875,0.536385, 
35,0.300546,0.443188,0.525956,0.633682,0.702524,0.709287,0.552531, 
36,0.254714,0.303995,0.509429,0.305476,0.630637,0.761157,0.460901, 
37,0.257308,0.392170,0.440524,0.530947,0.769271,0.831035,0.536876, 
38,0.163226,0.329231,0.535000,0.668750,0.534361,0.630218,0.476797, 
39,0.196783,0.326337,0.366206,0.531445,0.661766,0.742815,0.470892, 
40,0.216102,0.314891,0.356568,0.463075,0.688824,0.849385,0.481474, 
41,0.200887,0.190019,0.311064,0.802153,0.804234,0.778254,0.514435, 
42,0.243505,0.351210,0.468280,0.643137,0.823311,0.672407,0.533642, 
43,0.217768,0.424749,0.459579,0.492647,0.689751,0.917072,0.533594, 
44,0.215361,0.420763,0.437157,0.446520,0.636447,0.858011,0.502377, 
45,0.182662,0.297860,0.386738,0.465015,0.688032,0.681069,0.450229, 
46,0.249386,0.413729,0.577289,0.541842,0.689547,0.716686,0.531413, 
47,0.223323,0.334984,0.498323,0.755907,0.783080,0.922147,0.586294, 
48,0.088443,0.269576,0.464500,0.634296,0.610593,0.773001,0.473401, 
49,0.270705,0.309378,0.378128,0.631383,0.577034,0.661905,0.471422, 
50,0.238557,0.299049,0.397596,0.546694,0.635659,0.898734,0.502715, 
51,0.208154,0.439201,0.306151,0.884773,0.841034,0.767559,0.574479, 
52,0.173843,0.260765,0.243791,0.572306,0.608452,0.872359,0.455253, 
53,0.178807,0.223897,0.309471,0.459789,0.534116,0.745650,0.408622, 
54,0.191795,0.296826,0.412501,0.486981,0.774020,0.672763,0.472481, 
55,0.379784,0.242564,0.590739,0.433945,0.529897,0.600471,0.462900, 
56,0.229423,0.344134,0.682612,0.667411,0.625132,0.647603,0.532719, 
57,0.253406,0.415932,0.411719,0.613539,0.631069,0.825736,0.525233, 
58,0.269486,0.340404,0.567339,0.517768,0.673716,0.847444,0.536026, 
59,0.222857,0.334286,0.501429,0.713333,0.813051,0.808224,0.565530, 
60,0.216695,0.446137,0.499751,0.541738,0.769753,0.889122,0.560533, 
61,0.289833,0.173469,0.391647,0.601459,0.385614,0.872332,0.452393, 
62,0.178878,0.318005,0.329362,0.512341,0.606150,0.725274,0.445002, 
63,0.183274,0.407276,0.381821,0.529415,0.692590,0.877269,0.511941, 
64,0.188247,0.319272,0.495086,0.559680,0.616245,0.780838,0.493228, 
65,0.306281,0.400950,0.548237,0.633685,0.839315,0.874637,0.600517, 
66,0.233226,0.352856,0.312425,0.656523,0.617142,0.738491,0.485111, 
67,0.253815,0.292575,0.356178,0.536387,0.777730,0.846000,0.510447, 
68,0.260447,0.334534,0.416565,0.517730,0.604019,0.841834,0.495855, 
69,0.249194,0.394180,0.597674,0.639279,0.792071,0.730417,0.567136, 
70,0.210750,0.259730,0.373018,0.512516,0.544741,0.695074,0.432638, 
71,0.174717,0.349433,0.496342,0.545990,0.655188,0.708062,0.488289, 
72,0.206207,0.285517,0.325590,0.511727,0.754777,0.832759,0.486096, 
73,0.182018,0.253723,0.352205,0.528942,0.511721,0.785696,0.435717, 
74,0.279120,0.314991,0.412352,0.623619,0.599765,0.699781,0.488271, 
75,0.328364,0.473088,0.467982,0.901626,0.815732,0.576188,0.593830, 
76,0.230514,0.329306,0.437569,0.559337,0.613466,0.799189,0.494897, 
77,0.231892,0.328630,0.582427,0.427170,0.788434,0.793368,0.525320, 
78,0.352570,0.432069,0.460500,0.575625,0.740090,0.859885,0.570123, 
79,0.255206,0.382808,0.400432,0.246238,0.575607,0.574828,0.405853, 
80,0.268926,0.349687,0.486699,0.476336,0.644603,0.832255,0.509751, 
81,0.285391,0.335754,0.581470,0.679502,0.793905,0.883450,0.593245, 
82,0.198226,0.298375,0.429242,0.412971,0.689287,0.625332,0.442239, 
83,0.259836,0.580222,0.519673,0.721768,0.753873,0.623322,0.576449, 
84,0.168163,0.259985,0.375893,0.606911,0.624304,0.907761,0.490503, 
85,0.207792,0.326985,0.427440,0.436461,0.600790,0.795454,0.465820, 
86,0.258857,0.474572,0.337287,0.647143,0.894145,0.867655,0.579943, 
87,0.215083,0.377093,0.502791,0.601163,0.834400,0.779325,0.551642, 
88,0.265497,0.362064,0.369663,0.596081,0.596081,0.733360,0.487124, 
89,0.030754,0.352655,0.292901,0.633360,0.618571,0.685243,0.435581, 
90,0.227289,0.230240,0.386932,0.456843,0.599120,0.714336,0.435793, 
91,0.166871,0.325398,0.467892,0.485010,0.753553,0.731818,0.488424, 
92,0.197106,0.413922,0.394212,0.611982,0.734378,0.832153,0.530625, 
93,0.217546,0.466998,0.522110,0.652637,0.582938,0.920605,0.560472, 
94,0.193531,0.351653,0.351653,0.520563,0.630767,0.900445,0.491435, 
95,0.240889,0.388460,0.265032,0.630018,0.777630,0.891425,0.532242, 
96,0.217382,0.328111,0.450567,0.478122,0.527616,0.640144,0.440324, 
97,0.206017,0.309025,0.412034,0.662502,0.518606,0.897334,0.500920, 
98,0.183416,0.358539,0.412685,0.610815,0.601833,0.708008,0.479216, 
99,0.190663,0.351243,0.363168,0.443021,0.687583,0.755458,0.465189, 
100,0.284487,0.344800,0.491918,0.642335,0.833151,0.667618,0.544051, 
101,0.200364,0.237273,0.500909,0.701269,0.674694,0.638152,0.492110, 
102,0.262487,0.271130,0.366929,0.555708,0.614279,0.856469,0.487834, 
103,0.232409,0.348613,0.622491,0.506412,0.779566,0.828762,0.553042, 
104,0.272779,0.328187,0.437583,0.673573,0.519060,0.621419,0.475434, 
105,0.174989,0.392284,0.394848,0.467583,0.641257,0.854307,0.487545, 
106,0.258304,0.337986,0.472158,0.549852,0.680209,0.752122,0.508439, 
107,0.176325,0.253909,0.352651,0.480887,0.534920,0.733580,0.422045, 
108,0.183642,0.406636,0.508127,0.459105,0.668894,0.917705,0.524018, 
109,0.217474,0.281044,0.333023,0.592013,0.678300,0.779780,0.480272, 
110,0.178391,0.308867,0.433749,0.601506,0.682206,0.626482,0.471867, 
111,0.200655,0.434752,0.510758,0.501637,0.709121,0.897089,0.542335, 
112,0.272064,0.289533,0.797446,0.877108,0.625312,0.603517,0.577497, 
113,0.219359,0.287909,0.417317,0.572241,0.566959,0.629638,0.448904, 
114,0.214328,0.294701,0.571540,0.748446,0.647582,0.900176,0.562795, 
115,0.175074,0.350527,0.423998,0.564263,0.667235,0.860966,0.507011, 
116,0.223619,0.343052,0.452214,0.753316,0.784119,0.923371,0.579948, 
117,0.294545,0.392727,0.523636,0.589091,0.655269,0.797888,0.542193, 
118,0.171626,0.297821,0.397095,0.512823,0.637854,0.857970,0.479198, 
119,0.221438,0.260828,0.479103,0.504095,0.576728,0.764135,0.467721, 
120,0.174007,0.373828,0.423305,0.574668,0.669350,0.748325,0.493914, 
121,0.184754,0.365813,0.447105,0.508074,0.649023,0.834490,0.498210, 
122,0.172207,0.334892,0.449287,0.550809,0.523269,0.867790,0.483042, 
123,0.387477,0.464973,0.380764,0.245543,0.648100,0.774155,0.483502, 
124,0.338367,0.377037,0.451156,0.721208,0.945972,0.871698,0.617573, 
125,0.215013,0.275254,0.407784,0.458323,0.774988,0.867361,0.499787, 
