ó^Ç¶ÇΩèdóvìx,0.210000,0.250000,0.170000,0.230000,0.140000,0.220000,0.100000,0.200000,0.070000,0.190000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.214286, 0.214286,0.214286, 0.214286,0.205357, 0.214286,0.107143, 0.214286,0.071429, 0.205357,0.053571, 0.071429,0.267857
2,0.190476, 0.190476,0.190476, 0.190476,0.095238, 0.190476,0.095238, 0.190476,0.190476, 0.190476,0.095238, 0.190476,0.285714
3,0.236486, 0.243243,0.243243, 0.243243,0.121622, 0.243243,0.121622, 0.121622,0.040541, 0.118243,0.030405, 0.236486,0.412162
4,0.222222, 0.222222,0.222222, 0.222222,0.148148, 0.222222,0.111111, 0.222222,0.074074, 0.148148,0.037037, 0.148148,0.370370
5,0.206897, 0.206897,0.206897, 0.206897,0.103448, 0.206897,0.103448, 0.206897,0.068966, 0.206897,0.068966, 0.206897,0.482759
6,0.180451, 0.270677,0.180451, 0.180451,0.180451, 0.180451,0.135338, 0.180451,0.090226, 0.180451,0.060150, 0.180451,0.345865
7,0.189474, 0.350877,0.175439, 0.189474,0.175439, 0.175439,0.087719, 0.175439,0.175439, 0.175439,0.035088, 0.094737,0.322807
8,0.208696, 0.208696,0.208696, 0.208696,0.208696, 0.208696,0.104348, 0.208696,0.069565, 0.208696,0.052174, 0.104348,0.295652
9,0.206897, 0.220690,0.206897, 0.206897,0.206897, 0.206897,0.103448, 0.206897,0.068966, 0.103448,0.055172, 0.206897,0.303448
10,0.288462, 0.288462,0.144231, 0.288462,0.144231, 0.144231,0.144231, 0.144231,0.096154, 0.144231,0.028846, 0.144231,0.307692
11,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.125000,0.125000, 0.250000,0.062500, 0.125000,0.062500, 0.125000,0.250000
12,0.216216, 0.216216,0.216216, 0.216216,0.108108, 0.216216,0.108108, 0.216216,0.108108, 0.216216,0.054054, 0.108108,0.378378
13,0.209790, 0.209790,0.209790, 0.209790,0.104895, 0.209790,0.209790, 0.209790,0.104895, 0.209790,0.041958, 0.069930,0.237762
14,0.208696, 0.208696,0.208696, 0.208696,0.208696, 0.208696,0.104348, 0.208696,0.069565, 0.208696,0.052174, 0.104348,0.295652
15,0.208696, 0.208696,0.208696, 0.208696,0.104348, 0.208696,0.208696, 0.208696,0.052174, 0.104348,0.069565, 0.208696,0.295652
16,0.210938, 0.210937,0.210937, 0.210938,0.210938, 0.257812,0.128906, 0.210937,0.085937, 0.105469,0.070312, 0.085937,0.164062
17,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.250000,0.125000, 0.125000,0.062500, 0.125000,0.062500, 0.125000,0.250000
18,0.221402, 0.221402,0.221402, 0.221402,0.110701, 0.221402,0.110701, 0.221402,0.073801, 0.110701,0.044280, 0.221402,0.435424
19,0.279070, 0.279070,0.139535, 0.279070,0.139535, 0.186047,0.093023, 0.139535,0.093023, 0.139535,0.093023, 0.139535,0.325581
20,0.240000, 0.240000,0.240000, 0.240000,0.120000, 0.240000,0.060000, 0.240000,0.080000, 0.120000,0.060000, 0.120000,0.400000
21,0.181818, 0.329004,0.181818, 0.181818,0.164502, 0.181818,0.181818, 0.181818,0.060606, 0.090909,0.082251, 0.181818,0.294372
22,0.228571, 0.228571,0.228571, 0.228571,0.114286, 0.228571,0.114286, 0.228571,0.114286, 0.114286,0.057143, 0.114286,0.285714
23,0.220859, 0.220859,0.220859, 0.220859,0.147239, 0.220859,0.110429, 0.147239,0.049080, 0.147239,0.073620, 0.220859,0.355828
24,0.144578, 0.289157,0.289157, 0.289157,0.144578, 0.144578,0.144578, 0.144578,0.072289, 0.144578,0.048193, 0.144578,0.313253
25,0.220588, 0.220588,0.220588, 0.220588,0.220588, 0.220588,0.075980, 0.220588,0.073529, 0.151961,0.044118, 0.110294,0.289216
26,0.205128, 0.205128,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.102564, 0.205128,0.051282, 0.102564,0.256410
27,0.255319, 0.255319,0.248936, 0.255319,0.127660, 0.170213,0.063830, 0.248936,0.085106, 0.127660,0.034043, 0.127660,0.370213
28,0.187500, 0.187500,0.187500, 0.187500,0.171875, 0.187500,0.187500, 0.187500,0.062500, 0.171875,0.093750, 0.187500,0.218750
29,0.320000, 0.320000,0.160000, 0.160000,0.160000, 0.160000,0.080000, 0.160000,0.080000, 0.160000,0.080000, 0.160000,0.240000
30,0.176471, 0.352941,0.176471, 0.176471,0.176471, 0.176471,0.088235, 0.176471,0.088235, 0.176471,0.058824, 0.176471,0.470588
31,0.242424, 0.242424,0.227273, 0.242424,0.121212, 0.242424,0.060606, 0.121212,0.121212, 0.121212,0.030303, 0.227273,0.393939
32,0.196429, 0.214286,0.214286, 0.214286,0.214286, 0.214286,0.107143, 0.214286,0.071429, 0.071429,0.071429, 0.196429,0.250000
33,0.236686, 0.236686,0.124260, 0.236686,0.236686, 0.236686,0.118343, 0.124260,0.041420, 0.236686,0.047337, 0.124260,0.390533
34,0.210526, 0.210526,0.210526, 0.210526,0.210526, 0.210526,0.105263, 0.210526,0.070175, 0.210526,0.035088, 0.105263,0.315789
35,0.295749, 0.295749,0.160813, 0.295749,0.147874, 0.160813,0.147874, 0.160813,0.053604, 0.147874,0.059150, 0.073937,0.269871
36,0.187500, 0.187500,0.187500, 0.187500,0.187500, 0.187500,0.187500, 0.187500,0.062500, 0.187500,0.062500, 0.187500,0.250000
37,0.250474, 0.250474,0.246679, 0.250474,0.125237, 0.246679,0.123340, 0.125237,0.083491, 0.125237,0.049336, 0.123340,0.242884
38,0.148515, 0.277228,0.277228, 0.277228,0.138614, 0.148515,0.138614, 0.148515,0.138614, 0.138614,0.029703, 0.138614,0.257426
39,0.320000, 0.320000,0.160000, 0.320000,0.160000, 0.160000,0.080000, 0.160000,0.040000, 0.160000,0.040000, 0.080000,0.400000
40,0.266667, 0.266667,0.133333, 0.266667,0.133333, 0.133333,0.133333, 0.133333,0.066667, 0.133333,0.066667, 0.266667,0.400000
41,0.251572, 0.251572,0.125786, 0.251572,0.251572, 0.251572,0.125786, 0.125786,0.062893, 0.125786,0.050314, 0.125786,0.264151
42,0.192308, 0.192308,0.192308, 0.192308,0.192308, 0.192308,0.096154, 0.192308,0.163462, 0.192308,0.038462, 0.163462,0.250000
43,0.270270, 0.270270,0.207207, 0.270270,0.135135, 0.135135,0.135135, 0.135135,0.045045, 0.135135,0.054054, 0.207207,0.306306
44,0.153846, 0.307692,0.307692, 0.307692,0.153846, 0.153846,0.153846, 0.153846,0.038462, 0.153846,0.038462, 0.076923,0.307692
45,0.220183, 0.220183,0.220183, 0.220183,0.110092, 0.220183,0.110092, 0.110092,0.055046, 0.220183,0.073394, 0.220183,0.422018
46,0.263736, 0.263736,0.263736, 0.263736,0.131868, 0.263736,0.131868, 0.131868,0.043956, 0.087912,0.021978, 0.131868,0.285714
47,0.205128, 0.205128,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.102564, 0.205128,0.051282, 0.102564,0.256410
48,0.129032, 0.258065,0.258065, 0.258065,0.129032, 0.129032,0.129032, 0.258065,0.129032, 0.129032,0.064516, 0.129032,0.322581
49,0.166667, 0.333333,0.166667, 0.166667,0.166667, 0.166667,0.083333, 0.166667,0.166667, 0.166667,0.083333, 0.166667,0.333333
50,0.196078, 0.196078,0.196078, 0.196078,0.196078, 0.196078,0.098039, 0.196078,0.098039, 0.196078,0.039216, 0.196078,0.352941
