é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.000000,0.000000,0.200803,0.896552,0.933896,0.226244,0.376249, 
2,0.000000,0.000000,0.576087,0.926829,0.000000,0.720648,0.370594, 
3,0.289017,0.000000,0.793566,0.000000,0.488038,0.809059,0.396613, 
4,0.000000,0.000000,0.932692,0.842105,0.763359,0.861357,0.566586, 
5,0.000000,0.000000,0.729323,0.949153,0.930481,0.799007,0.567994, 
6,0.614319,0.000000,0.000000,0.621762,0.858369,0.920855,0.502551, 
7,0.397213,0.379147,0.000000,0.803738,0.000000,0.548330,0.354738, 
8,0.000000,0.000000,0.000000,0.936170,0.926174,0.542986,0.400889, 
9,0.397436,0.000000,0.000000,0.949153,0.433036,0.855792,0.439236, 
10,0.000000,0.587571,0.000000,0.000000,0.572082,0.816265,0.329320, 
11,0.000000,0.000000,0.000000,0.666667,0.602740,0.617284,0.314448, 
12,0.000000,0.000000,0.810345,0.883117,0.718009,0.557103,0.494762, 
13,0.000000,0.000000,0.754917,0.000000,0.756841,0.333055,0.307469, 
14,0.000000,0.000000,0.000000,0.936170,0.926174,0.542986,0.400889, 
15,0.000000,0.000000,0.745283,0.000000,0.398990,0.791277,0.322592, 
16,0.000000,0.000000,0.142857,0.781116,0.279955,0.200803,0.234122, 
17,0.000000,0.000000,0.780488,0.000000,0.602740,0.617284,0.333419, 
18,0.000000,0.000000,0.839009,0.847636,0.470367,0.855946,0.502160, 
19,0.000000,0.601399,0.727941,0.539683,0.558659,0.498753,0.487739, 
20,0.000000,0.000000,0.800000,0.714286,0.500000,0.600000,0.435714, 
21,0.427382,0.000000,0.355872,0.000000,0.278226,0.816046,0.312921, 
22,0.000000,0.000000,0.823529,0.800000,0.000000,0.579710,0.367207, 
23,0.000000,0.000000,0.947284,0.538117,0.708099,0.740709,0.489035, 
24,0.433420,0.000000,0.000000,0.000000,0.751880,0.815494,0.333466, 
25,0.000000,0.000000,0.000000,0.817635,0.790514,0.641940,0.375015, 
26,0.000000,0.000000,0.000000,0.962025,0.785714,0.536193,0.380655, 
