é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.000000,0.000000,0.111607,0.812500,0.875989,0.127551,0.321275, 
2,0.000000,0.000000,0.404580,0.863636,0.000000,0.563291,0.305251, 
3,0.168919,0.000000,0.657778,0.000000,0.322785,0.679344,0.304804, 
4,0.000000,0.000000,0.873874,0.727273,0.617284,0.756477,0.495818, 
5,0.000000,0.000000,0.573964,0.903226,0.870000,0.665289,0.502080, 
6,0.443333,0.000000,0.000000,0.451128,0.751880,0.853319,0.416610, 
7,0.247826,0.233918,0.000000,0.671875,0.000000,0.377724,0.255224, 
8,0.000000,0.000000,0.000000,0.880000,0.862500,0.372671,0.352528, 
9,0.248000,0.000000,0.000000,0.903226,0.276353,0.747934,0.362585, 
10,0.000000,0.416000,0.000000,0.000000,0.400641,0.689567,0.251035, 
11,0.000000,0.000000,0.000000,0.500000,0.431373,0.446429,0.229634, 
12,0.000000,0.000000,0.681159,0.790698,0.560074,0.386100,0.403005, 
13,0.000000,0.000000,0.606318,0.000000,0.608804,0.199800,0.235820, 
14,0.000000,0.000000,0.000000,0.880000,0.862500,0.372671,0.352528, 
15,0.000000,0.000000,0.593985,0.000000,0.249211,0.654639,0.249639, 
16,0.000000,0.000000,0.076923,0.640845,0.162760,0.111607,0.165356, 
17,0.000000,0.000000,0.640000,0.000000,0.431373,0.446429,0.252967, 
18,0.000000,0.000000,0.722667,0.735562,0.307503,0.748169,0.418984, 
19,0.000000,0.430000,0.572254,0.369565,0.387597,0.332226,0.348607, 
20,0.000000,0.000000,0.666667,0.555556,0.333333,0.428571,0.330688, 
21,0.271765,0.000000,0.216450,0.000000,0.161593,0.689255,0.223177, 
22,0.000000,0.000000,0.700000,0.666667,0.000000,0.408163,0.295805, 
23,0.000000,0.000000,0.899848,0.368098,0.548106,0.588195,0.400708, 
24,0.276667,0.000000,0.000000,0.000000,0.602410,0.688468,0.261257, 
25,0.000000,0.000000,0.000000,0.691525,0.653595,0.472689,0.302968, 
26,0.000000,0.000000,0.000000,0.926829,0.647059,0.366300,0.323365, 
27,0.000000,0.000000,0.327189,0.540230,0.354610,0.600583,0.303769, 
28,0.000000,0.000000,0.195312,0.000000,0.799020,0.584746,0.263180, 
29,0.000000,0.000000,0.000000,0.500000,0.666667,0.571429,0.289683, 
30,0.226667,0.000000,0.000000,0.684211,0.735294,0.840336,0.414418, 
31,0.000000,0.037657,0.660000,0.152174,0.000000,0.710769,0.260100, 
32,0.080000,0.000000,0.000000,0.812500,0.000000,0.694064,0.264427, 
33,0.000000,0.533684,0.000000,0.059172,0.614545,0.549451,0.292809, 
34,0.000000,0.000000,0.000000,0.857143,0.852684,0.450363,0.360032, 
35,0.000000,0.444658,0.161738,0.129390,0.570945,0.105625,0.235392, 
36,0.000000,0.000000,0.000000,0.000000,0.921569,0.796610,0.286363, 
37,0.000000,0.000000,0.658750,0.018975,0.347881,0.528599,0.259034, 
38,0.310769,0.000000,0.104623,0.099010,0.000000,0.656126,0.195088, 
39,0.000000,0.375000,0.000000,0.500000,0.600000,0.285714,0.293452, 
40,0.000000,0.450000,0.000000,0.000000,0.513514,0.500000,0.243919, 
41,0.000000,0.477000,0.000000,0.000000,0.438892,0.539084,0.242496, 
42,0.000000,0.000000,0.000000,0.888889,0.216981,0.872283,0.329692, 
43,0.000000,0.227314,0.000000,0.000000,0.449347,0.753233,0.238316, 
44,0.260000,0.000000,0.000000,0.000000,0.553299,0.260870,0.179028, 
45,0.000000,0.000000,0.726667,0.000000,0.726667,0.591650,0.340831, 
46,0.000000,0.000000,0.606667,0.000000,0.122648,0.581363,0.218446, 
47,0.000000,0.000000,0.000000,0.926829,0.647059,0.366300,0.323365, 
48,0.310000,0.000000,0.000000,0.448980,0.000000,0.460829,0.203302, 
49,0.240000,0.000000,0.000000,0.571429,0.000000,0.595238,0.234444, 
50,0.000000,0.000000,0.000000,0.942308,0.729393,0.892500,0.427367, 
51,0.000000,0.000000,0.000000,0.727273,0.308642,0.497409,0.255554, 
52,0.000000,0.000000,0.440000,0.152174,0.000000,0.589820,0.196999, 
53,0.000000,0.000000,0.573964,0.903226,0.870000,0.665289,0.502080, 
54,0.000000,0.000000,0.673333,0.000000,0.673333,0.561354,0.318003, 
55,0.000000,0.000000,0.000000,0.173401,0.391277,0.517390,0.180345, 
56,0.000000,0.000000,0.409091,0.000000,0.707865,0.279569,0.232754, 
57,0.000000,0.341564,0.404580,0.476190,0.000000,0.340136,0.260412, 
58,0.000000,0.000000,0.573964,0.000000,0.276353,0.665289,0.252601, 
59,0.000000,0.000000,0.000000,0.926829,0.647059,0.366300,0.323365, 
60,0.000000,0.000000,0.636000,0.000000,0.438892,0.539084,0.268996, 
61,0.285000,0.075426,0.000000,0.175439,0.000000,0.751880,0.214624, 
62,0.000000,0.723000,0.000000,0.506964,0.691563,0.829876,0.458567, 
63,0.000000,0.357500,0.000000,0.000000,0.466200,0.899101,0.287134, 
64,0.000000,0.000000,0.676000,0.597403,0.369516,0.507185,0.358351, 
65,0.000000,0.000000,0.584142,0.000000,0.330688,0.821995,0.289471, 
66,0.000000,0.236407,0.000000,0.830189,0.295508,0.866726,0.371472, 
67,0.000000,0.000000,0.000000,0.975410,0.907500,0.823591,0.451083, 
68,0.278000,0.000000,0.000000,0.000000,0.599520,0.616650,0.249028, 
69,0.000000,0.000000,0.347458,0.000000,0.929487,0.494505,0.295242, 
70,0.000000,0.000000,0.696000,0.522000,0.469446,0.218938,0.317731, 
71,0.000000,0.000000,0.681159,0.790698,0.560074,0.386100,0.403005, 
72,0.000000,0.000000,0.000000,0.589928,0.673333,0.561354,0.304103, 
73,0.000000,0.000000,0.164751,0.637500,0.326797,0.714000,0.307175, 
74,0.263333,0.000000,0.000000,0.418367,0.224341,0.361664,0.211284, 
75,0.000000,0.620253,0.000000,0.000000,0.610063,0.260869,0.248531, 
76,0.000000,0.000000,0.690000,0.637363,0.000000,0.502879,0.305040, 
77,0.833333,0.000000,0.280702,0.166667,0.347222,0.547170,0.362516, 
78,0.074804,0.744998,0.000000,0.000000,0.447427,0.287632,0.259143, 
79,0.000000,0.000000,0.592105,0.000000,0.678161,0.451128,0.286899, 
80,0.247826,0.000000,0.175439,0.000000,0.730994,0.377724,0.255330, 
81,0.000000,0.000000,0.630000,0.000000,0.450439,0.586724,0.277860, 
82,0.000000,0.487500,0.000000,0.076923,0.557143,0.494505,0.269345, 
83,0.000000,0.010417,0.000000,0.000000,0.408377,0.595238,0.169005, 
84,0.000000,0.000000,0.000000,0.776667,0.696498,0.774043,0.374535, 
85,0.000000,0.000000,0.680000,0.000000,0.475336,0.695783,0.308520, 
86,0.000000,0.000000,0.681739,0.051020,0.382653,0.473761,0.264862, 
87,0.000000,0.000000,0.000000,0.857143,0.852684,0.450363,0.360032, 
88,0.261667,0.000000,0.000000,0.427835,0.424628,0.436657,0.258465, 
89,0.512000,0.000000,0.000000,0.000000,0.686797,0.291316,0.248352, 
90,0.000000,0.000000,0.554585,0.926829,0.647059,0.779503,0.484663, 
91,0.000000,0.000000,0.535817,0.950820,0.662008,0.686722,0.472561, 
92,0.000000,0.000000,0.000000,0.928571,0.738791,0.845912,0.418879, 
93,0.000000,0.420000,0.000000,0.000000,0.396825,0.680272,0.249516, 
94,0.000000,0.000000,0.000000,0.942308,0.729393,0.892500,0.427367, 
95,0.000000,0.480000,0.000000,0.181818,0.000000,0.446429,0.184708, 
96,0.000000,0.573057,0.379000,0.527706,0.219876,0.412487,0.352021, 
97,0.000000,0.000000,0.000000,0.843602,0.756000,0.453515,0.342186, 
98,0.000000,0.469027,0.500000,0.620690,0.378788,0.487013,0.409253, 
99,0.000000,0.450000,0.000000,0.000000,0.514124,0.634921,0.266507, 
100,0.000000,0.000000,0.000000,0.727273,0.308642,0.497409,0.255554, 
101,0.000000,0.000000,0.000000,0.863636,0.786561,0.563291,0.368915, 
102,0.438000,0.000000,0.000000,0.760504,0.380518,0.958125,0.422858, 
103,0.000000,0.000000,0.500000,0.142857,0.000000,0.928571,0.261905, 
104,0.000000,0.000000,0.000000,1.000000,0.900000,0.238095,0.356349, 
105,0.000000,0.446468,0.523105,0.000000,0.763359,0.917000,0.441655, 
106,0.000000,0.382500,0.000000,0.467742,0.653595,0.272981,0.296136, 
107,0.000000,0.000000,0.720000,0.727273,0.308642,0.756000,0.418652, 
108,0.000000,0.000000,0.676000,0.000000,0.676000,0.507185,0.309864, 
109,0.000000,0.000000,0.000000,0.834646,0.753333,0.457772,0.340959, 
110,0.000000,0.000000,0.132353,0.650000,0.703349,0.274725,0.293405, 
111,0.000000,0.140625,0.500000,0.000000,0.768000,0.446429,0.309176, 
112,0.000000,0.000000,0.198198,0.857143,0.000000,0.497409,0.258792, 
113,0.000000,0.000000,0.658228,0.812500,0.297619,0.418033,0.364397, 
114,0.000000,0.000000,0.000000,0.903226,0.276353,0.665289,0.307478, 
115,0.000000,0.375375,0.000000,0.790698,0.300300,0.840000,0.384396, 
116,0.000000,0.000000,0.000000,0.926829,0.647059,0.366300,0.323365, 
117,0.000000,0.780000,0.728814,0.384615,0.320513,0.549451,0.460565, 
118,0.000000,0.000000,0.000000,0.990066,0.903000,0.877917,0.461830, 
119,0.303333,0.000000,0.606667,0.000000,0.366300,0.470958,0.291210, 
120,0.000000,0.000000,0.466307,0.000000,0.915000,0.730126,0.351905, 
121,0.000000,0.000000,0.450199,0.000000,0.738791,0.845912,0.339150, 
122,0.000000,0.000000,0.697778,0.382166,0.318471,0.681696,0.346685, 
123,0.000000,0.000000,0.646552,0.000000,0.703704,0.246305,0.266093, 
124,0.000000,0.000000,0.000000,0.912621,0.638153,0.441826,0.332100, 
125,0.000000,0.000000,0.000000,0.622222,0.821782,0.382653,0.304443, 
126,0.303529,0.000000,0.000000,0.000000,0.326797,0.770308,0.233439, 
127,0.000000,0.000000,0.066489,0.626667,0.000000,0.820839,0.252332, 
128,0.000000,0.418516,0.000000,0.748092,0.776420,0.393185,0.389369, 
129,0.000000,0.000000,0.726667,0.748092,0.776420,0.393185,0.440727, 
130,0.000000,0.519520,0.000000,0.680556,0.326797,0.420168,0.324507, 
131,0.000000,0.000000,0.000000,0.950820,0.259362,0.479253,0.281572, 
132,0.000000,0.000000,0.636000,0.000000,0.438892,0.539084,0.268996, 
133,0.000000,0.000000,0.060157,0.772586,0.328554,0.409626,0.261821, 
134,0.000000,0.000000,0.000000,0.951613,0.723157,0.854000,0.421462, 
135,0.000000,0.000000,0.645333,0.545865,0.390266,0.088548,0.278335, 
136,0.000000,0.000000,0.666667,0.571428,0.333333,0.285714,0.309524, 
137,0.000000,0.000000,0.466307,0.000000,0.723157,0.854000,0.340577, 
138,0.000000,0.218240,0.815128,0.000000,0.561253,0.000000,0.265770, 
139,0.000000,0.000000,0.000000,0.866242,0.858000,0.449550,0.362299, 
140,0.000000,0.438596,0.614679,0.000000,0.000000,0.883212,0.322748, 
141,0.000000,0.000000,0.200000,0.833333,0.333333,0.285714,0.275397, 
142,0.000000,0.000000,0.000000,0.880000,0.862500,0.372671,0.352528, 
143,0.000000,0.000000,0.000000,0.727273,0.305785,0.396825,0.238314, 
144,0.000000,0.000000,0.686667,0.627737,0.323625,0.416089,0.342353, 
145,0.000000,0.447500,0.000000,0.392027,0.372439,0.642258,0.309037, 
146,0.000000,0.000000,0.000000,0.482759,0.443983,0.601504,0.254708, 
147,0.322105,0.000000,0.000000,0.920354,0.233645,0.748307,0.370735, 
148,0.000000,0.000000,0.628000,0.000000,0.454362,0.565540,0.274650, 
149,0.000000,0.000000,0.000000,0.783333,0.531915,0.455927,0.295196, 
150,0.000000,0.000000,0.000000,1.000000,0.900000,0.840000,0.456667, 
151,0.262500,0.310345,0.000000,0.238095,0.376983,0.119047,0.217828, 
152,0.000000,0.000000,0.000000,0.622222,0.821782,0.382653,0.304443, 
153,0.000000,0.000000,0.446429,0.812500,0.000000,0.960396,0.369887, 
