No.,tL,tR
true,0.884956,1.149425
0,0.847584,1.219250
1,0.835370,1.245445
2,0.823322,1.273222
3,0.825068,1.269070
4,0.879292,1.159123
5,0.879806,1.158230
6,0.853156,1.207903
7,0.867517,1.180240
8,0.891491,1.138585
9,0.850776,1.212705
10,0.884279,1.150568
11,0.878376,1.160719
12,0.868709,1.178042
13,0.933140,1.077181
14,0.882096,1.154286
15,0.852243,1.209738
16,0.881208,1.155809
17,0.837226,1.241343
18,0.892482,1.136972
19,0.894333,1.133982
20,0.851259,1.211726
21,0.865191,1.184573
22,0.888679,1.143205
23,0.876842,1.163408
24,0.845965,1.222615
25,0.897799,1.128458
26,0.903116,1.120170
27,0.845995,1.222554
28,0.867248,1.180740
29,0.901337,1.122918
30,0.847739,1.218931
31,0.845384,1.223832
32,0.882445,1.153688
33,0.872574,1.171007
34,0.883149,1.152488
35,0.872574,1.171008
36,0.836098,1.243831
37,0.845799,1.222964
38,0.904492,1.118059
39,0.876575,1.163878
40,0.853271,1.207673
41,0.861785,1.191018
42,0.830721,1.255924
43,0.860077,1.194296
44,0.871012,1.173833
45,0.867164,1.180894
46,0.883391,1.152077
47,0.842756,1.229382
48,0.900780,1.123784
49,0.845657,1.223260
50,0.839812,1.235700
51,0.847167,1.220114
52,0.922094,1.092284
53,0.874722,1.167161
54,0.877835,1.161664
55,0.875971,1.164946
56,0.875555,1.165682
57,0.885554,1.148417
58,0.886694,1.146506
59,0.842923,1.229027
60,0.852235,1.209754
61,0.857556,1.199191
62,0.879544,1.158685
63,0.862075,1.190465
64,0.839484,1.236412
65,0.892450,1.137023
66,0.879109,1.159440
67,0.837496,1.240749
68,0.849461,1.215388
69,0.848379,1.217608
70,0.824865,1.269551
71,0.881649,1.155052
72,0.940090,1.068066
73,0.866767,1.181632
74,0.882191,1.154123
75,0.889930,1.141141
76,0.883104,1.152565
77,0.873399,1.169525
78,0.885735,1.148114
79,0.841828,1.231362
80,0.904395,1.118207
81,0.845387,1.223825
82,0.842451,1.230031
83,0.904289,1.118370
84,0.853336,1.207543
85,0.862560,1.189540
86,0.873183,1.169912
87,0.835037,1.246186
88,0.849396,1.215521
89,0.848296,1.217780
90,0.870789,1.174238
91,0.843385,1.228047
92,0.886627,1.146618
93,0.831555,1.254022
94,0.843792,1.227185
95,0.840494,1.234228
96,0.832605,1.251642
97,0.881236,1.155761
98,0.876219,1.164506
99,0.852335,1.209552
100,0.884484,1.150222
101,0.859895,1.194648
102,0.850841,1.212575
103,0.861593,1.191385
104,0.837148,1.241515
105,0.873240,1.169811
106,0.844439,1.225819
107,0.856313,1.201631
108,0.872577,1.171003
109,0.921208,1.093531
110,0.849627,1.215049
111,0.885547,1.148430
112,0.864716,1.185465
113,0.868681,1.178094
114,0.887194,1.145671
115,0.825284,1.268558
116,0.844043,1.226653
117,0.867167,1.180888
118,0.854033,1.206150
119,0.849577,1.215149
120,0.925306,1.087811
121,0.867410,1.180439
122,0.857946,1.198430
123,0.906459,1.115068
124,0.864567,1.185745
125,0.842220,1.230524
126,0.825033,1.269152
127,0.881825,1.154750
128,0.873351,1.169610
129,0.886245,1.147258
130,0.893484,1.135350
131,0.846012,1.222519
132,0.856660,1.200948
133,0.871137,1.173606
134,0.840321,1.234599
135,0.916397,1.100388
136,0.873198,1.169886
137,0.893957,1.134588
138,0.879320,1.159075
139,0.876991,1.163145
140,0.902963,1.120404
141,0.881117,1.155967
142,0.853251,1.207711
143,0.851648,1.210938
144,0.875139,1.166420
145,0.886900,1.146163
146,0.890550,1.140124
147,0.850479,1.213310
148,0.882343,1.153863
149,0.831989,1.253038
150,0.884162,1.150768
151,0.824733,1.269864
152,0.871979,1.172081
153,0.909894,1.109913
154,0.877055,1.163033
155,0.893277,1.135684
156,0.863730,1.187322
157,0.860218,1.194023
158,0.963094,1.039847
159,0.831135,1.254978
160,0.856548,1.201167
161,0.827513,1.263328
162,0.871865,1.172287
163,0.878940,1.159734
164,0.893076,1.136009
165,0.863347,1.188048
166,0.864380,1.186097
167,0.877421,1.162390
168,0.861478,1.191605
169,0.895698,1.131795
170,0.888497,1.143506
171,0.841224,1.232657
172,0.823291,1.273298
173,0.862870,1.188952
174,0.890930,1.139500
175,0.847280,1.219880
176,0.921606,1.092970
177,0.886196,1.147339
178,0.886367,1.147053
179,0.893998,1.134521
180,0.846438,1.221629
181,0.870758,1.174295
182,0.814693,1.294425
183,0.876186,1.164565
184,0.864418,1.186026
185,0.834778,1.246763
186,0.864133,1.186562
187,0.846748,1.220986
188,0.869877,1.175901
189,0.896418,1.130648
190,0.857430,1.199438
191,0.895162,1.132653
192,0.879132,1.159401
193,0.822362,1.275525
194,0.850414,1.213442
195,0.900597,1.124069
196,0.876015,1.164868
197,0.863469,1.187817
198,0.872022,1.172003
199,0.846960,1.220545
200,0.842852,1.229177
201,0.878912,1.159783
202,0.865767,1.183496
203,0.849893,1.214504
204,0.884014,1.151017
205,0.871195,1.173500
206,0.814210,1.295645
207,0.883758,1.151453
208,0.859759,1.194910
209,0.877535,1.162190
210,0.848858,1.216623
211,0.886977,1.146034
212,0.877630,1.162023
213,0.856646,1.200976
214,0.853040,1.208135
215,0.859392,1.195619
216,0.861667,1.191244
217,0.848800,1.216743
218,0.882813,1.153061
219,0.855362,1.203508
220,0.857953,1.198416
221,0.842263,1.230432
222,0.839524,1.236325
223,0.841163,1.232787
224,0.861101,1.192327
225,0.838445,1.238672
226,0.848433,1.217497
227,0.908031,1.112699
228,0.895190,1.132607
229,0.891355,1.138806
230,0.871839,1.172334
231,0.851105,1.212039
232,0.899257,1.126163
233,0.880358,1.157275
234,0.873040,1.170169
235,0.853901,1.206413
236,0.918222,1.097768
237,0.816393,1.290156
238,0.868065,1.179228
239,0.851807,1.210617
240,0.904302,1.118350
241,0.893647,1.135087
242,0.856498,1.201267
243,0.849788,1.214719
244,0.875960,1.164964
245,0.879765,1.158302
246,0.885483,1.148537
247,0.857392,1.199513
248,0.857319,1.199655
249,0.884669,1.149909
250,0.886534,1.146773
251,0.854942,1.204340
252,0.847080,1.220296
253,0.905071,1.117176
254,0.856666,1.200937
255,0.854115,1.205986
256,0.834722,1.246888
257,0.875667,1.165484
258,0.869287,1.176981
259,0.834730,1.246871
260,0.889999,1.141026
261,0.808000,1.311687
262,0.858878,1.196615
263,0.928715,1.083138
264,0.883419,1.152028
265,0.856335,1.201588
266,0.910718,1.108690
267,0.878688,1.160174
268,0.865065,1.184809
269,0.859460,1.195487
270,0.879544,1.158684
271,0.831555,1.254024
272,0.861678,1.191222
273,0.867951,1.179438
274,0.875938,1.165004
275,0.864285,1.186275
276,0.907871,1.112939
277,0.846546,1.221404
278,0.871254,1.173394
279,0.896699,1.130201
280,0.880577,1.156897
281,0.894204,1.134190
282,0.834822,1.246665
283,0.840850,1.233461
284,0.881573,1.155182
285,0.812220,1.300718
286,0.874940,1.166773
287,0.843417,1.227979
288,0.878598,1.160331
289,0.877196,1.162785
290,0.877885,1.161577
291,0.892756,1.136528
292,0.863986,1.186839
293,0.860779,1.192944
294,0.865807,1.183420
295,0.832292,1.252351
296,0.884628,1.149979
297,0.874353,1.167818
298,0.863768,1.187251
299,0.837415,1.240927
300,0.825766,1.267421
301,0.822981,1.274039
302,0.883158,1.152473
303,0.851073,1.212103
304,0.865717,1.183588
305,0.856633,1.201001
306,0.885826,1.147960
307,0.848630,1.217093
308,0.854697,1.204827
309,0.863181,1.188362
310,0.880631,1.156804
311,0.873593,1.169178
312,0.926138,1.086665
313,0.867035,1.181133
314,0.872476,1.171183
315,0.868054,1.179248
316,0.864342,1.186169
317,0.874406,1.167725
318,0.839767,1.235798
319,0.842782,1.229327
320,0.877094,1.162964
321,0.844768,1.225124
322,0.894536,1.133656
323,0.892057,1.137662
324,0.874851,1.166932
325,0.850933,1.212386
326,0.881489,1.155326
327,0.879002,1.159628
328,0.899588,1.125644
329,0.862991,1.188722
330,0.883135,1.152512
331,0.840817,1.233531
332,0.868589,1.178262
333,0.851516,1.211205
334,0.862410,1.189826
335,0.871589,1.172787
336,0.845718,1.223133
337,0.876827,1.163434
338,0.872864,1.170486
339,0.849558,1.215189
340,0.843847,1.227067
341,0.886756,1.146402
342,0.882786,1.153106
343,0.854684,1.204852
344,0.823848,1.271966
345,0.867733,1.179841
346,0.837615,1.240488
347,0.868530,1.178371
348,0.870014,1.175650
349,0.867581,1.180123
350,0.866143,1.182793
351,0.894160,1.134260
352,0.806431,1.315845
353,0.880935,1.156280
354,0.882725,1.153210
355,0.843164,1.228514
356,0.848726,1.216896
357,0.876530,1.163958
358,0.837882,1.239903
359,0.874127,1.168221
360,0.907293,1.113809
361,0.811060,1.303704
362,0.856007,1.202234
363,0.857531,1.199240
364,0.892967,1.136186
365,0.871706,1.172574
366,0.855039,1.204147
367,0.832120,1.252739
368,0.849283,1.215752
369,0.847877,1.218646
370,0.873222,1.169843
371,0.862202,1.190222
372,0.872179,1.171721
373,0.880195,1.157557
374,0.887685,1.144854
375,0.874646,1.167297
376,0.958607,1.045130
377,0.853326,1.207563
378,0.853504,1.207205
379,0.883977,1.151080
380,0.833781,1.248995
381,0.910662,1.108773
382,0.896855,1.129952
383,0.880751,1.156597
384,0.809589,1.307522
385,0.851000,1.212251
386,0.882990,1.152759
387,0.863632,1.187508
388,0.870097,1.175499
389,0.848586,1.217183
390,0.822156,1.276022
