No.,tL,tR
true,0.884956,1.149425
0,0.919331,1.096188
1,0.903331,1.119839
2,0.888089,1.144181
3,0.892191,1.137445
4,0.938704,1.069860
5,0.926504,1.086162
6,0.902600,1.120963
7,0.892509,1.136928
8,0.952217,1.052831
9,0.884170,1.150754
10,0.910990,1.108287
11,0.925218,1.087934
12,0.914114,1.103698
13,0.965380,1.037195
14,0.921405,1.093253
15,0.899616,1.125601
16,0.944734,1.062134
17,0.879519,1.158729
18,0.940156,1.067981
19,0.974945,1.026377
20,0.909548,1.110428
21,0.930071,1.081300
22,0.946848,1.059474
23,0.920110,1.095082
24,0.891243,1.138989
25,0.940031,1.068142
26,0.954578,1.049961
27,0.920427,1.094633
28,0.949006,1.056786
29,0.962571,1.040457
30,0.898990,1.126583
31,0.927586,1.084678
32,0.914768,1.102747
33,0.925971,1.086895
34,0.939054,1.069407
35,0.923033,1.090970
36,0.891864,1.137977
37,0.895236,1.132533
38,0.966823,1.035535
39,0.925578,1.087436
40,0.902717,1.120784
41,0.908803,1.111541
42,0.878679,1.160190
43,0.904096,1.118665
44,0.926986,1.085500
45,0.928358,1.083624
46,0.962177,1.040919
47,0.900493,1.124231
48,0.937093,1.071961
49,0.932016,1.078682
50,0.881323,1.155612
51,0.903060,1.120256
52,0.955018,1.049429
53,0.924713,1.088633
54,0.920981,1.093851
55,0.915881,1.101134
56,0.906073,1.115653
57,0.956860,1.047213
58,0.951748,1.053406
59,0.911098,1.108128
60,0.928526,1.083395
61,0.900797,1.123757
62,0.950479,1.054965
63,0.928347,1.083639
64,0.894872,1.133116
65,0.969339,1.032664
66,0.923471,1.090360
67,0.894486,1.133736
68,0.907072,1.114142
69,0.915870,1.101149
70,0.874128,1.168220
71,0.953674,1.051057
72,0.974012,1.027413
73,0.912241,1.106441
74,0.940962,1.066942
75,0.941517,1.066229
76,0.930260,1.081044
77,0.939251,1.069151
78,0.926032,1.086811
79,0.917870,1.098272
80,0.970793,1.031019
81,0.886038,1.147605
82,0.910324,1.109274
83,0.972872,1.028684
84,0.894534,1.133659
85,0.901741,1.122291
86,0.957585,1.046347
87,0.896134,1.131100
88,0.914098,1.103722
89,0.902278,1.121460
90,0.935256,1.074375
91,0.908019,1.112716
92,0.929353,1.082271
93,0.875512,1.165757
94,0.912168,1.106549
95,0.913676,1.104337
96,0.919230,1.096332
97,0.915948,1.101037
98,0.933041,1.077312
99,0.946955,1.059340
100,0.944703,1.062173
101,0.912019,1.106768
102,0.921478,1.093151
103,0.894384,1.133901
104,0.881097,1.156000
105,0.943493,1.063706
106,0.900097,1.124848
107,0.897462,1.128991
108,0.921850,1.092628
109,0.960258,1.043174
110,0.886968,1.146048
111,0.941184,1.066657
112,0.910268,1.109358
113,0.925556,1.087467
114,0.934341,1.075585
115,0.877240,1.162708
116,0.905586,1.116392
117,0.919670,1.095706
118,0.892261,1.137331
119,0.895885,1.131496
120,0.979733,1.021123
121,0.905649,1.116296
122,0.900403,1.124371
123,0.968802,1.033274
124,0.894991,1.132926
125,0.900561,1.124125
126,0.887023,1.145956
127,0.926092,1.086727
128,0.908746,1.111626
129,0.955882,1.048388
130,0.955526,1.048816
131,0.915715,1.101373
132,0.912019,1.106769
133,0.938725,1.069833
134,0.883582,1.151752
135,0.958554,1.045192
136,0.914945,1.102489
137,0.958442,1.045326
138,0.939590,1.068712
139,0.925126,1.088061
140,0.950063,1.055478
141,0.931749,1.079040
142,0.899962,1.125059
143,0.911325,1.107792
144,0.942480,1.064998
145,0.935996,1.073400
146,0.965663,1.036869
147,0.878791,1.159995
148,0.935478,1.074082
149,0.913956,1.103929
150,0.940974,1.066926
151,0.882746,1.153175
152,0.905514,1.116502
153,0.944239,1.062760
154,0.956102,1.048123
155,0.961455,1.041765
156,0.911650,1.107312
157,0.905492,1.116535
158,0.996889,1.003130
159,0.909162,1.111006
160,0.920283,1.094838
161,0.889265,1.142236
162,0.932905,1.077493
163,0.924954,1.088299
164,0.946339,1.060112
165,0.913139,1.105124
166,0.902813,1.120635
167,0.927852,1.084314
168,0.889277,1.142216
169,0.963981,1.038816
170,0.945352,1.061353
171,0.911820,1.107062
172,0.874285,1.167940
173,0.916366,1.100434
174,0.909671,1.110246
175,0.880782,1.156543
176,0.960062,1.043405
177,0.951337,1.053910
178,0.932829,1.077595
179,0.951526,1.053678
180,0.917306,1.099081
181,0.944929,1.061887
182,0.850972,1.212307
183,0.976764,1.024368
184,0.904951,1.117359
185,0.896838,1.129980
186,0.898110,1.127967
187,0.886624,1.146623
188,0.909626,1.110313
189,0.934918,1.074822
190,0.912140,1.106590
191,0.952374,1.052640
192,0.922231,1.092092
193,0.890242,1.140628
194,0.914942,1.102494
195,0.937769,1.071077
196,0.905550,1.116447
197,0.935585,1.073940
198,0.947515,1.058641
199,0.913485,1.104616
200,0.905381,1.116705
201,0.928484,1.083453
202,0.902185,1.121605
203,0.889556,1.141756
204,0.945824,1.060759
205,0.903073,1.120236
206,0.854175,1.205866
207,0.939441,1.068905
208,0.924022,1.089593
209,0.933852,1.076233
210,0.880902,1.156336
211,0.947594,1.058542
212,0.933104,1.077228
213,0.936122,1.073234
214,0.907674,1.113234
215,0.924993,1.088245
216,0.946302,1.060159
217,0.890592,1.140053
218,0.944552,1.062363
219,0.914331,1.103382
220,0.934250,1.075705
221,0.918881,1.096829
222,0.901769,1.122249
223,0.904419,1.118171
224,0.914637,1.102937
225,0.905083,1.117157
226,0.901212,1.123111
227,0.982822,1.017789
228,0.941461,1.066301
229,0.945050,1.061735
230,0.931488,1.079391
231,0.913390,1.104755
232,0.935639,1.073870
233,0.928062,1.084027
234,0.912878,1.105506
235,0.892785,1.136481
236,0.965500,1.037057
237,0.873333,1.169643
238,0.972408,1.029204
239,0.913140,1.105122
240,0.950592,1.054826
241,0.939669,1.068609
242,0.915426,1.101793
243,0.910638,1.108809
244,0.903518,1.119550
245,0.931518,1.079350
246,0.908470,1.112040
247,0.896586,1.130381
248,0.902992,1.120360
249,0.938496,1.070131
250,0.967515,1.034742
251,0.900725,1.123869
252,0.919865,1.095430
253,0.953416,1.051370
254,0.920385,1.094693
255,0.889026,1.142631
256,0.881457,1.155382
257,0.929860,1.081585
258,0.921755,1.092761
259,0.895152,1.132668
260,0.935113,1.074564
261,0.893786,1.134863
