é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.452072,0.358922,0.621684,0.630634,0.887348,0.616699,0.594560, 
2,0.177798,0.910449,0.491990,0.383560,0.270511,0.801588,0.505983, 
3,0.609423,0.619469,0.773655,0.907144,0.743333,0.947454,0.766746, 
4,0.585569,0.540541,0.769213,0.835545,0.914413,0.989539,0.772470, 
5,0.497018,0.632911,0.646960,0.704548,0.747159,0.848886,0.679580, 
6,0.752181,0.645161,0.873850,0.851150,0.983097,0.925221,0.838444, 
7,0.911994,0.549282,0.724957,0.676953,0.487406,0.940757,0.715225, 
8,0.428683,0.578407,0.684181,0.846876,0.838313,0.792791,0.694875, 
9,0.665605,0.686717,0.731660,0.707643,0.772328,0.902044,0.744333, 
10,0.587293,0.664901,0.802493,0.653271,0.876546,0.753170,0.722946, 
11,0.360774,0.384615,0.178448,0.621120,0.668533,0.666704,0.480032, 
12,0.425894,0.549451,0.722785,0.722785,0.757984,0.770693,0.658265, 
13,0.364964,0.408163,0.645594,0.000000,0.748490,0.579543,0.457792, 
14,0.379824,0.403226,0.701403,0.000000,0.880587,0.702421,0.511243, 
15,0.331126,0.403226,0.605342,0.000000,0.575889,0.638272,0.425643, 
16,0.312500,0.675569,0.000000,0.756245,0.526316,0.585427,0.476009, 
17,0.418410,0.545553,0.815847,0.722733,0.594650,0.735974,0.638861, 
18,0.486586,0.561458,0.193409,0.672017,0.700719,0.900270,0.585743, 
19,0.786951,0.741251,0.769808,0.883586,0.894131,0.827803,0.817255, 
20,0.769865,0.029589,0.631103,0.843373,0.760788,0.861620,0.649390, 
21,0.534321,0.649351,0.614255,0.116511,0.608696,0.901893,0.570838, 
22,0.305623,0.549451,0.697970,0.788312,0.549451,0.934163,0.637495, 
23,0.604062,0.495785,0.749643,0.641603,0.925929,0.808030,0.704175, 
24,0.765662,0.003421,0.628693,0.899233,0.888003,0.793329,0.663057, 
25,0.331126,0.403226,0.308831,0.780564,0.872774,0.635795,0.555386, 
26,0.397456,0.676612,0.820970,0.836843,0.719594,0.932612,0.730681, 
27,0.105922,0.733023,0.253972,0.661521,0.826334,0.883818,0.577432, 
28,0.375940,0.363636,0.585346,0.000000,0.831548,0.728841,0.480885, 
29,0.026834,0.465246,0.385182,0.556170,0.737086,0.720473,0.481832, 
30,0.757631,0.882200,0.905751,0.942003,0.707844,0.960350,0.859296, 
31,0.490196,0.502428,0.285662,0.660758,0.673684,0.884083,0.582802, 
