é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.292050,0.218711,0.451046,0.460530,0.797508,0.445817,0.444277, 
2,0.097573,0.835619,0.326251,0.237287,0.156411,0.668875,0.387003, 
3,0.438252,0.448718,0.630862,0.830068,0.591512,0.900155,0.639928, 
4,0.413996,0.370370,0.624977,0.717542,0.842322,0.979295,0.658084, 
5,0.330688,0.462963,0.478153,0.543863,0.596372,0.737448,0.524914, 
6,0.602797,0.476190,0.775962,0.740872,0.966757,0.860848,0.737238, 
7,0.838225,0.378628,0.568574,0.511662,0.322232,0.888141,0.584577, 
8,0.272817,0.406872,0.519966,0.734418,0.721633,0.656714,0.552070, 
9,0.498807,0.522901,0.576865,0.547560,0.629100,0.821566,0.599466, 
10,0.415722,0.498016,0.670137,0.485079,0.780225,0.604068,0.575541, 
11,0.220088,0.238095,0.097965,0.450452,0.502102,0.500042,0.334791, 
12,0.270563,0.378788,0.565907,0.565907,0.610285,0.626933,0.503064, 
13,0.223214,0.256410,0.476662,0.000000,0.598069,0.407998,0.327059, 
14,0.234434,0.252525,0.540123,0.000000,0.786651,0.541332,0.392511, 
15,0.198413,0.252525,0.434043,0.000000,0.404385,0.468722,0.293015, 
16,0.185185,0.510083,0.000000,0.608034,0.357143,0.413854,0.345716, 
17,0.264550,0.375093,0.688970,0.565844,0.423133,0.582246,0.483306, 
18,0.321515,0.390297,0.107058,0.506043,0.539313,0.818628,0.447142, 
19,0.648739,0.588879,0.625763,0.791450,0.808532,0.706198,0.694927, 
20,0.625837,0.015017,0.461031,0.729167,0.613929,0.756882,0.533644, 
21,0.364556,0.480769,0.443266,0.061859,0.437500,0.821316,0.434878, 
22,0.180375,0.378788,0.536062,0.650590,0.378788,0.876459,0.500177, 
23,0.432729,0.329597,0.599544,0.472323,0.862074,0.677894,0.562360, 
24,0.620302,0.001714,0.458463,0.816914,0.798566,0.657453,0.558902, 
25,0.198413,0.252525,0.182614,0.640103,0.774267,0.466055,0.418996, 
26,0.248016,0.511272,0.696310,0.719458,0.562005,0.873734,0.601799, 
27,0.055923,0.578560,0.145457,0.494233,0.704062,0.791822,0.461676, 
28,0.231481,0.222222,0.413773,0.000000,0.711667,0.573368,0.358752, 
29,0.013599,0.303140,0.238530,0.385205,0.583639,0.563078,0.347865, 
30,0.609827,0.789229,0.827737,0.890364,0.547801,0.923724,0.764780, 
31,0.324675,0.335495,0.166631,0.493382,0.507937,0.792248,0.436728, 
32,0.735668,0.544132,0.789405,0.410836,0.325655,0.773064,0.596460, 
33,0.297619,0.657237,0.011663,0.761854,0.836709,0.794036,0.559853, 
34,0.248016,0.345955,0.512387,0.240879,0.615589,0.805571,0.461399, 
35,0.192577,0.697026,0.587670,0.565082,0.616539,0.484474,0.523895, 
36,0.231481,0.370370,0.540123,0.070480,0.796690,0.793651,0.467133, 
37,0.259312,0.403508,0.511404,0.567253,0.710790,0.579016,0.505214, 
38,0.282024,0.489510,0.833333,0.614749,0.217747,0.835317,0.545447, 
39,0.258799,0.863446,0.651620,0.657694,0.769313,0.592608,0.632247, 
40,0.198413,0.416667,0.361446,0.060032,0.849030,0.621704,0.417882, 
41,0.277778,0.531967,0.000000,0.493827,0.572145,0.637436,0.418859, 
42,0.162338,0.242424,0.404040,0.727804,0.000000,0.417669,0.325713, 
43,0.290360,0.442022,0.173290,0.527361,0.596415,0.787548,0.469499, 
44,0.696588,0.000000,0.596743,0.440359,0.585955,0.429980,0.458271, 
45,0.368481,0.769134,0.439530,0.684386,0.856365,0.844333,0.660371, 
46,0.402105,0.434783,0.689748,0.778040,0.549160,0.764178,0.603002, 
47,0.270563,0.378788,0.521880,0.687813,0.708655,0.547752,0.519242, 
48,0.554723,0.213015,0.174466,0.507039,0.625541,0.547996,0.437130, 
49,0.551631,0.638889,0.414271,0.506975,0.419230,0.635927,0.527820, 
50,0.257937,0.324074,0.655271,0.108731,0.909425,0.919896,0.529222, 
51,0.226757,0.721019,0.000000,0.591584,0.608720,0.499242,0.441220, 
52,0.494228,0.550182,0.783342,0.621663,0.547138,0.623590,0.603357, 
53,0.416136,0.517373,0.415919,0.504981,0.930916,0.654633,0.573327, 
54,0.288600,0.437500,0.636570,0.675835,0.665285,0.711893,0.569281, 
55,0.253708,0.340840,0.345890,0.521522,0.468648,0.932525,0.477189, 
56,0.270563,0.378788,0.361571,0.633765,0.790597,0.468352,0.483939, 
57,0.238095,0.587699,0.357235,0.432539,0.512239,0.585205,0.452169, 
58,0.477403,0.691012,0.442061,0.177833,0.624575,0.716534,0.521570, 
59,0.248016,0.231481,0.493148,0.326913,0.743880,0.810013,0.475575, 
60,0.022943,0.394290,0.804490,0.560852,0.607152,0.553872,0.490600, 
61,0.186633,0.046122,0.341977,0.314905,0.357143,0.664690,0.318578, 
62,0.366300,0.769467,0.237647,0.477257,0.936624,0.854192,0.606915, 
63,0.354308,0.735704,0.757460,0.660557,0.892147,0.973456,0.728939, 
64,0.337302,0.399045,0.579665,0.505648,0.508848,0.777586,0.518016, 
65,0.145503,0.162737,0.000000,0.269796,0.305173,0.414688,0.216316, 
66,0.248016,0.354126,0.173409,0.616052,0.589796,0.900794,0.480365, 
67,0.266831,0.486111,0.376490,0.587055,0.818859,0.876121,0.568578, 
68,0.556809,0.013253,0.440946,0.680197,0.768723,0.746246,0.534363, 
69,0.232804,0.634487,0.226372,0.523893,0.795609,0.669001,0.513694, 
70,0.340909,0.358666,0.793767,0.388440,0.815207,0.637727,0.555786, 
71,0.454070,0.528645,0.360468,0.502598,0.571433,0.810761,0.537996, 
72,0.324675,0.884018,0.293164,0.428715,0.799254,0.664382,0.565701, 
73,0.322421,0.249788,0.114750,0.542966,0.572303,0.767979,0.428368, 
74,0.371315,0.179533,0.693565,0.555437,0.624494,0.691448,0.519299, 
75,0.170068,0.555710,0.000000,0.311774,0.375458,0.311413,0.287404, 
76,0.231481,0.347222,0.867274,0.732702,0.676407,0.756379,0.601911, 
77,0.593404,0.049532,0.358035,0.922035,0.566654,0.563233,0.508816, 
78,0.281685,0.910196,0.627811,0.500645,0.775080,0.497600,0.598836, 
79,0.227273,0.328283,0.481915,0.000000,0.706123,0.454834,0.366405, 
80,0.827510,0.532516,0.850077,0.450499,0.684479,0.894553,0.706606, 
81,0.246513,0.375907,0.579105,0.297351,0.638629,0.620192,0.459616, 
82,0.446160,0.768040,0.399681,0.808120,0.602524,0.815361,0.639981, 
83,0.235156,0.576368,0.141674,0.542469,0.335245,0.733686,0.427433, 
84,0.347222,0.476190,0.491877,0.624163,0.682864,0.869915,0.582039, 
85,0.341782,0.399845,0.854644,0.380263,0.484950,0.872509,0.555665, 
86,0.249853,0.853329,0.444763,0.800725,0.765072,0.676563,0.631717, 
87,0.257035,0.492063,0.495406,0.783358,0.670287,0.471498,0.528275, 
88,0.459001,0.135989,0.371138,0.462963,0.277778,0.315143,0.337002, 
89,0.278287,0.400641,0.000000,0.584037,0.700107,0.406942,0.395002, 
90,0.577775,0.639660,0.417099,0.692556,0.596993,0.932082,0.642694, 
91,0.330688,0.348267,0.495892,0.019384,0.684932,0.683475,0.427106, 
92,0.347222,0.347222,0.461860,0.620597,0.778272,0.947478,0.583775, 
93,0.025439,0.212270,0.476671,0.396825,0.552803,0.647452,0.385243, 
94,0.402987,0.381117,0.449335,0.719458,0.142473,0.977259,0.512105, 
95,0.396825,0.555556,0.000000,0.632155,0.701500,0.399918,0.447659, 
96,0.242765,0.863520,0.407867,0.736673,0.658133,0.551157,0.576686, 
97,0.335498,0.454545,0.254353,0.606842,0.728451,0.557217,0.489484, 
98,0.297619,0.643849,0.517969,0.564610,0.707930,0.636855,0.561472, 
