ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.156853, 0.227256,0.193751, 0.313705,0.155317, 0.281997,0.132263, 0.204209,0.041449, 0.155317,0.063304, 0.074579,0.514127
2,0.110620, 0.178277,0.148989, 0.273561,0.136780, 0.190590,0.178277, 0.183216,0.178277, 0.183216,0.086121, 0.152077,0.321871
3,0.136260, 0.319027,0.187974, 0.238945,0.157299, 0.206739,0.119473, 0.239541,0.100782, 0.112919,0.041754, 0.139286,0.512916
4,0.165665, 0.197445,0.183392, 0.402197,0.121434, 0.183392,0.136212, 0.192915,0.054985, 0.136212,0.060486, 0.165665,0.555652
5,0.129858, 0.227275,0.166438, 0.267151,0.120868, 0.270991,0.107707, 0.177009,0.134978, 0.206728,0.060662, 0.130335,0.558978
6,0.142859, 0.307431,0.160781, 0.261423,0.149561, 0.160781,0.146598, 0.161711,0.102477, 0.194334,0.058764, 0.153280,0.477918
7,0.123921, 0.340096,0.167414, 0.190273,0.164870, 0.207087,0.166561, 0.180411,0.122615, 0.174387,0.038445, 0.123921,0.432349
8,0.192703, 0.298286,0.234943, 0.240957,0.144436, 0.238183,0.084621, 0.192703,0.074571, 0.154933,0.051576, 0.092088,0.434298
9,0.206052, 0.310311,0.146298, 0.214696,0.144585, 0.206052,0.107348, 0.216389,0.102516, 0.116493,0.077578, 0.151681,0.431245
10,0.200272, 0.288619,0.172473, 0.247550,0.144310, 0.224139,0.135721, 0.187334,0.082517, 0.173555,0.037660, 0.105851,0.454095
11,0.253364, 0.259221,0.218876, 0.271632,0.111390, 0.164541,0.124395, 0.218876,0.079322, 0.127475,0.059519, 0.111390,0.306269
12,0.166673, 0.272199,0.157053, 0.235568,0.136100, 0.253567,0.117784, 0.235109,0.107270, 0.190946,0.043404, 0.084328,0.543433
13,0.185892, 0.223687,0.206425, 0.211479,0.105294, 0.206796,0.206425, 0.211479,0.105294, 0.206796,0.044737, 0.085694,0.291867
14,0.132644, 0.221656,0.181212, 0.265288,0.147876, 0.195184,0.195184, 0.218517,0.103106, 0.190530,0.047632, 0.101170,0.384689
15,0.187638, 0.269350,0.165962, 0.238011,0.119005, 0.200686,0.164144, 0.188181,0.064966, 0.115859,0.110285, 0.175914,0.376000
16,0.203776, 0.266009,0.133004, 0.237815,0.208672, 0.257006,0.127897, 0.217726,0.079575, 0.112259,0.074530, 0.081731,0.345091
17,0.254974, 0.263323,0.195255, 0.269422,0.118012, 0.195255,0.131072, 0.175155,0.086331, 0.122674,0.060134, 0.128392,0.308442
18,0.168090, 0.395857,0.168250, 0.256278,0.117410, 0.204152,0.100407, 0.173131,0.061874, 0.117590,0.057578, 0.179384,0.652783
19,0.160870, 0.330163,0.130850, 0.262496,0.161213, 0.230658,0.109124, 0.137321,0.102396, 0.131108,0.073954, 0.169847,0.523184
20,0.159504, 0.246874,0.246874, 0.316122,0.128843, 0.206829,0.140383, 0.183329,0.064183, 0.140383,0.037832, 0.128843,0.444760
21,0.193925, 0.351991,0.157193, 0.193925,0.169289, 0.174685,0.157193, 0.193925,0.087343, 0.091973,0.066253, 0.162305,0.337608
22,0.179370, 0.272253,0.192524, 0.192524,0.139070, 0.213173,0.136127, 0.278257,0.096262, 0.096262,0.065106, 0.139070,0.383081
23,0.236385, 0.261550,0.130583, 0.227648,0.127157, 0.255780,0.111087, 0.238332,0.061076, 0.127157,0.085230, 0.138017,0.496966
24,0.183988, 0.275096,0.273430, 0.273950,0.136715, 0.186795,0.093379, 0.136715,0.066861, 0.183988,0.054790, 0.134294,0.381676
25,0.145236, 0.208362,0.197304, 0.248654,0.187324, 0.265173,0.121484, 0.195927,0.103247, 0.148424,0.066293, 0.112573,0.358222
26,0.182567, 0.208064,0.129909, 0.239509,0.168333, 0.240297,0.102521, 0.181387,0.119754, 0.228484,0.054987, 0.144187,0.483856
27,0.264264, 0.264264,0.128978, 0.263250,0.120321, 0.269924,0.132132, 0.132132,0.087750, 0.137389,0.053985, 0.145613,0.425141
28,0.202020, 0.223967,0.137454, 0.251676,0.136926, 0.223222,0.191047, 0.202020,0.066757, 0.136926,0.090530, 0.137454,0.350531
29,0.303962, 0.350304,0.147304, 0.156581,0.125218, 0.186668,0.088006, 0.158482,0.116768, 0.169397,0.072093, 0.125218,0.293299
30,0.170112, 0.418707,0.131667, 0.215789,0.132637, 0.175552,0.095642, 0.140409,0.107894, 0.205311,0.059815, 0.146466,0.604468
31,0.246860, 0.273482,0.090407, 0.224794,0.175333, 0.246860,0.090407, 0.224794,0.094610, 0.190098,0.047305, 0.095049,0.510154
32,0.180735, 0.318279,0.159139, 0.249729,0.166396, 0.217371,0.132635, 0.168760,0.056635, 0.083198,0.073130, 0.193993,0.462659
33,0.158880, 0.339415,0.122806, 0.216380,0.216380, 0.254982,0.127135, 0.134370,0.059731, 0.167712,0.056569, 0.145640,0.516997
34,0.176045, 0.319989,0.091446, 0.176783,0.176783, 0.249164,0.119041, 0.232522,0.106963, 0.189311,0.037218, 0.124736,0.585009
35,0.235363, 0.345964,0.166823, 0.236044,0.158640, 0.206458,0.125568, 0.173794,0.066366, 0.137500,0.056302, 0.091178,0.381877
36,0.158403, 0.244014,0.168069, 0.190397,0.179301, 0.205862,0.170538, 0.179301,0.081338, 0.198125,0.056584, 0.168069,0.371534
37,0.183993, 0.315884,0.207528, 0.251519,0.150750, 0.237758,0.088725, 0.183993,0.082212, 0.156288,0.035826, 0.105526,0.501934
38,0.141921, 0.275845,0.137923, 0.380135,0.158300, 0.185404,0.108755, 0.163650,0.136765, 0.159406,0.039242, 0.112656,0.554190
39,0.222579, 0.351023,0.141462, 0.222579,0.140360, 0.204863,0.100115, 0.214133,0.094806, 0.162136,0.049595, 0.096349,0.502166
40,0.160635, 0.259193,0.171158, 0.189955,0.124257, 0.209006,0.147572, 0.171158,0.104503, 0.196601,0.093529, 0.172434,0.396694
41,0.259146, 0.266008,0.092615, 0.219799,0.219799, 0.279717,0.133004, 0.163806,0.081739, 0.132065,0.055943, 0.096358,0.315506
42,0.191814, 0.221490,0.191814, 0.199233,0.154717, 0.191814,0.109667, 0.204641,0.178166, 0.219334,0.042963, 0.094349,0.261720
43,0.181245, 0.359050,0.185374, 0.271057,0.134667, 0.165454,0.094393, 0.181245,0.064802, 0.114303,0.059977, 0.188433,0.559084
44,0.119218, 0.224427,0.224427, 0.322919,0.148559, 0.246523,0.138285, 0.162374,0.067678, 0.157683,0.052551, 0.135355,0.498564
45,0.196843, 0.332608,0.135806, 0.222526,0.085794, 0.196843,0.095602, 0.194999,0.084152, 0.231871,0.073232, 0.149723,0.657143
46,0.125029, 0.345380,0.209997, 0.277718,0.153784, 0.209997,0.125195, 0.180621,0.090310, 0.140109,0.016830, 0.125029,0.557709
47,0.182724, 0.205180,0.198911, 0.246499,0.181917, 0.217540,0.102590, 0.190814,0.091312, 0.198911,0.054385, 0.129218,0.376322
48,0.166803, 0.285915,0.228351, 0.229029,0.093745, 0.188756,0.142957, 0.233270,0.109426, 0.167652,0.060352, 0.093745,0.396733
49,0.146525, 0.323312,0.164096, 0.193967,0.147196, 0.173269,0.086634, 0.150297,0.161656, 0.199408,0.089544, 0.164096,0.408698
50,0.161607, 0.220198,0.176336, 0.311668,0.156912, 0.196887,0.138367, 0.176336,0.086866, 0.161607,0.056306, 0.156912,0.447214
51,0.191368, 0.286234,0.139118, 0.279888,0.212646, 0.229974,0.113463, 0.209359,0.088022, 0.126060,0.039516, 0.084353,0.431734
52,0.193475, 0.316319,0.154121, 0.196500,0.153957, 0.244402,0.094506, 0.154395,0.098250, 0.119070,0.075398, 0.199608,0.460586
