é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.639305,0.511458,0.585845,0.723587,0.704333,0.149075,0.552267, 
2,0.176028,0.890586,0.713296,0.053077,0.032846,0.640483,0.417719, 
3,0.867497,0.675247,0.903511,0.666415,0.216472,0.821212,0.691726, 
4,0.370001,0.417860,0.547597,0.750416,0.620352,0.857981,0.594034, 
5,0.566725,0.832653,0.571094,0.881794,0.524269,0.664587,0.673521, 
6,0.919325,0.889336,0.302754,0.402398,0.808135,0.806051,0.688000, 
7,0.786132,0.372123,0.826025,0.363955,0.682234,0.744391,0.629143, 
8,0.859852,0.113448,0.780503,0.713934,0.830916,0.448850,0.624584, 
9,0.769246,0.768370,0.922920,0.709886,0.245261,0.692218,0.684650, 
10,0.773794,0.857646,0.858190,0.793443,0.953087,0.632604,0.811461, 
11,0.080310,0.407502,0.257015,0.719897,0.640893,0.540689,0.441051, 
12,0.859591,0.879646,0.676181,0.676724,0.791937,0.452396,0.722746, 
13,0.425156,0.096226,0.703349,0.000000,0.741492,0.452668,0.403149, 
14,0.538452,0.747387,0.842141,0.000000,0.820534,0.553252,0.583627, 
15,0.737098,0.837542,0.715494,0.377367,0.475292,0.638321,0.630186, 
16,0.615458,0.857522,0.024513,0.695498,0.486251,0.097836,0.462846, 
17,0.112556,0.628651,0.659487,0.847081,0.533105,0.655512,0.572732, 
18,0.717357,0.869551,0.738058,0.800622,0.482798,0.930503,0.756481, 
19,0.899665,0.863387,0.753791,0.392774,0.446148,0.813019,0.694797, 
20,0.764164,0.036942,0.823692,0.769667,0.685391,0.769170,0.641504, 
21,0.711756,0.537276,0.165047,0.471545,0.088511,0.813819,0.464659, 
22,0.797681,0.000000,0.894834,0.434109,0.000000,0.691372,0.469666, 
23,0.304724,0.788041,0.636192,0.640872,0.567881,0.547618,0.580888, 
24,0.788443,0.000000,0.668512,0.323505,0.921118,0.724397,0.570996, 
25,0.476178,0.678552,0.329001,0.870500,0.622365,0.496881,0.578913, 
26,0.308128,0.854093,0.631491,0.864144,0.577259,0.778358,0.668912, 
27,0.000000,0.853711,0.572511,0.000000,0.663448,0.791164,0.480139, 
28,0.271033,0.933609,0.820251,0.000000,0.669051,0.502062,0.532668, 
29,0.000000,0.120440,0.603836,0.589873,0.689634,0.550166,0.425658, 
30,0.668502,0.714621,0.496563,0.389599,0.730490,0.764619,0.627399, 
31,0.319544,0.638208,0.527140,0.617326,0.873607,0.508607,0.580739, 
32,0.859431,0.950624,0.785839,0.751627,0.050533,0.819355,0.702901, 
33,0.873540,0.685835,0.000000,0.215219,0.843462,0.777673,0.565955, 
34,0.873095,0.289016,0.501842,0.691716,0.801073,0.744872,0.650269, 
35,0.515856,0.818117,0.887007,0.891208,0.671988,0.398866,0.697174, 
36,0.744766,0.365050,0.613696,0.254874,0.910222,0.886612,0.629203, 
37,0.853335,0.589932,0.806076,0.772856,0.851077,0.624949,0.749704, 
38,0.845818,0.584433,0.622339,0.759820,0.369226,0.680891,0.643755, 
39,0.576813,0.801460,0.881316,0.689583,0.804756,0.500701,0.709105, 
40,0.826283,0.316457,0.815288,0.564359,0.786025,0.720906,0.671553, 
41,0.093448,0.614470,0.000000,0.678434,0.669553,0.448023,0.417321, 
42,0.349805,0.138136,0.764111,0.774325,0.025986,0.536990,0.431559, 
43,0.747344,0.696094,0.340450,0.817145,0.458897,0.894172,0.659017, 
44,0.525486,0.257672,0.759664,0.572939,0.817692,0.743288,0.612790, 
45,0.748150,0.776846,0.547716,0.752835,0.773846,0.706645,0.717673, 
46,0.777021,0.477017,0.967417,0.949611,0.664875,0.685169,0.753518, 
47,0.276448,0.644880,0.587364,0.809584,0.854420,0.696661,0.644893, 
48,0.919383,0.013481,0.500038,0.492874,0.735987,0.385174,0.507823, 
49,0.883874,0.460009,0.540672,0.489989,0.266333,0.694953,0.555972, 
50,0.590070,0.626046,0.799693,0.775126,0.855447,0.836273,0.747109, 
51,0.807832,0.830671,0.000000,0.769745,0.551120,0.479912,0.573213, 
52,0.810557,0.595301,0.745029,0.573782,0.344638,0.791810,0.643520, 
53,0.659382,0.709142,0.585270,0.748353,0.687851,0.835154,0.704192, 
54,0.828072,0.516719,0.542486,0.730602,0.797103,0.662791,0.679629, 
55,0.936353,0.223284,0.430848,0.708193,0.358211,0.858889,0.585963, 
56,0.608935,0.477419,0.825873,0.698060,0.948147,0.341622,0.650009, 
57,0.411213,0.547956,0.521282,0.523055,0.394469,0.455786,0.475627, 
58,0.940936,0.785755,0.315292,0.350510,0.387866,0.678581,0.576490, 
59,0.302397,0.748504,0.587213,0.757928,0.543204,0.644085,0.597222, 
60,0.404680,0.964320,0.693437,0.806870,0.623712,0.663365,0.692731, 
61,0.513666,0.311274,0.368129,0.525783,0.169090,0.516015,0.400660, 
62,0.245693,0.838626,0.085884,0.553015,0.795925,0.838810,0.559659, 
63,0.000000,0.724042,0.712812,0.263708,0.698644,0.799831,0.533173, 
64,0.759241,0.497497,0.609110,0.646146,0.300732,0.770348,0.597179, 
65,0.177020,0.205449,0.582725,0.039732,0.515301,0.661489,0.363619, 
66,0.449789,0.759882,0.000000,0.653875,0.753059,0.702786,0.553232, 
67,0.452467,0.774983,0.514961,0.677490,0.727944,0.887280,0.672521, 
68,0.918759,0.000000,0.000000,0.619557,0.877315,0.837981,0.542269, 
69,0.695280,0.684101,0.810156,0.000000,0.840626,0.562522,0.598781, 
70,0.634412,0.864629,0.817778,0.567319,0.577537,0.510353,0.662005, 
71,0.440041,0.666543,0.723609,0.623684,0.830595,0.784110,0.678097, 
72,0.560495,0.731241,0.000000,0.737042,0.892948,0.692018,0.602290, 
73,0.884765,0.486757,0.649442,0.592407,0.922591,0.825586,0.726925, 
74,0.919869,0.477796,0.895439,0.437652,0.443864,0.664034,0.639776, 
75,0.364142,0.801193,0.279837,0.531744,0.269627,0.263140,0.418281, 
76,0.652301,0.895012,0.722257,0.723777,0.692125,0.609237,0.715785, 
77,0.802645,0.000000,0.662052,0.447234,0.586256,0.592151,0.515056, 
78,0.531689,0.890232,0.313689,0.275085,0.924581,0.455800,0.565179, 
79,0.697890,0.568906,0.841586,0.304151,0.651733,0.783112,0.641229, 
80,0.876855,0.663372,0.615450,0.446431,0.564721,0.762889,0.654953, 
81,0.760685,0.124062,0.629181,0.701947,0.884458,0.509196,0.601588, 
82,0.778948,0.511080,0.681396,0.220724,0.519856,0.647258,0.559877, 
83,0.562887,0.561099,0.000000,0.779753,0.754414,0.537148,0.532550, 
84,0.759418,0.886861,0.549752,0.798978,0.702669,0.874570,0.762041, 
85,0.312070,0.693487,0.770798,0.772724,0.590155,0.872812,0.668674, 
86,0.830185,0.688395,0.714985,0.567364,0.391193,0.546180,0.623050, 
87,0.652631,0.936090,0.808536,0.706383,0.555798,0.513635,0.695512, 
88,0.471469,0.398584,0.219804,0.219804,0.137947,0.355236,0.300474, 
89,0.908346,0.222882,0.298005,0.726039,0.771608,0.516675,0.573926, 
90,0.875211,0.169900,0.575981,0.486313,0.619095,0.871400,0.599650, 
91,0.581779,0.781517,0.465969,0.050385,0.727110,0.641544,0.541384, 
92,0.308687,0.800834,0.340555,0.548698,0.735795,0.914420,0.608165, 
93,0.129201,0.712075,0.000000,0.682222,0.873430,0.734901,0.521972, 
94,0.853939,0.467341,0.524515,0.832495,0.120865,0.698014,0.582862, 
95,0.640220,0.803427,0.000000,0.837743,0.716060,0.329753,0.554534, 
96,0.452701,0.832929,0.562930,0.702774,0.970112,0.501760,0.670534, 
97,0.076284,0.847767,0.752274,0.597704,0.902489,0.808959,0.664246, 
98,0.417869,0.760400,0.609709,0.645172,0.838257,0.611450,0.647143, 
99,0.432496,0.851572,0.187761,0.872038,0.496236,0.777441,0.602924, 
100,0.719775,0.386178,0.570227,0.621151,0.731844,0.511905,0.590180, 
101,0.592881,0.798270,0.000000,0.886005,0.000000,0.644294,0.486908, 
102,0.794760,0.240560,0.495938,0.861199,0.075341,0.723101,0.531817, 
103,0.000000,0.000000,0.593082,0.796696,0.502901,0.755708,0.441398, 
104,0.542697,0.945283,0.700337,0.893562,0.918851,0.634834,0.772594, 
105,0.906572,0.695646,0.946323,0.513478,0.653304,0.747293,0.743769, 
106,0.625364,0.955428,0.735637,0.891884,0.835677,0.479373,0.753894, 
107,0.367108,0.770311,0.570732,0.632221,0.701619,0.735934,0.629654, 
108,0.717677,0.789241,0.457841,0.595298,0.915330,0.864981,0.723395, 
109,0.927461,0.909856,0.000000,0.660458,0.839580,0.811724,0.691513, 
110,0.787303,0.691157,0.686599,0.636412,0.899090,0.134287,0.639142, 
111,0.180058,0.818980,0.853857,0.557078,0.611399,0.601675,0.603841, 
112,0.626044,0.498443,0.901498,0.790436,0.503352,0.367340,0.614519, 
113,0.799442,0.710786,0.769964,0.825917,0.741979,0.818836,0.777821, 
114,0.291966,0.238455,0.665149,0.725886,0.476547,0.838595,0.539433, 
115,0.316719,0.885650,0.583414,0.674389,0.951103,0.765051,0.696054, 
116,0.782083,0.325640,0.391528,0.855674,0.983329,0.751696,0.681659, 
117,0.864743,0.859554,0.543469,0.802844,0.588929,0.743728,0.733878, 
118,0.660185,0.698371,0.520141,0.274453,0.764954,0.920462,0.639761, 
119,0.812748,0.379718,0.748737,0.831105,0.924637,0.711135,0.734680, 
120,0.060640,0.832815,0.772457,0.444439,0.843475,0.853941,0.634628, 
121,0.435804,0.539257,0.691814,0.603534,0.888627,0.790467,0.658251, 
122,0.264787,0.897166,0.659162,0.644617,0.446316,0.714342,0.604398, 
123,0.393439,0.793394,0.778939,0.000000,0.925157,0.649997,0.590155, 
124,0.521778,0.627261,0.000219,0.611929,0.862369,0.531819,0.525896, 
125,0.849976,0.610367,0.408296,0.634157,0.891044,0.555056,0.658149, 
