é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.469837,0.343597,0.414272,0.566891,0.543607,0.080541,0.403124, 
2,0.096508,0.802754,0.554359,0.027262,0.016697,0.471111,0.328115, 
3,0.766000,0.509715,0.824004,0.499717,0.121373,0.696657,0.569578, 
4,0.226994,0.264111,0.377029,0.600532,0.449645,0.751284,0.444932, 
5,0.395406,0.713287,0.399673,0.788580,0.355260,0.497664,0.524978, 
6,0.850694,0.800724,0.178380,0.251876,0.678042,0.675113,0.572472, 
7,0.647626,0.228594,0.703613,0.222460,0.517720,0.592852,0.485478, 
8,0.754158,0.060135,0.640021,0.555130,0.710742,0.289366,0.501592, 
9,0.625021,0.623865,0.856872,0.550251,0.139770,0.529307,0.554181, 
10,0.631048,0.750771,0.751605,0.657609,0.910378,0.462635,0.694008, 
11,0.041835,0.255888,0.147457,0.562375,0.471555,0.370510,0.308270, 
12,0.753757,0.785150,0.510780,0.511400,0.655543,0.292320,0.584825, 
13,0.269967,0.050545,0.542436,0.000000,0.589183,0.292547,0.290780, 
14,0.368412,0.596662,0.727326,0.000000,0.695682,0.382410,0.461749, 
15,0.583654,0.720492,0.557018,0.232564,0.311726,0.468775,0.479038, 
16,0.444521,0.750581,0.012409,0.533152,0.321223,0.051434,0.352220, 
17,0.059634,0.458418,0.491966,0.734728,0.363424,0.487555,0.432621, 
18,0.559280,0.769209,0.584859,0.667531,0.318216,0.870037,0.628189, 
19,0.817628,0.759614,0.604867,0.244380,0.287124,0.684947,0.566427, 
20,0.618337,0.018819,0.700235,0.625576,0.521365,0.624920,0.518209, 
21,0.552501,0.367312,0.089946,0.308511,0.046305,0.686083,0.341776, 
22,0.663452,0.000000,0.809682,0.277228,0.000000,0.528318,0.379780, 
23,0.179749,0.650221,0.466482,0.471532,0.396532,0.377048,0.423594, 
24,0.650769,0.000000,0.502079,0.192965,0.853771,0.567885,0.461245, 
25,0.312489,0.513492,0.196889,0.770696,0.451763,0.330567,0.429316, 
26,0.182122,0.745343,0.461445,0.760786,0.405738,0.637141,0.532096, 
27,0.000000,0.744761,0.401061,0.000000,0.496387,0.654485,0.382782, 
28,0.156760,0.875484,0.695276,0.000000,0.502687,0.335169,0.427563, 
29,0.000000,0.064079,0.432496,0.418312,0.526292,0.379468,0.303441, 
30,0.502067,0.555962,0.330285,0.241927,0.575411,0.618934,0.470764, 
31,0.190153,0.468653,0.357902,0.446473,0.775580,0.341028,0.429965, 
32,0.753510,0.905894,0.647229,0.602085,0.025921,0.693989,0.604771, 
33,0.775474,0.521879,0.000000,0.120586,0.729298,0.636223,0.463910, 
34,0.774772,0.168918,0.334972,0.528720,0.668158,0.593463,0.511500, 
35,0.347578,0.692216,0.796957,0.803766,0.506010,0.249115,0.565940, 
36,0.593328,0.223279,0.442685,0.146049,0.835236,0.796319,0.506149, 
37,0.744189,0.418371,0.675149,0.629800,0.740761,0.454492,0.610460, 
38,0.732829,0.412861,0.451736,0.612670,0.226412,0.516175,0.492114, 
39,0.405297,0.668696,0.787814,0.526232,0.673298,0.333956,0.565882, 
40,0.703988,0.187971,0.688174,0.393106,0.647480,0.563607,0.530721, 
41,0.049014,0.443491,0.000000,0.513356,0.503254,0.288678,0.299632, 
42,0.211978,0.074192,0.618268,0.631754,0.013164,0.367044,0.319400, 
43,0.596607,0.533852,0.205146,0.690825,0.297772,0.808599,0.522133, 
44,0.356379,0.147890,0.612466,0.401482,0.691606,0.591455,0.466880, 
45,0.597636,0.635117,0.377141,0.603637,0.631116,0.546366,0.565169, 
46,0.635351,0.313212,0.936890,0.904057,0.497987,0.521108,0.634768, 
47,0.160394,0.475884,0.415793,0.680085,0.745840,0.534520,0.502086, 
48,0.850795,0.006786,0.333367,0.327029,0.582262,0.238523,0.389794, 
49,0.791912,0.298709,0.370494,0.324493,0.153624,0.532512,0.411958, 
50,0.418510,0.455652,0.666240,0.632820,0.747407,0.718617,0.606541, 
51,0.677617,0.710382,0.000000,0.625679,0.380376,0.315713,0.451628, 
52,0.681459,0.423793,0.593662,0.402310,0.208195,0.655369,0.494132, 
53,0.491849,0.549357,0.413698,0.597895,0.524218,0.716966,0.548997, 
54,0.706589,0.348362,0.372199,0.575550,0.662652,0.495653,0.526834, 
55,0.880323,0.125672,0.274574,0.548219,0.218183,0.752677,0.466608, 
56,0.437748,0.313559,0.703393,0.536170,0.901407,0.205998,0.516379, 
57,0.258822,0.377369,0.352523,0.354147,0.245693,0.295157,0.313952, 
58,0.888459,0.647114,0.187149,0.212496,0.240592,0.513524,0.448222, 
59,0.178132,0.598087,0.415641,0.610213,0.372875,0.475019,0.441661, 
60,0.253667,0.931098,0.530733,0.676263,0.453184,0.496294,0.556873, 
61,0.345593,0.184325,0.225587,0.356653,0.092353,0.347723,0.258705, 
62,0.140052,0.722098,0.044869,0.382185,0.661025,0.722371,0.445433, 
63,0.000000,0.567450,0.553774,0.151880,0.536858,0.666433,0.412732, 
64,0.611917,0.331112,0.437929,0.477265,0.176977,0.626477,0.443613, 
65,0.097105,0.114485,0.411158,0.020269,0.347075,0.494198,0.247381, 
66,0.290147,0.612750,0.000000,0.485746,0.603926,0.541766,0.422389, 
67,0.292379,0.632631,0.346766,0.512276,0.572257,0.797397,0.525618, 
68,0.849727,0.000000,0.000000,0.448811,0.781444,0.721142,0.466854, 
69,0.532896,0.519874,0.680893,0.000000,0.725069,0.391325,0.475009, 
70,0.464571,0.761539,0.691729,0.395984,0.406012,0.342600,0.510406, 
71,0.282085,0.499860,0.566918,0.453155,0.710271,0.644886,0.526196, 
72,0.389366,0.576343,0.000000,0.583584,0.806599,0.529073,0.480827, 
73,0.793343,0.321665,0.480870,0.420865,0.856305,0.702977,0.596004, 
