ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.126864, 0.257244,0.127323, 0.380134,0.122112, 0.315202,0.082743, 0.253728,0.000001, 0.196765,0.059401, 0.078482,0.963110
2,0.108151, 0.180746,0.129302, 0.293248,0.120902, 0.206468,0.173337, 0.188155,0.173337, 0.188155,0.057451, 0.180746,0.475039
3,0.103006, 0.352281,0.103364, 0.323556,0.137124, 0.226915,0.106730, 0.252284,0.091813, 0.121888,0.000001, 0.181040,0.915925
4,0.158386, 0.204725,0.163538, 0.422051,0.103777, 0.201049,0.123107, 0.206020,0.031684, 0.159514,0.044596, 0.181555,0.749826
5,0.117136, 0.239997,0.102246, 0.331343,0.054127, 0.337732,0.081376, 0.203340,0.113093, 0.228614,0.023675, 0.167323,1.016696
6,0.090555, 0.359735,0.155171, 0.267033,0.144015, 0.166328,0.141981, 0.166328,0.094654, 0.202156,0.045716, 0.166328,0.655815
7,0.118778, 0.345239,0.150007, 0.207679,0.141551, 0.230405,0.150007, 0.196964,0.100038, 0.196964,0.033232, 0.129134,0.612771
8,0.168205, 0.322784,0.228186, 0.247714,0.125229, 0.257390,0.039374, 0.237950,0.063260, 0.166244,0.034545, 0.109119,0.682403
9,0.200376, 0.315988,0.123351, 0.237643,0.132773, 0.217865,0.104331, 0.219406,0.100188, 0.118822,0.074625, 0.154634,0.528715
10,0.140701, 0.348191,0.088369, 0.331654,0.130641, 0.237807,0.113043, 0.210011,0.070004, 0.186067,0.029707, 0.113805,0.855070
11,0.246858, 0.265727,0.210407, 0.280101,0.106836, 0.169095,0.100920, 0.242351,0.073892, 0.132905,0.042762, 0.128146,0.436650
12,0.053973, 0.384900,0.084456, 0.308164,0.109718, 0.279948,0.108340, 0.244552,0.078780, 0.219436,0.039762, 0.087970,1.049941
13,0.101214, 0.308365,0.203304, 0.214601,0.103138, 0.208952,0.203304, 0.214601,0.103138, 0.208952,0.040958, 0.089474,0.489889
14,0.121565, 0.232735,0.103134, 0.343366,0.136210, 0.206850,0.171530, 0.242171,0.091308, 0.202328,0.046307, 0.102495,0.659890
15,0.173836, 0.283152,0.115984, 0.287988,0.100993, 0.218698,0.150089, 0.202236,0.051039, 0.129786,0.084213, 0.201986,0.647693
16,0.129392, 0.340392,0.118473, 0.252346,0.120054, 0.345623,0.112784, 0.232839,0.075414, 0.116419,0.066874, 0.089387,0.754015
17,0.240973, 0.277325,0.183693, 0.280984,0.104200, 0.209067,0.127805, 0.178422,0.083782, 0.125222,0.058952, 0.129574,0.401189
18,0.111832, 0.452115,0.102966, 0.321562,0.056710, 0.264852,0.032203, 0.241335,0.048004, 0.131459,0.024698, 0.212264,1.247175
19,0.103632, 0.387401,0.121990, 0.271357,0.123616, 0.268254,0.096899, 0.149546,0.082411, 0.151093,0.000001, 0.243800,0.942904
20,0.124880, 0.281498,0.215424, 0.347572,0.101933, 0.233739,0.127058, 0.196654,0.044456, 0.160110,0.002579, 0.164097,0.767340
21,0.175559, 0.370357,0.143887, 0.207231,0.164658, 0.179316,0.143887, 0.207231,0.085994, 0.093322,0.022331, 0.206227,0.527369
22,0.113598, 0.338025,0.192524, 0.192524,0.132967, 0.219276,0.129550, 0.284834,0.096262, 0.096262,0.044457, 0.159719,0.581283
23,0.226486, 0.271449,0.124484, 0.233747,0.120294, 0.262643,0.100451, 0.248967,0.041125, 0.147108,0.078610, 0.144637,0.617102
24,0.183676, 0.275408,0.272128, 0.275252,0.136064, 0.187446,0.093248, 0.136845,0.065455, 0.185394,0.054738, 0.134346,0.389381
25,0.130619, 0.222979,0.128548, 0.317410,0.144742, 0.307755,0.094431, 0.222979,0.086935, 0.164736,0.057379, 0.121486,0.714690
26,0.121842, 0.268789,0.057537, 0.311881,0.107925, 0.300705,0.088593, 0.195316,0.097658, 0.250581,0.025071, 0.174102,1.002748
27,0.264264, 0.264264,0.113209, 0.279019,0.069600, 0.320644,0.132132, 0.132132,0.086699, 0.138440,0.051622, 0.147975,0.564948
28,0.196534, 0.229453,0.121487, 0.267643,0.127199, 0.232949,0.180074, 0.212994,0.040069, 0.163614,0.035388, 0.192597,0.598500
29,0.249852, 0.404414,0.140318, 0.163566,0.115528, 0.196358,0.077972, 0.168516,0.109044, 0.177121,0.041368, 0.155943,0.531836
30,0.134209, 0.454609,0.056621, 0.290835,0.092201, 0.215988,0.090633, 0.145417,0.097218, 0.215988,0.053262, 0.153020,0.951715
31,0.211097, 0.309245,0.055030, 0.260171,0.162023, 0.260171,0.055030, 0.260171,0.009142, 0.275566,0.004571, 0.137783,1.006216
32,0.115247, 0.383767,0.138881, 0.269987,0.143604, 0.240163,0.109512, 0.191883,0.043891, 0.095942,0.045871, 0.221252,0.805987
33,0.106037, 0.392258,0.103505, 0.235681,0.208433, 0.262928,0.117840, 0.143665,0.000001, 0.227442,0.045142, 0.157067,0.838083
34,0.093096, 0.402938,0.055255, 0.212973,0.134114, 0.291833,0.079837, 0.271726,0.068361, 0.227912,0.007907, 0.154047,1.122861
35,0.216229, 0.365098,0.112204, 0.290664,0.103274, 0.261824,0.115450, 0.183912,0.058534, 0.145332,0.048444, 0.099036,0.691732
36,0.096576, 0.305840,0.154572, 0.203894,0.174919, 0.210244,0.157257, 0.192581,0.074395, 0.205068,0.045420, 0.179233,0.593720
