é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.561665,0.395553,0.310736,0.350908,0.508223,0.136287,0.377229, 
2,0.108138,0.609956,0.633778,0.097758,0.061603,0.870707,0.396990, 
3,0.561629,0.454150,0.668219,0.412219,0.300749,0.773315,0.528380, 
4,0.315819,0.317816,0.480581,0.661392,0.536108,0.956546,0.544710, 
5,0.437468,0.436496,0.211562,0.491948,0.450206,0.814471,0.473692, 
6,0.520098,0.810277,0.247443,0.405771,0.698660,0.861509,0.590626, 
7,0.618209,0.576716,0.675268,0.389694,0.683645,0.607313,0.591807, 
8,0.809632,0.195277,0.453994,0.302152,0.738770,0.475193,0.495836, 
9,0.638667,0.692016,0.705119,0.521395,0.186337,0.571494,0.552505, 
10,0.674732,0.411042,0.559878,0.618758,0.861597,0.491072,0.602846, 
11,0.134781,0.304326,0.185094,0.424234,0.498596,0.609884,0.359486, 
12,0.423054,0.447012,0.352464,0.440489,0.710953,0.342061,0.452672, 
13,0.675836,0.112970,0.551666,0.000000,0.596051,0.346541,0.380511, 
14,0.407626,0.416264,0.770436,0.069327,0.725032,0.401343,0.465005, 
15,0.780831,0.581382,0.509750,0.363727,0.386055,0.591329,0.535512, 
16,0.663508,0.746973,0.265994,0.499773,0.348226,0.160805,0.447546, 
17,0.259653,0.506224,0.558289,0.843621,0.414399,0.504448,0.514439, 
18,0.411421,0.457465,0.288264,0.286900,0.389855,0.746404,0.430052, 
19,0.493358,0.669493,0.414829,0.355543,0.686825,0.574243,0.532382, 
20,0.693799,0.175004,0.455217,0.690663,0.591026,0.699448,0.550859, 
21,0.591571,0.539341,0.244295,0.413993,0.073288,0.761296,0.437297, 
22,0.623812,0.000000,0.695177,0.306068,0.000000,0.823303,0.408060, 
23,0.321168,0.667217,0.421497,0.403996,0.483224,0.471622,0.461454, 
24,0.655231,0.000000,0.506461,0.194176,0.833759,0.568629,0.459709, 
25,0.371819,0.529485,0.368070,0.466753,0.778002,0.457907,0.495339, 
26,0.610634,0.393168,0.311237,0.562203,0.482717,0.865576,0.537589, 
27,0.000000,0.603099,0.239002,0.000000,0.517413,0.688232,0.341291, 
28,0.235140,0.684203,0.567372,0.000000,0.597538,0.890533,0.495798, 
29,0.205176,0.123688,0.490708,0.475518,0.680763,0.818392,0.465708, 
30,0.436954,0.426960,0.484702,0.284415,0.608747,0.712559,0.492389, 
31,0.595684,0.487469,0.435479,0.292481,0.375342,0.557394,0.457308, 
32,0.521378,0.762741,0.621384,0.728409,0.117124,0.740010,0.581841, 
33,0.489132,0.584872,0.013874,0.380714,0.439674,0.799466,0.451289, 
34,0.451842,0.323364,0.380424,0.312680,0.626759,0.662705,0.459629, 
35,0.408443,0.560349,0.378429,0.876393,0.537861,0.361371,0.520475, 
36,0.669010,0.493216,0.582312,0.313338,0.765265,0.955803,0.629824, 
37,0.770458,0.512991,0.432995,0.264132,0.804659,0.487333,0.545428, 
38,0.440055,0.367454,0.736788,0.679444,0.608100,0.553199,0.564173, 
39,0.488676,0.477187,0.229559,0.356886,0.882814,0.508525,0.490608, 
40,0.643290,0.423834,0.390103,0.690709,0.693607,0.672998,0.585757, 
41,0.289414,0.493673,0.000000,0.570539,0.548446,0.333245,0.372553, 
42,0.476950,0.445153,0.741922,0.534135,0.319592,0.411261,0.488169, 
43,0.573417,0.624102,0.375566,0.238891,0.389906,0.673012,0.479149, 
44,0.494170,0.312769,0.290926,0.980122,0.719811,0.763451,0.593541, 
45,0.571899,0.473994,0.243098,0.206470,0.327823,0.841638,0.444154, 
46,0.535867,0.436474,0.484126,0.387040,0.678535,0.565882,0.514654, 
47,0.530647,0.552427,0.579944,0.603307,0.746311,0.583396,0.599339, 
48,0.948848,0.040717,0.397615,0.397419,0.849230,0.530095,0.527321, 
49,0.661639,0.533648,0.536101,0.359024,0.183709,0.745876,0.503333, 
50,0.491481,0.512857,0.898679,0.729335,0.750007,0.952800,0.722527, 
51,0.520130,0.496147,0.329890,0.500843,0.604881,0.356881,0.468128, 
52,0.731269,0.576867,0.523978,0.446649,0.420092,0.704180,0.567172, 
53,0.381113,0.433069,0.305230,0.402739,0.746319,0.551300,0.469962, 
54,0.768279,0.453864,0.272318,0.661671,0.399393,0.611814,0.527890, 
55,0.731401,0.321656,0.392490,0.370592,0.305166,0.769746,0.481842, 
56,0.703498,0.445750,0.628953,0.422951,0.616673,0.369983,0.531301, 
57,0.643943,0.419568,0.340792,0.402795,0.263193,0.348713,0.403167, 
58,0.794679,0.372523,0.194421,0.278644,0.262461,0.650819,0.425591, 
59,0.356264,0.505400,0.765408,0.497985,0.422396,0.626047,0.528917, 
60,0.560380,0.612220,0.216235,0.636431,0.465064,0.567391,0.509620, 
61,0.393309,0.229004,0.339064,0.308297,0.227705,0.520794,0.336362, 
62,0.663740,0.503455,0.157957,0.256742,0.744577,0.820834,0.524551, 
63,0.037827,0.356186,0.573957,0.363939,0.552681,0.740124,0.437452, 
64,0.386803,0.656010,0.290468,0.474912,0.226459,0.709300,0.457325, 
65,0.206026,0.319338,0.451391,0.068056,0.357538,0.527357,0.321618, 
66,0.598321,0.635716,0.176177,0.496159,0.705540,0.642992,0.542484, 
67,0.553530,0.719022,0.740058,0.407234,0.319128,0.861382,0.600059, 
68,0.679507,0.088703,0.094018,0.538573,0.790469,0.952523,0.523965, 
69,0.603034,0.554124,0.617303,0.000000,0.893820,0.427151,0.515905, 
70,0.623809,0.783294,0.522080,0.267622,0.598058,0.435890,0.538459, 
71,0.435044,0.579853,0.261512,0.374242,0.723191,0.687962,0.510301, 
72,0.427731,0.754233,0.000000,0.254851,0.564058,0.650500,0.441896, 
73,0.662569,0.675561,0.425963,0.331650,0.507422,0.711364,0.552422, 
74,0.530398,0.488135,0.585762,0.292984,0.385083,0.566869,0.474872, 
75,0.419439,0.716668,0.267410,0.506318,0.364127,0.206899,0.413477, 
76,0.764380,0.702716,0.375213,0.692988,0.678942,0.606409,0.636775, 
77,0.675305,0.009531,0.504279,0.442239,0.470071,0.444028,0.424242, 
78,0.447373,0.565391,0.471495,0.318955,0.832047,0.347048,0.497052, 
79,0.882226,0.571681,0.543595,0.335503,0.543024,0.717753,0.598964, 
80,0.761559,0.327065,0.658578,0.384460,0.565872,0.663015,0.560092, 
81,0.595979,0.198401,0.369347,0.267177,0.659914,0.468769,0.426598, 
82,0.429110,0.462278,0.181789,0.200276,0.394799,0.713291,0.396924, 
83,0.454174,0.858238,0.000000,0.414164,0.382660,0.471041,0.430046, 
84,0.697978,0.518153,0.891803,0.628489,0.525002,0.939559,0.700164, 
85,0.620323,0.375389,0.607311,0.495137,0.715404,0.745247,0.593135, 
86,0.543790,0.428213,0.321209,0.612558,0.441970,0.514299,0.477006, 
87,0.533592,0.661815,0.397089,0.603848,0.909459,0.438092,0.590649, 
88,0.368425,0.252973,0.509637,0.558390,0.342177,0.401631,0.405539, 
89,0.924991,0.531463,0.386073,0.427883,0.485974,0.435166,0.531925, 
90,0.573694,0.165695,0.367258,0.541138,0.292728,0.870874,0.468565, 
91,0.545828,0.365336,0.186057,0.155062,0.710088,0.516457,0.413138, 
92,0.341758,0.556350,0.321140,0.302188,0.730501,0.793590,0.507588, 
93,0.243868,0.511489,0.098916,0.277316,0.792233,0.703368,0.437865, 
94,0.608210,0.392763,0.398602,0.408956,0.237412,0.643275,0.448203, 
95,0.557056,0.881442,0.000000,0.729140,0.565037,0.273935,0.501102, 
96,0.397253,0.823859,0.234902,0.298833,0.818064,0.371186,0.490683, 
97,0.110305,0.430019,0.208915,0.356379,0.750877,0.746855,0.433892, 
98,0.631031,0.631127,0.443381,0.499844,0.844807,0.480256,0.588407, 
99,0.843480,0.489052,0.189740,0.571127,0.397251,0.915434,0.567681, 
100,0.590343,0.559584,0.705065,0.565703,0.792237,0.370424,0.597226, 
101,0.557451,0.642052,0.000000,0.711130,0.000000,0.490818,0.400242, 
102,0.538867,0.248760,0.339589,0.558168,0.234870,0.659728,0.429997, 
103,0.000000,0.000000,0.339709,0.531539,0.454127,0.743325,0.344783, 
104,0.663621,0.407523,0.822862,0.809353,0.822093,0.671972,0.699571, 
105,0.338604,0.348809,0.456459,0.341882,0.551386,0.680601,0.452957, 
106,0.551589,0.772756,0.345425,0.600878,0.844419,0.378592,0.582276, 
107,0.675414,0.707637,0.197575,0.338037,0.568655,0.758670,0.540998, 
108,0.722685,0.380777,0.149020,0.348956,0.544514,0.650139,0.466015, 
109,0.660084,0.871477,0.000000,0.558333,0.731489,0.728399,0.591630, 
110,0.799715,0.304343,0.594007,0.430358,0.535765,0.133097,0.466214, 
111,0.362056,0.670685,0.757377,0.503703,0.486469,0.595744,0.562672, 
112,0.614894,0.489155,0.494489,0.717072,0.445641,0.350647,0.518650, 
113,0.543012,0.526863,0.486153,0.719684,0.775964,0.723700,0.629230, 
114,0.266688,0.277167,0.541694,0.308914,0.469898,0.788208,0.442095, 
115,0.858447,0.653547,0.348998,0.456489,0.994571,0.685654,0.666284, 
116,0.673232,0.554552,0.312020,0.593244,0.813650,0.785025,0.621954, 
117,0.706896,0.383886,0.578565,0.528617,0.520504,0.704970,0.570573, 
118,0.583648,0.493759,0.301492,0.319683,0.717417,0.680730,0.516121, 
119,0.584799,0.976821,0.442426,0.624326,0.701745,0.574467,0.650764, 
120,0.187607,0.400121,0.528084,0.471271,0.746501,0.776706,0.518382, 
121,0.563787,0.450342,0.489879,0.495735,0.813445,0.778473,0.598610, 
122,0.481660,0.719843,0.287580,0.410865,0.371112,0.976496,0.541259, 
123,0.280204,0.679861,0.660914,0.000000,0.777802,0.826831,0.537602, 
124,0.463305,0.491045,0.000658,0.346410,0.772947,0.377160,0.408588, 
125,0.752998,0.535870,0.319519,0.449037,0.585415,0.464029,0.517811, 
126,0.763534,0.805343,0.125863,0.679482,0.493980,0.666068,0.589045, 
127,0.435058,0.284491,0.651859,0.129265,0.243476,0.787550,0.421950, 
128,0.648863,0.656297,0.000000,0.498169,0.412334,0.382038,0.432950, 
129,0.347650,0.460275,0.221050,0.346238,0.372928,0.604012,0.392025, 
130,0.618463,0.731324,0.000000,0.506308,0.246377,0.774903,0.479562, 
131,0.626162,0.643249,0.434532,0.813367,0.584260,0.407290,0.584810, 
132,0.493464,0.456655,0.211361,0.633973,0.875512,0.577557,0.541420, 
133,0.872355,0.239610,0.399350,0.376551,0.239610,0.494999,0.437079, 
134,0.604925,0.309447,0.213215,0.355452,0.795507,0.597193,0.479290, 
135,0.520346,0.492471,0.298302,0.517701,0.655031,0.238869,0.453787, 
136,0.604642,0.459539,0.356795,0.453633,0.601440,0.252342,0.454732, 
137,0.804376,0.370885,0.460399,0.526328,0.626667,0.602439,0.565182, 
138,0.421074,0.698842,0.436547,0.566906,0.572797,0.076151,0.462053, 
139,0.434550,0.533693,0.254929,0.135808,0.708585,0.558987,0.437759, 
140,0.649710,0.713701,0.580459,0.238784,0.336491,0.588315,0.517910, 
141,0.884195,0.330481,0.326193,0.453843,0.582739,0.352298,0.488291, 
142,0.753999,0.056027,0.617349,0.093378,0.788955,0.346590,0.442716, 
143,0.143653,0.529335,0.312042,0.524558,0.239683,0.497265,0.374422, 
144,0.484104,0.357994,0.356196,0.424510,0.545741,0.667148,0.472615, 
145,0.590498,0.854162,0.529784,0.215893,0.358055,0.951246,0.583273, 
146,0.452874,0.405353,0.319409,0.525045,0.657160,0.663220,0.503843, 
147,0.527476,0.169527,0.768878,0.643675,0.603694,0.579530,0.548797, 
148,0.809554,0.234351,0.342355,0.260678,0.177263,0.411394,0.372599, 
149,0.479821,0.570554,0.228384,0.477290,0.414836,0.663856,0.472457, 
150,0.554056,0.305606,0.385820,0.781801,0.677069,0.361838,0.511032, 
151,0.658537,0.579616,0.316855,0.573333,0.839037,0.247657,0.535839, 
152,0.394530,0.430906,0.652715,0.458373,0.720593,0.330612,0.497955, 
153,0.529978,0.259317,0.340974,0.706350,0.387327,0.654502,0.479742, 
154,0.451365,0.579892,0.867864,0.553233,0.861393,0.812993,0.687790, 
155,0.658642,0.717483,0.499848,0.540307,0.805848,0.474406,0.616089, 
156,0.535898,0.567239,0.284171,0.377506,0.532615,0.744080,0.506918, 
157,0.138607,0.512419,0.460860,0.590916,0.517436,0.208406,0.404774, 
158,0.796095,0.340018,0.131312,0.563906,0.537387,0.212159,0.430146, 
159,0.025588,0.398426,0.593808,0.580096,0.556106,0.367663,0.420281, 
160,0.404820,0.594230,0.501404,0.667434,0.501608,0.825987,0.582580, 
161,0.339369,0.731835,0.478536,0.478822,0.237558,0.437819,0.450656, 
162,0.433315,0.678892,0.317024,0.543927,0.650673,0.674082,0.549652, 
163,0.587446,0.550307,0.592741,0.305510,0.673784,0.451025,0.526802, 
164,0.775560,0.363134,0.804516,0.643484,0.628901,0.775201,0.665133, 
165,0.315047,0.179895,0.469588,0.616425,0.524222,0.536505,0.440280, 
166,0.001721,0.524255,0.050519,0.361394,0.759710,0.527631,0.370872, 
167,0.609769,0.863004,0.000000,0.626532,0.152529,0.751756,0.500598, 
168,0.392732,0.362538,0.204975,0.469914,0.547081,0.651371,0.438102, 
169,0.727707,0.407811,0.435714,0.511495,0.468110,0.533304,0.514023, 
170,0.604985,0.201403,0.904483,0.268626,0.577139,0.516975,0.512268, 
171,0.271811,0.490300,0.258140,0.364711,0.494656,0.710465,0.431680, 
172,0.560514,0.609659,0.181029,0.406442,0.537412,0.695403,0.498410, 
173,0.546449,0.481004,0.459014,0.586536,0.709697,0.039373,0.470345, 
174,0.483373,0.823731,0.730488,0.589886,0.881277,0.809625,0.719730, 
175,0.480643,0.383286,0.417049,0.240266,0.641215,0.977223,0.523280, 
176,0.729023,0.720079,0.593758,0.587957,0.559383,0.765743,0.659324, 
177,0.208283,0.291596,0.544759,0.391127,0.188158,0.609153,0.372179, 
178,0.418349,0.795239,0.512741,0.365006,0.625443,0.926275,0.607175, 
179,0.468646,0.532473,0.000000,0.524100,0.416439,0.258745,0.366734, 
180,0.607888,0.197724,0.495008,0.350410,0.926102,0.863694,0.573471, 
181,0.573369,0.628251,0.331534,0.671874,0.679758,0.450888,0.555946, 
182,0.764912,0.628248,0.674927,0.155892,0.523896,0.752092,0.583328, 
183,0.558548,0.419650,0.319982,0.094877,0.381682,0.677364,0.408684, 
184,0.683673,0.000000,0.367033,0.397794,0.598823,0.770914,0.469706, 
185,0.326620,0.290682,0.290503,0.418358,0.733665,0.580240,0.440011, 
186,0.520598,0.617141,0.343771,0.450209,0.456659,0.749997,0.523063, 
187,0.778828,0.513249,0.536794,0.534525,0.089190,0.690343,0.523821, 
188,0.000000,0.476862,0.322416,0.338139,0.397042,0.501031,0.339248, 
189,0.424733,0.315835,0.332136,0.504549,0.825662,0.451891,0.475801, 
190,0.595408,0.782621,0.387387,0.275478,0.837074,0.160904,0.506479, 
191,0.482269,0.595374,0.299869,0.604521,0.540717,0.365731,0.481413, 
192,0.696087,0.491512,0.862447,0.726219,0.723282,0.744215,0.707294, 
193,0.513705,0.000000,0.000000,0.304262,0.451287,0.555359,0.304102, 
194,0.753595,0.546053,0.365418,0.564469,0.403817,0.399672,0.505504, 
195,0.148065,0.295857,0.580877,0.468216,0.149525,0.805106,0.407941, 
196,0.546731,0.478334,0.385050,0.140759,0.694697,0.592205,0.472963, 
197,0.738334,0.334614,0.312768,0.763788,0.570947,0.570490,0.548490, 
198,0.710030,0.668472,0.361618,0.627607,0.661226,0.765189,0.632357, 
199,0.905720,0.285706,0.413672,0.336096,0.595209,0.524678,0.510180, 
200,0.448899,0.403048,0.840894,0.790634,0.578099,0.358585,0.570026, 
201,0.572685,0.114615,0.437562,0.334263,0.630928,0.582817,0.445478, 
202,0.395885,0.304746,0.393821,0.485516,0.533803,0.840397,0.492361, 
203,0.379115,0.474223,0.508631,0.524050,0.677327,0.740908,0.550709, 
204,0.665571,0.619401,0.319993,0.769063,0.501930,0.399679,0.545940, 
205,0.494413,0.438768,0.365136,0.387227,0.763629,0.656766,0.517657, 
206,0.426335,0.426217,0.171166,0.325273,0.752495,0.747336,0.474804, 
207,0.381398,0.392673,0.182341,0.459113,0.669397,0.742876,0.471300, 
208,0.635329,0.693148,0.301523,0.551839,0.595310,0.530472,0.551270, 
209,0.678099,0.270227,0.277549,0.339628,0.613699,0.796846,0.496008, 
210,0.431874,0.872322,0.341454,0.603981,0.448088,0.462303,0.526670, 
211,0.571152,0.521184,0.336181,0.197886,0.502265,0.724984,0.475609, 
212,0.406197,0.387480,0.518578,0.455853,0.676386,0.661405,0.517650, 
213,0.516312,0.367278,0.374126,0.342889,0.587005,0.841654,0.504877, 
214,0.594195,0.488626,0.298606,0.593350,0.171633,0.884676,0.505181, 
215,0.542952,0.321445,0.200391,0.406521,0.312099,0.517697,0.383518, 
216,0.349324,0.370751,0.162017,0.399600,0.468500,0.623615,0.395634, 
217,0.058161,0.524364,0.672486,0.702522,0.263230,0.519129,0.456649, 
218,0.516624,0.831434,0.188886,0.474548,0.517893,0.549406,0.513132, 
219,0.536042,0.150690,0.337116,0.471042,0.484017,0.518448,0.416226, 
220,0.800956,0.586269,0.549276,0.522585,0.726391,0.492756,0.613039, 
221,0.424433,0.479082,0.426279,0.255599,0.579490,0.806141,0.495171, 
222,0.340677,0.615610,0.692311,0.494427,0.515685,0.576057,0.539128, 
223,0.480723,0.605207,0.230044,0.479511,0.425715,0.676920,0.483020, 
224,0.436356,0.568839,0.210028,0.250869,0.595086,0.680004,0.456864, 
225,0.435335,0.716046,0.318663,0.239221,0.718322,0.673947,0.516923, 
226,0.447576,0.786028,0.221553,0.604636,0.545107,0.753962,0.559810, 
227,0.771922,0.713137,0.417023,0.252336,0.354811,0.760583,0.544969, 
228,0.632142,0.423056,0.418336,0.079085,0.613195,0.699295,0.477518, 
229,0.562228,0.355106,0.030891,0.620726,0.685783,0.887887,0.523770, 
230,0.888704,0.463075,0.492492,0.392320,0.418419,0.503639,0.526442, 
231,0.143266,0.416913,0.345793,0.519896,0.378746,0.620076,0.404115, 
232,0.375701,0.083783,0.139638,0.724690,0.683766,0.539750,0.424555, 
233,0.416902,0.329235,0.633526,0.473677,0.828490,0.480236,0.527011, 
234,0.654334,0.383317,0.589158,0.770955,0.000000,0.563327,0.493515, 
235,0.765676,0.561074,0.701580,0.447510,0.527590,0.470293,0.578954, 
236,0.761932,0.414681,0.566119,0.577009,0.756145,0.444905,0.586799, 
237,0.472084,0.250285,0.204172,0.419170,0.767727,0.438514,0.425326, 
238,0.727937,0.755897,0.573199,0.648155,0.593276,0.723249,0.670286, 
239,0.418016,0.229799,0.445517,0.275103,0.476275,0.747318,0.432005, 
240,0.543884,0.300791,0.466186,0.284144,0.619223,0.598688,0.468819, 
241,0.375968,0.407344,0.302598,0.267503,0.594197,0.706761,0.442395, 
242,0.569376,0.694836,0.254097,0.631082,0.588849,0.589062,0.554550, 
243,0.588723,0.001196,0.062337,0.622338,0.498802,0.600878,0.395713, 
244,0.128910,0.180474,0.412263,0.458126,0.530233,0.231635,0.323607, 
245,0.689285,0.285446,0.251958,0.487040,0.274554,0.650631,0.439819, 
