No.,tL,tR
true,0.862069,1.190476
0,0.813839,1.296588
1,0.931470,1.079417
2,0.827343,1.263722
3,0.895735,1.131733
4,0.816497,1.289893
5,0.944530,1.062392
6,0.925991,1.086869
7,0.875178,1.166351
8,0.870514,1.174735
9,0.844416,1.225866
10,0.928597,1.083299
11,0.837491,1.240763
12,0.963582,1.039277
13,0.917673,1.098556
14,0.868175,1.179026
15,0.868480,1.178467
16,0.912636,1.105862
17,0.779239,1.395292
18,0.841976,1.231045
19,0.818229,1.285598
20,0.935553,1.073982
21,0.937899,1.070910
22,0.862043,1.190524
23,0.930447,1.080791
24,0.855810,1.202623
25,0.801905,1.328074
26,0.969528,1.032450
27,0.875625,1.165556
28,0.899802,1.125310
29,0.865458,1.184071
30,0.808615,1.310072
31,0.881466,1.155367
32,0.882753,1.153164
33,0.798986,1.336162
34,0.856600,1.201064
35,0.919459,1.096007
36,0.808127,1.311355
37,0.891401,1.138733
38,0.805592,1.318082
39,0.891545,1.138496
40,0.958043,1.045803
41,0.926064,1.086765
42,0.799672,1.334244
43,0.788599,1.366255
44,0.712765,1.674997
45,0.850701,1.212858
46,0.868350,1.178702
47,0.874403,1.167729
48,0.935725,1.073757
49,0.858949,1.196479
50,0.867495,1.180279
51,0.869732,1.176168
52,0.777667,1.400364
53,0.782902,1.383698
54,0.828242,1.261632
55,0.851606,1.211025
56,0.885217,1.148984
57,0.947139,1.059111
58,0.890698,1.139879
59,0.835144,1.245948
60,0.889822,1.141318
61,0.865881,1.183284
62,0.956666,1.047449
63,0.887151,1.145740
64,0.917181,1.099260
65,0.870574,1.174628
66,0.844081,1.226571
67,0.918787,1.096960
68,0.886638,1.146598
69,0.840505,1.234207
70,0.830131,1.257273
71,0.840532,1.234149
72,0.765394,1.441996
73,0.817344,1.287787
74,0.911095,1.108130
75,0.835015,1.246232
76,0.948960,1.056842
77,0.902510,1.121104
78,0.842954,1.228960
79,0.950459,1.054989
80,0.822425,1.275375
81,0.789267,1.364251
82,0.881575,1.155180
83,0.815347,1.292780
84,0.860542,1.193403
85,0.853187,1.207839
