ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.158748, 0.230320,0.196775, 0.317497,0.136553, 0.291672,0.133945, 0.205937,0.050492, 0.136553,0.065073, 0.076434,0.516826
2,0.109965, 0.181997,0.143754, 0.269141,0.134571, 0.193145,0.181997, 0.185852,0.181997, 0.185852,0.085566, 0.146164,0.324300
3,0.122921, 0.320164,0.199680, 0.243405,0.158002, 0.218261,0.121702, 0.229974,0.105802, 0.115740,0.041428, 0.122921,0.500930
4,0.161563, 0.213786,0.190692, 0.377242,0.121854, 0.190692,0.147592, 0.186805,0.045472, 0.147592,0.055145, 0.161563,0.555362
5,0.135171, 0.226356,0.168711, 0.265459,0.117941, 0.268862,0.107377, 0.179567,0.134431, 0.210171,0.050784, 0.135171,0.571171
6,0.142289, 0.292227,0.182343, 0.252174,0.139997, 0.182343,0.135915, 0.186426,0.097409, 0.189763,0.045548, 0.153566,0.512998
7,0.106042, 0.339178,0.166041, 0.212035,0.160226, 0.206535,0.161924, 0.191448,0.136921, 0.177897,0.035710, 0.106042,0.466272
8,0.184063, 0.299440,0.241248, 0.251840,0.142509, 0.241248,0.087294, 0.184063,0.074860, 0.151094,0.046332, 0.096011,0.447391
9,0.207660, 0.300590,0.144003, 0.215384,0.149485, 0.209902,0.107692, 0.212485,0.104804, 0.121595,0.075147, 0.151252,0.422416
10,0.195962, 0.296007,0.175445, 0.242330,0.148003, 0.213052,0.140724, 0.190864,0.080777, 0.177289,0.035699, 0.103848,0.446781
11,0.254321, 0.264916,0.217404, 0.277525,0.117257, 0.155112,0.125760, 0.217404,0.074733, 0.127321,0.050989, 0.117257,0.319071
12,0.167237, 0.272914,0.157974, 0.234156,0.136457, 0.255673,0.117078, 0.232270,0.106303, 0.190360,0.045377, 0.084203,0.539149
13,0.182767, 0.224317,0.205350, 0.214295,0.105958, 0.205350,0.205350, 0.214295,0.105958, 0.205350,0.044863, 0.086148,0.299508
14,0.128930, 0.223748,0.186487, 0.257859,0.152356, 0.200322,0.200322, 0.223222,0.105417, 0.174503,0.043626, 0.103209,0.365725
15,0.185593, 0.267048,0.167084, 0.236173,0.118086, 0.201979,0.168196, 0.191065,0.065354, 0.114277,0.107739, 0.177406,0.375894
16,0.203421, 0.262582,0.131291, 0.238576,0.208786, 0.257217,0.127974, 0.217724,0.081350, 0.112667,0.074910, 0.083504,0.344536
17,0.257468, 0.268252,0.194844, 0.273519,0.114697, 0.194844,0.132194, 0.177348,0.087876, 0.116700,0.053523, 0.128734,0.318795
18,0.176016, 0.354393,0.170457, 0.271206,0.124375, 0.209762,0.090449, 0.187782,0.064606, 0.119277,0.050622, 0.181056,0.646951
19,0.155968, 0.328117,0.122985, 0.261234,0.161210, 0.241880,0.118193, 0.135738,0.104560, 0.132778,0.072986, 0.164352,0.528196
20,0.168986, 0.241565,0.241565, 0.339042,0.118568, 0.207287,0.134262, 0.191593,0.063110, 0.134262,0.041192, 0.118568,0.464633
21,0.194107, 0.339835,0.158776, 0.194107,0.169533, 0.183350,0.158776, 0.194107,0.088658, 0.096449,0.060042, 0.162260,0.340217
22,0.185150, 0.262638,0.199467, 0.199467,0.147553, 0.207857,0.131319, 0.267615,0.099733, 0.099733,0.051914, 0.147553,0.369727
23,0.245243, 0.264888,0.131965, 0.221739,0.122405, 0.256029,0.108462, 0.245243,0.063134, 0.122405,0.084866, 0.133622,0.487851
24,0.175259, 0.274916,0.274916, 0.292269,0.141328, 0.186815,0.102101, 0.141328,0.059892, 0.183536,0.047855, 0.119785,0.397298
25,0.146119, 0.209889,0.198881, 0.249662,0.188284, 0.260258,0.121624, 0.195543,0.102995, 0.148740,0.065065, 0.112940,0.354063
26,0.192489, 0.214468,0.121742, 0.240815,0.173760, 0.233197,0.101416, 0.186346,0.120408, 0.225177,0.055005, 0.135177,0.470362
