é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.664741,0.482282,0.557829,0.697840,0.607895,0.150109,0.526783, 
2,0.207486,0.887363,0.727729,0.000000,0.000000,0.604168,0.404458, 
3,0.830260,0.608453,0.864764,0.692898,0.180784,0.735851,0.652168, 
4,0.543353,0.413943,0.631682,0.653295,0.668833,0.863722,0.629138, 
5,0.574051,0.826322,0.568934,0.901233,0.518598,0.752151,0.690215, 
6,0.912107,0.796760,0.632031,0.797846,0.858738,0.871049,0.811422, 
7,0.750397,0.630080,0.871220,0.403828,0.581321,0.627980,0.644138, 
8,0.903583,0.158279,0.755957,0.765459,0.806815,0.523821,0.652319, 
9,0.792857,0.763025,0.994908,0.728186,0.287533,0.704331,0.711807, 
10,0.833551,0.801576,0.959625,0.713197,0.982251,0.613485,0.817281, 
11,0.140709,0.407143,0.104490,0.715357,0.620245,0.642541,0.438414, 
12,0.860294,0.864811,0.669584,0.684963,0.800806,0.434229,0.719115, 
13,0.457721,0.164211,0.694511,0.000000,0.742680,0.455471,0.419099, 
14,0.542957,0.741229,0.888541,0.000000,0.817169,0.597073,0.597828, 
15,0.735636,0.817188,0.722468,0.284876,0.460327,0.664549,0.614174, 
16,0.594108,0.854628,0.022391,0.694838,0.476966,0.115667,0.459766, 
17,0.143037,0.617386,0.639963,0.858811,0.447501,0.698952,0.567608, 
18,0.778849,0.792463,0.822109,0.762714,0.507874,0.956819,0.770138, 
19,0.897008,0.839461,0.693681,0.405905,0.440158,0.789798,0.677668, 
20,0.682843,0.085427,0.770404,0.779642,0.634081,0.711906,0.610717, 
21,0.741215,0.522149,0.374374,0.445275,0.144557,0.844015,0.511931, 
22,0.712571,0.000000,0.961845,0.495996,0.000000,0.811742,0.497026, 
23,0.246107,0.756050,0.619759,0.609815,0.532485,0.516606,0.546804, 
24,0.831664,0.000000,0.698003,0.429881,0.894279,0.678809,0.588773, 
25,0.489660,0.673574,0.329093,0.871808,0.627741,0.509648,0.583587, 
26,0.271389,0.829087,0.606847,0.827981,0.582045,0.728270,0.640937, 
27,0.000000,0.886519,0.654750,0.000000,0.823021,0.795380,0.526612, 
28,0.236476,0.919524,0.757105,0.000000,0.616082,0.586476,0.519277, 
29,0.000000,0.150143,0.580540,0.583633,0.680914,0.521631,0.419477, 
30,0.730076,0.764677,0.556491,0.548346,0.707739,0.814613,0.686990, 
31,0.271018,0.611487,0.515350,0.595488,0.922011,0.467980,0.563889, 
32,0.881528,0.895158,0.711456,0.698864,0.086457,0.848025,0.686915, 
33,0.956807,0.756892,0.000000,0.289180,0.813331,0.744690,0.593483, 
34,0.909043,0.334387,0.419536,0.660376,0.797391,0.686085,0.634470, 
35,0.519287,0.821074,0.915129,0.895867,0.642851,0.408951,0.700527, 
36,0.607742,0.284586,0.523989,0.000000,0.907203,0.977155,0.550113, 
37,0.866164,0.563150,0.807495,0.777137,0.836272,0.633752,0.747328, 
38,0.736392,0.552698,0.590065,0.837482,0.478939,0.676737,0.645385, 
39,0.534377,0.830679,0.869371,0.719693,0.801188,0.513372,0.711446, 
40,0.813448,0.349066,0.786364,0.485354,0.823441,0.710656,0.661388, 
41,0.069695,0.574481,0.000000,0.673193,0.701643,0.379974,0.399831, 
42,0.272068,0.132169,0.750264,0.745547,0.000000,0.566451,0.411083, 
43,0.824997,0.655589,0.443851,0.839461,0.443793,0.929544,0.689539, 
44,0.506237,0.300615,0.773954,0.535797,0.798423,0.646610,0.593606, 
45,0.724003,0.779849,0.519097,0.787219,0.815243,0.726477,0.725315, 
46,0.703830,0.397250,0.843848,0.810664,0.543716,0.528218,0.637921, 
47,0.273537,0.579128,0.624804,0.870897,0.885036,0.639795,0.645533, 
48,0.888133,0.010608,0.444081,0.532649,0.681602,0.430398,0.497912, 
49,0.867193,0.485633,0.594415,0.380663,0.271778,0.695693,0.549229, 
50,0.564753,0.652813,0.840284,0.792633,0.862477,0.891767,0.767455, 
51,0.780741,0.865900,0.000000,0.773057,0.573479,0.466191,0.576561, 
