é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.497836,0.317768,0.386798,0.535909,0.436674,0.081145,0.376022, 
2,0.115752,0.797531,0.571992,0.000000,0.000000,0.432837,0.319685, 
3,0.709782,0.437249,0.761748,0.530103,0.099375,0.582092,0.520058, 
4,0.373017,0.260989,0.461648,0.485106,0.502441,0.760133,0.473889, 
5,0.402574,0.704045,0.397559,0.820222,0.350073,0.602758,0.546205, 
6,0.838417,0.662178,0.462022,0.663681,0.752445,0.771557,0.691717, 
7,0.600508,0.459940,0.771825,0.252998,0.409763,0.457704,0.492123, 
8,0.824124,0.085941,0.607662,0.620036,0.676185,0.354849,0.528133, 
9,0.656804,0.616848,0.989868,0.572557,0.167906,0.543605,0.591265, 
10,0.714606,0.668859,0.922384,0.554240,0.965121,0.442465,0.711279, 
11,0.075679,0.255606,0.055125,0.556853,0.449533,0.473341,0.311023, 
12,0.754838,0.761821,0.503290,0.520870,0.667787,0.277326,0.580989, 
13,0.296782,0.089450,0.531993,0.000000,0.590685,0.294893,0.300634, 
14,0.372643,0.588852,0.799436,0.000000,0.690859,0.425591,0.479563, 
15,0.581823,0.690886,0.565518,0.166097,0.298977,0.497621,0.466821, 
16,0.422584,0.746158,0.011322,0.532376,0.313168,0.061384,0.347832, 
17,0.077027,0.446536,0.470548,0.752559,0.288245,0.537223,0.428690, 
18,0.637799,0.656263,0.697950,0.616441,0.340370,0.917212,0.644339, 
19,0.813250,0.723337,0.531019,0.254631,0.282181,0.652617,0.542839, 
20,0.518422,0.044619,0.626550,0.638864,0.464216,0.552682,0.474225, 
21,0.588834,0.353316,0.230295,0.286401,0.077910,0.730126,0.377814, 
22,0.553484,0.000000,0.926494,0.329784,0.000000,0.683137,0.415483, 
23,0.140320,0.607782,0.449022,0.438658,0.362848,0.348259,0.391148, 
24,0.711836,0.000000,0.536102,0.273789,0.808775,0.513786,0.474048, 
25,0.324205,0.507811,0.196955,0.772748,0.457451,0.341965,0.433522, 
26,0.156998,0.708068,0.435593,0.706457,0.410482,0.572661,0.498377, 
27,0.000000,0.796170,0.486712,0.000000,0.699266,0.660275,0.440404, 
28,0.134093,0.851036,0.609146,0.000000,0.445173,0.414903,0.409059, 
29,0.000000,0.081164,0.408987,0.412064,0.516202,0.352842,0.295210, 
30,0.574897,0.619010,0.385513,0.377738,0.547675,0.687213,0.532008, 
31,0.156750,0.440390,0.347119,0.423982,0.855306,0.305466,0.421502, 
32,0.788153,0.810214,0.552140,0.537119,0.045182,0.736149,0.578159, 
33,0.917191,0.608870,0.000000,0.169030,0.685390,0.593232,0.495619, 
34,0.833253,0.200759,0.265451,0.492956,0.663051,0.522169,0.496273, 
35,0.350701,0.696459,0.843538,0.811377,0.473678,0.257032,0.572131, 
36,0.436515,0.165899,0.355004,0.000000,0.830166,0.955331,0.457152, 
37,0.763924,0.391934,0.677142,0.635506,0.718614,0.463864,0.608497, 
38,0.582769,0.381882,0.418505,0.720404,0.314872,0.511415,0.488308, 
39,0.364607,0.710394,0.768926,0.562125,0.668318,0.345326,0.569950, 
40,0.685556,0.211436,0.647941,0.320441,0.699872,0.551176,0.519404, 
41,0.036106,0.402997,0.000000,0.507378,0.540409,0.234548,0.286906, 
42,0.157453,0.070761,0.600337,0.594320,0.000000,0.395139,0.303002, 
43,0.702124,0.487640,0.285224,0.723336,0.285176,0.868362,0.558644, 
44,0.338900,0.176896,0.631261,0.365931,0.664479,0.477771,0.442540, 
45,0.567402,0.639142,0.350527,0.649102,0.688110,0.570446,0.577455, 
46,0.543008,0.247855,0.729876,0.681611,0.373358,0.358897,0.489101, 
47,0.158438,0.407587,0.454338,0.771318,0.793780,0.470366,0.509304, 
48,0.798776,0.005332,0.285414,0.363001,0.516993,0.274209,0.373954, 
49,0.765526,0.320684,0.422895,0.235074,0.157259,0.533381,0.405803, 
50,0.393489,0.484575,0.724561,0.656497,0.758206,0.804675,0.637000, 
51,0.640341,0.763513,0.000000,0.630067,0.402012,0.303943,0.456646, 
52,0.693352,0.500992,0.692062,0.436610,0.216733,0.704194,0.540657, 
53,0.461762,0.506572,0.410862,0.558688,0.511097,0.775136,0.537353, 
54,0.705538,0.328650,0.433964,0.564345,0.687030,0.541396,0.543487, 
55,0.776659,0.000000,0.284589,0.541403,0.167519,0.611665,0.396972, 
56,0.460994,0.248975,0.635511,0.548191,0.853928,0.177611,0.487535, 
57,0.273891,0.418187,0.302290,0.318689,0.260530,0.334289,0.317979, 
58,0.844510,0.729650,0.227536,0.121602,0.350453,0.571528,0.474213, 
59,0.155017,0.602547,0.361705,0.544764,0.373617,0.414710,0.408727, 
60,0.193646,0.897047,0.594792,0.751957,0.430948,0.491560,0.559992, 
61,0.256594,0.185791,0.198717,0.427775,0.093778,0.343739,0.251066, 
62,0.274251,0.637734,0.215511,0.345254,0.721023,0.735611,0.488231, 
63,0.156304,0.634506,0.418062,0.624451,0.564144,0.765138,0.527101, 
64,0.604068,0.150880,0.434202,0.474526,0.240125,0.569328,0.412188, 
65,0.151509,0.140642,0.324136,0.027352,0.335016,0.417967,0.232771, 
66,0.336768,0.604690,0.000000,0.519815,0.583322,0.565801,0.435066, 
67,0.346612,0.605700,0.303889,0.515978,0.764334,0.924440,0.576825, 
68,0.694824,0.000000,0.000000,0.348472,0.732423,0.733717,0.418239, 
69,0.533558,0.537583,0.727828,0.000000,0.702061,0.395644,0.482779, 
70,0.449150,0.644480,0.592338,0.384528,0.590320,0.278999,0.489969, 
71,0.337292,0.520019,0.592880,0.474217,0.720564,0.677178,0.553692, 
72,0.431317,0.613850,0.000000,0.722636,0.772169,0.461305,0.500213, 
73,0.830898,0.349450,0.581598,0.483114,0.784755,0.795199,0.637502, 
74,0.794743,0.261847,0.894772,0.229217,0.272233,0.523336,0.496025, 
75,0.220868,0.630326,0.169878,0.367866,0.154608,0.144966,0.281419, 
76,0.534733,0.775805,0.548907,0.683527,0.536991,0.405962,0.580988, 
77,0.630230,0.000000,0.462350,0.206697,0.459620,0.361237,0.353356, 
78,0.401787,0.724972,0.087950,0.175901,0.916562,0.280862,0.431339, 
79,0.417639,0.319880,0.804435,0.023582,0.480161,0.545510,0.431868, 
80,0.684907,0.537573,0.588052,0.650522,0.392934,0.616189,0.578363, 
81,0.686793,0.000000,0.458806,0.443916,0.913682,0.335206,0.473067, 
82,0.626204,0.378929,0.589820,0.200239,0.380258,0.496443,0.445315, 
83,0.396108,0.480878,0.000000,0.706293,0.643432,0.352787,0.429916, 
84,0.528613,0.507204,0.506309,0.862342,0.594843,0.857762,0.642846, 
85,0.114191,0.456769,0.534705,0.530625,0.254072,0.611606,0.416995, 
