No.,tL,tR
true,0.862069,1.190476
0,0.906377,1.115194
1,0.964540,1.038166
2,0.949467,1.056214
3,0.916481,1.100270
4,0.881317,1.155620
5,0.903701,1.119271
6,1.000000,1.000000
7,0.902267,1.121475
8,0.903820,1.119089
9,0.890198,1.140700
10,0.936425,1.072837
11,0.869293,1.176966
12,0.952052,1.053033
13,0.919080,1.096544
14,0.905752,1.116140
15,0.938980,1.069499
16,0.926569,1.086072
17,0.873287,1.169725
18,0.915793,1.101260
19,0.881181,1.155856
20,0.976200,1.024989
21,0.953683,1.051047
22,0.903224,1.120001
23,0.930228,1.081087
24,0.906525,1.114968
25,0.895971,1.131359
26,0.930104,1.081256
27,0.931175,1.079810
28,0.930336,1.080941
29,0.927191,1.085219
30,0.892523,1.136905
31,0.925306,1.087813
32,0.905572,1.116413
33,0.859084,1.196212
34,0.922053,1.092341
35,0.956950,1.047106
36,0.892256,1.137341
37,0.973068,1.028465
38,0.888960,1.142742
39,0.912838,1.105565
40,0.971078,1.030697
41,0.974955,1.026366
42,0.907217,1.113923
43,0.889809,1.141341
44,0.856783,1.200706
45,0.979425,1.021456
46,0.938511,1.070110
47,0.923081,1.090905
48,0.976532,1.024624
49,0.904117,1.118633
50,0.931012,1.080029
51,0.908114,1.112572
52,0.850378,1.213516
53,0.868872,1.177743
54,0.937736,1.071119
55,0.915065,1.102316
56,0.917531,1.098756
57,0.930065,1.081308
58,0.930342,1.080933
59,0.889573,1.141728
60,0.949584,1.056069
61,0.912754,1.105688
62,0.902984,1.120372
63,0.896695,1.130208
64,0.950214,1.055291
65,0.910671,1.108759
66,0.889438,1.141950
67,0.953069,1.051793
68,0.911574,1.107425
69,0.911803,1.107089
70,0.880331,1.157323
71,0.937254,1.071748
72,0.893990,1.134535
73,0.920410,1.094655
74,0.955000,1.049450
75,0.910547,1.108944
76,0.972791,1.028775
77,0.954049,1.050601
78,0.914224,1.103536
79,0.922084,1.092298
80,0.902377,1.121306
81,0.896007,1.131302
82,0.905509,1.116509
83,0.915416,1.101805
84,0.962632,1.040387
85,0.936637,1.072557
86,0.909306,1.110788
87,1.000000,1.000001
88,0.922650,1.091508
89,0.909365,1.110703
90,0.901704,1.122350
91,0.889557,1.141753
92,0.936979,1.072110
93,0.966363,1.036063
94,0.922834,1.091248
95,0.896609,1.130343
96,0.924324,1.089172
97,0.910172,1.109501
98,0.918297,1.097661
99,0.958873,1.044811
100,0.944943,1.061870
101,0.972945,1.028604
102,0.962680,1.040332
103,0.910802,1.108565
104,0.900003,1.124996
105,0.886359,1.147065
106,0.876642,1.163761
107,0.861795,1.191001
108,0.909064,1.111148
109,0.907700,1.113194
110,0.982905,1.017699
111,0.928029,1.084073
112,0.880070,1.157775
113,0.910884,1.108446
