ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.128568, 0.260501,0.134775, 0.379497,0.111576, 0.316649,0.082747, 0.257136,0.000001, 0.187044,0.060295, 0.081212,0.964075
2,0.108037, 0.183924,0.125313, 0.287583,0.114486, 0.213230,0.178142, 0.189706,0.178142, 0.189706,0.047806, 0.183924,0.496147
3,0.105735, 0.337349,0.117169, 0.325916,0.139369, 0.236895,0.110771, 0.240905,0.094359, 0.127183,0.000001, 0.164347,0.865192
4,0.151176, 0.224173,0.157068, 0.410867,0.095435, 0.217112,0.119365, 0.215033,0.025866, 0.167199,0.029033, 0.187674,0.844115
5,0.113802, 0.247724,0.101301, 0.332870,0.042201, 0.344602,0.079149, 0.207795,0.110184, 0.234418,0.015724, 0.170231,1.075278
6,0.075607, 0.358909,0.161170, 0.273346,0.117702, 0.204638,0.117702, 0.204638,0.078468, 0.208705,0.000001, 0.199113,0.898701
7,0.096944, 0.348276,0.132240, 0.245837,0.117959, 0.248802,0.132240, 0.221131,0.093687, 0.221131,0.026082, 0.115670,0.801697
8,0.148217, 0.335286,0.231929, 0.261159,0.137212, 0.246544,0.029605, 0.241751,0.060438, 0.165516,0.019203, 0.123140,0.746792
9,0.198936, 0.309314,0.116904, 0.242483,0.145350, 0.214037,0.104227, 0.215950,0.104020, 0.122380,0.073553, 0.152846,0.514022
10,0.135546, 0.356422,0.090199, 0.327576,0.135261, 0.225795,0.122701, 0.208888,0.069629, 0.188437,0.028823, 0.110724,0.835682
11,0.239988, 0.279249,0.203540, 0.291389,0.103342, 0.169028,0.095700, 0.247464,0.071280, 0.130773,0.038437, 0.129809,0.495426
12,0.057518, 0.382633,0.088985, 0.303145,0.110038, 0.282092,0.108056, 0.241292,0.076588, 0.220075,0.041571, 0.088009,1.034490
13,0.092597, 0.314488,0.202971, 0.216674,0.101485, 0.209822,0.202971, 0.216674,0.101485, 0.209822,0.040708, 0.090303,0.515566
14,0.118335, 0.234342,0.105231, 0.339115,0.140906, 0.211772,0.183120, 0.240423,0.091560, 0.188360,0.042166, 0.104668,0.637361
15,0.156179, 0.296461,0.113007, 0.290250,0.100814, 0.219251,0.156795, 0.202466,0.055034, 0.124596,0.083517, 0.201628,0.669306
16,0.127081, 0.338921,0.116501, 0.253366,0.120305, 0.345698,0.112696, 0.233001,0.077516, 0.116501,0.066802, 0.091612,0.758198
17,0.244447, 0.281273,0.178112, 0.290251,0.092562, 0.216980,0.125691, 0.183850,0.084510, 0.120067,0.050827, 0.131430,0.447703
18,0.087843, 0.442566,0.107526, 0.334137,0.060719, 0.273418,0.022470, 0.255760,0.046420, 0.137463,0.012507, 0.219171,1.325031
19,0.102678, 0.381408,0.087946, 0.296273,0.123374, 0.279715,0.106193, 0.147738,0.082250, 0.155088,0.000001, 0.237337,0.995116
20,0.120248, 0.290304,0.211552, 0.369055,0.094589, 0.231265,0.121721, 0.204134,0.034445, 0.162927,0.000001, 0.159759,0.834890
21,0.176441, 0.357501,0.141630, 0.211253,0.161345, 0.191538,0.141630, 0.211253,0.076550, 0.108557,0.024955, 0.197348,0.554899
22,0.113567, 0.334222,0.199467, 0.199467,0.130774, 0.224636,0.124161, 0.274773,0.099733, 0.099733,0.043524, 0.155943,0.577549
23,0.242934, 0.267197,0.127533, 0.226172,0.118805, 0.259628,0.098639, 0.255065,0.050613, 0.134925,0.081169, 0.137319,0.560613
24,0.166583, 0.283593,0.264151, 0.303034,0.132076, 0.196068,0.095044, 0.148384,0.055460, 0.187968,0.013947, 0.153692,0.545477
25,0.131737, 0.224271,0.131375, 0.317167,0.153615, 0.294927,0.092896, 0.224271,0.081520, 0.170216,0.056068, 0.121936,0.705577
26,0.150343, 0.256614,0.052738, 0.309820,0.110504, 0.296453,0.084284, 0.203479,0.101739, 0.243845,0.031103, 0.159079,0.938578
27,0.278954, 0.278954,0.097078, 0.278954,0.111916, 0.252861,0.139477, 0.139477,0.078852, 0.153429,0.045060, 0.144989,0.497327
28,0.201389, 0.229549,0.118317, 0.265605,0.120958, 0.237877,0.187310, 0.215469,0.040029, 0.157446,0.043519, 0.182533,0.576956
29,0.245207, 0.413389,0.143131, 0.164649,0.111565, 0.196215,0.076945, 0.167340,0.109766, 0.177902,0.039999, 0.153890,0.546773
30,0.154911, 0.398037,0.057392, 0.298783,0.099853, 0.217462,0.099853, 0.152000,0.099853, 0.217462,0.047926, 0.156468,0.880424
31,0.216494, 0.329036,0.033403, 0.272765,0.160222, 0.272765,0.033403, 0.272765,0.000001, 0.272764,0.000001, 0.136381,1.112951
32,0.114576, 0.379001,0.137586, 0.261932,0.153288, 0.238464,0.115058, 0.195876,0.047370, 0.097938,0.040505, 0.218405,0.783234
33,0.154180, 0.317940,0.102582, 0.247654,0.217326, 0.277982,0.123827, 0.154155,0.000001, 0.220634,0.041914, 0.141805,0.720340
34,0.095013, 0.389295,0.057336, 0.220589,0.138963, 0.302216,0.083590, 0.266574,0.060859, 0.236497,0.000001, 0.149068,1.128477
35,0.213557, 0.363563,0.119525, 0.288560,0.098340, 0.265222,0.111669, 0.191064,0.055796, 0.144280,0.048093, 0.100331,0.706038
36,0.125914, 0.265246,0.145810, 0.219790,0.182800, 0.208360,0.170020, 0.195580,0.069453, 0.201762,0.032464, 0.182800,0.547076
37,0.159655, 0.336294,0.134242, 0.329299,0.123987, 0.261996,0.024957, 0.247974,0.072024, 0.166404,0.027283, 0.115885,0.915704
38,0.035473, 0.358094,0.109126, 0.405525,0.141179, 0.209449,0.062958, 0.215336,0.097038, 0.215336,0.013370, 0.137115,1.081712
39,0.195935, 0.387965,0.075884, 0.291950,0.042235, 0.301563,0.073795, 0.232494,0.083143, 0.171899,0.025360, 0.117777,1.007295
40,0.093389, 0.321948,0.164827, 0.205197,0.091139, 0.238514,0.144642, 0.185012,0.084340, 0.209348,0.076634, 0.185012,0.690059
41,0.254062, 0.284391,0.073540, 0.228657,0.213493, 0.284391,0.134613, 0.167584,0.079072, 0.134613,0.053845, 0.091737,0.382748
42,0.176278, 0.233702,0.176278, 0.218734,0.154410, 0.197506,0.098753, 0.214768,0.120525, 0.274487,0.035806, 0.098753,0.475901
43,0.123624, 0.390828,0.160213, 0.312253,0.118117, 0.194137,0.055831, 0.222355,0.058653, 0.125200,0.002555, 0.236233,0.962014
44,0.071998, 0.276998,0.187599, 0.366398,0.080815, 0.310920,0.129004, 0.181916,0.048384, 0.171470,0.012684, 0.161814,0.939034
45,0.142562, 0.400990,0.074110, 0.285125,0.013348, 0.271776,0.007864, 0.277261,0.000001, 0.305058,0.046686, 0.175218,1.430856
46,0.084140, 0.369405,0.185037, 0.324050,0.125281, 0.252378,0.098340, 0.222364,0.084997, 0.137367,0.000001, 0.116642,0.844409
47,0.162356, 0.239079,0.193830, 0.256766,0.151557, 0.249878,0.083140, 0.200718,0.061845, 0.222012,0.050179, 0.128640,0.594185
48,0.160188, 0.281732,0.234808, 0.238008,0.082772, 0.195620,0.126693, 0.248581,0.089858, 0.188534,0.035001, 0.118204,0.541357
49,0.125065, 0.334100,0.154185, 0.210254,0.124960, 0.199718,0.083525, 0.146057,0.156769, 0.207670,0.075478, 0.182219,0.560038
50,0.147487, 0.238562,0.160729, 0.311106,0.145516, 0.215307,0.112711, 0.208746,0.062116, 0.193025,0.024284, 0.180412,0.694315
51,0.121944, 0.356638,0.108988, 0.297420,0.193458, 0.262720,0.094477, 0.228089,0.072027, 0.141157,0.033922, 0.089160,0.750367
52,0.148917, 0.359516,0.133035, 0.226481,0.138329, 0.246322,0.089879, 0.164337,0.089879, 0.136602,0.034927, 0.231775,0.730068
53,0.000001, 0.363452,0.106690, 0.360310,0.102987, 0.285876,0.079288, 0.209185,0.082728, 0.157478,0.000001, 0.252003,1.256607
54,0.153334, 0.350817,0.153000, 0.366705,0.046148, 0.259853,0.093537, 0.179078,0.000001, 0.242872,0.018347, 0.136308,1.071265
55,0.109268, 0.327805,0.233897, 0.280798,0.143076, 0.301740,0.055658, 0.196687,0.071538, 0.115660,0.000001, 0.163871,0.773123
56,0.144626, 0.268377,0.193008, 0.293341,0.142841, 0.243174,0.103251, 0.240650,0.036673, 0.206501,0.040719, 0.086840,0.677766
57,0.165908, 0.375146,0.175093, 0.306932,0.043356, 0.221913,0.135264, 0.239883,0.086704, 0.119747,0.039880, 0.090176,0.707591
58,0.122025, 0.312609,0.080668, 0.353966,0.106294, 0.180956,0.164276, 0.197635,0.084559, 0.128533,0.085884, 0.182596,0.712590
59,0.177217, 0.220621,0.125311, 0.321247,0.155514, 0.198919,0.092410, 0.223354,0.123820, 0.214021,0.009018, 0.138548,0.633421
60,0.170377, 0.411327,0.120475, 0.290852,0.025278, 0.317227,0.102832, 0.202306,0.034238, 0.145426,0.049270, 0.130394,0.995063
61,0.202908, 0.393032,0.080472, 0.190963,0.152338, 0.173639,0.086272, 0.279625,0.141688, 0.162988,0.016977, 0.119097,0.638690
62,0.229306, 0.311308,0.073709, 0.283584,0.100819, 0.182764,0.027578, 0.329715,0.071326, 0.164809,0.029960, 0.195121,0.934602
63,0.122519, 0.200233,0.069660, 0.365411,0.161376, 0.245265,0.122519, 0.200233,0.081679, 0.241072,0.000001, 0.190034,0.884494
64,0.064158, 0.429606,0.185486, 0.276014,0.071272, 0.271085,0.113491, 0.252801,0.044618, 0.115375,0.041595, 0.134500,0.958761
65,0.237515, 0.270725,0.196135, 0.296893,0.171160, 0.252043,0.111493, 0.126021,0.051219, 0.124978,0.049303, 0.112514,0.366350
66,0.166398, 0.305405,0.106387, 0.243613,0.207639, 0.233334,0.119235, 0.230766,0.079490, 0.151826,0.026393, 0.129514,0.588915
67,0.079875, 0.286182,0.165069, 0.274543,0.148644, 0.217413,0.091514, 0.234605,0.000001, 0.271553,0.045010, 0.185591,0.939776
68,0.102116, 0.306893,0.252619, 0.315738,0.122265, 0.156390,0.139327, 0.173452,0.068895, 0.163136,0.013762, 0.185407,0.602030
