é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.739158,0.580178,0.452705,0.511970,0.696761,0.259966,0.540123, 
2,0.221637,0.762573,0.755934,0.051919,0.033304,0.957518,0.463814, 
3,0.753470,0.647778,0.761780,0.631133,0.494247,0.817143,0.684258, 
4,0.602570,0.525338,0.660515,0.770869,0.722643,0.937581,0.703253, 
5,0.640506,0.603192,0.331125,0.636115,0.622709,0.884400,0.619674, 
6,0.661466,0.837321,0.743701,0.816678,0.868671,0.825685,0.792254, 
7,0.715504,0.897362,0.628788,0.641540,0.758982,0.659182,0.716893, 
8,0.856089,0.279675,0.708669,0.440940,0.833986,0.681648,0.633501, 
9,0.807292,0.819961,0.932493,0.698798,0.310236,0.723170,0.715325, 
10,0.775890,0.592808,0.797160,0.783918,0.914046,0.637436,0.750210, 
11,0.438040,0.494656,0.302781,0.566668,0.636685,0.776320,0.535858, 
12,0.602002,0.636617,0.517120,0.621005,0.821397,0.498158,0.616050, 
13,0.773714,0.241036,0.710744,0.000000,0.753728,0.523168,0.500398, 
14,0.580784,0.599012,0.916969,0.000000,0.898778,0.617297,0.602140, 
15,0.973743,0.721389,0.672507,0.439194,0.526017,0.747606,0.680076, 
16,0.795817,0.844362,0.420473,0.665539,0.525246,0.301070,0.592084, 
17,0.416522,0.677744,0.650693,0.919246,0.524608,0.730752,0.653261, 
18,0.565973,0.612349,0.440047,0.409151,0.601569,0.807697,0.572798, 
19,0.668689,0.648661,0.554680,0.546314,0.842849,0.742045,0.667207, 
20,0.840516,0.298624,0.610140,0.818453,0.725897,0.799039,0.682111, 
21,0.769694,0.722224,0.669530,0.592026,0.432664,0.896306,0.680407, 
22,0.776365,0.000000,0.779917,0.530256,0.000000,0.890731,0.496212, 
23,0.295413,0.766938,0.597540,0.554463,0.596003,0.572520,0.563813, 
24,0.910548,0.000000,0.743074,0.500871,0.860187,0.812827,0.637918, 
25,0.552789,0.699809,0.560173,0.627041,0.940094,0.639909,0.669969, 
26,0.784615,0.560096,0.487906,0.669662,0.646501,0.888730,0.672918, 
27,0.000000,0.709531,0.597180,0.000000,0.841218,0.832989,0.496820, 
28,0.334915,0.808775,0.678278,0.000000,0.712416,0.978310,0.585449, 
29,0.355588,0.241102,0.638994,0.629545,0.810489,0.897158,0.595479, 
30,0.730830,0.585839,0.675641,0.570682,0.736614,0.873428,0.695506, 
31,0.661326,0.589342,0.576991,0.400853,0.536534,0.697455,0.577083, 
32,0.692340,0.891479,0.781283,0.852162,0.238272,0.877604,0.722190, 
33,0.921779,0.796941,0.000000,0.671512,0.623767,0.832799,0.641133, 
34,0.644743,0.536285,0.537505,0.493860,0.725590,0.754619,0.615434, 
35,0.596147,0.743399,0.528909,0.860863,0.682074,0.543466,0.659143, 
36,0.753556,0.802276,0.597480,0.233288,0.860924,0.964399,0.701987, 
37,0.884289,0.677836,0.606034,0.424002,0.889018,0.663906,0.690848, 
38,0.605247,0.504542,0.926937,0.565029,0.760079,0.736431,0.683044, 
39,0.626841,0.632779,0.375790,0.548701,0.940432,0.669289,0.632305, 
40,0.759716,0.575194,0.578662,0.704561,0.850283,0.832328,0.716791, 
41,0.356121,0.616636,0.000000,0.709262,0.702237,0.426007,0.468377, 
