é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.586242,0.408628,0.292578,0.344058,0.534638,0.149403,0.385924, 
2,0.124630,0.616257,0.607632,0.026651,0.016934,0.918499,0.385100, 
3,0.604454,0.479047,0.615222,0.461062,0.328239,0.690821,0.529808, 
4,0.431199,0.356243,0.493111,0.627166,0.565733,0.882496,0.559325, 
5,0.471135,0.431836,0.198412,0.466399,0.452126,0.792757,0.468778, 
6,0.494172,0.720166,0.591977,0.690156,0.767832,0.703121,0.661237, 
7,0.557031,0.813832,0.458563,0.472256,0.611580,0.491627,0.567481, 
8,0.748388,0.162571,0.548790,0.282824,0.715246,0.517046,0.495811, 
9,0.676857,0.694859,0.873525,0.537040,0.183597,0.566380,0.588710, 
10,0.633840,0.421270,0.662732,0.644626,0.841699,0.467821,0.611998, 
11,0.280442,0.328600,0.178399,0.395350,0.467012,0.634414,0.380703, 
12,0.430617,0.466940,0.348727,0.450331,0.696924,0.331698,0.454206, 
13,0.630941,0.137033,0.551282,0.000000,0.604787,0.354250,0.379715, 
14,0.409229,0.427564,0.846669,0.000000,0.816164,0.446442,0.491011, 
15,0.948829,0.564197,0.506599,0.281389,0.356867,0.596942,0.542471, 
16,0.660876,0.730646,0.266202,0.498733,0.356159,0.177211,0.448304, 
17,0.263043,0.512567,0.482243,0.850560,0.355572,0.575736,0.506620, 
18,0.394674,0.441285,0.282090,0.257191,0.430175,0.677426,0.413807, 
19,0.502279,0.480014,0.383777,0.375813,0.728384,0.589882,0.510025, 
20,0.724906,0.175519,0.438994,0.692696,0.569732,0.665332,0.544530, 
21,0.625611,0.565219,0.503228,0.420480,0.276051,0.812097,0.533781, 
22,0.634474,0.000000,0.639233,0.360782,0.000000,0.802990,0.406246, 
23,0.173305,0.621978,0.426066,0.383569,0.424505,0.401070,0.405082, 
24,0.835786,0.000000,0.591183,0.334108,0.754674,0.684675,0.533404, 
25,0.381969,0.538235,0.389056,0.456708,0.886961,0.470490,0.520570, 
26,0.645569,0.388981,0.322669,0.503377,0.477651,0.799742,0.522998, 
27,0.000000,0.549824,0.425700,0.000000,0.725950,0.713779,0.402542, 
28,0.201140,0.678944,0.513177,0.000000,0.553297,0.957541,0.484016, 
29,0.216240,0.137075,0.469501,0.459369,0.681363,0.813497,0.462841, 
30,0.575833,0.414266,0.510165,0.399269,0.583047,0.775298,0.542980, 
31,0.494016,0.417778,0.405472,0.250667,0.366619,0.535455,0.411668, 
32,0.529449,0.804207,0.641070,0.742406,0.135249,0.781903,0.605714, 
