No.,tL,tR
true,0.862069,1.190476
0,0.808200,1.311159
1,0.920977,1.093857
2,0.832653,1.251536
3,0.855975,1.202296
4,0.809560,1.307596
5,0.857598,1.199110
6,0.869932,1.175801
7,0.861141,1.192250
8,0.883836,1.151319
9,0.847124,1.220203
10,0.912452,1.106132
11,0.838834,1.237821
12,0.965352,1.037228
13,0.921832,1.092655
14,0.863999,1.186818
15,0.866772,1.181622
16,0.909560,1.110412
17,0.764648,1.444652
18,0.820460,1.280128
19,0.801675,1.328706
20,0.912084,1.106671
21,0.936225,1.073098
22,0.889775,1.141397
23,0.882617,1.153395
24,0.856901,1.200476
25,0.824941,1.269369
26,0.937393,1.071567
27,0.876278,1.164402
28,0.904811,1.117574
29,0.835362,1.245463
30,0.778990,1.396088
31,0.887161,1.145727
32,0.877549,1.162165
33,0.787428,1.369780
34,0.844605,1.225468
35,0.890312,1.140515
36,0.809825,1.306908
37,0.820860,1.279157
38,0.803652,1.323311
39,0.895679,1.131823
40,0.965013,1.037622
41,0.922519,1.091689
42,0.823858,1.271946
43,0.806835,1.314771
44,0.709033,1.695985
45,0.879553,1.158667
46,0.879565,1.158649
47,0.870480,1.174801
48,0.933722,1.076407
49,0.839609,1.236138
50,0.876816,1.163454
51,0.866225,1.182641
52,0.790606,1.360274
53,0.773538,1.413951
54,0.856147,1.201959
55,0.855392,1.203448
56,0.873699,1.168985
57,0.923364,1.090508
58,0.892241,1.137364
59,0.829474,1.258782
60,0.888107,1.144154
61,0.858248,1.197841
62,0.872222,1.171639
63,0.897720,1.128582
64,0.923859,1.089820
65,0.865463,1.184064
66,0.834491,1.247404
67,0.912210,1.106487
68,0.902358,1.121340
69,0.824625,1.270120
70,0.822127,1.276091
71,0.879753,1.158324
72,0.801581,1.328962
73,0.816140,1.290789
74,0.910438,1.109101
75,0.828688,1.260600
76,0.961494,1.041718
77,0.939834,1.068395
78,0.857652,1.198999
79,0.908628,1.111803
80,0.852444,1.209333
81,0.815251,1.293020
82,0.876685,1.163682
83,0.848878,1.216581
84,0.876854,1.163385
85,0.869120,1.177285
86,0.861902,1.190792
87,0.872807,1.170586
88,0.878708,1.160140
89,0.852126,1.209973
90,0.795184,1.346927
91,0.816805,1.289130
92,0.884455,1.150271
93,0.886559,1.146731
94,0.910368,1.109211
95,0.829953,1.257681
96,0.837233,1.241326
97,0.908837,1.111489
98,0.861688,1.191204
99,0.902302,1.121424
100,0.918204,1.097792
101,0.908903,1.111391
102,0.917895,1.098234
