ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.194534, 0.194534,0.257136, 0.257136,0.214113, 0.214113,0.169941, 0.169941,0.093522, 0.093522,0.070754, 0.070754,0.000000
2,0.145981, 0.145981,0.206448, 0.206448,0.163858, 0.163858,0.183924, 0.183924,0.183924, 0.183924,0.115865, 0.115865,0.000000
3,0.221542, 0.221542,0.221542, 0.221542,0.188132, 0.188132,0.175838, 0.175838,0.110771, 0.110771,0.082174, 0.082174,0.000000
4,0.187674, 0.187674,0.283967, 0.283967,0.156273, 0.156273,0.167199, 0.167199,0.096532, 0.096532,0.108354, 0.108354,0.000000
5,0.180763, 0.180763,0.217085, 0.217085,0.193401, 0.193401,0.143472, 0.143472,0.172301, 0.172301,0.092977, 0.092977,0.000000
6,0.217258, 0.217258,0.217258, 0.217258,0.161170, 0.161170,0.161170, 0.161170,0.143586, 0.143586,0.099557, 0.099557,0.000000
7,0.222610, 0.222610,0.189038, 0.189038,0.183381, 0.183381,0.176686, 0.176686,0.157409, 0.157409,0.070876, 0.070876,0.000000
8,0.241751, 0.241751,0.246544, 0.246544,0.191878, 0.191878,0.135678, 0.135678,0.112977, 0.112977,0.071171, 0.071171,0.000000
9,0.254125, 0.254125,0.179693, 0.179693,0.179693, 0.179693,0.160089, 0.160089,0.113200, 0.113200,0.113200, 0.113200,0.000000
10,0.245984, 0.245984,0.208888, 0.208888,0.180528, 0.180528,0.165794, 0.165794,0.129033, 0.129033,0.069773, 0.069773,0.000000
11,0.259619, 0.259619,0.247464, 0.247464,0.136185, 0.136185,0.171582, 0.171582,0.101027, 0.101027,0.084123, 0.084123,0.000000
12,0.220075, 0.220075,0.196065, 0.196065,0.196065, 0.196065,0.174674, 0.174674,0.148331, 0.148331,0.064790, 0.064790,0.000000
13,0.203542, 0.203542,0.209822, 0.209822,0.155654, 0.155654,0.209822, 0.209822,0.155654, 0.155654,0.065506, 0.065506,0.000000
14,0.176339, 0.176339,0.222173, 0.222173,0.176339, 0.176339,0.211772, 0.211772,0.139960, 0.139960,0.073417, 0.073417,0.000000
15,0.226320, 0.226320,0.201628, 0.201628,0.160033, 0.160033,0.179631, 0.179631,0.089815, 0.089815,0.142573, 0.142573,0.000000
16,0.233001, 0.233001,0.184933, 0.184933,0.233001, 0.233001,0.172849, 0.172849,0.097008, 0.097008,0.079207, 0.079207,0.000000
17,0.262860, 0.262860,0.234182, 0.234182,0.154771, 0.154771,0.154771, 0.154771,0.102288, 0.102288,0.091128, 0.091128,0.000000
18,0.265205, 0.265205,0.220831, 0.220831,0.167068, 0.167068,0.139115, 0.139115,0.091941, 0.091941,0.115839, 0.115839,0.000000
19,0.242043, 0.242043,0.192109, 0.192109,0.201545, 0.201545,0.126965, 0.126965,0.118669, 0.118669,0.118669, 0.118669,0.000000
20,0.205276, 0.205276,0.290304, 0.290304,0.162927, 0.162927,0.162927, 0.162927,0.098686, 0.098686,0.079880, 0.079880,0.000000
21,0.266971, 0.266971,0.176441, 0.176441,0.176441, 0.176441,0.176441, 0.176441,0.092554, 0.092554,0.111151, 0.111151,0.000000
22,0.223894, 0.223894,0.199467, 0.199467,0.177705, 0.177705,0.199467, 0.199467,0.099733, 0.099733,0.099733, 0.099733,0.000000
23,0.255065, 0.255065,0.176852, 0.176852,0.189217, 0.189217,0.176852, 0.176852,0.092769, 0.092769,0.109244, 0.109244,0.000000
24,0.225088, 0.225088,0.283593, 0.283593,0.164072, 0.164072,0.121714, 0.121714,0.121714, 0.121714,0.083820, 0.083820,0.000000
25,0.178004, 0.178004,0.224271, 0.224271,0.224271, 0.224271,0.158584, 0.158584,0.125868, 0.125868,0.089002, 0.089002,0.000000
26,0.203479, 0.203479,0.181279, 0.181279,0.203479, 0.203479,0.143881, 0.143881,0.172792, 0.172792,0.095091, 0.095091,0.000000
27,0.278954, 0.278954,0.188016, 0.188016,0.182389, 0.182389,0.139477, 0.139477,0.116140, 0.116140,0.095025, 0.095025,0.000000
28,0.215469, 0.215469,0.191961, 0.191961,0.179417, 0.179417,0.201389, 0.201389,0.098737, 0.098737,0.113026, 0.113026,0.000000
29,0.329298, 0.329298,0.153890, 0.153890,0.153890, 0.153890,0.122143, 0.122143,0.143834, 0.143834,0.096945, 0.096945,0.000000
30,0.276474, 0.276474,0.178087, 0.178087,0.158658, 0.158658,0.125927, 0.125927,0.158658, 0.158658,0.102197, 0.102197,0.000000
31,0.272765, 0.272765,0.153084, 0.153084,0.216494, 0.216494,0.153084, 0.153084,0.136382, 0.136382,0.068191, 0.068191,0.000000
32,0.246789, 0.246789,0.199759, 0.199759,0.195876, 0.195876,0.155467, 0.155467,0.072654, 0.072654,0.129455, 0.129455,0.000000
33,0.236060, 0.236060,0.175118, 0.175118,0.247654, 0.247654,0.138991, 0.138991,0.110317, 0.110317,0.091859, 0.091859,0.000000
34,0.242154, 0.242154,0.138963, 0.138963,0.220589, 0.220589,0.175082, 0.175082,0.148678, 0.148678,0.074534, 0.074534,0.000000
35,0.288560, 0.288560,0.204043, 0.204043,0.181781, 0.181781,0.151366, 0.151366,0.100038, 0.100038,0.074212, 0.074212,0.000000
36,0.195580, 0.195580,0.182800, 0.182800,0.195580, 0.195580,0.182800, 0.182800,0.135608, 0.135608,0.107632, 0.107632,0.000000
37,0.247974, 0.247974,0.231771, 0.231771,0.192992, 0.192992,0.136466, 0.136466,0.119214, 0.119214,0.071584, 0.071584,0.000000
38,0.196783, 0.196783,0.257326, 0.257326,0.175314, 0.175314,0.139147, 0.139147,0.156187, 0.156187,0.075243, 0.075243,0.000000
39,0.291950, 0.291950,0.183917, 0.183917,0.171899, 0.171899,0.153145, 0.153145,0.127521, 0.127521,0.071569, 0.071569,0.000000
40,0.207668, 0.207668,0.185012, 0.185012,0.164827, 0.164827,0.164827, 0.164827,0.146844, 0.146844,0.130823, 0.130823,0.000000
41,0.269227, 0.269227,0.151098, 0.151098,0.248942, 0.248942,0.151098, 0.151098,0.106843, 0.106843,0.072791, 0.072791,0.000000
42,0.204990, 0.204990,0.197506, 0.197506,0.175958, 0.175958,0.156761, 0.156761,0.197506, 0.197506,0.067280, 0.067280,0.000000
43,0.257226, 0.257226,0.236233, 0.236233,0.156127, 0.156127,0.139093, 0.139093,0.091927, 0.091927,0.119394, 0.119394,0.000000
44,0.174498, 0.174498,0.276998, 0.276998,0.195867, 0.195867,0.155460, 0.155460,0.109927, 0.109927,0.087249, 0.087249,0.000000
45,0.271776, 0.271776,0.179617, 0.179617,0.142562, 0.142562,0.142562, 0.142562,0.152529, 0.152529,0.110952, 0.110952,0.000000
46,0.226772, 0.226772,0.254543, 0.254543,0.188829, 0.188829,0.160352, 0.160352,0.111182, 0.111182,0.058321, 0.058321,0.000000
47,0.200718, 0.200718,0.225298, 0.225298,0.200718, 0.200718,0.141929, 0.141929,0.141929, 0.141929,0.089410, 0.089410,0.000000
48,0.220960, 0.220960,0.236408, 0.236408,0.139196, 0.139196,0.187637, 0.187637,0.139196, 0.139196,0.076603, 0.076603,0.000000
49,0.229582, 0.229582,0.182219, 0.182219,0.162339, 0.162339,0.114791, 0.114791,0.182219, 0.182219,0.128849, 0.128849,0.000000
50,0.193025, 0.193025,0.235917, 0.235917,0.180412, 0.180412,0.160729, 0.160729,0.127570, 0.127570,0.102348, 0.102348,0.000000
51,0.239291, 0.239291,0.203204, 0.203204,0.228089, 0.228089,0.161283, 0.161283,0.106592, 0.106592,0.061541, 0.061541,0.000000
52,0.254216, 0.254216,0.179758, 0.179758,0.192326, 0.192326,0.127108, 0.127108,0.113241, 0.113241,0.133351, 0.133351,0.000000
53,0.181727, 0.181727,0.233500, 0.233500,0.194432, 0.194432,0.144236, 0.144236,0.120103, 0.120103,0.126002, 0.126002,0.000000
54,0.252075, 0.252075,0.259853, 0.259853,0.153000, 0.153000,0.136308, 0.136308,0.121436, 0.121436,0.077327, 0.077327,0.000000
55,0.218537, 0.218537,0.257347, 0.257347,0.222408, 0.222408,0.126172, 0.126172,0.093599, 0.093599,0.081936, 0.081936,0.000000
56,0.206501, 0.206501,0.243174, 0.243174,0.193008, 0.193008,0.171950, 0.171950,0.121587, 0.121587,0.063779, 0.063779,0.000000
57,0.270527, 0.270527,0.241012, 0.241012,0.132634, 0.132634,0.187573, 0.187573,0.103225, 0.103225,0.065028, 0.065028,0.000000
58,0.217317, 0.217317,0.217317, 0.217317,0.143625, 0.143625,0.180956, 0.180956,0.106546, 0.106546,0.134240, 0.134240,0.000000
59,0.198919, 0.198919,0.223279, 0.223279,0.177217, 0.177217,0.157882, 0.157882,0.168920, 0.168920,0.073783, 0.073783,0.000000
60,0.290852, 0.290852,0.205663, 0.205663,0.171252, 0.171252,0.152569, 0.152569,0.089832, 0.089832,0.089832, 0.089832,0.000000
61,0.297970, 0.297970,0.135718, 0.135718,0.162988, 0.162988,0.182948, 0.182948,0.152338, 0.152338,0.068037, 0.068037,0.000000
62,0.270307, 0.270307,0.178646, 0.178646,0.141792, 0.141792,0.178646, 0.178646,0.118068, 0.118068,0.112540, 0.112540,0.000000
63,0.161376, 0.161376,0.217535, 0.217535,0.203321, 0.203321,0.161376, 0.161376,0.161376, 0.161376,0.095017, 0.095017,0.000000
64,0.246882, 0.246882,0.230750, 0.230750,0.171178, 0.171178,0.183146, 0.183146,0.079996, 0.079996,0.088047, 0.088047,0.000000
65,0.254120, 0.254120,0.246514, 0.246514,0.211601, 0.211601,0.118757, 0.118757,0.088098, 0.088098,0.080908, 0.080908,0.000000
66,0.235901, 0.235901,0.175000, 0.175000,0.220486, 0.220486,0.175000, 0.175000,0.115658, 0.115658,0.077954, 0.077954,0.000000
67,0.183028, 0.183028,0.219806, 0.219806,0.183028, 0.183028,0.163060, 0.163060,0.135777, 0.135777,0.115301, 0.115301,0.000000
68,0.204504, 0.204504,0.284179, 0.284179,0.139327, 0.139327,0.156390, 0.156390,0.116015, 0.116015,0.099585, 0.099585,0.000000
69,0.272089, 0.272089,0.235148, 0.235148,0.188656, 0.188656,0.105879, 0.105879,0.130807, 0.130807,0.067421, 0.067421,0.000000
70,0.277984, 0.277984,0.189388, 0.189388,0.196564, 0.196564,0.150318, 0.150318,0.127648, 0.127648,0.058097, 0.058097,0.000000
71,0.182970, 0.182970,0.230528, 0.230528,0.163008, 0.163008,0.163008, 0.163008,0.145223, 0.145223,0.115264, 0.115264,0.000000
