é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.665466,0.726175,0.545001,0.472461,0.742844,0.735568,0.647919, 
2,0.418242,0.842629,0.580758,0.515443,0.475009,0.911710,0.623965, 
3,0.808510,0.662956,0.469490,0.478392,0.631228,0.906468,0.659507, 
4,0.788083,0.753626,0.460885,0.456325,0.686755,0.904668,0.675057, 
5,0.846072,0.698658,0.543322,0.447301,0.648769,0.840215,0.670723, 
6,0.714562,0.641161,0.434233,0.500369,0.758533,0.901974,0.658472, 
7,0.533525,0.764296,0.475295,0.465825,0.606022,0.925774,0.628456, 
8,0.810230,0.650783,0.491227,0.576681,0.803654,0.817791,0.691728, 
9,0.775771,0.702860,0.442969,0.448883,0.599499,0.919582,0.648261, 
10,0.937849,0.845359,0.524271,0.503987,0.702323,0.930490,0.740713, 
11,0.817984,0.888665,0.551543,0.682356,0.842754,0.900233,0.780589, 
12,0.831609,0.776259,0.500592,0.500592,0.715010,0.824294,0.691393, 
13,0.943005,0.900094,0.417822,0.378979,0.936721,0.951722,0.754724, 
14,0.320937,0.896210,0.550312,0.263178,0.904194,0.900435,0.639211, 
15,0.759556,0.863678,0.494358,0.385345,0.793425,0.815067,0.685238, 
16,0.921277,0.486915,0.566697,0.645399,0.742273,0.833511,0.699345, 
17,0.735303,0.852068,0.627216,0.529623,0.809786,0.942369,0.749394, 
18,0.806539,0.622417,0.457392,0.452544,0.631291,0.923999,0.649030, 
19,0.707946,0.717084,0.400523,0.415795,0.617982,0.812853,0.612030, 
20,0.773567,0.701598,0.533755,0.529668,0.691397,0.838796,0.678130, 
21,0.673012,0.750029,0.586982,0.518807,0.681025,0.940815,0.691778, 
22,0.829794,0.706079,0.617326,0.665871,0.706079,0.916538,0.740281, 
23,0.796561,0.708394,0.448321,0.487547,0.691983,0.745035,0.646307, 
24,0.513540,0.545407,0.511918,0.439843,0.822553,0.886699,0.619993, 
25,0.503944,0.881807,0.564314,0.625783,0.862962,0.934748,0.728927, 
26,0.873525,0.703429,0.458232,0.499902,0.707043,0.955788,0.699653, 
27,0.607066,0.754688,0.525025,0.459223,0.793113,0.853559,0.665445, 
28,0.900110,0.508844,0.623637,0.288791,0.845162,0.842318,0.668144, 
29,0.531895,0.785490,0.655687,0.551971,0.886418,0.873376,0.714139, 
30,0.706771,0.637565,0.433046,0.374382,0.639926,0.806575,0.599711, 
31,0.779110,0.407470,0.446490,0.534430,0.695180,0.762506,0.604198, 
32,0.700204,0.679400,0.499195,0.459316,0.666138,0.921088,0.654223, 
33,0.765269,0.661272,0.385874,0.452234,0.704952,0.925130,0.649122, 
34,0.836269,0.696106,0.415315,0.451053,0.682446,0.890675,0.661977, 
35,0.983716,0.846387,0.552811,0.536873,0.813631,0.830726,0.760691, 
36,0.783339,0.747554,0.580841,0.477681,0.615223,0.830783,0.672570, 
37,0.637024,0.639698,0.541010,0.541010,0.671181,0.851789,0.646952, 
38,0.613575,0.581809,0.446200,0.456041,0.497161,0.902832,0.582936, 
39,0.900205,0.760700,0.465264,0.532607,0.707598,0.822485,0.698143, 
40,0.639729,0.707150,0.498186,0.478668,0.838560,0.854983,0.669546, 
41,0.721278,0.520922,0.645026,0.585986,0.781368,0.972172,0.704459, 
42,0.805701,0.910876,0.668267,0.531328,0.339864,0.640122,0.649360, 
43,0.740803,0.662579,0.420227,0.483936,0.644224,0.943422,0.649199, 
44,0.587680,0.824409,0.493826,0.445859,0.759934,0.923580,0.672548, 
45,0.758778,0.653963,0.466373,0.438362,0.659832,0.773550,0.625143, 
46,0.837307,0.679164,0.478590,0.428169,0.646695,0.879747,0.658279, 
47,0.879838,0.718802,0.512208,0.666717,0.792096,0.961935,0.755266, 
48,0.548663,0.603547,0.517514,0.552144,0.690305,0.872970,0.630857, 
49,0.685175,0.680416,0.441878,0.549495,0.652462,0.796562,0.634331, 
50,0.818217,0.821819,0.546083,0.519852,0.885872,0.754004,0.724308, 
51,0.736861,0.555091,0.459038,0.565848,0.724565,0.840959,0.647060, 
52,0.882814,0.676038,0.526629,0.424899,0.628489,0.909492,0.674727, 
53,0.696658,0.578027,0.379069,0.431075,0.614285,0.851254,0.591728, 
54,0.870732,0.674299,0.482646,0.450224,0.797479,0.812372,0.681292, 
55,0.564107,0.605474,0.439155,0.548748,0.634826,0.947593,0.623317, 
56,0.886001,0.724567,0.531048,0.654955,0.816236,0.943562,0.759395, 
57,0.904971,0.818996,0.540695,0.538288,0.689456,0.904733,0.732856, 
58,0.536997,0.654505,0.468329,0.400218,0.623964,0.836432,0.586741, 
59,0.900931,0.935192,0.519954,0.655850,0.917430,0.855669,0.797504, 
60,0.730243,0.851652,0.468770,0.573842,0.790960,0.959135,0.729100, 
61,0.852393,0.461271,0.497925,0.613027,0.529656,0.842504,0.632796, 
62,0.747414,0.674955,0.351863,0.501448,0.622597,0.763945,0.610370, 
63,0.781572,0.808668,0.445232,0.482145,0.731896,0.934623,0.697356, 
64,0.796764,0.686730,0.581680,0.493884,0.669630,0.877486,0.684362, 
65,0.781857,0.479099,0.731317,0.701645,0.413487,0.644049,0.625243, 
66,0.884791,0.746836,0.437949,0.568742,0.700780,0.890853,0.704992, 
67,0.635608,0.655575,0.421634,0.486949,0.786488,0.916576,0.650472, 
