é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.498651,0.570074,0.374572,0.309295,0.590893,0.581738,0.487537, 
2,0.264416,0.728054,0.409203,0.347203,0.311483,0.837745,0.483017, 
3,0.678570,0.495837,0.306754,0.314399,0.461163,0.828937,0.514277, 
4,0.650278,0.604655,0.299448,0.295609,0.522945,0.825930,0.533144, 
5,0.733210,0.536875,0.372987,0.288079,0.480132,0.724458,0.522623, 
6,0.555890,0.471845,0.277329,0.333662,0.610997,0.821450,0.511862, 
7,0.363815,0.618510,0.311729,0.303632,0.434743,0.861805,0.482372, 
8,0.680997,0.482341,0.325580,0.405167,0.671758,0.691748,0.542932, 
9,0.633682,0.541853,0.284496,0.289393,0.428060,0.851135,0.504770, 
10,0.882972,0.732141,0.355262,0.336887,0.541216,0.870016,0.619749, 
11,0.692024,0.799637,0.380780,0.517860,0.728241,0.818567,0.656185, 
12,0.711756,0.634333,0.333860,0.333860,0.556433,0.701105,0.545224, 
13,0.892157,0.818336,0.264080,0.233790,0.880974,0.907890,0.666205, 
14,0.191141,0.811938,0.379607,0.151528,0.825140,0.818902,0.529709, 
15,0.612326,0.760065,0.328337,0.238655,0.657584,0.687860,0.547471, 
16,0.854044,0.321802,0.395378,0.476450,0.590170,0.714548,0.558732, 
17,0.581406,0.742263,0.456893,0.360196,0.680370,0.891019,0.618691, 
18,0.675799,0.451818,0.296505,0.292444,0.461231,0.858735,0.506088, 
19,0.547922,0.558948,0.250409,0.262463,0.447159,0.684712,0.458602, 
20,0.630746,0.540355,0.364029,0.360237,0.528347,0.722350,0.524344, 
21,0.507172,0.600037,0.415410,0.350263,0.516329,0.888244,0.546243, 
22,0.709101,0.545689,0.446473,0.499106,0.545689,0.845935,0.598665, 
23,0.661903,0.548460,0.288926,0.322356,0.529033,0.593671,0.490725, 
24,0.345478,0.374955,0.344012,0.281922,0.698591,0.796459,0.473569, 
25,0.336848,0.788601,0.393063,0.455374,0.758957,0.877491,0.601722, 
26,0.775450,0.542530,0.297212,0.333247,0.546842,0.915320,0.568434, 
27,0.435818,0.606023,0.355955,0.298046,0.657156,0.744529,0.516254, 
28,0.818364,0.341241,0.453105,0.168764,0.731845,0.727590,0.540151, 
29,0.362300,0.646755,0.487748,0.381187,0.796006,0.775214,0.574869, 
30,0.546517,0.467959,0.276362,0.230301,0.470508,0.675849,0.444583, 
31,0.638150,0.255863,0.287407,0.364657,0.532778,0.616170,0.449171, 
32,0.538703,0.514463,0.332618,0.298124,0.499405,0.853720,0.506172, 
33,0.619786,0.493955,0.239060,0.292185,0.544345,0.860690,0.508337, 
34,0.718610,0.533867,0.262080,0.291200,0.517965,0.802898,0.521103, 
35,0.967954,0.733684,0.381989,0.366936,0.685817,0.710463,0.641140, 
36,0.643844,0.596875,0.409286,0.313785,0.444276,0.710546,0.519769, 
37,0.467378,0.470262,0.370811,0.370811,0.505096,0.741841,0.487700, 
38,0.442559,0.410247,0.287167,0.295371,0.330814,0.822875,0.431506, 
39,0.818521,0.613814,0.303156,0.362961,0.547506,0.698493,0.557408, 
