ó^Ç¶ÇΩèdóvìx,0.160000,0.300000,0.150000,0.250000,0.150000,0.210000,0.120000,0.180000,0.080000,0.180000,0.040000,0.180000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.125000, 0.187500,0.250000, 0.250000,0.187500, 0.250000,0.125000, 0.250000,0.062500, 0.187500,0.062500, 0.062500,0.375000
2,0.145833, 0.166667,0.166667, 0.291667,0.145833, 0.166667,0.166667, 0.166667,0.166667, 0.166667,0.083333, 0.166667,0.250000
3,0.216216, 0.216216,0.216216, 0.216216,0.108108, 0.216216,0.108108, 0.216216,0.108108, 0.108108,0.054054, 0.216216,0.378378
4,0.200000, 0.200000,0.200000, 0.200000,0.200000, 0.200000,0.100000, 0.200000,0.066667, 0.200000,0.033333, 0.200000,0.400000
5,0.203390, 0.203390,0.203390, 0.203390,0.101695, 0.203390,0.101695, 0.203390,0.101695, 0.203390,0.067797, 0.203390,0.440678
6,0.180451, 0.270677,0.180451, 0.180451,0.180451, 0.180451,0.135338, 0.180451,0.090226, 0.180451,0.060150, 0.180451,0.345865
7,0.172043, 0.322581,0.161290, 0.172043,0.161290, 0.161290,0.161290, 0.161290,0.161290, 0.161290,0.032258, 0.172043,0.301075
8,0.210526, 0.210526,0.210526, 0.210526,0.210526, 0.210526,0.105263, 0.210526,0.052632, 0.210526,0.052632, 0.105263,0.315789
9,0.181818, 0.363636,0.181818, 0.181818,0.181818, 0.181818,0.090909, 0.181818,0.090909, 0.090909,0.090909, 0.181818,0.363636
10,0.288462, 0.288462,0.144231, 0.288462,0.144231, 0.144231,0.144231, 0.144231,0.096154, 0.144231,0.028846, 0.144231,0.307692
11,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.125000,0.125000, 0.250000,0.062500, 0.125000,0.062500, 0.125000,0.250000
12,0.216216, 0.216216,0.216216, 0.216216,0.108108, 0.216216,0.108108, 0.216216,0.108108, 0.216216,0.054054, 0.108108,0.378378
13,0.209790, 0.209790,0.209790, 0.209790,0.104895, 0.209790,0.209790, 0.209790,0.104895, 0.209790,0.041958, 0.069930,0.237762
14,0.102564, 0.205128,0.205128, 0.205128,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.051282, 0.102564,0.256410
15,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.205128, 0.205128,0.051282, 0.102564,0.102564, 0.205128,0.256410
16,0.226415, 0.226415,0.113208, 0.226415,0.226415, 0.226415,0.113208, 0.226415,0.113208, 0.113208,0.075472, 0.113208,0.264151
17,0.250000, 0.250000,0.250000, 0.250000,0.125000, 0.250000,0.125000, 0.125000,0.062500, 0.125000,0.062500, 0.125000,0.250000
18,0.240000, 0.240000,0.240000, 0.240000,0.120000, 0.120000,0.120000, 0.240000,0.040000, 0.120000,0.040000, 0.240000,0.400000
19,0.220183, 0.330275,0.110092, 0.220183,0.165138, 0.220183,0.110092, 0.110092,0.110092, 0.110092,0.073394, 0.220183,0.422018
20,0.193548, 0.258065,0.258065, 0.258065,0.129032, 0.193548,0.129032, 0.193548,0.064516, 0.129032,0.064516, 0.129032,0.322581
21,0.188235, 0.282353,0.188235, 0.188235,0.141176, 0.188235,0.188235, 0.188235,0.094118, 0.094118,0.070588, 0.188235,0.258824
22,0.210526, 0.210526,0.210526, 0.210526,0.184211, 0.210526,0.105263, 0.210526,0.105263, 0.105263,0.052632, 0.184211,0.263158
23,0.220183, 0.220183,0.110092, 0.220183,0.220183, 0.220183,0.110092, 0.220183,0.055046, 0.220183,0.073394, 0.110092,0.422018
24,0.144578, 0.289157,0.289157, 0.289157,0.144578, 0.144578,0.144578, 0.144578,0.072289, 0.144578,0.048193, 0.144578,0.313253
25,0.205128, 0.205128,0.205128, 0.205128,0.205128, 0.205128,0.102564, 0.205128,0.102564, 0.205128,0.051282, 0.102564,0.256410
26,0.195122, 0.195122,0.195122, 0.195122,0.195122, 0.195122,0.097561, 0.195122,0.097561, 0.195122,0.048780, 0.195122,0.341463
27,0.308880, 0.308880,0.154440, 0.231660,0.115830, 0.154440,0.154440, 0.154440,0.077220, 0.154440,0.030888, 0.154440,0.316602
28,0.187500, 0.187500,0.187500, 0.187500,0.171875, 0.187500,0.187500, 0.187500,0.062500, 0.171875,0.093750, 0.187500,0.218750
29,0.315789, 0.315789,0.157895, 0.157895,0.157895, 0.157895,0.078947, 0.157895,0.105263, 0.157895,0.078947, 0.157895,0.210526
30,0.150538, 0.301075,0.150538, 0.301075,0.150538, 0.150538,0.150538, 0.150538,0.150538, 0.150538,0.043011, 0.150538,0.408602
31,0.235294, 0.235294,0.117647, 0.235294,0.235294, 0.235294,0.058824, 0.235294,0.117647, 0.117647,0.058824, 0.117647,0.352941
32,0.181818, 0.348485,0.174242, 0.181818,0.181818, 0.181818,0.174242, 0.181818,0.060606, 0.090909,0.060606, 0.181818,0.333333
33,0.196721, 0.196721,0.196721, 0.196721,0.196721, 0.196721,0.098361, 0.196721,0.098361, 0.196721,0.032787, 0.196721,0.360656
34,0.197183, 0.197183,0.098592, 0.197183,0.197183, 0.197183,0.197183, 0.197183,0.098592, 0.197183,0.028169, 0.197183,0.366197
35,0.299065, 0.299065,0.158879, 0.299065,0.149533, 0.158879,0.149533, 0.158879,0.052960, 0.149533,0.049844, 0.074766,0.280374
36,0.187500, 0.187500,0.187500, 0.187500,0.187500, 0.187500,0.187500, 0.187500,0.062500, 0.187500,0.062500, 0.187500,0.250000
