é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.271605,0.000000,0.367347,0.594595,0.888889,0.000000,0.353739, 
2,0.082902,0.740741,0.412371,0.000000,0.000000,0.746269,0.330380, 
3,0.000000,0.000000,0.713826,0.713826,0.000000,0.833631,0.376881, 
4,0.000000,0.000000,0.000000,0.750000,0.857143,0.913043,0.420031, 
5,0.000000,0.000000,0.660377,0.742138,0.776471,0.814268,0.498876, 
6,0.783801,0.000000,0.000000,0.849785,0.943874,0.920855,0.583053, 
7,0.880829,0.194175,0.000000,0.000000,0.000000,0.943889,0.336482, 
8,0.000000,0.000000,0.000000,0.726115,0.775510,0.546448,0.341345, 
9,0.734463,0.000000,0.000000,0.795181,0.000000,0.771654,0.383550, 
10,0.000000,0.818898,0.000000,0.000000,0.649351,0.816265,0.380752, 
11,0.000000,0.000000,0.000000,0.594595,0.553846,0.617284,0.294287, 
12,0.000000,0.000000,0.713826,0.713826,0.690909,0.557103,0.445944, 
13,0.000000,0.000000,0.725191,0.000000,0.733106,0.333055,0.298559, 
14,0.372093,0.000000,0.000000,0.000000,0.764557,0.536193,0.278807, 
15,0.000000,0.000000,0.678233,0.000000,0.298305,0.638478,0.269169, 
16,0.000000,0.716814,0.000000,0.692810,0.000000,0.424628,0.305709, 
17,0.000000,0.000000,0.648649,0.000000,0.553846,0.617284,0.303296, 
18,0.000000,0.000000,0.000000,0.666667,0.444444,0.823529,0.322440, 
19,0.638298,0.668122,0.779904,0.000000,0.000000,0.743442,0.471628, 
20,0.630915,0.000000,0.699482,0.818653,0.596078,0.630915,0.562674, 
21,0.804020,0.000000,0.714286,0.000000,0.000000,0.849315,0.394603, 
22,0.000000,0.000000,0.597561,0.726115,0.000000,0.937984,0.376943, 
23,0.000000,0.668122,0.000000,0.705502,0.754325,0.415369,0.423886, 
24,0.907705,0.000000,0.000000,0.000000,0.749650,0.815494,0.412142, 
25,0.000000,0.000000,0.000000,0.738170,0.764557,0.536193,0.339820, 
26,0.000000,0.000000,0.000000,0.761610,0.834568,0.916525,0.418784, 
27,0.000000,0.871460,0.090055,0.000000,0.840087,0.868444,0.445008, 
28,0.000000,0.000000,0.413223,0.000000,0.877612,0.737968,0.338134, 
29,0.000000,0.000000,0.000000,0.545455,0.689655,0.721154,0.326044, 
30,0.963731,0.793991,0.000000,0.000000,0.000000,0.868810,0.437755, 
31,0.000000,0.783784,0.000000,0.507463,0.000000,0.591716,0.313827, 
32,0.770751,0.140845,0.000000,0.170404,0.167442,0.914153,0.360599, 
33,0.000000,0.000000,0.000000,0.757764,0.823140,0.921251,0.417026, 
34,0.000000,0.475177,0.000000,0.000000,0.819858,0.906108,0.366857, 
35,0.000000,0.758755,0.256065,0.269542,0.707448,0.302229,0.382340, 
36,0.000000,0.000000,0.000000,0.000000,0.888889,0.886792,0.295947, 
37,0.000000,0.000000,0.679868,0.679868,0.525874,0.587659,0.412212, 
38,0.727273,0.666667,0.000000,0.000000,0.000000,0.923077,0.386169, 
39,0.000000,0.768262,0.000000,0.481793,0.675105,0.607880,0.422173, 
40,0.000000,0.000000,0.521472,0.000000,0.868293,0.720648,0.351735, 
41,0.000000,0.885794,0.000000,0.000000,0.562162,0.700525,0.358080, 
42,0.000000,0.000000,0.000000,0.837209,0.000000,0.568093,0.234217, 
43,0.000000,0.112360,0.000000,0.670213,0.489552,0.815847,0.347995, 
44,0.952880,0.000000,0.000000,0.000000,0.685714,0.413793,0.342064, 
45,0.000000,0.851675,0.615917,0.000000,0.655034,0.782014,0.484106, 
