é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.157143,0.000000,0.225000,0.423077,0.800000,0.000000,0.267537, 
2,0.043243,0.588235,0.259740,0.000000,0.000000,0.595238,0.247743, 
3,0.000000,0.000000,0.555000,0.555000,0.000000,0.714724,0.304121, 
4,0.000000,0.000000,0.000000,0.600000,0.750000,0.840000,0.365000, 
5,0.000000,0.000000,0.492958,0.590000,0.634615,0.686722,0.400716, 
6,0.644468,0.000000,0.000000,0.738806,0.893713,0.853319,0.521718, 
7,0.787037,0.107527,0.000000,0.000000,0.000000,0.893741,0.298051, 
8,0.000000,0.000000,0.000000,0.570000,0.633333,0.375940,0.263212, 
9,0.580357,0.000000,0.000000,0.660000,0.000000,0.628205,0.311427, 
10,0.000000,0.693333,0.000000,0.000000,0.480769,0.689567,0.310612, 
11,0.000000,0.000000,0.000000,0.423077,0.382979,0.446429,0.208747, 
12,0.000000,0.000000,0.555000,0.555000,0.527778,0.386100,0.337313, 
13,0.000000,0.000000,0.568862,0.000000,0.578664,0.199800,0.224554, 
14,0.228571,0.000000,0.000000,0.000000,0.618852,0.366300,0.202287, 
15,0.000000,0.000000,0.513126,0.000000,0.175299,0.468944,0.192895, 
16,0.000000,0.558621,0.000000,0.530000,0.000000,0.269542,0.226360, 
17,0.000000,0.000000,0.480000,0.000000,0.382979,0.446429,0.218235, 
18,0.000000,0.000000,0.000000,0.500000,0.285714,0.700000,0.247619, 
19,0.468750,0.501639,0.639216,0.000000,0.000000,0.591650,0.366876, 
20,0.460829,0.000000,0.537849,0.692982,0.424581,0.460829,0.429512, 
21,0.672269,0.000000,0.555556,0.000000,0.000000,0.738095,0.327653, 
22,0.000000,0.000000,0.426087,0.570000,0.000000,0.883212,0.313216, 
23,0.000000,0.501639,0.000000,0.545000,0.605556,0.262123,0.319053, 
24,0.831008,0.000000,0.000000,0.000000,0.599553,0.688468,0.353171, 
25,0.000000,0.000000,0.000000,0.585000,0.618852,0.366300,0.261692, 
26,0.000000,0.000000,0.000000,0.615000,0.716102,0.845912,0.362836, 
27,0.000000,0.772201,0.047150,0.000000,0.724267,0.767478,0.385183, 
28,0.000000,0.000000,0.260417,0.000000,0.781915,0.584746,0.271180, 
29,0.000000,0.000000,0.000000,0.375000,0.526316,0.563910,0.244204, 
30,0.930000,0.658363,0.000000,0.000000,0.000000,0.768049,0.392735, 
