No.,tL,tR
true,0.862069,1.190476
0,0.941176,1.066667
1,0.999998,1.000000
2,0.973685,1.027779
3,0.967742,1.034482
4,0.921874,1.092592
5,0.950001,1.055556
6,1.000000,1.000001
7,1.000000,1.000001
8,1.000000,1.000001
9,0.990475,1.009707
10,1.000000,1.000000
11,0.925001,1.088236
12,0.986208,1.014185
13,0.975001,1.026317
14,0.975001,1.026317
15,0.981480,1.019230
16,1.000000,1.000000
17,1.000000,1.000000
18,0.939656,1.068627
19,0.911766,1.107143
20,0.988373,1.011906
21,1.000000,1.000000
22,0.956142,1.048079
23,0.988096,1.012195
24,0.975001,1.026317
25,0.976191,1.025000
26,0.966419,1.036001
27,1.000000,1.000000
28,0.974359,1.027027
29,0.948978,1.056817
30,1.000000,1.000000
31,1.000000,1.000001
32,0.983872,1.016667
33,0.986112,1.014285
34,0.999999,1.000000
35,1.000000,1.000000
36,0.953703,1.051020
37,1.000000,1.000000
38,0.981251,1.019481
39,0.954546,1.050001
40,0.993751,1.006331
41,0.999999,1.000000
42,1.000000,1.000000
43,1.000000,1.000000
44,0.927085,1.085366
45,1.000000,1.000000
46,0.975001,1.026317
47,0.968750,1.033333
48,0.999998,1.000000
49,0.999998,1.000000
50,0.961538,1.041667
51,1.000000,1.000002
52,0.906248,1.115383
53,0.990195,1.009999
54,1.000000,1.000000
55,0.975001,1.026317
56,0.954546,1.050001
57,0.945312,1.061403
58,1.000000,1.000000
59,0.979165,1.021739
60,1.000000,1.000001
61,0.937501,1.071428
62,0.993057,1.007043
63,0.935184,1.074467
64,1.000000,1.000000
65,1.000000,1.000002
66,0.960318,1.043103
67,0.992856,1.007246
68,0.984614,1.015872
69,1.000000,1.000000
70,0.958334,1.045453
71,0.924107,1.089474
72,0.999998,1.000000
73,0.976193,1.025000
74,1.000000,1.000000
75,0.962963,1.039999
76,0.999999,1.000000
77,1.000000,1.000000
78,1.000000,1.000000
79,0.972220,1.029411
80,0.994119,1.005954
81,0.993335,1.006758
82,0.958332,1.045453
83,0.960318,1.043103
84,0.999998,1.000000
85,0.947918,1.058141
86,0.964287,1.038463
87,0.987180,1.013159
88,1.000000,1.000001
89,0.946430,1.060001
90,0.921874,1.092592
91,0.976191,1.025000
92,0.999999,1.000000
93,0.976191,1.025000
94,0.975001,1.026317
95,0.950000,1.055555
96,0.994738,1.005320
97,0.953703,1.051020
98,0.958332,1.045453
99,1.000000,1.000000
100,1.000000,1.000001
101,0.960527,1.042859
102,0.999999,1.000000
103,0.968752,1.033335
