No.,tL,tR
true,0.862069,1.190476
0,0.865943,1.183167
1,0.833978,1.248553
2,0.838091,1.239445
3,0.845137,1.224350
4,0.893199,1.135810
5,0.859579,1.195257
6,0.845400,1.223798
7,0.867517,1.180240
8,0.891491,1.138585
9,0.850776,1.212705
10,0.884279,1.150568
11,0.875449,1.165869
12,0.882978,1.152779
13,0.899658,1.125535
14,0.882096,1.154286
15,0.857390,1.199515
16,0.856127,1.201997
17,0.860808,1.192889
18,0.912886,1.105495
19,0.901330,1.122928
20,0.849844,1.214604
21,0.863621,1.187529
22,0.888647,1.143257
23,0.858572,1.197210
24,0.867699,1.179903
25,0.895268,1.132482
26,0.914637,1.102937
27,0.850866,1.212523
28,0.856378,1.201502
29,0.857457,1.199384
30,0.864009,1.186797
31,0.839327,1.236753
32,0.877835,1.161664
33,0.871789,1.172424
34,0.844234,1.226250
35,0.880810,1.156495
36,0.856360,1.201538
37,0.867614,1.180062
38,0.897046,1.129650
39,0.922862,1.091209
40,0.851711,1.210811
41,0.864051,1.186717
42,0.838939,1.237597
43,0.883091,1.152587
44,0.876718,1.163627
45,0.866654,1.181842
46,0.883391,1.152077
47,0.859679,1.195064
48,0.866684,1.181787
49,0.852313,1.209596
50,0.834871,1.246557
51,0.851805,1.210621
52,0.868043,1.179269
53,0.872081,1.171898
54,0.875909,1.165055
55,0.866824,1.181525
56,0.891682,1.138273
57,0.865643,1.183727
58,0.891756,1.138152
59,0.838574,1.238391
60,0.852235,1.209754
61,0.850943,1.212367
62,0.908765,1.111598
63,0.871940,1.172151
64,0.839484,1.236412
65,0.873803,1.168802
66,0.857584,1.199136
67,0.856659,1.200949
68,0.838382,1.238810
69,0.840805,1.233558
70,0.822331,1.275601
71,0.879520,1.158727
72,0.911443,1.107618
73,0.878448,1.160592
74,0.883451,1.151973
75,0.880851,1.156425
76,0.873539,1.169275
77,0.852831,1.208555
78,0.867544,1.180191
79,0.850894,1.212466
80,0.858681,1.196999
81,0.833582,1.249441
82,0.861227,1.192085
83,0.868109,1.179146
84,0.869208,1.177126
85,0.960391,1.043016
86,0.865393,1.184195
87,0.842866,1.229147
88,0.844501,1.225688
89,0.848296,1.217780
90,0.893017,1.136105
