No.,tL,tR
true,0.862069,1.190476
0,0.927289,1.085085
1,0.936743,1.072420
2,0.902504,1.121112
3,0.918428,1.097474
4,0.971737,1.029956
5,0.908975,1.111284
6,0.912591,1.105927
7,0.890070,1.140910
8,0.953592,1.051156
9,0.885038,1.149286
10,0.912062,1.106705
11,0.928253,1.083767
12,0.913082,1.105206
13,0.931124,1.079880
14,0.931546,1.079313
15,0.915482,1.101710
16,0.926050,1.086786
17,0.908892,1.111408
18,0.965251,1.037345
19,0.957254,1.046742
20,0.888448,1.143586
21,0.922474,1.091753
22,0.920459,1.094588
23,0.889814,1.141331
24,0.933344,1.076909
25,0.943503,1.063694
26,0.944529,1.062393
27,0.951536,1.053666
28,0.905220,1.116948
29,0.930617,1.080562
30,0.926814,1.085735
31,0.889877,1.141228
32,0.914028,1.103823
33,0.922092,1.092288
34,0.893122,1.135934
35,0.961532,1.041674
36,0.893644,1.135091
37,0.915131,1.102220
38,0.947180,1.059059
39,0.962637,1.040381
40,0.923038,1.090963
41,0.908039,1.112687
42,0.864675,1.185543
43,0.947112,1.059143
44,0.930656,1.080510
45,0.930699,1.080452
46,0.957024,1.047017
47,0.911998,1.106799
48,0.920430,1.094629
49,0.909474,1.110540
50,0.866451,1.182220
51,0.897941,1.128233
52,0.914057,1.103782
53,0.921545,1.093056
54,0.914929,1.102512
55,0.930513,1.080703
56,0.928663,1.083209
57,0.898096,1.127989
58,0.957384,1.046587
59,0.907192,1.113961
60,0.930475,1.080754
61,0.891224,1.139021
62,0.953655,1.051079
63,0.920721,1.094218
64,0.905231,1.116932
65,0.939698,1.068572
66,0.910872,1.108462
67,0.920483,1.094555
68,0.877759,1.161797
69,0.910956,1.108338
70,0.884860,1.149588
71,0.933610,1.076555
72,0.949877,1.055708
73,0.922851,1.091226
74,0.949461,1.056222
75,0.939005,1.069469
76,0.907439,1.113588
77,0.936732,1.072434
78,0.898176,1.127862
79,0.891045,1.139313
80,0.908627,1.111806
81,0.899165,1.126308
82,0.936978,1.072111
83,0.942344,1.065171
84,0.920186,1.094975
85,0.995975,1.004057
86,0.919254,1.096297
87,0.896042,1.131246
88,0.916639,1.100040
89,0.907348,1.113726
90,0.930117,1.081237
91,0.936999,1.072084
92,0.928893,1.082896
93,0.907804,1.113040
94,0.897750,1.128536
95,0.910683,1.108742
96,0.913358,1.104803
97,0.942501,1.064971
98,0.951639,1.053539
99,0.939646,1.068639
100,0.943297,1.063956
101,0.911520,1.107505
102,0.903791,1.119132
103,0.893016,1.136106
104,0.874150,1.168181
105,0.901999,1.121893
106,0.917887,1.098248
107,0.904021,1.118779
108,0.947490,1.058672
109,0.929440,1.082154
110,0.892501,1.136941
111,0.918847,1.096876
112,0.897170,1.129453
113,0.892927,1.136251
114,0.913076,1.105216
115,0.900866,1.123650
116,0.870753,1.174303
117,0.889327,1.142133
118,0.890725,1.139836
119,0.909354,1.110718
120,0.939986,1.068200
121,0.903774,1.119158
122,0.889583,1.141711
123,0.948915,1.056898
124,0.904678,1.117776
125,0.901859,1.122109
126,0.863720,1.187342
127,0.956886,1.047182
128,0.936917,1.072191
129,0.905061,1.117191
130,0.978962,1.021962
131,0.912028,1.106755
132,0.913586,1.104469
133,0.912221,1.106471
134,0.891553,1.138483
135,0.935102,1.074578
136,0.930557,1.080644
137,0.936383,1.072891
138,0.905955,1.115831
139,0.982798,1.017814
140,0.932841,1.077580
141,0.904112,1.118640
142,0.890846,1.139638
143,0.907691,1.113209
144,0.971287,1.030462
145,0.945115,1.061653
146,0.925280,1.087848
147,0.947774,1.058317
148,0.939088,1.069363
149,0.914171,1.103616
150,0.932764,1.077682
151,0.879145,1.159378
152,0.913277,1.104921
153,0.922541,1.091658
154,0.956829,1.047251
