No.,tL,tR
true,0.862069,1.190476
0,0.733172,1.572170
1,0.707229,1.706395
2,0.707327,1.705826
3,0.718821,1.642489
4,0.729347,1.590050
5,0.736656,1.556386
6,0.738453,1.548426
7,0.744288,1.523383
8,0.767708,1.433852
9,0.736060,1.559054
10,0.761400,1.456387
11,0.748151,1.507451
12,0.766410,1.438403
13,0.779032,1.395955
14,0.768455,1.431255
15,0.704285,1.723782
16,0.727446,1.599163
17,0.731753,1.578734
18,0.763014,1.450520
19,0.780004,1.392845
20,0.723497,1.618581
21,0.743104,1.528368
22,0.753808,1.484996
23,0.734720,1.565100
24,0.735847,1.560011
25,0.778961,1.396182
26,0.797886,1.339246
27,0.707543,1.704571
28,0.740317,1.540293
29,0.738329,1.548971
30,0.726045,1.605973
31,0.702135,1.736800
32,0.769638,1.427170
33,0.759691,1.462682
34,0.711445,1.682341
35,0.725278,1.609742
36,0.727318,1.599779
37,0.745428,1.518629
38,0.769391,1.428017
39,0.798914,1.336361
40,0.721118,1.630616
41,0.745024,1.520309
42,0.696581,1.771738
43,0.716723,1.653547
44,0.734832,1.564589
45,0.745093,1.520020
46,0.741970,1.533186
47,0.734253,1.567222
48,0.757863,1.469508
49,0.733393,1.571155
50,0.703103,1.730903
51,0.713868,1.668943
52,0.741447,1.535426
53,0.735599,1.561124
54,0.756186,1.475854
55,0.738835,1.546747
56,0.775300,1.408102
57,0.737546,1.552427
58,0.766198,1.439150
59,0.717650,1.648632
60,0.713580,1.670522
61,0.717062,1.651747
62,0.800942,1.330724
63,0.738280,1.549184
64,0.712907,1.674222
65,0.737192,1.554000
66,0.721005,1.631196
67,0.716715,1.653588
68,0.711284,1.683244
69,0.714083,1.667772
70,0.698219,1.761228
71,0.735120,1.563285
72,0.816785,1.289180
73,0.749955,1.500182
74,0.757265,1.471761
75,0.738817,1.546826
76,0.758450,1.467306
77,0.719661,1.638117
78,0.734588,1.565696
79,0.729112,1.591170
80,0.729718,1.588290
81,0.713199,1.672616
82,0.720085,1.635925
83,0.715166,1.661896
84,0.745986,1.516318
85,0.787331,1.370078
86,0.736363,1.557695
87,0.709291,1.694511
88,0.718341,1.644997
89,0.712027,1.679094
90,0.784702,1.378110
91,0.734798,1.564746
92,0.748519,1.505961
93,0.719219,1.640410
94,0.725428,1.608999
95,0.732052,1.577345
96,0.731307,1.580817
97,0.765133,1.442924
98,0.823442,1.272937
99,0.725180,1.610223
100,0.763262,1.449624
101,0.746062,1.516003
102,0.712304,1.677556
103,0.736278,1.558075
104,0.713656,1.670103
105,0.691745,1.803814
106,0.710856,1.685642
107,0.710981,1.684938
108,0.752010,1.492025
109,0.785963,1.374239
110,0.728536,1.593921
111,0.757333,1.471503
112,0.744866,1.520966
113,0.718301,1.645205
114,0.736383,1.557606
115,0.706769,1.709080
116,0.726941,1.601607
117,0.742733,1.529937
118,0.718750,1.642857
119,0.718258,1.645434
120,0.774689,1.410120
121,0.725780,1.607273
122,0.722911,1.621526
123,0.757018,1.472694
124,0.750602,1.497596
125,0.716125,1.656739
126,0.692028,1.801890
127,0.740174,1.540914
128,0.782235,1.385786
129,0.728977,1.591811
130,0.787898,1.368364
131,0.726451,1.603992
132,0.736404,1.557510
133,0.746611,1.513742
134,0.712421,1.676907
135,0.780960,1.389807
136,0.754519,1.482245
137,0.742991,1.528844
138,0.728503,1.594078
139,0.770135,1.425464
140,0.758921,1.465547
141,0.709047,1.695905
142,0.724185,1.615150
143,0.700369,1.747699
144,0.723191,1.620115
145,0.758026,1.468896
146,0.768808,1.430031
147,0.730464,1.584770
148,0.740102,1.541224
149,0.706308,1.711779
150,0.751021,1.495934
151,0.686084,1.843480
152,0.760266,1.460554
153,0.719727,1.637775
154,0.750786,1.496868
155,0.756435,1.474907
156,0.745316,1.519092
157,0.735230,1.562791
158,0.804717,1.320434
159,0.701782,1.738958
160,0.709626,1.692601
161,0.729535,1.589159
162,0.741000,1.537345
163,0.753276,1.487064
164,0.739624,1.543301
165,0.697480,1.765954
166,0.730932,1.582572
167,0.777723,1.400179
168,0.740671,1.538760
169,0.728987,1.591767
170,0.782256,1.385722
171,0.702673,1.733513
172,0.727193,1.600384
173,0.727170,1.600497
174,0.782814,1.383972
175,0.717038,1.651871
176,0.808695,1.309862
177,0.732705,1.574320
178,0.734551,1.565864
179,0.739252,1.544921
180,0.728138,1.595830
181,0.748070,1.507778
182,0.676862,1.913533
183,0.725210,1.610073
184,0.719490,1.639004
185,0.726295,1.604753
186,0.709991,1.690525
187,0.767032,1.436217
188,0.734990,1.563875
189,0.764187,1.446300
190,0.772475,1.417514
191,0.716890,1.652660
192,0.737060,1.554586
193,0.683860,1.859731
194,0.723579,1.618173
195,0.719959,1.636577
196,0.726530,1.603606
197,0.722277,1.624724
198,0.738542,1.548031
199,0.711846,1.680100
200,0.726210,1.605170
201,0.739186,1.545212
202,0.724910,1.611554
203,0.700408,1.747453
204,0.747627,1.509583
205,0.755574,1.478191
206,0.701162,1.742781
207,0.712495,1.676500
208,0.722570,1.623243
209,0.695177,1.780890
210,0.716026,1.657269
211,0.751607,1.493612
212,0.725731,1.607515
213,0.714387,1.666116
214,0.762913,1.450884
215,0.749242,1.503041
216,0.743748,1.525649
217,0.726941,1.601608
218,0.709924,1.690905
219,0.728870,1.592325
220,0.714292,1.666630
221,0.737172,1.554087
222,0.706326,1.711677
223,0.715664,1.659211
224,0.738442,1.548472
225,0.737043,1.554663
226,0.702296,1.735815
227,0.754885,1.480835
228,0.777011,1.402490
229,0.779192,1.395440
230,0.710412,1.688145
231,0.733875,1.568948
232,0.740877,1.537874
233,0.739837,1.542373
234,0.701441,1.741059
235,0.741162,1.536647
236,0.810679,1.304690
237,0.712128,1.678533
238,0.685967,1.844326
239,0.710726,1.686377
240,0.744027,1.524478
241,0.765325,1.442240
242,0.697264,1.767336
243,0.716366,1.655451
244,0.715523,1.659971
245,0.718566,1.643820
246,0.763456,1.448926
247,0.695682,1.777580
248,0.736629,1.556507
249,0.770148,1.425417
250,0.723061,1.620770
251,0.719297,1.640004
252,0.710809,1.685910
253,0.792839,1.353711
254,0.711476,1.682169
255,0.738778,1.546997
256,0.695521,1.778638
257,0.698710,1.758113
258,0.723606,1.618038
259,0.709578,1.692872
260,0.768239,1.432005
261,0.695088,1.781474
262,0.736090,1.558917
263,0.746543,1.514023
264,0.763705,1.448029
265,0.705040,1.719276
266,0.760976,1.457942
267,0.770296,1.424911
268,0.733014,1.572895
269,0.739358,1.544459
270,0.711576,1.681610
271,0.690494,1.812379
272,0.726325,1.604604
273,0.735928,1.559646
274,0.727447,1.599155
275,0.719750,1.637658
276,0.783556,1.381661
277,0.711952,1.679514
278,0.736105,1.558853
279,0.751905,1.492436
280,0.738036,1.550262
281,0.783018,1.383335
282,0.705281,1.717842
283,0.720762,1.632441
284,0.733554,1.570414
285,0.697719,1.764420
286,0.753924,1.484545
287,0.721506,1.628636
288,0.705161,1.718553
289,0.768330,1.431689
290,0.751909,1.492420
291,0.766036,1.439722
292,0.717838,1.647643
293,0.730731,1.583514
294,0.758893,1.465649
295,0.703955,1.725762
296,0.730951,1.582479
297,0.710932,1.685214
298,0.736557,1.556826
299,0.716438,1.655066
300,0.717716,1.648285
301,0.707114,1.707065
302,0.738551,1.547993
303,0.721505,1.628644
304,0.729426,1.589675
305,0.714617,1.664865
306,0.766172,1.439242
307,0.733189,1.572093
308,0.744603,1.522063
309,0.723230,1.619923
310,0.772017,1.419059
311,0.778085,1.399005
312,0.796463,1.343275
313,0.760620,1.459250
314,0.791082,1.358865
315,0.735938,1.559598
316,0.737752,1.551518
317,0.705530,1.716369
