No.,tL,tR
true,0.862069,1.190476
0,0.830322,1.256838
1,0.876944,1.163229
2,0.839901,1.235507
3,0.842346,1.230256
4,0.876173,1.164587
5,0.836770,1.242347
6,0.857666,1.198977
7,0.835225,1.245769
8,0.888546,1.143424
9,0.812960,1.298825
10,0.831115,1.255024
11,0.869592,1.176422
12,0.849358,1.215599
13,0.866920,1.181348
14,0.884690,1.149874
15,0.821103,1.278566
16,0.861290,1.191964
17,0.832941,1.250884
18,0.885479,1.148543
19,0.875805,1.165238
20,0.814377,1.295224
21,0.867491,1.180288
22,0.847872,1.218656
23,0.834438,1.247522
24,0.889656,1.141591
25,0.860487,1.193507
26,0.880481,1.157064
27,0.884985,1.149376
28,0.826507,1.265680
29,0.844859,1.224934
30,0.865759,1.183510
31,0.793973,1.350419
32,0.856247,1.201761
33,0.879324,1.159066
34,0.791805,1.356737
35,0.854006,1.206204
36,0.816638,1.289546
37,0.863040,1.188630
38,0.889950,1.141107
39,0.906240,1.115401
40,0.836763,1.242361
41,0.846014,1.222515
42,0.789783,1.362715
43,0.856388,1.201482
44,0.841013,1.233110
45,0.892015,1.137731
46,0.885940,1.147770
47,0.848359,1.217650
48,0.861093,1.192342
49,0.838080,1.239471
50,0.775068,1.408866
51,0.814540,1.294811
52,0.814726,1.294343
53,0.846551,1.221394
54,0.859432,1.195542
55,0.859229,1.195935
56,0.869430,1.176719
57,0.811704,1.302043
58,0.877134,1.162895
59,0.826929,1.264692
60,0.862876,1.188940
61,0.830350,1.256773
62,0.890266,1.140589
63,0.867392,1.180472
64,0.827956,1.262297
65,0.843218,1.228399
66,0.837571,1.240586
67,0.839305,1.236800
68,0.801928,1.328012
69,0.810941,1.304010
70,0.814525,1.294849
71,0.851670,1.210894
72,0.893155,1.135881
73,0.849086,1.216157
74,0.895501,1.132109
75,0.894784,1.133257
76,0.831111,1.255033
77,0.840716,1.233749
78,0.844133,1.226464
79,0.819284,1.283002
80,0.831517,1.254109
81,0.802126,1.327470
82,0.855945,1.202356
83,0.840262,1.234728
84,0.871889,1.172243
85,0.893485,1.135348
86,0.829061,1.259738
87,0.848887,1.216565
88,0.849056,1.216218
89,0.826615,1.265427
90,0.888548,1.143420
91,0.872117,1.171832
92,0.861982,1.190642
93,0.807346,1.313416
94,0.798010,1.338899
95,0.823634,1.272478
96,0.847123,1.220206
97,0.870538,1.174694
98,0.868237,1.178911
99,0.866880,1.181421
100,0.884840,1.149621
101,0.872421,1.171284
102,0.804313,1.321522
103,0.839266,1.236885
104,0.807072,1.314142
105,0.807450,1.313141
106,0.852710,1.208797
107,0.828296,1.261508
108,0.874251,1.168000
109,0.863589,1.187590
110,0.820787,1.279333
111,0.862147,1.190327
112,0.817331,1.287821
113,0.811812,1.301766
114,0.852869,1.208479
115,0.804241,1.321717
116,0.808934,1.309234
117,0.828359,1.261362
118,0.813397,1.297711
119,0.823849,1.271964
120,0.888658,1.143239
121,0.843191,1.228457
122,0.815917,1.291347
123,0.871186,1.173516
124,0.855912,1.202421
125,0.852091,1.210044
126,0.818707,1.284419
127,0.860674,1.193146
128,0.900711,1.123891
129,0.879796,1.158248
130,0.909269,1.110846
131,0.834224,1.248002
132,0.848733,1.216881
133,0.846492,1.221518
134,0.795041,1.347341
135,0.865628,1.183755
136,0.878806,1.159968
137,0.861374,1.191804
138,0.838869,1.237748
139,0.935734,1.073744
140,0.891088,1.139243
141,0.811760,1.301898
142,0.789177,1.364523
143,0.818489,1.284956
144,0.877293,1.162616
145,0.898967,1.126618
146,0.856798,1.200676
147,0.882698,1.153257
148,0.888531,1.143450
149,0.830344,1.256787
150,0.848335,1.217699
151,0.817899,1.286413
152,0.843525,1.227750
153,0.838432,1.238702
154,0.917838,1.098318
155,0.922761,1.091350
156,0.840141,1.234990
157,0.839032,1.237393
158,0.921937,1.092506
159,0.851527,1.211184
160,0.775832,1.406348
161,0.830759,1.255838
162,0.843457,1.227893
163,0.914505,1.103130
164,0.878513,1.160479
165,0.813376,1.297763
166,0.809685,1.307271
167,0.855555,1.203125
168,0.879781,1.158275
169,0.841777,1.231471
170,0.863943,1.186920
171,0.821032,1.278739
172,0.829678,1.258315
173,0.812311,1.300483
174,0.855476,1.203283
175,0.813143,1.298358
176,0.920118,1.095071
177,0.889743,1.141448
178,0.884908,1.149507
179,0.861202,1.192133
180,0.835254,1.245703
181,0.894932,1.133020
182,0.791336,1.358116
183,0.857675,1.198959
184,0.796920,1.341978
185,0.838122,1.239378
186,0.835338,1.245516
187,0.852101,1.210023
188,0.845522,1.223542
189,0.874236,1.168028
190,0.855962,1.202321
191,0.819264,1.283051
192,0.896090,1.131169
193,0.816542,1.289785
194,0.862033,1.190545
195,0.822710,1.274690
196,0.832025,1.252956
197,0.850821,1.212614
198,0.821967,1.276477
199,0.822551,1.275071
200,0.815527,1.292324
201,0.844542,1.225602
202,0.782056,1.386350
203,0.780611,1.390913
204,0.830604,1.256192
205,0.831637,1.253836
206,0.786764,1.371797
207,0.838868,1.237751
208,0.855732,1.202776
209,0.806180,1.316513
210,0.788972,1.365137
211,0.864414,1.186033
212,0.823014,1.273960
213,0.870264,1.175194
214,0.888539,1.143436
215,0.847305,1.219828
216,0.869939,1.175788
217,0.806471,1.315737
218,0.817419,1.287603
219,0.835982,1.244087
220,0.826782,1.265036
221,0.833756,1.249049
222,0.806568,1.315481
223,0.828825,1.260284
224,0.842604,1.229705
225,0.862131,1.190357
226,0.851314,1.211615
227,0.864350,1.186153
228,0.916917,1.099640
229,0.915807,1.101241
230,0.887956,1.144402
231,0.862347,1.189946
232,0.830347,1.256779
233,0.825984,1.266909
234,0.800130,1.332973
235,0.853314,1.207586
236,0.906316,1.115285
237,0.778275,1.398392
238,0.852418,1.209386
239,0.813619,1.297147
240,0.873033,1.170181
241,0.894950,1.132992
242,0.781389,1.388449
243,0.806649,1.315264
244,0.816870,1.288966
245,0.843274,1.228281
246,0.868136,1.179098
247,0.814929,1.293829
248,0.876705,1.163650
249,0.882587,1.153446
250,0.866683,1.181788
251,0.845802,1.222957
252,0.842743,1.229409
253,0.891602,1.138404
254,0.848769,1.216808
255,0.818454,1.285042
256,0.786598,1.372303
257,0.851485,1.211268
258,0.808849,1.309456
259,0.820163,1.280852
260,0.887262,1.145558
261,0.860634,1.193223
262,0.836231,1.243537
263,0.871910,1.172206
264,0.841886,1.231238
265,0.857295,1.199702
266,0.884976,1.149392
267,0.867023,1.181157
268,0.849149,1.216028
269,0.842527,1.229870
270,0.795261,1.346709
271,0.792258,1.355410
272,0.818460,1.285029
273,0.880888,1.156362
274,0.801697,1.328645
275,0.835863,1.244351
276,0.897786,1.128479
277,0.809066,1.308888
278,0.852737,1.208743
279,0.884456,1.150270
280,0.809813,1.306938
281,0.873389,1.169544
282,0.831976,1.253066
283,0.829651,1.258379
284,0.882708,1.153239
285,0.808563,1.310207
286,0.895802,1.131629
287,0.860137,1.194181
288,0.813914,1.296396
289,0.833826,1.248894
290,0.846171,1.222187
291,0.898252,1.127744
292,0.850293,1.213688
293,0.800131,1.332971
294,0.836593,1.242738
295,0.794179,1.349823
296,0.889306,1.142168
297,0.801932,1.328001
298,0.823749,1.272203
299,0.804752,1.320339
300,0.839284,1.236845
301,0.813578,1.297251
302,0.851529,1.211179
303,0.828064,1.262047
304,0.830555,1.256304
305,0.881555,1.155214
306,0.845419,1.223759
307,0.864154,1.186523
308,0.833255,1.250176
309,0.879124,1.159414
310,0.897264,1.129304
311,0.873363,1.169590
312,0.878306,1.160841
313,0.846914,1.220640
314,0.902090,1.121751
315,0.817330,1.287823
316,0.831990,1.253035
317,0.868819,1.177839
318,0.859176,1.196038
319,0.793137,1.352845
320,0.817315,1.287861
321,0.876816,1.163454
322,0.879778,1.158279
323,0.873392,1.169538
324,0.838831,1.237831
325,0.826561,1.265553
326,0.917938,1.098175
327,0.847183,1.220082
328,0.887845,1.144587
329,0.849093,1.216141
330,0.886939,1.146097
331,0.814020,1.296128
332,0.819133,1.283372
333,0.827622,1.263074
334,0.891539,1.138505
335,0.869389,1.176793
336,0.860820,1.192867
337,0.855639,1.202959
338,0.875445,1.165876
339,0.819662,1.282076
340,0.822589,1.274980
341,0.859042,1.196297
342,0.893650,1.135083
343,0.816559,1.289743
344,0.777891,1.399633
345,0.831334,1.254527
346,0.801086,1.330326
347,0.821484,1.277644
348,0.846816,1.220843
349,0.829143,1.259548
350,0.817637,1.287063
351,0.861254,1.192034
352,0.792078,1.355936
353,0.858653,1.197053
354,0.859954,1.194532
355,0.837039,1.241755
356,0.808566,1.310200
357,0.846054,1.222431
358,0.817654,1.287019
359,0.876027,1.164846
360,0.842688,1.229526
361,0.777551,1.400736
362,0.820832,1.279224
363,0.819420,1.282668
364,0.891259,1.138963
365,0.860555,1.193375
366,0.828940,1.260017
367,0.804363,1.321387
368,0.866394,1.182325
369,0.847353,1.219729
370,0.881596,1.155144
371,0.820395,1.280287
372,0.879419,1.158902
373,0.873994,1.168459
374,0.823150,1.273634
375,0.876537,1.163945
376,0.954795,1.049698
377,0.848399,1.217568
378,0.826222,1.266349
379,0.868502,1.178423
380,0.824537,1.270329
381,0.844662,1.225347
382,0.813877,1.296489
383,0.874674,1.167247
384,0.838257,1.239084
385,0.857714,1.198882
386,0.866040,1.182986
387,0.889378,1.142050
388,0.859545,1.195324
389,0.818976,1.283759
390,0.863820,1.187153
391,0.858242,1.197853
392,0.879254,1.159189
393,0.880116,1.157694
394,0.860685,1.193125
395,0.866982,1.181233
396,0.908710,1.111680
397,0.852636,1.208946
398,0.807712,1.312449
399,0.825818,1.267301
400,0.838920,1.237638
401,0.889986,1.141049
402,0.849245,1.215831
403,0.832570,1.251722
404,0.849720,1.214857
405,0.867120,1.180976
406,0.861711,1.191159
407,0.927224,1.085173
408,0.816641,1.289538
409,0.793479,1.351849
410,0.829371,1.259022
411,0.834954,1.246371
412,0.874195,1.168100
413,0.882793,1.153094
414,0.852876,1.208465
415,0.819822,1.281684
416,0.827961,1.262285
417,0.814945,1.293789
418,0.783673,1.381297
419,0.816812,1.289111
420,0.857941,1.198440
421,0.902497,1.121123
422,0.807434,1.313182
423,0.818020,1.286114
424,0.782087,1.386251
425,0.867237,1.180759
426,0.855622,1.202994
427,0.813508,1.297427
428,0.767558,1.434377
429,0.845085,1.224459
430,0.868468,1.178486
431,0.930076,1.081293
432,0.848448,1.217467
433,0.851932,1.210364
434,0.822974,1.274057
435,0.835066,1.246121
436,0.836480,1.242987
437,0.812609,1.299720
438,0.892312,1.137248
439,0.873025,1.170197
440,0.851689,1.210855
441,0.882950,1.152826
442,0.829972,1.257640
443,0.823104,1.273745
444,0.899887,1.125177
445,0.804467,1.321108
446,0.865155,1.184640
447,0.810339,1.305570
448,0.906050,1.115688
449,0.816697,1.289397
450,0.875907,1.165059
451,0.818627,1.284616
452,0.805852,1.317389
453,0.906404,1.115151
454,0.865243,1.184476
455,0.879915,1.158042
456,0.883880,1.151245
457,0.734073,1.568043
458,0.849854,1.214585
459,0.826646,1.265355
460,0.804970,1.319752
461,0.901923,1.122010
462,0.867626,1.180039
463,0.844936,1.224773
464,0.818742,1.284334
465,0.897785,1.128480
466,0.878215,1.160999
467,0.783428,1.382058
468,0.912254,1.106422
469,0.859175,1.196039
470,0.838058,1.239518
471,0.859836,1.194760
472,0.864197,1.186442
473,0.898946,1.126651
474,0.856166,1.201920
475,0.770209,1.425210
476,0.826305,1.266154
477,0.924651,1.088718
478,0.946463,1.059957
479,0.893606,1.135153
480,0.794809,1.348005
481,0.932569,1.077943
482,0.822863,1.274322
483,0.857126,1.200032
484,0.849073,1.216182
485,0.828166,1.261810
486,0.825093,1.269010
487,0.848494,1.217372
488,0.903741,1.119209
489,0.847351,1.219734
490,0.854065,1.206085
491,0.787614,1.369219
492,0.844494,1.225701
493,0.865111,1.184724
494,0.892800,1.136457
495,0.836084,1.243862
496,0.830736,1.255889
497,0.856567,1.201130
498,0.840723,1.233734
499,0.832353,1.252212
500,0.837893,1.239879
501,0.841290,1.232515
502,0.861715,1.191152
503,0.845553,1.223477
504,0.836921,1.242013
505,0.890015,1.141001
506,0.868455,1.178508
507,0.839992,1.235312
508,0.836639,1.242635
509,0.857643,1.199022
510,0.797013,1.341714
511,0.853308,1.207598
512,0.792847,1.353687
513,0.861669,1.191241
514,0.831868,1.253311
515,0.819038,1.283606
516,0.813844,1.296574
517,0.833624,1.249347
518,0.812933,1.298892
519,0.833145,1.250424
520,0.900185,1.124710
521,0.834438,1.247522
522,0.869668,1.176282
523,0.874798,1.167025
524,0.842897,1.229083
525,0.851225,1.211795
526,0.857879,1.198560
527,0.832483,1.251919
528,0.856518,1.201227
529,0.853063,1.208088
530,0.835077,1.246097
531,0.852755,1.208707
532,0.843578,1.227637
533,0.814313,1.295386
534,0.802692,1.325922
535,0.858349,1.197645
536,0.807479,1.313064
537,0.836621,1.242674
538,0.831215,1.254796
539,0.913212,1.105017
540,0.913325,1.104851
541,0.856702,1.200865
542,0.806400,1.315927
543,0.841484,1.232098
544,0.856294,1.201667
545,0.845183,1.224252
546,0.846422,1.221663
547,0.865929,1.183193
548,0.955050,1.049390
549,0.876114,1.164693
550,0.861648,1.191280
551,0.839515,1.236345
552,0.807792,1.312236
553,0.845590,1.223400
554,0.850624,1.213015
555,0.867068,1.181072
556,0.828076,1.262020
557,0.865110,1.184725
558,0.895703,1.131787
559,0.853082,1.208051
560,0.822269,1.275750
561,0.840532,1.234145
562,0.826113,1.266604
563,0.878010,1.161358
564,0.844025,1.226691
565,0.882889,1.152931
566,0.845354,1.223894
567,0.820991,1.278839
568,0.860605,1.193279
569,0.872419,1.171287
570,0.818482,1.284973
571,0.817955,1.286275
572,0.810387,1.305447
573,0.876019,1.164860
574,0.858082,1.198165
575,0.822669,1.274787
576,0.806802,1.314857
577,0.843987,1.226771
578,0.901826,1.122160
579,0.919414,1.096069
580,0.789050,1.364902
581,0.861042,1.192441
582,0.909097,1.111101
583,0.863918,1.186968
584,0.917198,1.099235
585,0.839594,1.236174
586,0.881953,1.154531
587,0.793012,1.353208
588,0.801164,1.330113
589,0.850637,1.212988
590,0.831347,1.254495
591,0.907292,1.113810
592,0.819999,1.281252
593,0.845161,1.224300
594,0.856991,1.200298
595,0.855390,1.203453
