No.,tL,tR
true,0.862069,1.190476
0,0.875692,1.165438
1,0.829768,1.258109
2,0.837804,1.240073
3,0.844040,1.226659
4,0.903633,1.119374
5,0.860598,1.193293
6,0.845404,1.223789
7,0.874945,1.166765
8,0.901027,1.123399
9,0.850070,1.214143
10,0.884896,1.149525
11,0.875669,1.165480
12,0.886748,1.146415
13,0.902788,1.120674
14,0.883978,1.151080
15,0.848994,1.216345
16,0.858740,1.196884
17,0.862004,1.190600
18,0.908137,1.112539
19,0.906249,1.115386
20,0.850200,1.213878
21,0.872569,1.171016
22,0.885644,1.148266
23,0.862749,1.189181
24,0.869818,1.176009
25,0.910310,1.109296
26,0.916353,1.100452
27,0.851197,1.211851
28,0.858531,1.197291
29,0.863652,1.187471
30,0.861784,1.191021
31,0.832189,1.252583
32,0.878043,1.161300
33,0.877095,1.162963
34,0.853231,1.207752
35,0.897522,1.128896
36,0.858892,1.196589
37,0.868883,1.177722
38,0.897485,1.128954
39,0.928623,1.083263
40,0.859305,1.195788
41,0.868402,1.178607
42,0.841444,1.232185
43,0.896812,1.130022
44,0.888076,1.144204
45,0.865814,1.183407
46,0.886399,1.146999
47,0.853774,1.206666
48,0.868561,1.178314
49,0.856364,1.201530
50,0.836251,1.243493
51,0.850068,1.214147
52,0.871073,1.173723
53,0.870799,1.174220
54,0.872398,1.171324
55,0.872600,1.170961
56,0.900079,1.124877
57,0.865689,1.183641
58,0.909538,1.110444
59,0.838300,1.238990
60,0.853364,1.207485
61,0.857283,1.199726
62,0.913144,1.105117
63,0.872726,1.170734
64,0.852202,1.209819
65,0.869604,1.176399
66,0.863415,1.187919
67,0.853796,1.206622
68,0.842925,1.229022
69,0.843076,1.228702
70,0.835506,1.245142
71,0.880726,1.156640
72,0.911088,1.108142
73,0.882392,1.153779
74,0.891628,1.138361
75,0.884086,1.150896
76,0.885451,1.148590
77,0.851271,1.211702
78,0.870034,1.175614
79,0.858926,1.196523
80,0.861046,1.192433
81,0.839691,1.235963
82,0.873396,1.169531
83,0.868659,1.178134
84,0.867143,1.180934
85,0.960156,1.043294
86,0.868394,1.178620
87,0.854546,1.205128
88,0.848188,1.218003
89,0.842649,1.229609
90,0.903781,1.119147
91,0.873344,1.169624
92,0.870861,1.174107
93,0.841722,1.231588
94,0.868527,1.178376
95,0.857978,1.198367
96,0.847230,1.219983
97,0.897749,1.128538
98,0.924742,1.088592
99,0.859934,1.194572
100,0.890125,1.140820
101,0.880525,1.156988
102,0.855923,1.202400
103,0.857570,1.199165
104,0.846110,1.222314
105,0.818852,1.284063
106,0.844014,1.226715
107,0.832250,1.252446
108,0.889029,1.142625
109,0.900089,1.124861
110,0.841811,1.231397
111,0.873778,1.168845
112,0.875533,1.165720
113,0.842430,1.230076
114,0.861877,1.190842
115,0.830322,1.256837
116,0.840979,1.233184
117,0.868321,1.178755
118,0.848718,1.216912
119,0.849508,1.215291
120,0.889675,1.141561
121,0.851570,1.211096
122,0.851138,1.211971
123,0.902080,1.121767
124,0.869621,1.176369
125,0.846018,1.222506
126,0.829508,1.258706
127,0.906289,1.115325
128,0.895419,1.132240
129,0.865849,1.183341
130,0.922287,1.092015
131,0.856222,1.201810
132,0.861826,1.190940
133,0.868944,1.177610
134,0.851365,1.211510
135,0.894941,1.133005
136,0.900162,1.124747
137,0.876192,1.164554
138,0.856123,1.202005
139,0.907010,1.114236
140,0.890232,1.140645
141,0.851419,1.211402
142,0.861468,1.191624
143,0.843890,1.226976
144,0.884041,1.150971
145,0.884171,1.150752
146,0.899504,1.125776
147,0.878740,1.160084
148,0.866363,1.182383
149,0.844145,1.226437
150,0.896416,1.130650
151,0.836068,1.243897
152,0.876775,1.163527
153,0.858254,1.197829
154,0.884602,1.150023
155,0.902772,1.120698
156,0.869034,1.177444
157,0.873615,1.169138
158,0.918216,1.097777
159,0.838359,1.238861
160,0.836367,1.243235
161,0.868790,1.177893
162,0.887259,1.145562
163,0.889332,1.142126
