No.,tL,tR
true,0.862069,1.190476
0,0.940687,1.067296
1,0.923500,1.090319
2,0.902327,1.121385
3,0.914504,1.103131
4,0.978517,1.022448
5,0.907705,1.113188
6,0.906458,1.115070
7,0.892509,1.136928
8,0.952217,1.052831
9,0.884170,1.150754
10,0.910990,1.108287
11,0.922036,1.092367
12,0.916288,1.100546
13,0.933512,1.076685
14,0.921405,1.093253
15,0.898152,1.127901
16,0.929670,1.081842
17,0.902101,1.121734
18,0.961685,1.041495
19,0.958121,1.045708
20,0.887679,1.144863
21,0.922725,1.091400
22,0.918894,1.096809
23,0.893301,1.135645
24,0.931340,1.079590
25,0.937555,1.071357
26,0.946897,1.059413
27,0.943135,1.064163
28,0.905727,1.116178
29,0.934830,1.074937
30,0.915641,1.101481
31,0.872902,1.170418
32,0.911609,1.107373
33,0.927172,1.085245
34,0.910385,1.109184
35,0.974979,1.026339
36,0.899959,1.125064
37,0.916486,1.100261
38,0.948112,1.057896
39,0.967465,1.034799
40,0.909312,1.110781
41,0.904867,1.117487
42,0.861569,1.191431
43,0.964347,1.038391
44,0.951590,1.053600
45,0.927302,1.085066
46,0.962177,1.040919
47,0.903212,1.120022
48,0.918464,1.097423
49,0.914326,1.103390
50,0.865795,1.183442
51,0.891590,1.138423
52,0.922385,1.091877
53,0.921118,1.093658
54,0.917662,1.098571
55,0.936077,1.073293
56,0.925804,1.087124
57,0.896173,1.131038
58,0.950761,1.054618
59,0.901828,1.122157
60,0.928526,1.083395
61,0.895421,1.132237
62,0.951445,1.053777
63,0.920570,1.094432
64,0.894872,1.133116
65,0.926785,1.085775
66,0.916272,1.100569
67,0.922238,1.092084
68,0.881557,1.155210
69,0.906426,1.115119
70,0.905617,1.116346
71,0.933136,1.077186
72,0.948297,1.057666
73,0.925814,1.087110
74,0.953195,1.051639
75,0.942147,1.065422
76,0.921877,1.092589
77,0.927609,1.084646
78,0.899227,1.126210
79,0.899953,1.125073
80,0.909020,1.111218
81,0.906691,1.114718
82,0.955622,1.048701
83,0.953939,1.050735
84,0.915749,1.101325
85,0.997404,1.002609
86,0.924616,1.088767
87,0.912799,1.105622
88,0.917227,1.099194
89,0.902278,1.121460
90,0.939014,1.069458
91,0.944019,1.063039
92,0.922325,1.091961
93,0.908082,1.112623
94,0.911667,1.107287
95,0.911853,1.107012
96,0.916000,1.100962
97,0.936245,1.073073
98,0.955328,1.049055
99,0.947847,1.058227
100,0.946631,1.059746
101,0.918089,1.097959
102,0.914375,1.103319
103,0.891390,1.138750
104,0.875085,1.166516
105,0.893084,1.135997
106,0.901846,1.122129
107,0.908007,1.112735
108,0.945446,1.061235
109,0.930796,1.080321
110,0.895697,1.131796
111,0.919227,1.096335
112,0.910268,1.109358
113,0.893716,1.134976
114,0.905335,1.116774
115,0.891076,1.139261
116,0.870397,1.174951
117,0.889999,1.141028
118,0.889406,1.142003
119,0.906023,1.115729
120,0.936586,1.072624
121,0.893289,1.135665
122,0.896147,1.131079
123,0.953615,1.051128
124,0.909087,1.111118
125,0.900561,1.124125
126,0.865900,1.183247
127,0.964531,1.038177
128,0.934918,1.074822
129,0.906262,1.115367
130,0.980525,1.020264
131,0.913840,1.104098
132,0.915571,1.101583
133,0.911818,1.107064
134,0.896197,1.131000
135,0.938855,1.069664
136,0.937303,1.071686
137,0.938832,1.069694
138,0.905643,1.116306
139,0.973876,1.027564
140,0.937642,1.071244
141,0.907427,1.113606
142,0.899962,1.125059
143,0.911830,1.107046
144,0.964447,1.038275
145,0.935996,1.073400
146,0.930712,1.080434
147,0.941651,1.066057
148,0.926432,1.086259
149,0.913607,1.104438
150,0.947062,1.059207
151,0.882746,1.153175
152,0.914348,1.103358
153,0.927098,1.085346
154,0.956102,1.048123
155,0.979206,1.021696
156,0.911650,1.107312
157,0.932192,1.078447
158,0.960454,1.042942
159,0.909162,1.111006
160,0.882582,1.153454
161,0.930988,1.080062
162,0.936869,1.072254
163,0.954630,1.049897
164,0.966724,1.035648
165,0.894766,1.133286
166,0.914687,1.102864
167,0.919689,1.095679
168,0.920055,1.095161
169,0.896389,1.130694
170,0.932786,1.077653
171,0.899401,1.125938
172,0.916680,1.099981
173,0.875278,1.166173
174,0.927869,1.084290
175,0.880782,1.156543
176,0.960062,1.043405
177,0.957179,1.046831
178,0.934282,1.075662
179,0.932620,1.077875
180,0.912260,1.106413
181,0.945573,1.061075
182,0.860651,1.193190
183,0.976764,1.024368
184,0.895537,1.132053
185,0.913930,1.103966
186,0.900065,1.124898
187,0.914122,1.103687
188,0.909626,1.110313
189,0.920478,1.094561
190,0.962683,1.040327
191,0.896255,1.130907
192,0.948906,1.056910
193,0.863244,1.188242
194,0.897363,1.129147
195,0.903999,1.118813
196,0.896078,1.131188
197,0.960109,1.043349
198,0.910202,1.109455
199,0.904097,1.118664
200,0.894745,1.133320
201,0.899205,1.126244
202,0.888258,1.143902
203,0.882495,1.153604
204,0.910051,1.109681
205,0.901321,1.122943
206,0.858221,1.197892
207,0.905591,1.116385
208,0.924022,1.089593
209,0.874431,1.167679
210,0.870855,1.174117
211,0.959706,1.043826
212,0.938045,1.070717
213,0.928986,1.082770
214,0.937278,1.071718
215,0.902214,1.121560
216,0.946812,1.059519
217,0.890592,1.140053
218,0.903197,1.120045
219,0.923267,1.090644
220,0.918599,1.097230
221,0.915818,1.101225
222,0.874984,1.166694
223,0.927604,1.084653
224,0.914637,1.102937
225,0.908195,1.112452
226,0.913533,1.104547
227,0.940423,1.067636
228,0.948578,1.057316
229,0.948754,1.057098
230,0.937487,1.071446
231,0.916885,1.099685
232,0.922778,1.091327
233,0.907370,1.113693
234,0.903404,1.119726
235,0.939653,1.068631
236,0.963462,1.039419
237,0.872899,1.170422
238,0.925691,1.087280
239,0.885720,1.148138
240,0.953045,1.051821
241,0.954719,1.049790
242,0.882294,1.153947
243,0.882973,1.152788
244,0.907258,1.113862
245,0.906054,1.115682
246,0.933929,1.076131
247,0.883597,1.151726
248,0.936756,1.072402
249,0.938496,1.070131
250,0.928669,1.083201
251,0.919912,1.095363
252,0.919865,1.095430
253,0.942089,1.065497
254,0.908309,1.112282
255,0.889026,1.142631
256,0.869837,1.175974
257,0.941851,1.065802
258,0.914145,1.103653
259,0.891875,1.137959
260,0.934865,1.074891
261,0.947579,1.058561
262,0.912755,1.105687
263,0.911235,1.107925
264,0.920005,1.095230
265,0.908594,1.111854
266,0.961515,1.041695
267,0.937105,1.071945
268,0.924079,1.089513
269,0.906840,1.114493
270,0.895171,1.132637
271,0.877935,1.161490
272,0.881757,1.154867
273,0.961062,1.042226
274,0.884722,1.149819
275,0.902711,1.120793
276,0.934271,1.075677
277,0.896674,1.130240
278,0.938660,1.069918
279,0.953924,1.050752
280,0.907068,1.114149
281,0.946916,1.059390
282,0.872658,1.170857
283,0.929919,1.081505
284,0.943606,1.063563
285,0.870726,1.174353
286,0.967306,1.034982
287,0.912355,1.106274
288,0.901753,1.122272
289,0.914637,1.102937
290,0.908657,1.111760
291,0.961707,1.041469
292,0.949012,1.056778
293,0.908692,1.111708
294,0.921066,1.093731
295,0.861216,1.192106
296,0.946318,1.060138
297,0.897179,1.129440
298,0.913437,1.104687
299,0.914452,1.103206
300,0.916151,1.100743
301,0.898213,1.127805
302,0.900286,1.124554
303,0.890625,1.140000
304,0.888247,1.143920
305,0.918095,1.097951
306,0.922531,1.091672
307,0.908342,1.112232
308,0.899657,1.125536
309,0.940130,1.068014
310,0.956733,1.047366
311,0.921772,1.092737
312,0.958629,1.045103
313,0.912361,1.106266
314,0.931225,1.079744
315,0.913768,1.104204
316,0.894130,1.134309
317,0.932585,1.077921
318,0.929340,1.082290
319,0.900929,1.123552
320,0.930871,1.080221
321,0.933990,1.076049
322,0.950878,1.054474
323,0.930914,1.080162
324,0.923173,1.090774
325,0.902268,1.121476
326,0.973464,1.028024
327,0.929631,1.081895
328,0.959214,1.044409
329,0.914176,1.103608
330,0.965316,1.037269
331,0.892394,1.137114
332,0.894759,1.133297
333,0.923522,1.090287
334,0.934189,1.075786
335,0.918843,1.096883
336,0.908454,1.112063
337,0.914924,1.102520
338,0.926730,1.085850
339,0.897454,1.129004
340,0.896766,1.130094
341,0.950059,1.055483
342,0.945178,1.061574
343,0.901968,1.121940
344,0.868617,1.178210
345,0.940469,1.067577
346,0.881083,1.156026
347,0.909892,1.109916
348,0.928940,1.082833
349,0.932222,1.078406
350,0.900041,1.124936
351,0.940551,1.067471
352,0.869587,1.176430
353,0.915269,1.102019
354,0.934478,1.075402
355,0.904064,1.118714
356,0.917284,1.099113
357,0.949162,1.056592
358,0.912457,1.106124
359,0.962972,1.039990
360,0.933839,1.076250
361,0.866840,1.181495
362,0.899331,1.126048
363,0.885363,1.148740
364,0.953851,1.050842
365,0.918967,1.096706
366,0.926304,1.086436
367,0.872572,1.171011
368,0.945696,1.060920
369,0.910824,1.108533
370,0.930461,1.080773
371,0.904908,1.117424
372,0.949406,1.056289
373,0.935275,1.074350
374,0.911074,1.108164
375,0.940913,1.067005
376,0.988389,1.011887
377,0.910149,1.109535
378,0.932520,1.078008
379,0.940429,1.067628
380,0.884500,1.150194
381,0.934681,1.075134
382,0.886869,1.146214
383,0.914137,1.103665
384,0.926981,1.085506
385,0.900471,1.124265
386,0.936398,1.072872
387,0.946588,1.059800
388,0.956898,1.047168
389,0.893381,1.135516
390,0.938590,1.070008
391,0.919061,1.096572
392,0.942778,1.064616
393,0.959259,1.044356
394,0.910757,1.108632
395,0.929763,1.081716
396,0.920390,1.094686
397,0.929276,1.082376
398,0.896878,1.129917
399,0.899402,1.125935
400,0.930066,1.081306
401,0.931044,1.079987
402,0.926097,1.086721
403,0.907548,1.113425
404,0.910021,1.109724
405,0.914981,1.102437
406,0.923948,1.089695
407,0.969650,1.032311
408,0.898376,1.127547
409,0.866846,1.181485
410,0.923109,1.090865
411,0.898446,1.127438
412,0.946071,1.060449
413,0.956447,1.047708
414,0.925360,1.087737
415,0.905043,1.117218
416,0.895488,1.132131
417,0.910181,1.109487
418,0.853291,1.207632
419,0.918514,1.097352
420,0.933319,1.076942
421,0.954361,1.050223
422,0.919784,1.095544
423,0.906320,1.115279
424,0.909162,1.111005
425,0.936878,1.072242
426,0.911303,1.107825
427,0.894694,1.133402
428,0.880669,1.156739
429,0.890848,1.139635
430,0.955981,1.048269
431,0.979149,1.021758
432,0.907345,1.113731
433,0.911509,1.107521
434,0.919489,1.095963
435,0.905311,1.116811
436,0.923778,1.089931
437,0.897735,1.128559
438,0.949198,1.056548
439,0.929933,1.081486
440,0.893385,1.135510
441,0.966823,1.035534
442,0.886850,1.146245
443,0.885898,1.147840
444,0.954506,1.050047
445,0.903602,1.119422
446,0.946927,1.059375
447,0.902282,1.121454
448,0.953143,1.051702
449,0.913098,1.105183
450,0.940472,1.067573
451,0.903326,1.119846
452,0.855329,1.203574
453,0.952448,1.052550
454,0.940922,1.066993
455,0.930186,1.081145
456,0.948776,1.057070
457,0.847021,1.220418
458,0.885317,1.148816
459,0.895131,1.132702
460,0.869862,1.175928
461,0.944167,1.062851
462,0.923747,1.089974
463,0.879844,1.158165
464,0.888714,1.143146
465,0.952395,1.052614
466,0.939618,1.068676
467,0.892335,1.137211
468,0.942765,1.064634
469,0.899476,1.125819
470,0.908228,1.112403
471,0.931236,1.079730
472,0.895126,1.132709
473,0.963032,1.039919
