No.,tL,tR
true,0.862069,1.190476
0,0.731269,1.580991
1,0.707794,1.703117
2,0.704892,1.720156
3,0.722034,1.625952
4,0.727996,1.596509
5,0.735616,1.561050
6,0.733204,1.572024
7,0.747237,1.511174
8,0.765805,1.440539
9,0.739949,1.541888
10,0.763645,1.448244
11,0.754766,1.481291
12,0.768221,1.432066
13,0.780166,1.392329
14,0.764948,1.443580
15,0.709711,1.692115
16,0.726415,1.604168
17,0.731026,1.582128
18,0.760305,1.460411
19,0.785641,1.375225
20,0.725515,1.608575
21,0.736824,1.555637
22,0.759334,1.464007
23,0.737911,1.550815
24,0.742319,1.531696
25,0.799085,1.335884
26,0.802074,1.327610
27,0.706907,1.708275
28,0.740734,1.538489
29,0.749120,1.503534
30,0.723531,1.618415
31,0.703691,1.727350
32,0.768363,1.431573
33,0.751950,1.492260
34,0.730429,1.584934
35,0.728767,1.592815
36,0.729930,1.587288
37,0.747342,1.510748
38,0.766285,1.438842
39,0.803416,1.323953
40,0.724776,1.612219
41,0.748267,1.506981
42,0.699178,1.755162
43,0.725035,1.610938
44,0.739525,1.543731
45,0.749766,1.500938
46,0.741352,1.535831
47,0.739045,1.545828
48,0.761989,1.454240
49,0.736072,1.559001
50,0.698935,1.756691
51,0.712332,1.677402
52,0.736277,1.558082
53,0.739651,1.543184
54,0.748810,1.504781
55,0.733948,1.568612
56,0.780153,1.392370
57,0.735928,1.559643
58,0.782911,1.383671
59,0.723103,1.620559
60,0.713991,1.668274
61,0.714916,1.663243
62,0.810887,1.304150
63,0.735188,1.562980
64,0.718882,1.642169
65,0.739744,1.542777
66,0.725110,1.610570
67,0.716057,1.657102
68,0.711490,1.682090
69,0.715342,1.660942
70,0.696373,1.773088
71,0.737487,1.552690
72,0.817407,1.287632
73,0.751320,1.494746
74,0.761766,1.455052
75,0.748565,1.505772
76,0.766651,1.437554
77,0.722215,1.625037
78,0.740526,1.539388
79,0.729967,1.587113
80,0.731804,1.578496
81,0.716863,1.652801
82,0.719291,1.640036
83,0.715602,1.659545
84,0.743922,1.524917
85,0.785015,1.377146
86,0.736741,1.556004
87,0.712676,1.675494
88,0.721810,1.627092
89,0.717142,1.651318
90,0.791018,1.359053
91,0.737486,1.552694
92,0.745534,1.518189
93,0.719015,1.641476
94,0.722386,1.624171
95,0.732202,1.576651
96,0.726161,1.605406
97,0.769523,1.427565
98,0.825305,1.268509
99,0.719480,1.639055
100,0.765916,1.440148
101,0.747798,1.508885
102,0.714522,1.665380
103,0.735320,1.562384
104,0.717365,1.650141
105,0.695604,1.778094
106,0.712466,1.676660
107,0.710021,1.690354
108,0.754885,1.480834
109,0.782422,1.385202
110,0.730380,1.585162
111,0.765033,1.443279
112,0.750058,1.499770
113,0.717968,1.646958
114,0.738928,1.546341
115,0.708893,1.696784
116,0.730111,1.586432
117,0.747819,1.508801
118,0.716326,1.655661
119,0.713051,1.673429
120,0.779338,1.394973
121,0.728952,1.591934
122,0.723075,1.620698
123,0.756911,1.473101
124,0.742868,1.529365
125,0.716669,1.653836
126,0.691598,1.804812
127,0.739159,1.545328
128,0.780732,1.390529
129,0.740782,1.538283
130,0.787499,1.369568
131,0.734109,1.567878
132,0.735930,1.559637
133,0.746740,1.513212
134,0.710818,1.685857
135,0.781282,1.388787
136,0.752932,1.488406
137,0.755651,1.477896
138,0.727269,1.600017
139,0.773484,1.414131
140,0.763150,1.450028
141,0.707931,1.702322
142,0.729621,1.588748
143,0.700425,1.747346
144,0.724829,1.611957
145,0.762475,1.452473
146,0.775641,1.406975
147,0.727806,1.597426
148,0.740130,1.541102
149,0.706081,1.713114
150,0.758625,1.466650
151,0.683010,1.866045
152,0.758657,1.466531
153,0.719501,1.638948
154,0.767127,1.435884
155,0.761233,1.457000
156,0.748316,1.506780
157,0.739968,1.541804
158,0.802854,1.325481
159,0.699107,1.755609
160,0.711756,1.680606
161,0.730106,1.586455
162,0.741055,1.537110
163,0.754784,1.481222
164,0.742646,1.530307
165,0.696257,1.773842
166,0.734045,1.568171
167,0.781942,1.386707
168,0.744886,1.520885
169,0.732188,1.576714
170,0.785158,1.376707
171,0.693185,1.794094
172,0.725641,1.607953
173,0.727532,1.598745
174,0.779718,1.393758
175,0.725573,1.608290
176,0.807702,1.312474
177,0.740157,1.540987
178,0.734066,1.568076
179,0.742748,1.529875
180,0.733660,1.569929
181,0.752190,1.491316
182,0.676624,1.915438
183,0.725569,1.608309
184,0.718160,1.645947
185,0.723063,1.620758
186,0.710649,1.686811
187,0.766447,1.438273
188,0.738725,1.547228
189,0.765843,1.440404
190,0.775514,1.407393
191,0.720688,1.632820
192,0.740312,1.540314
193,0.698203,1.761330
194,0.723939,1.616377
195,0.727036,1.601146
196,0.724380,1.614180
197,0.720805,1.632221
198,0.734356,1.566751
199,0.711594,1.681506
200,0.729148,1.590998
201,0.737229,1.553833
202,0.722761,1.622281
203,0.711145,1.684023
204,0.751391,1.494469
205,0.748617,1.505564
206,0.705133,1.718723
207,0.715459,1.660314
208,0.730351,1.585301
209,0.693782,1.790110
210,0.718504,1.644142
211,0.749862,1.500553
212,0.736884,1.555369
213,0.710731,1.686344
214,0.761288,1.456799
215,0.754002,1.484243
216,0.744347,1.523133
217,0.726861,1.601998
218,0.711285,1.683236
219,0.735771,1.560351
220,0.716800,1.653138
221,0.736664,1.556349
222,0.712027,1.679093
223,0.719265,1.640175
224,0.734872,1.564410
225,0.737347,1.553309
226,0.702678,1.733483
227,0.751395,1.494451
228,0.781643,1.387648
229,0.781139,1.389240
230,0.711925,1.679661
231,0.737034,1.554701
232,0.742787,1.529710
233,0.739929,1.541973
234,0.709041,1.695938
