é¿çsâÒêî,F_1,F_2,F_3,F_4,F_5,F_6,ïΩãœ,
1,0.534351,0.534351,0.416588,0.943830,0.931411,0.534351,0.649147, 
2,0.392095,0.285714,0.501205,0.355731,0.042688,0.829956,0.401231, 
3,0.746044,0.598802,0.931293,0.857512,0.705800,0.833281,0.778789, 
4,0.733389,0.155142,0.714286,0.714286,0.821471,0.896089,0.672444, 
5,0.553973,0.563380,0.852791,0.984651,0.661546,0.783397,0.733290, 
6,0.458107,0.674847,0.674847,0.828638,0.875582,0.674401,0.697737, 
7,0.755048,0.715057,0.560000,0.880904,0.459003,0.704184,0.679033, 
8,0.515464,0.540541,0.681587,0.883696,0.872074,0.885153,0.729752, 
9,0.727679,0.824943,0.885841,0.813836,0.812859,0.829238,0.815732, 
10,0.632378,0.703307,0.709954,0.939439,0.937649,0.809490,0.788703, 
11,0.396040,0.471850,0.340696,0.722730,0.633297,0.847393,0.568668, 
12,0.522388,0.522388,0.828363,0.876069,0.770771,0.848209,0.728031, 
13,0.459635,0.476190,0.511883,0.000000,0.723216,0.848451,0.503229, 
14,0.522388,0.522388,0.381471,0.937210,0.861993,0.718965,0.657403, 
15,0.489510,0.403226,0.688821,0.191523,0.561247,0.561244,0.482595, 
16,0.688742,0.647710,0.403226,0.884271,0.549451,0.637866,0.635211, 
17,0.449638,0.545553,0.873203,0.506912,0.594650,0.836951,0.634484, 
18,0.721487,0.625722,0.744700,0.910710,0.738856,0.766998,0.751412, 
19,0.835294,0.763887,0.957533,0.807453,0.826353,0.592457,0.797163, 
20,0.906510,0.000000,0.789535,0.704285,0.492625,0.803009,0.615994, 
21,0.549197,0.659026,0.701917,0.295382,0.497324,0.821976,0.587470, 
22,0.560000,0.560000,0.810163,0.920225,0.560000,0.781762,0.698692, 
23,0.754530,0.495785,0.807229,0.880935,0.925929,0.907555,0.795327, 
24,0.873865,0.000000,0.464027,0.588235,0.951055,0.903298,0.630080, 
25,0.488267,0.538527,0.914694,0.806178,0.570992,0.813465,0.688687, 
26,0.632911,0.661947,0.540541,0.894737,0.736316,0.890351,0.726134, 
27,0.000000,0.861978,0.590821,0.801913,0.889178,0.902146,0.674339, 
28,0.489510,0.522388,0.646466,0.245073,0.712470,0.590817,0.534454, 
29,0.000000,0.465246,0.344828,0.657812,0.737086,0.881625,0.514433, 
30,0.919739,0.687509,0.818830,0.824545,0.754604,0.849675,0.809150, 
31,0.490454,0.851568,0.868585,0.634693,0.766979,0.866137,0.746403, 
32,0.331126,0.476190,0.476190,0.975655,0.265040,0.649032,0.528872, 
33,0.555556,0.861296,0.319914,0.735559,0.927977,0.938123,0.723071, 
34,0.434783,0.000000,0.263480,0.829048,0.603362,0.763312,0.482331, 
35,0.506711,0.777721,0.597938,0.963318,0.669988,0.710274,0.704325, 
36,0.512676,0.443836,0.489510,0.216418,0.921109,0.659898,0.540575, 
37,0.500000,0.575011,0.906453,0.919611,0.835700,0.840043,0.762803, 
38,0.618818,0.082494,0.476190,0.515464,0.515464,0.853442,0.510312, 
39,0.507246,0.793602,0.788110,0.918730,0.914163,0.760281,0.780356, 
40,0.588235,0.910062,0.639456,0.853835,0.975917,0.653923,0.770238, 
