é¿çsâÒêî,P_1,P_2,P_3,P_4,P_5,P_6,ïΩãœ,
1,0.364583,0.364583,0.263095,0.893634,0.871626,0.364583,0.520351, 
2,0.243854,0.166667,0.334405,0.216346,0.021809,0.709337,0.282070, 
3,0.594952,0.427350,0.871421,0.750565,0.545356,0.714208,0.650642, 
4,0.579017,0.084094,0.555556,0.555556,0.697031,0.811741,0.547166, 
5,0.383100,0.392157,0.743361,0.969767,0.494261,0.643922,0.604428, 
6,0.297107,0.509259,0.509259,0.707414,0.778697,0.508752,0.551748, 
7,0.606488,0.556490,0.388889,0.787156,0.297861,0.543429,0.530052, 
8,0.347222,0.370370,0.516975,0.791627,0.773166,0.793968,0.598888, 
9,0.571930,0.702045,0.795075,0.686108,0.684720,0.708289,0.691361, 
10,0.462393,0.542385,0.550332,0.885795,0.882617,0.679952,0.667246, 
11,0.246914,0.308772,0.205325,0.565840,0.463376,0.735197,0.420904, 
12,0.353535,0.353535,0.707013,0.779469,0.627036,0.736427,0.592836, 
13,0.298394,0.312500,0.343980,0.000000,0.566435,0.736791,0.376350, 
14,0.353535,0.353535,0.235690,0.881839,0.757459,0.561237,0.523883, 
15,0.324074,0.252525,0.525345,0.105903,0.390093,0.390090,0.331338, 
16,0.525253,0.478973,0.252525,0.792550,0.378788,0.468284,0.482729, 
17,0.290021,0.375093,0.774942,0.339506,0.423133,0.719618,0.487052, 
18,0.564317,0.455309,0.593244,0.836058,0.585862,0.622057,0.609475, 
19,0.717172,0.617976,0.918526,0.677083,0.704090,0.420915,0.675960, 
20,0.829006,0.000000,0.652257,0.543549,0.326810,0.670856,0.503746, 
21,0.378547,0.491453,0.540734,0.173283,0.330959,0.697758,0.435456, 
22,0.388889,0.388889,0.680903,0.852237,0.388889,0.641716,0.556920, 
23,0.605820,0.329597,0.676768,0.787206,0.862074,0.830756,0.682037, 
24,0.775986,0.000000,0.302106,0.416667,0.906678,0.823649,0.537514, 
25,0.322985,0.368483,0.842798,0.675291,0.399573,0.685580,0.549118, 
26,0.462963,0.494709,0.370370,0.809524,0.582674,0.802371,0.587102, 
27,0.000000,0.757436,0.419266,0.669327,0.800468,0.821736,0.578039, 
28,0.324074,0.353535,0.477613,0.139649,0.553362,0.419262,0.377916, 
29,0.000000,0.303140,0.208333,0.490104,0.583639,0.788309,0.395588, 
30,0.851405,0.523820,0.693237,0.701469,0.605915,0.738640,0.685747, 
31,0.324902,0.741505,0.767698,0.464872,0.622032,0.763882,0.614148, 
32,0.198413,0.312500,0.312500,0.952467,0.152764,0.480420,0.401511, 
33,0.384615,0.756382,0.190415,0.581727,0.865631,0.883458,0.610371, 
34,0.277778,0.000000,0.151729,0.708011,0.432011,0.617223,0.364459, 
35,0.339326,0.636288,0.426471,0.929231,0.503746,0.550716,0.564296, 
36,0.344697,0.285211,0.324074,0.121339,0.853755,0.492424,0.403583, 
37,0.333333,0.403520,0.828911,0.851185,0.717770,0.724202,0.643154, 
38,0.448035,0.043021,0.312500,0.347222,0.347222,0.744351,0.373725, 
39,0.339806,0.657828,0.650315,0.849677,0.841898,0.613269,0.658799, 
40,0.416667,0.834967,0.470000,0.744949,0.952967,0.485799,0.650892, 
41,0.263611,0.226947,0.471879,0.416667,0.822845,0.781670,0.497270, 
42,0.269309,0.347222,0.347222,0.796137,0.143080,0.848139,0.458518, 
43,0.357143,0.349206,0.278047,0.370370,0.529087,0.662053,0.424318, 
44,0.555695,0.000000,0.398551,0.434783,0.598675,0.518757,0.417743, 
45,0.431017,0.724519,0.758473,0.572650,0.926244,0.714829,0.687955, 
46,0.324074,0.300357,0.874319,0.439815,0.490815,0.563140,0.498753, 
47,0.451389,0.353535,0.718718,0.537466,0.749442,0.902509,0.618843, 
48,0.382983,0.215104,0.350803,0.640420,0.555556,0.694927,0.473299, 
49,0.772283,0.638889,0.454545,0.750903,0.419230,0.626371,0.610370, 
50,0.347222,0.396825,0.496032,0.935065,0.683115,0.874862,0.622187, 
51,0.416667,0.623053,0.811384,0.688821,0.547369,0.655970,0.623877, 
52,0.197500,0.523426,0.457326,0.501240,0.941417,0.480124,0.516839, 
53,0.327192,0.416614,0.605722,0.761520,0.909542,0.695706,0.619383, 
54,0.416667,0.416667,0.824959,0.416667,0.705026,0.864979,0.607494, 
55,0.318983,0.245376,0.172540,0.295572,0.399582,0.757625,0.364946, 
56,0.337302,0.353535,0.282396,0.709154,0.809289,0.467587,0.493211, 
57,0.310734,0.709254,0.481563,0.577385,0.588167,0.740383,0.567914, 
58,0.483284,0.468750,0.371947,0.332093,0.501962,0.308986,0.411170, 
59,0.399341,0.448718,0.388889,0.892070,0.621680,0.840392,0.598515, 
60,0.112654,0.902186,0.364187,0.440613,0.700310,0.885938,0.567648, 
61,0.211703,0.026204,0.312500,0.364419,0.333333,0.437500,0.280943, 
62,0.423243,0.683754,0.300467,0.707646,0.905479,0.793506,0.635682, 
63,0.167304,0.487252,0.436508,0.476190,0.816799,0.772611,0.526111, 
64,0.333333,0.426295,0.787434,0.743324,0.578987,0.908022,0.629566, 
65,0.416667,0.566997,0.186233,0.472222,0.601963,0.652183,0.482711, 
66,0.354938,0.427225,0.400948,0.824209,0.609083,0.863213,0.579936, 
67,0.258573,0.462963,0.509259,0.929244,0.834142,0.738002,0.622030, 
68,0.551077,0.064159,0.384982,0.592105,0.820379,0.935797,0.558083, 
69,0.000000,0.818578,0.495861,0.566225,0.690471,0.844095,0.569205, 
70,0.248927,0.839881,0.492731,0.506668,0.751724,0.561508,0.566906, 
71,0.332975,0.567499,0.467938,0.863082,0.596857,0.634379,0.577122, 
72,0.342384,0.857565,0.357352,0.660754,0.839852,0.743478,0.633564, 
73,0.601852,0.390065,0.623276,0.864652,0.625387,0.639453,0.624114, 
74,0.519841,0.179533,0.754761,0.761107,0.624494,0.707572,0.591218, 
75,0.163652,0.017621,0.000000,0.267098,0.243056,0.533862,0.204215, 
76,0.416667,0.416667,0.653935,0.607639,0.642361,0.839120,0.596065, 
77,0.508786,0.141340,0.470372,0.868803,0.679493,0.711355,0.563358, 
78,0.322581,0.894377,0.416666,0.416666,0.699522,0.420911,0.528454, 
79,0.277778,0.303030,0.272904,0.041733,0.694283,0.441001,0.338455, 
80,0.702626,0.785633,0.495403,0.476823,0.659140,0.886806,0.667739, 
81,0.267490,0.288008,0.875760,0.427690,0.530847,0.684701,0.512416, 
82,0.538952,0.698600,0.477481,0.696559,0.630559,0.657175,0.616554, 
83,0.000000,0.306638,0.164601,0.763840,0.473684,0.583598,0.382060, 
84,0.595238,0.476958,0.389153,0.870977,0.888495,0.654896,0.645953, 
85,0.487589,0.345250,0.682130,0.937472,0.607660,0.613902,0.612334, 
86,0.349794,0.801778,0.732569,0.545910,0.753052,0.924337,0.684574, 
87,0.353535,0.377859,0.433007,0.857659,0.887039,0.639992,0.591515, 
88,0.537171,0.019358,0.641243,0.510018,0.540478,0.470660,0.453155, 
89,0.324755,0.325227,0.109230,0.333333,0.749377,0.521613,0.393923, 
90,0.355040,0.712963,0.795623,0.855745,0.543408,0.654350,0.652855, 
91,0.555556,0.271335,0.703231,0.704215,0.593434,0.261007,0.514796, 
92,0.395816,0.324074,0.462963,0.939078,0.800799,0.786104,0.618139, 
93,0.000000,0.130550,0.261261,0.504270,0.593551,0.590049,0.346614, 
94,0.476586,0.353806,0.396825,0.804158,0.152346,0.757739,0.490243, 
95,0.441535,0.448718,0.224960,0.771501,0.737013,0.474116,0.516307, 
96,0.168868,0.704546,0.695000,0.633926,0.694949,0.691151,0.598073, 
97,0.429293,0.429293,0.388951,0.918472,0.747881,0.596199,0.585015, 
98,0.263171,0.771572,0.599682,0.536321,0.708840,0.901158,0.630124, 
99,0.396825,0.960682,0.455861,0.370370,0.417910,0.915362,0.586169, 
100,0.324074,0.347222,0.557821,0.780672,0.532828,0.851229,0.565641, 
101,0.208214,0.277778,0.460454,0.791946,0.042363,0.455894,0.372775, 
102,0.697725,0.381257,0.476190,0.669105,0.129519,0.714611,0.511401, 
103,0.416667,0.376344,0.795298,0.360215,0.575563,0.861331,0.564236, 
104,0.674718,0.297619,0.396825,0.528199,0.785446,0.247298,0.488351, 
105,0.500642,0.707097,0.670481,0.388696,0.965086,0.729083,0.660181, 
106,0.324856,0.723521,0.783701,0.546296,0.534722,0.619130,0.588705, 
107,0.673077,0.638889,0.508772,0.853461,0.523504,0.719970,0.652946, 
108,0.500000,0.333333,0.893112,0.500000,0.667854,0.695778,0.598346, 
109,0.435883,0.416667,0.145227,0.809897,0.723780,0.662587,0.532340, 
110,0.483871,0.432099,0.376481,0.771945,0.772873,0.890094,0.621227, 
111,0.325304,0.277842,0.148430,0.432099,0.594076,0.839462,0.436202, 
112,0.374332,0.354737,0.362103,0.696654,0.564364,0.508838,0.476838, 
113,0.384615,0.761218,0.801099,0.651055,0.505051,0.605462,0.618083, 
114,0.294144,0.353535,0.303030,0.799655,0.420943,0.491007,0.443719, 
115,0.488889,0.642941,0.199539,0.863265,0.520245,0.767146,0.580338, 
116,0.207995,0.509259,0.462963,0.726894,0.702308,0.785795,0.565869, 
117,0.534188,0.605679,0.459770,0.807694,0.489570,0.866813,0.627286, 
118,0.486111,0.584936,0.625000,0.883162,0.859456,0.783251,0.703653, 
