ó^Ç¶ÇΩèdóvìx,0.180000,0.280000,0.150000,0.250000,0.130000,0.230000,0.100000,0.200000,0.080000,0.180000,0.060000,0.160000,1.000000,

é¿çsâÒêî,wL[0],wR[0],wL[1],wR[1],wL[2],wR[2],wL[3],wR[3],wL[4],wR[4],wL[5],wR[5],ãÊä‘ïùÇÃëçòa
1,0.213550, 0.222800,0.213550, 0.222800,0.146118, 0.281159,0.130318, 0.214446,0.054441, 0.146118,0.074267, 0.080433,0.335513
2,0.179193, 0.179193,0.138172, 0.234148,0.111131, 0.184106,0.178360, 0.227922,0.179193, 0.179193,0.071217, 0.138172,0.285469
3,0.143834, 0.314386,0.189647, 0.242052,0.157193, 0.217203,0.121026, 0.219307,0.087870, 0.101127,0.056705, 0.149650,0.487451
4,0.135060, 0.276212,0.276212, 0.297845,0.128959, 0.141775,0.126232, 0.211172,0.066078, 0.129534,0.070391, 0.140531,0.394137
5,0.137738, 0.219417,0.136919, 0.283536,0.140790, 0.300270,0.103707, 0.149993,0.146897, 0.168705,0.074289, 0.137738,0.519318
6,0.160489, 0.324329,0.163572, 0.236080,0.150989, 0.164179,0.100662, 0.163572,0.100770, 0.173273,0.086636, 0.175450,0.473765
7,0.178660, 0.322961,0.180574, 0.184329,0.159943, 0.187175,0.097717, 0.199028,0.154455, 0.195435,0.046794, 0.092929,0.363714
8,0.176333, 0.276574,0.225498, 0.241655,0.142451, 0.239466,0.106275, 0.176333,0.079395, 0.142451,0.078268, 0.115301,0.383561
9,0.194397, 0.296439,0.143637, 0.268785,0.122039, 0.195756,0.122674, 0.198185,0.096560, 0.122784,0.094155, 0.144587,0.453075
10,0.212192, 0.316704,0.172892, 0.244465,0.140097, 0.218209,0.102647, 0.185929,0.081488, 0.149120,0.052471, 0.123786,0.476425
11,0.226397, 0.264182,0.226762, 0.235613,0.114247, 0.134115,0.132091, 0.256442,0.064463, 0.148848,0.074252, 0.122588,0.323575
12,0.159938, 0.268243,0.155916, 0.244759,0.134122, 0.244806,0.122380, 0.234727,0.103689, 0.181112,0.063931, 0.086378,0.520051
13,0.164712, 0.244751,0.174482, 0.222024,0.110597, 0.172854,0.219535, 0.222978,0.111489, 0.174576,0.061188, 0.120814,0.315994
14,0.196433, 0.196433,0.196433, 0.196433,0.175356, 0.230029,0.115014, 0.245330,0.092830, 0.189472,0.063157, 0.103078,0.321551
15,0.192927, 0.256084,0.161766, 0.241990,0.120995, 0.222461,0.155657, 0.192927,0.057689, 0.112287,0.107879, 0.177339,0.406175
16,0.207634, 0.268064,0.134032, 0.215816,0.195662, 0.250753,0.125376, 0.226868,0.084255, 0.110129,0.077940, 0.103471,0.350201
17,0.256162, 0.266489,0.176842, 0.261242,0.133245, 0.180369,0.130621, 0.180288,0.084920, 0.127641,0.063820, 0.138359,0.308779
18,0.157985, 0.364749,0.177111, 0.254401,0.118894, 0.214453,0.086126, 0.166159,0.070562, 0.110532,0.086515, 0.192514,0.605614
